,State,CurrentLevel,AlgoLevel,Category0,Category1,Category2,Category3
10,Haryana,"[8.233126492, 8.941227154, 8.170497238, 7.979190601, 8.003832924, 8.949867374, 8.737231182999999, 8.049376694, 8.159558442, 7.97110119, 8.001424658, 6.901229507999999, 7.147615385, 7.9143450479999995, 8.416684783000001, 8.323297297, 8.43299169, 8.910224358999999, 9.15184, 8.249835526, 9.296621622, 9.889832402, 9.766176471, 9.484309392, 9.680786164, 10.42063712, 10.69677686, 10.76831429, 10.60116477, 10.9111831, 10.39567867, 10.02084239, 9.688910082, 10.15685792, 10.31504373, 10.02737127, 10.26921409, 12.61754491, 10.13463343, 9.962102102000001, 10.48035294, 11.55928161, 11.13099398, 10.69009146, 11.33777778, 10.70006061, 10.82969136, 10.94484746, 10.6214791, 11.41329932, 11.28996633, 11.19663333, 10.88111864, 11.50620462, 11.6386755, 11.52066038, 11.30419244, 12.22993056, 11.18374558, 11.31115385, 10.82328076, 11.65017857, 11.24569536, 11.00022082, 14.46677852, 15.59005348, 17.09588235, 14.36820128, 11.54805031, 14.35293839, 11.58219101, 14.53853468, 12.52853211, 14.11365729, 11.022979800000002, 14.16154472, 11.51132404, 15.20622093, 13.03417722, 14.62608108, 17.94928571, 14.86581921, 11.93837209, 15.20988372, 17.7685641, 15.68886905, 11.29430108, 14.66881459, 15.35956835, 16.10647059, 15.14210714, 24.7849505]","[None, None, None, 8.33101037125, 8.273686979250003, 8.275847034250003, 8.417530520500003, 8.435077043750002, 8.474008423250003, 8.229316877250001, 8.045365246000001, 7.7583284495000004, 7.505342685250001, 7.491153649750003, 7.594968681000003, 7.950485628250004, 8.271829704500004, 8.520799532250003, 8.704588336500004, 8.686222893750003, 8.902130376750002, 9.147032387500003, 9.300616505250003, 9.609234971750006, 9.705276107250004, 9.837977286750004, 10.070627384000003, 10.391628608500003, 10.621723260000003, 10.744359755000005, 10.669085207500004, 10.482217232500004, 10.254153560500004, 10.065572265500004, 10.045413530500005, 10.047045750500004, 10.192121752500004, 10.807293500000005, 10.762190925000004, 10.745873633000008, 10.798658345500007, 10.534092520500009, 10.783182658000007, 10.965179997500005, 11.179536207500005, 10.964730957500004, 10.889405302500005, 10.953094302500006, 10.774019632500005, 10.952329310000005, 11.067398052500005, 11.130344520000005, 11.195254405000005, 11.218480730000005, 11.305658022500005, 11.386664785000004, 11.492433235000005, 11.673364720000004, 11.559632240000004, 11.507255607500005, 11.387027687500005, 11.242089690000006, 11.257577135000005, 11.179843877500005, 12.090718317500004, 13.075687045000004, 14.538233792500005, 15.380228907500005, 14.650546855000007, 14.341268082500005, 12.962845247500004, 13.005428597500005, 13.250549047500005, 13.190728772500005, 13.050925970000005, 12.956678480000004, 12.702376462500006, 12.975517372500004, 13.478316727500005, 13.594450817500006, 15.203941235000007, 15.118840805000007, 14.844889522500008, 14.99084018250001, 14.94565978000001, 15.15142224000001, 14.990404487500006, 14.855137205000007, 14.252888267500007, 14.357288652500007, 15.31924016750001, 17.848274145000012]",3,3,3,3
11,Himachal Pradesh,"[57.77, 8.9365, 3.55, 6.799047619, 9.407222222, 8.9365, 6.869230769, 9.163953487999999, 8.536716418, 9.074848485, 7.045, 6.152340426, 8.281818182, 8.925909091, 5.362321429, 6.922857143, 8.658918919, 7.9026388889999994, 6.6222, 7.91875, 4.87, 9.842857143, 5.665428571, 7.222941176, 8.10915493, 9.698589744, 8.416233766, 7.552727272999999, 8.283896104, 9.942307692, 7.343333332999999, 7.533417722, 7.945897436, 9.2735, 7.401375, 7.8150649350000005, 8.350632911, 9.042179487, 7.664074074, 7.63746988, 9.128902438999999, 9.719878049, 7.236024096, 8.225662651, 9.451445782999999, 8.437564103, 6.265844156, 8.411875, 8.343333333, 10.24878049, 6.7598717950000005, 7.073544304, 7.069746835, 9.777901235, 7.6739999999999995, 7.076351351, 7.287368421, 8.365373134, 5.036842105, 6.245194805, 6.502465752999999, 7.9232, 4.689295775, 6.023466667, 6.954861111, 8.206575342, 4.862857143, 6.140470588, 7.314893617, 8.192692308, 4.816947368, 5.983267327, 7.005111111000001, 6.753619047999999, 5.39959596, 4.9723255810000015, 6.593152174, 6.727857143, 4.794242424, 5.826842105, 6.801290323, 7.977204301, 5.555918367, 6.712040816, 6.650114942999999, 7.283222222000001, 4.793670886, 6.278865979, 6.128333333, 13.99666667, 5.6505555560000005, 5.4191954020000015]","[None, None, None, 19.26388690475, 7.173192460250004, 7.173192460250004, 8.003000152500002, 8.594226619750001, 8.37660016875, 8.411187289999999, 8.45512959775, 7.702226332250001, 7.6385017732500025, 7.6012669247500035, 7.180597282000003, 7.3732264612500025, 7.467501645500003, 7.211684095000002, 7.526653737750003, 7.775626952000003, 6.828397222250002, 7.313451785750002, 7.074258928500003, 6.900306722500002, 7.710095455000002, 7.674028605250004, 8.361729904000004, 8.444176428250003, 8.487861721750003, 8.548791208750004, 8.280566100500003, 8.275738712750004, 8.191239045750004, 8.024037122750004, 8.038547539500005, 8.108959342750005, 8.210143211500004, 8.152313083250004, 8.217987851750003, 8.173589088000003, 8.368156470000002, 8.537581110500003, 8.430568616000004, 8.577616808750005, 8.658252644750004, 8.337674158250003, 8.095129173250003, 8.141682260500003, 7.864654148000003, 8.317458244750004, 8.440965154500004, 8.106382480500004, 7.787985856000002, 7.670266042250002, 7.8987980935000035, 7.899499855250004, 7.953905251750005, 7.600773226500003, 6.941483752750003, 6.733694616250002, 6.537468949250001, 6.426925665750001, 6.340039083250001, 6.28460704875, 6.397705888250001, 6.46854972375, 6.51194006575, 6.541191046000001, 6.631199172500001, 6.627728414, 6.616250970249999, 6.5769501550000005, 6.4995045285, 6.139736213500002, 6.285398361499999, 6.032662925, 5.929673190750001, 5.9232327145, 5.7718943305, 5.9855234615000015, 6.037557998750001, 6.34989478825, 6.540313774000001, 6.7616134517500015, 6.723819606750001, 6.5503240870000035, 6.359762216750003, 6.251468507500002, 6.121023105000003, 7.799384217000003, 8.013605384500003, 7.7986877402500046]",0,1,0,1
12,Jammu & Kashmir,"[5.454320987999999, 6.650123457, 3.1455, 4.524303797, 5.256455696000001, 6.410769231000001, 3.789746835, 4.473902439, 5.5571951219999995, 6.116395348999998, 4.287380952, 4.982988506, 5.641927711, 6.901204819, 4.929651163, 5.450681818, 6.211460674, 7.19060241, 4.976707317, 5.951829267999999, 6.456428571, 7.24164557, 4.612682927, 5.563452381, 6.681973684, 8.475344827999999, 5.6012, 5.997662338, 7.178933333, 7.460675676, 4.695, 5.5028, 6.5293, 7.4024, 4.695, 5.5028, 6.100373134, 6.575142857, 4.521363636, 5.431911765, 6.156115108, 7.098571429, 4.345652174, 4.909071429, 5.562714286, 5.949568345, 4.112553191, 5.162957746, 5.832464788999998, 6.860492957999999, 4.110296296, 5.166028369, 5.685294118, 7.002279412, 5.317372263, 6.451865672, 7.239389312999999, 7.8509243699999995, 4.277835821, 5.183307692, 5.788396947000001, 6.62880597, 4.596377953, 5.006153846, 5.693712121, 6.640208333, 4.21494, 4.902315789, 5.509626866, 6.103558559, 3.523939394, 4.379867841, 4.909045226, 5.142644628, 4.461637931, 4.351718062, 4.975765306, 4.5256194690000004, 3.624026549, 4.316284404, 4.428695652, 5.683555556, 3.752532751, 4.7644978170000005, 5.358275862, 6.016060606, 3.706497696000001, 4.666342412, 5.118161435, 5.2375, 4.114157303, 5.123142857]","[None, None, None, 4.9435620605, 4.8940957375, 4.834257181, 4.995318889749999, 4.982718550249999, 5.057903406749999, 4.984309936249999, 5.108718465499999, 5.235989982249999, 5.257173129499999, 5.4533754970000015, 5.6139430497500005, 5.730866377749998, 5.873249618499999, 5.945599016249999, 5.957363054749999, 6.082649917249999, 6.143891891499998, 6.156652681499999, 6.065646584, 5.96855236225, 6.024938640499999, 6.333363455, 6.580492723250001, 6.689045212499999, 6.813285124749999, 6.559617836749999, 6.333067836750001, 6.209352252250001, 6.046943919000001, 6.032375000000001, 6.032375000000001, 6.032375000000001, 5.925143283500001, 5.71832899775, 5.6749199067500005, 5.657197847999999, 5.671133341499998, 5.801990484499999, 5.758062619, 5.627352535, 5.4790023295, 5.1917515585, 5.133476812750001, 5.1969483919999995, 5.264386017750001, 5.492117171, 5.491552947250001, 5.492320603, 5.45552793525, 5.4909745487500015, 5.792743540499999, 6.11420286625, 6.502726665000001, 6.7148879045, 6.455003794000001, 6.137864299000001, 5.775116207500001, 5.4695866075, 5.5492221404999995, 5.5049336790000005, 5.481262472500001, 5.4841130632500015, 5.388753575000001, 5.362794060750001, 5.316772747000001, 5.182610303500001, 5.009860152, 4.879248165, 4.7291027549999995, 4.48887427225, 4.723298906499999, 4.716261461749998, 4.732941481749999, 4.578685191999999, 4.369282346499999, 4.360423931999999, 4.223656518499999, 4.513140540249999, 4.54526709075, 4.657320443999999, 4.889715496499999, 4.972841759, 4.961332995249999, 4.936794143999999, 4.87676553725, 4.68212538575, 4.7840402875, 4.89824039875]",0,0,0,0
13,Jharkhand,"[5.6268279570000015, 7.176228571, 2.832198953, 4.8780625, 5.334894737, 7.126296296, 2.769464286, 4.214751381, 4.825743243, 6.665972222000001, 2.848623188, 3.720298507, 5.387777777999999, 7.307142857, 2.662877698, 3.49245283, 4.887753623, 6.919078947, 3.50275, 4.538451613, 5.824177215, 7.444248366, 3.257777778, 4.206478873, 5.560121212, 8.035177305, 4.143397436, 4.253536585, 5.836097561, 7.567735849, 3.781751825, 4.238768116, 5.143706897, 7.35128, 3.895074627, 4.242408759, 5.631733333, 8.205780347000001, 4.712564103, 5.110180723, 5.773625, 7.8898630139999995, 3.132147239, 3.90126506, 5.434142857, 7.78254902, 2.8525443790000002, 4.037409639, 5.373212121, 7.660123457, 2.6870000000000003, 4.196130952, 5.503741935, 7.636971429, 4.912674419, 4.736746988, 5.877514124, 8.479832402000001, 6.1804, 6.537647059, 7.064, 8.742391304, 3.336129032, 4.348439306, 5.34726257, 8.202752809, 4.2803, 4.697235772, 5.912857142999999, 7.8044943820000015, 4.202621359, 3.461563786, 5.091287554, 7.088083332999999, 3.40225, 4.706967213, 5.771330472000001, 6.361330275, 3.522741313, 5.297238494, 6.228983051, 7.792961373, 3.253684211, 4.424678899, 5.4688125, 7.978722467000001, 3.231089109, 4.264589372, 5.8699038460000015, 7.357647059, 4.138, 4.967201646]","[None, None, None, 5.12832949525, 5.05534619025, 5.0428631215, 5.027179454750001, 4.861351675, 4.7340638015, 4.618982783, 4.638772508500001, 4.51515929, 4.65566792375, 4.8159605825000025, 4.76952421, 4.712562790750001, 4.587556752000001, 4.490540774500001, 4.700508850000001, 4.962008545750001, 5.19611444375, 5.3274067985, 5.266163743000001, 5.183170558, 5.11715655725, 5.264888792, 5.4862937065, 5.498058134499999, 5.567052221749998, 5.450191857749998, 5.359780454999999, 5.356088337749999, 5.182990671749999, 5.128876709499998, 5.157207409999998, 5.158117570749998, 5.280124179749999, 5.493749266499998, 5.6981216355, 5.9150646264999995, 5.950537543249999, 5.871558209999999, 5.476453993999999, 5.174225078249998, 5.089354542499999, 5.062526043999999, 4.992625329, 5.02666147375, 5.01142878975, 4.980822399, 4.93943630425, 4.9791166325, 5.011749086, 5.005961079, 5.56237968375, 5.6975336927499995, 5.79097674, 6.001691983250001, 6.3186233785, 6.76884839625, 7.06546986525, 7.13110959075, 6.42004184875, 5.872739910499999, 5.443555553, 5.30864592925, 5.54468867125, 5.631887787749999, 5.7732864310000025, 5.673721824250001, 5.654302164000001, 5.3453841675000024, 5.139991770250002, 4.9608890080000005, 4.7607961682500015, 5.072147025000001, 5.242157754500002, 5.060469490000002, 5.090592318250001, 5.238160138500003, 5.352573283250003, 5.710481057750004, 5.643216782250002, 5.425076883500003, 5.235034245750001, 5.281474519250002, 5.275825743750001, 5.235803362000001, 5.3360761985000025, 5.180807346500003, 5.407535069250003, 5.583188137750003]",0,0,0,0
14,Karnataka,"[7.702217742, 8.682528902, 6.386348168, 5.555011792, 6.517652695, 8.615242588000001, 6.775954606, 5.707362356, 6.181925546, 7.676049005, 5.609123782999999, 4.881553738, 6.388846154, 7.390947752000001, 6.6976135039999996, 5.76263965, 6.701685912, 8.870742925, 6.297808057, 5.7421, 6.908279678, 8.742877193, 7.418539603999998, 6.457037037, 6.917493857, 9.372166065, 8.395230415, 7.9841209410000005, 8.939048193, 8.299445629, 6.518275229, 6.523918032999999, 9.844743935, 10.93885042, 8.360526316, 8.290141509, 9.159117998, 10.57496021, 8.114341801, 6.551422594, 7.534836245, 8.891583333, 7.63647806, 7.52510395, 8.546998972, 9.757417012000001, 7.573949904, 6.640160226, 7.53341954, 9.141453321, 7.181939698, 6.910753968, 7.945159113, 9.312714571, 7.438077304, 6.189203629, 6.847912525, 8.685987654, 6.559947034, 5.942130478999998, 6.859878172999999, 8.297812808, 6.956358025, 6.947076142, 8.214217822, 9.826663327, 7.0, 8.172497925, 8.440605263, 12.25632634, 7.111392065, 6.55116622, 7.60749017, 8.853375681000001, 6.9769495689999985, 5.989092604, 7.178765505, 8.465673926000001, 7.06350092, 6.003390388, 6.444014687999999, 8.411277777999999, 7.093046397999999, 7.233041775, 8.833755274, 8.675274725, 8.389780427, 6.458865337000001, 7.4610894210000005, 11.88516129, 6.209459459, 7.23690589]","[None, None, None, 7.081526651000002, 6.785385389250001, 6.768563810750001, 6.865965420250001, 6.90405306125, 6.820121274000001, 6.58532287825, 6.293615172500001, 6.087163018000001, 6.138893170000001, 6.067617856750003, 6.3397402870000015, 6.560011765000001, 6.6382217045, 7.008170497750001, 6.908219136, 6.9030842235000005, 6.954732664999997, 6.922766231999997, 7.202949118749998, 7.381683377999997, 7.3839869227499975, 7.541309140749997, 7.7854818434999995, 8.167252819499996, 8.672641403499997, 8.404461294499997, 7.935222497999996, 7.5701717709999965, 7.796595706499997, 8.456446904249999, 8.917009676000001, 9.358565545, 9.187159060749998, 9.096186508249998, 9.0346403795, 8.599960650749999, 8.1938902125, 7.773045993249999, 7.653580057999999, 7.897000396999999, 8.150041078749998, 8.366499498499996, 8.350867459499996, 8.129631528499997, 7.8762366704999955, 7.722245747749995, 7.624243196249995, 7.691891631749995, 7.794826524999995, 7.837641837499994, 7.901676238999995, 7.721288654249993, 7.446977007249994, 7.290295277999992, 7.070762710499992, 7.008994422999993, 7.011985834999992, 6.914942123499991, 7.014044871249991, 7.26528128699999, 7.603866199249991, 7.9860788289999896, 7.9969893227499895, 8.30334476849999, 8.35994162874999, 8.96735738199999, 8.99520539824999, 8.589872471999989, 8.381593698749986, 7.530856033999988, 7.497245409999987, 7.356727005999988, 7.249545839749991, 7.152620400999988, 7.174258238749991, 7.177832684749991, 6.994144980499989, 6.980545943499989, 6.9879323129999875, 7.295345159749987, 7.892780306249987, 7.958779542999988, 8.282963050249988, 8.089418940749987, 7.746252477499987, 8.548724118749988, 8.003643876749988, 8.198154014999988]",0,0,0,0
15,Kerala,"[6.237759562999999, 7.072541436, 4.76681736, 5.221898734, 5.9617304189999984, 6.816605505, 4.185890908999998, 4.678163636, 5.768390597000001, 6.771775701, 4.231045872, 4.782763636, 5.810783242, 6.703694852999999, 4.68060219, 5.392237443, 6.485098336, 7.224109397, 4.383520924, 6.003903447999999, 6.54099162, 7.231612403, 5.054165457, 5.3358770610000015, 6.352033133, 7.060793651, 5.116145251, 4.975671642, 6.768986384, 7.301579755, 5.221343931, 5.684917788, 6.58378882, 7.630630915, 5.396321321, 5.675301915, 6.624709389, 7.087862715, 5.337866044, 5.460824916, 6.3852798790000005, 7.109952456, 5.143975155, 4.983422619, 6.477291362000001, 7.592670622999999, 4.941335357, 5.456966127, 6.561720117, 6.6975294120000015, 5.4838599110000015, 5.791961652, 6.674546805, 7.608515625, 5.361664122, 5.5405401229999995, 6.495126582, 6.909762309, 5.019024, 5.116433225, 6.295023041, 6.997184466, 4.789812287, 5.427661017, 6.451993569, 7.375285962, 4.7898119999999995, 6.014737533, 6.86858854, 7.8928449999999994, 5.242484342, 5.6202220170000015, 6.720686275, 7.412185749, 4.742849817, 5.673734043, 6.484379661, 7.082769432, 5.286594488, 5.44884715, 6.355010417000001, 7.500806335, 5.732792207999999, 6.321094062999999, 7.272879277, 7.950761905, 5.114606299, 5.761245902000001, 6.759532279, 8.91953125, 6.3966, 5.845433225]","[None, None, None, 5.824754273250001, 5.755746987249999, 5.691763004499999, 5.546531391749999, 5.410597617249999, 5.362262661749999, 5.351055210749999, 5.3623439515, 5.388493951499998, 5.399092112749998, 5.382071900749999, 5.49446098025, 5.6468294320000005, 5.8154082055, 5.945511841499998, 5.871241524999999, 6.024158026249999, 6.038131347249998, 6.040007098749999, 6.207668232, 6.040661635249998, 5.993422013499999, 5.950717325499999, 5.966212273999998, 5.8761609192499975, 5.980399231999997, 6.040595757999997, 6.066895427999997, 6.2442069644999965, 6.197907573499997, 6.280170363499996, 6.323914710999999, 6.321510742749997, 6.331740884999999, 6.196048834999997, 6.181435015749997, 6.127815765999997, 6.067958388499997, 6.073480823749998, 6.025008101499997, 5.905657527249996, 5.928660397999997, 6.049339939749997, 5.9986799902499985, 6.1170658672499965, 6.138173055999997, 5.914387753249997, 6.050018891749997, 6.133767772999997, 6.161974444999999, 6.38972099825, 6.359172050999999, 6.296316668749999, 6.251461612999997, 6.076773283999999, 5.9911132534999965, 5.885086528999999, 5.835060643749999, 5.856916182999999, 5.7996132547500014, 5.877420202749999, 5.916662834749999, 6.011188208749997, 6.011188136999999, 6.157957265999999, 6.262106008749999, 6.3914957682499995, 6.50466385375, 6.40603497475, 6.369059408499999, 6.248894595749999, 6.123985964499996, 6.137363970999996, 6.078287317499999, 5.995933238249999, 6.131869406, 6.07564768275, 6.04330537175, 6.1478145975, 6.2593640275, 6.4774257557500015, 6.706892970749999, 6.819381863249999, 6.664835386, 6.52487334575, 6.39653659625, 6.638728932499998, 6.959227357749999, 6.980274188499999]",0,0,0,0
16,Madhya Pradesh,"[7.377239404, 9.534539545, 4.11373168, 5.5521304350000005, 7.068107221, 9.543756786, 4.619953864, 5.286538883, 5.160672646, 8.21128266, 5.20292735, 5.89500996, 7.457801636, 10.21747604, 4.895249205, 5.621023697, 7.615615764, 10.35905935, 6.204673267, 7.898280317999999, 9.400912017000001, 12.05913915, 5.757403936, 7.985428322000001, 9.763247372999999, 11.93327485, 7.3863909, 8.296577114, 9.696387435, 12.25981865, 7.081064604, 7.20119457, 8.568622263, 11.63722979, 5.653581817999999, 7.548149171, 9.472393472, 11.92836364, 6.6813128489999976, 7.786057866, 9.423651096, 11.25000983, 5.105299228, 7.147396734, 9.43086915, 11.38672833, 6.573773216, 8.004631579, 9.591090555000001, 12.18141463, 6.624921722000001, 8.227315891, 9.80164532, 11.92968528, 6.060927978, 6.51540721, 9.192641129, 11.00075353, 5.546528571, 7.226715867, 9.501082737, 12.10458716, 4.891405128, 6.767450199, 8.015649895, 11.34561915, 4.786, 6.758275862, 8.734528226, 11.26678695, 3.309805688, 5.607232076, 7.246201276, 10.033257199999998, 5.396805067000001, 7.482482517, 8.700591033, 10.83649635, 5.68562968, 7.824366295, 10.28431414, 11.97644991, 4.534704205, 6.381231102, 8.841079545, 11.29144484, 6.668768222000001, 7.801045845, 9.876333809, 14.33681818, 5.3011383290000005, 10.12411765]","[None, None, None, 6.644410266, 6.567127220249999, 6.5694315304999975, 6.695987076499997, 6.629589188499996, 6.152730544749996, 5.8196120132499995, 5.965355384749999, 6.117473153999999, 6.691755401499997, 7.193303746499997, 7.116384210249997, 7.047887644499999, 7.087341176499999, 7.122737003999998, 7.4500930195, 8.019407174749999, 8.465731238, 8.890751188, 8.77893385525, 8.80072085625, 8.89130469525, 8.85983862025, 9.26708536125, 9.34487255925, 9.32815757475, 9.40979352475, 9.333461950750001, 9.05961631475, 8.77767502175, 8.62202780675, 8.26515711025, 8.3518957605, 8.57783856275, 8.65062202525, 8.907554783, 8.967031956749999, 8.95484636275, 8.78525791025, 8.391254505, 8.231589221999997, 8.233393735499996, 8.267573360499997, 8.634691857499998, 8.849000568749998, 8.889055919999997, 9.087727495, 9.1005146215, 9.156185699500002, 9.208824390750001, 9.145892053250002, 9.004893617250001, 8.576916447000002, 8.424665399250003, 8.192432461750004, 8.063832610000002, 8.241659774250003, 8.318770176250004, 8.594728583750005, 8.430947723000005, 8.316131306000004, 7.944773095500004, 7.755031093000004, 7.728679811000005, 7.726386226750005, 7.906105809500007, 7.8863977595000065, 7.5173491815000055, 7.229588235000006, 6.857506497500005, 6.549124060000002, 7.070873904750003, 7.539686515000002, 7.9032839542500035, 8.104093741750003, 8.176299895000001, 8.2617708395, 8.65770161625, 8.94269000625, 8.6549586375, 8.294174839250001, 7.933366190500001, 7.762114923000003, 8.295630927250002, 8.650584613000001, 8.909398179000002, 9.670741514000003, 9.328834040750005, 9.909601992000004]",0,0,0,0
17,Maharashtra,"[6.185140337000001, 8.234369919, 4.928105727, 4.564937965, 5.804023179, 7.951108968, 5.491316501, 5.232803095, 5.387545376, 7.498281092, 4.164264317, 3.823367521, 4.862804142, 7.092184644, 4.5959037160000005, 3.955547886, 5.382460117999999, 7.341944709, 3.952742074, 5.211649485, 6.267460595, 8.297494802000001, 4.604157003, 4.858859416, 6.080478771, 8.128644252, 4.691361973999999, 5.521727192, 6.773595004, 9.061659483, 5.112718447, 6.264391667000001, 7.6163893510000005, 9.543996764, 5.974444444, 6.257777778, 7.289393428999999, 9.450501645, 4.921789298, 5.344084859, 6.780549542, 8.330558899, 4.496515798, 4.706396934, 5.991341795, 8.387627986, 4.681492411, 5.050041667, 6.393977567, 8.544101921000001, 5.290285714, 5.629487825, 6.724081633, 8.574883203999999, 5.090046773, 5.222525822, 6.461584158, 9.49899274, 3.9466329350000002, 4.46224548, 5.225789474, 7.680556792999999, 4.304328794, 4.732497704, 6.217122558, 8.374523549, 6.543224, 5.5438918919999995, 7.009478917999999, 8.760653153, 4.08919862, 4.677197683, 5.98984543, 7.608664687999999, 5.140889507, 5.808184263999998, 6.657176849, 8.454271544000001, 6.348068833999998, 6.289160494, 8.877508143, 10.11461586, 5.258849879, 4.962908983, 6.513506187000001, 9.202993939, 5.660906307, 5.653472305, 7.091762221000001, 10.40858974, 6.1225, 7.02839779]","[None, None, None, 5.978138487000001, 5.8828591975, 5.8120439597499995, 5.952846653249999, 6.119812935750001, 6.015693485, 5.9024865160000015, 5.57072347, 5.2183645765, 5.087179268, 4.985655156, 5.093565005749999, 5.126610096999999, 5.256524090999999, 5.318964107249999, 5.15817369675, 5.472199096499999, 5.693449215749999, 5.932336738999998, 6.09519047125, 6.006992953999999, 5.960247497999999, 5.918034860500001, 5.93983610325, 6.10555304725, 6.278832105499999, 6.512085913250001, 6.617425031500001, 6.803091150250001, 7.013789737000001, 7.134374057250001, 7.349805556500003, 7.34815208425, 7.266403103749999, 7.243029323999997, 6.979865537499999, 6.751442307749999, 6.624231335999999, 6.3442456495, 6.2379272745, 6.07850529325, 5.881203356500001, 5.895470628250003, 5.9417147815000035, 6.027625964750001, 6.128284907750001, 6.167403391500003, 6.319601717250003, 6.464463256750003, 6.546989273250003, 6.554684594000003, 6.504624858750002, 6.402884358000003, 6.337259989250003, 6.568287373250004, 6.282433913750004, 6.092363828250004, 5.783415157250004, 5.328806170500004, 5.418230135250004, 5.485793191250004, 5.733626462250004, 5.907118151250002, 6.466841952750003, 6.669690499750002, 6.867779589750004, 6.964311990750004, 6.350805645750005, 6.134132093500003, 5.879223721500003, 5.591226605250004, 5.8541493270000045, 6.136895972250002, 6.303728827000003, 6.515130541000002, 6.8169253727500045, 6.9371694302500035, 7.492252253750002, 7.907338332750004, 7.635033594000003, 7.303470716250003, 6.712470227250005, 6.484564747000006, 6.585078854000006, 6.7577196845000085, 6.902283693000008, 7.203682643250008, 7.319081066500008, 7.6628124377500075]",0,0,0,0
18,Manipur,"[None, None, None, None, None, None, None, None, None, 2.5300000000000002, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2.335714286, 2.571428571, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.2, 1.7000000000000002, None, None, None, None, 3.11, None, None, 2.29, None, 4.2, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",[],0,0,0,0
19,Meghalaya,"[2.989615385, 2.5875, 1.819565217, 1.8642307690000002, 2.322173913, 2.753478261, 1.7824, 1.978518519, 2.610740741, 2.5276, 1.492222222, 2.102666667, 2.469333333, 2.929545455, 1.3275000000000001, 2.076666667, 2.815, 2.89, 1.645652174, 2.069166667, 2.653913043, 2.743846154, 1.747407407, 1.8820000000000001, 2.843703704, 1.8710714290000001, 1.5533333329999999, 2.357037037, 2.715862069, 2.361333333, 1.816666667, 2.448846154, 2.601111111, 2.6644, 1.776521739, 2.484, 3.0396, 1.9488, 1.7566666670000002, 1.8512, 2.4675000000000002, 2.6608, 2.064347826, 5.513928571, 6.27, 2.102962963, 1.910952381, 2.176923077, 3.115185185, 2.844, 2.15, 2.341153846, 3.343076923, 2.844, 1.5122222220000001, 2.235, 2.937857143, 2.844, 2.067916667, 2.118, 3.112, 2.844, 2.0344, 2.4364, 3.456785714, 2.844, 1.8298800000000002, 2.5096428570000002, 2.924482758999999, 3.603846154, 1.807222222, 1.461428571, 2.107272727, 4.055, 1.4100000000000001, 1.525, 3.499375, 3.195714286, 2.060588235, 2.4859999999999998, 3.165882353, 3.204117647, 2.098947368, 2.195555556, 2.691666667, 3.3795238100000002, 1.955714286, 2.248888889, 3.005294118, 3.714, 2.56, 2.101304348]","[None, None, None, 2.31522784275, 2.14836747475, 2.18986204, 2.18057073575, 2.209142673249999, 2.28128438025, 2.2248148150000002, 2.1522703705, 2.1833074075, 2.1479555555, 2.2484419192500003, 2.20726136375, 2.20076136375, 2.2871780305, 2.27729166675, 2.35682971025, 2.35495471025, 2.314682971, 2.278144509499999, 2.3035833177500002, 2.256791651, 2.304239316249999, 2.086045635, 2.0375271165, 2.15628637575, 2.124325967, 2.246891443, 2.3127247765, 2.335677055749999, 2.30698931625, 2.382755983, 2.372719751, 2.3815082125, 2.49113043475, 2.31223043475, 2.30726666675, 2.14906666675, 2.00604166675, 2.1840416667499998, 2.2609619565, 3.17664409925, 4.12726909925, 3.98780984, 3.94946097875, 3.11520960525, 2.3265059015, 2.51176516075, 2.5715270654999998, 2.61258475775, 2.669557692249999, 2.669557692249999, 2.51011324775, 2.48357478625, 2.38226984125, 2.38226984125, 2.5211934525, 2.4919434525, 2.53547916675, 2.53547916675, 2.5271, 2.6067, 2.6928964285, 2.6928964285, 2.6417664285, 2.66007714275, 2.527001404000001, 2.7169629425000013, 2.711298498, 2.449244926500001, 2.244942418500001, 2.357730880000001, 2.258425324500001, 2.274318181750001, 2.622343750000002, 2.407522321500002, 2.570169380250001, 2.810419380250002, 2.727046218500002, 2.729147058750002, 2.738736842000002, 2.666125731000003, 2.547571809500002, 2.591423350250002, 2.555615079750002, 2.568948413000002, 2.647355275750002, 2.730974323250002, 2.8820457517500033, 2.8451496165000023]",0,0,0,0
20,Nagaland,"[None, 2.46, None, 3.61, None, 2.11, None, None, None, 1.92, 0.96, 4.16, 2.73, None, 1.48, 2.9775, None, 1.37, 0.87, 2.1, 3.23, 5.245, None, None, None, None, None, None, None, 3.917333333, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 6.20875, 3.8111111109999998, 4.493333333, 5.555, None, 3.948181818, 3.31, 6.6575, None, 4.2475, 4.7075, None, None, 5.384615385, None, 6.933333332999999, None, None, None, None, None, None, 5.646666667000001, None, 7.585, None, 5.02, 6.259333333, 7.49, None, None, 4.903333333, 6.8071428570000005, 4.012727273, 3.673333333, 5.029, 6.730625, 4.832, None, 3.94, 4.796666667, None, 2.59, None, None, None, 2.923333333]",[],0,0,0,0
