"|","|__0","|__1","|__2","|__3","|__4","|__5","|__6","|__7","|__8","|__9","|__10","|__11","|__12","|__13","|__14","|__15","|__16","|__17","|__18","|__19","|__20","|__21","|__22","|__23","|__24","|__25","|__26","|__27","|__28","|__29","|__30","|__31","|__32","|__33","|__34","|__35","|__36","|__37","|__38","|__39","|__40","|__41","|__42","|__43","|__44","|__45","|__46","|__47","|__48","|__49","|__50","|__51","|__52","|__53","|__54","|__55","|__56","|__57","|__58","|__59","|__60","|__61","|__62","|__63","|__64","|__65","|__66","|__67","|__68","|__69","|__70","|__71","|__72","|__73","|__74","|__75","|__76","|__77","|__78","|__79","|__80","|__81","|__82","|__83","|__84","|__85","|__86","|__87","|__88","|__89","|__90","|__91"
"Date","1996-02-29","1996-05-31","1996-08-31","1996-11-30","1997-02-28","1997-05-31","1997-08-31","1997-11-30","1998-02-28","1998-05-31","1998-08-31","1998-11-30","1999-02-28","1999-05-31","1999-08-31","1999-11-30","2000-02-29","2000-05-31","2000-08-31","2000-11-30","2001-02-28","2001-05-31","2001-08-31","2001-11-30","2002-02-28","2002-05-31","2002-08-31","2002-11-30","2003-02-28","2003-05-31","2003-08-31","2003-11-30","2004-02-29","2004-05-31","2004-08-31","2004-11-30","2005-02-28","2005-05-31","2005-08-31","2005-11-30","2006-02-28","2006-05-31","2006-08-31","2006-11-30","2007-02-28","2007-05-31","2007-08-31","2007-11-30","2008-02-29","2008-05-31","2008-08-31","2008-11-30","2009-02-28","2009-05-31","2009-08-31","2009-11-30","2010-02-28","2010-05-31","2010-08-31","2010-11-30","2011-02-28","2011-05-31","2011-08-31","2011-11-30","2012-02-29","2012-05-31","2012-08-31","2012-11-30","2013-02-28","2013-05-31","2013-08-31","2013-11-30","2014-02-28","2014-05-31","2014-08-31","2014-11-30","2015-02-28","2015-05-31","2015-08-31","2015-11-30","2016-02-29","2016-05-31","2016-08-31","2016-11-30","2017-02-28","2017-05-31","2017-08-31","2017-11-30","2018-02-28","2018-05-31","2018-08-31","2018-11-30"
"Season","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH"
"TR_SMA","null","null","null","3.187375","3.312702381","3.5669136905","3.4228511905","3.46179972","3.493347339","3.4198529413","3.5828216913","3.586305854","3.4707502985","3.8101620632","3.8193808133","3.987982212","4.1629608445","3.874394668","3.5964928823","3.2986720265","3.0796656163","2.947108798","3.1364230838","3.0355223485","2.9567723485","2.9920193843","2.9178241463","3.0053481848","3.0591987595","2.9347261345","3.06772878","3.1134172415","3.1342541668","3.1873512295","3.137443822","3.0765973935","3.095778941","3.061672619","3.0871898605","3.0831535305","3.1238247128","3.3396520938","3.4770760288","3.530994271","3.7470016602","3.602290946","3.3639793993","3.2829439155","3.3168233798","3.5789983798","3.9117952205","4.1569558265","4.1369984402","4.1369984402","3.9828532197","4.3637779077","4.7504272582","4.7504272582","5.045403584","4.989478896","4.9161049465","4.9161049465","4.928529189","4.934589795","4.9893208875","4.9893208875","5.0368640692","5.1777158302","4.9392547912","5.1801150852","5.3118900852","5.2800599695","5.329580854","5.59534556","5.43934556","5.769036036","5.9225138888","5.86479594","5.9228905345","5.4330707148","5.14265939","5.1375578943","4.8742132998","4.4663032345","4.1166451147","3.526381226","3.296381226","3.1903148147","3.0332513227","4.165147156","3.8753257275","4.489250229"
"TR_EWMA","3.5725","3.368","3.1713","3.19858","3.5486718096","3.760441181","3.1762647086","3.2638764723","3.6383258834","3.6966425888","3.3987355533","3.4029336396","3.536871295","4.1788286594","3.7027971956","3.855132863","4.088156641","4.0478939846","3.1795935336","3.0646972965","3.2634850447","3.3410001176","3.0583600706","2.8305160423","2.9969762922","3.2374901233","2.8775416932","2.8620634775","3.1020656729","3.1013875517","3.008684383","3.0138506298","3.2264770447","3.2609896752","3.0245938051","2.9260419975","3.2044823413","3.193222738","3.0247612292","2.9196843239","3.2657416287","3.57530212","3.4738871544","3.2754290667","3.8248002972","3.6792001783","3.1549275146","2.9543965088","3.6863879053","4.0156327432","3.8892619987","3.7872541688","4.1541706833","4.29630241","3.811031446","4.349795338","5.1103343456","4.8700006074","4.6272124856","4.750024461","5.2330735002","4.9436441001","4.6912773693","4.7981603608","5.3495247881","5.0135148728","4.8092689237","5.094318111","5.1456817758","5.2765855359","5.1779513215","5.2645993645","5.3270839431","5.8106503659","5.2487902195","5.8346074649","5.9146533677","6.0708433026","5.4978573328","5.2003360213","5.069432382","5.555548318","4.7673289908","4.1093629117","3.8553955246","3.8827039816","3.3956223889","3.1166326926","3.0084558059","5.1855734836","3.7136298045","4.2897163443"
"TR_DES","3.6013338656","3.513343705","3.3919994946","3.3473542311","3.4692445975","3.5889594066","3.3578641643","3.3487254689","3.4990236525","3.5632101923","3.46117617","3.4508562898","3.5050049923","3.8334426726","3.7245148074","3.8270390361","3.9906580399","4.0529435259","3.6929186887","3.540407235","3.5254184692","3.4938243534","3.3086834419","3.110833891","3.0766081651","3.1206886233","2.9293222757","2.8523926362","2.9083472363","2.900263586","2.8548816834","2.8471402693","2.9468249255","3.0012180871","2.930658886","2.885913894","3.0096044441","3.0431392579","2.9962772869","2.9491708201","3.104059327","3.3038455494","3.3519591934","3.3242164494","3.6216313086","3.6682458006","3.4876831852","3.3611514196","3.6538329963","3.8801050427","3.9299631353","3.9529885064","4.1759845316","4.3426438449","4.207327961","4.4720804657","4.938489939","5.0285929678","5.0424028437","5.166163504","5.4705954223","5.456882292","5.3800055474","5.4126156462","5.6691875884","5.5721562758","5.4595396054","5.5380328112","5.5450641755","5.5910891632","5.5398606053","5.5539678655","5.5665042316","5.7917230577","5.5855839711","5.8313974998","5.9299258206","6.0691069871","5.8668911368","5.6866204112","5.5340316488","5.662808975","5.266221378","4.8076325339","4.456194742","4.2301759572","3.8052679116","3.4430601643","3.1641536197","4.0047610664","3.4918133889","null"
"TR_TES","3.6481129396","3.3675293871","2.3375691491","3.1011253587","3.750274862","3.4708497373","2.9991388512","3.3076099832","4.0196904574","3.8211694462","2.6682196923","3.5278135366","4.2285403257","3.7831620419","3.0904552476","3.6960223622","4.3659844304","4.8022116796","3.0039425811","3.5648185807","3.8559360116","3.846780619","2.0228885369","3.1792177467","3.6191265498","3.5529151939","2.2370917417","2.7455299048","3.4997142814","3.681861748","2.239951258","2.8707603637","3.5855654124","3.5470288478","2.6774845313","2.9636468239","3.5215394964","3.4377695559","2.6535718671","2.8975488287","3.5830260319","3.376701915","2.9651294732","3.1627083798","3.972964241","4.0655130114","3.2298329633","2.9198500575","4.0592447571","3.6451980127","3.0534974411","3.3412757968","5.0142842106","4.411529375","3.550120293","3.4313660749","5.1999043998","5.084391158","3.8350275353","4.8159105498","5.9303539475","4.9143120349","4.1110839651","4.9130489662","5.9733896395","4.8241231965","4.2876783881","5.0296421574","6.2596155697","4.6071801569","4.5646447009","5.4779452663","5.952792868","5.1898970473","5.0990522466","5.516004588","6.1125401713","6.2172284958","5.0032398344","6.2629252257","5.7026587049","5.6964138551","4.4176791883","5.1036235398","4.7064239221","5.1787135145","2.8884550019","3.2538442789","3.4973782799","4.0978490125","3.553004248","3.3521008058"
"TR_ARIMA","0.0","0.0000004155","0.0000012073","0.0000012104","3.5725000737","3.1236680623","3.0940413427","3.4264928637","3.7016370789","3.7459580121","2.7992775358","3.4583425367","4.3031420396","3.9363558828","2.5661752072","3.9848166354","4.2216257088","4.7925151968","3.1272539391","3.4120047307","3.4906446862","4.1537818029","2.1014129957","3.0230610654","3.9860210266","3.1887476974","1.8794007043","2.648636081","3.469407077","3.5936381372","2.4687647088","2.5071315022","3.5597525122","3.5446684901","2.6757476767","2.9140627103","3.5205018571","3.1487211767","2.8249628208","2.8929028969","3.5658709799","3.2052348893","2.8966596231","3.1926350805","3.9939336053","3.7875657468","3.4483081799","2.7342535933","3.8762750478","3.7303671586","3.2088863624","3.2496646895","5.1783360802","4.3283286224","3.062849375","3.3777931395","5.0022564165","5.5884325103","4.0805654842","4.4594858566","5.8954308629","4.821007526","3.8791456812","5.1230304045","6.3984629104","4.4753358645","4.3167005716","4.9694790386","6.2227994446","4.6767513178","4.1315319958","5.7305525711","6.018330259","5.013888383","4.792811369","6.1258825315","5.2973051817","6.6247817643","5.0880424108","6.1622700787","5.5349294184","5.7604678436","4.1233765766","5.607847221","4.7682180681","4.8846518456","2.9730697603","2.7440180224","3.4026621523","4.4310065262","2.89435143","4.223723337"
"ML_Trend","null","null","2.2317976588","2.1691147574","2.1852163879","2.1948567045","2.2452135268","2.2530495976","2.1885425928","2.167788889","2.1656314815","2.1981987374","2.2278516415","2.2040113637","2.2439696971","2.2822348486","2.3170606885","2.3558922103","2.3348188406","2.2964137402","2.2908639136","2.2801874844","2.2805154836","2.1951424756","2.0617863757","2.0969067461","2.1403061714","2.185608705","2.2798081098","2.3242009161","2.321333186","2.3448726496","2.377737867","2.3771139818","2.4363193236","2.4016804347","2.3097485507","2.2281666667","2.0775541668","2.0950416668","2.2225018116","2.7188030279","3.6519565992","4.0575394696","3.9686354094","3.532335292","2.7208577534","2.4191355311","2.5416461131","2.5920559116","2.641071225","2.6695576922","2.58983547","2.496844017","2.4329223137","2.3822698413","2.4517316469","2.5065684525","2.5137113096","2.5354791668","2.5312895834","2.5669","2.6497982143","2.6928964285","2.6673314285","2.6509217856","2.5935392734","2.6219821733","2.7141307202","2.5802717123","2.3470936725","2.3013366493","2.3080781023","2.2663717531","2.4483309659","2.5149330358","2.4888458509","2.6902943802","2.7687327994","2.7280966386","2.7339419504","2.7024312865","2.6068487703","2.5694975799","2.573519215","2.5622817464","2.6081518444","2.6891647995","2.8065100375","2.8635976841","null","null"
"ML_SMA","null","null","null","2.3152278428","2.1483674748","2.18986204","2.1805707358","2.2091426732","2.2812843803","2.224814815","2.1522703705","2.1833074075","2.1479555555","2.2484419193","2.2072613638","2.2007613638","2.2871780305","2.2772916668","2.3568297103","2.3549547103","2.314682971","2.2781445095","2.3035833178","2.256791651","2.3042393162","2.086045635","2.0375271165","2.1562863758","2.124325967","2.246891443","2.3127247765","2.3356770557","2.3069893163","2.382755983","2.372719751","2.3815082125","2.4911304348","2.3122304348","2.3072666667","2.1490666668","2.0060416668","2.1840416668","2.2609619565","3.1766440992","4.1272690993","3.98780984","3.9494609788","3.1152096053","2.3265059015","2.5117651608","2.5715270655","2.6125847578","2.6695576922","2.6695576922","2.5101132478","2.4835747863","2.3822698413","2.3822698413","2.5211934525","2.4919434525","2.5354791668","2.5354791668","2.5271","2.6067","2.6928964285","2.6928964285","2.6417664285","2.6600771428","2.527001404","2.7169629425","2.711298498","2.4492449265","2.2449424185","2.35773088","2.2584253245","2.2743181818","2.62234375","2.4075223215","2.5701693803","2.8104193803","2.7270462185","2.7291470588","2.738736842","2.666125731","2.5475718095","2.5914233503","2.5556150798","2.568948413","2.6473552758","2.7309743233","2.8820457518","2.8451496165"
"ML_EWMA","2.989615385","2.828769231","2.4250876254","2.2007448828","2.2493164949","2.4509812013","2.1835487208","2.1015366401","2.3052182804","2.3941709683","2.0333914698","2.0611015487","2.2243942624","2.5064547394","2.0348728437","2.051590373","2.3569542238","2.5701725343","2.2003643902","2.1478853009","2.3502963977","2.5077163002","2.2035927429","2.0749556458","2.3824548691","2.177901493","1.928074229","2.0996593522","2.3461404389","2.3522175966","2.1379972247","2.2623367964","2.3978465223","2.5044679134","2.2132894436","2.3215736662","2.6087841997","2.3447905198","2.1095409787","2.0062045872","2.1907227523","2.3787536514","2.2529913212","3.5573662211","4.6424197327","3.6266370248","2.9403631673","2.6349871312","2.8270663527","2.8338398116","2.560303887","2.4726438706","2.8208170916","2.8300902549","2.3029430418","2.2757658251","2.5406023522","2.6619614113","2.4243435136","2.3018061082","2.6258836649","2.7131301989","2.4416381194","2.4395428716","2.8464400086","2.8454640051","2.4392304031","2.4673953847","2.6502303344","3.0316766622","2.5418948861","2.1097083601","2.1087341069","2.8872404641","2.2963442785","1.9878065671","2.5924339402","2.8337460785","2.5244829411","2.5090897647","2.7718068","2.9447311388","2.6064176305","2.4420728007","2.5419103472","2.8769557323","2.5084591538","2.4046310479","2.6448962759","3.0725377656","2.8675226593","2.5610353348"
"ML_DES","2.3033122842","2.0464936261","1.7474922279","1.5373433261","1.4646366972","1.5029618764","1.4003551976","1.3640711702","1.4599402039","1.5509416812","1.4668450538","1.5072862695","1.621111114","1.8216946784","1.7261749109","1.7725747389","1.955705118","2.1486406488","2.1015653094","2.1284008812","2.2588988117","2.3984270641","2.341564696","2.303074832","2.4384915478","2.384212527","2.2670243524","2.2976877168","2.3915631938","2.4141488496","2.3319229193","2.3656109005","2.4243632092","2.4904980311","2.3878411655","2.4156301918","2.5436161796","2.4639578673","2.3490411877","2.2553285618","2.2789332535","2.3388438892","2.2884099984","2.8870656953","3.6336278233","3.5647070988","3.4316954964","3.328346626","3.3858391855","3.3780586773","3.2296519472","3.1120141047","3.1774534533","3.1452900595","2.8687472296","2.7356105785","2.7395266226","2.730715194","2.5862040519","2.4629785011","2.5316365526","2.5547682307","2.4350868687","2.3983746225","2.5543964568","2.5961953415","2.4532720079","2.4417598503","2.5094111859","2.7021545522","2.5585833577","2.3577592708","2.2853271393","2.5771819314","2.3773408456","2.2082707566","2.4096537361","2.5517534572","2.4798058958","2.486558501","2.6175656066","2.7502689313","2.6707283377","2.606930514","2.6337783903","2.7851936403","2.666750399","2.602839366","2.6787907266","2.8829796483","2.8645475622","null"
"ML_TES","2.7985387534","2.5505274795","1.6341557568","1.9498820475","2.828007902","2.5754848008","1.6634514886","1.9712581068","2.8371101115","2.6045682061","1.6908063589","1.9953456475","2.8543738363","2.6261942744","1.7088849305","2.0223583088","2.8670019629","2.6589376929","1.7216235358","2.0478295177","2.8893669699","2.6895695098","1.7432832124","2.0723330844","2.9063656839","2.7150348171","1.767270677","2.0906366172","2.9284054388","2.7142476159","1.7848959147","2.1222978525","2.9460757226","2.7278152505","1.8097057795","2.155718392","2.959878796","2.7498494725","1.8326127467","2.1891845651","2.9860741409","2.7503056413","1.8542620479","2.2031827507","2.9948481761","2.7716680477","1.8843684941","2.323868883","3.1144456011","2.7760038719","1.9090268119","2.343460757","3.1383539812","2.8018799591","1.9399558627","2.3672732035","3.1682127339","2.8269823024","1.9513316069","2.3872881835","3.1853604112","2.8513589296","1.9786166375","2.403299504","3.207099814","2.8750310569","2.0041330609","2.4281500219","3.2382783137","2.8980007639","2.0229291137","2.4544168162","3.252982018","2.9424803678","2.0404923568","2.4492668004","3.2433714005","2.9988611668","2.0459400889","2.4461413622","3.2747398545","3.0284964497","2.0702521594","2.4711901272","3.2954395866","3.0574999103","2.0949654124","2.4870103559","3.3016741544","3.0907849303","2.1147790607","2.5039438798"
"ML_ARIMA","0.0","1.1208296659","0.6397924219","1.4128979197","2.7755910878","2.188261652","1.9109146228","1.8244167866","2.5808921518","2.5623451803","1.7020035873","1.8279553423","2.6631911741","2.4500810559","1.8508160864","1.7553744156","2.6600286854","2.7111938127","1.6249151586","2.0177051841","2.6111460149","2.7167697784","1.5782668473","2.0946050197","2.5029859928","2.8553941993","1.1600205163","2.1565478779","2.7346798181","2.5079136302","1.5232834204","2.1881838374","2.7708407533","2.4018785265","1.7517040712","2.1447252408","2.7897171536","2.6234620857","1.354432023","2.3808744307","2.4736161062","2.3893953259","1.7972413754","2.2451754164","4.1303785546","3.4055368589","1.1608677633","3.1314978095","2.9362211191","2.4487818526","1.9551714767","2.7528066575","3.1238142919","2.5555236153","1.9766149601","2.3855471711","3.2407483071","2.3906238751","1.981136443","2.5576685196","3.0300560906","2.6208021009","1.930510645","2.4810931892","3.1781654228","2.7548004465","1.9060843163","2.3947855105","3.2936560006","2.498734426","2.3532768832","2.1931254029","2.8422076898","2.5116447044","2.5375887973","1.7335845654","2.8624453057","3.3617261111","1.6776358387","2.2696123548","3.1539101902","3.0966035391","1.8574767316","2.2773067407","3.0339941336","2.9519110211","2.054663903","2.1241626185","3.0460045501","3.1345440617","2.1374198816","2.3703215407"
"BR_Trend","null","null","3.5550567126","3.5430920623","3.5164598214","3.4686233789","3.4055153271","3.3070571644","3.2480527712","3.1856766526","3.1316973796","3.1296624316","3.1116030318","3.0852076724","3.0979016849","3.1073119118","3.1377350068","3.227852912","3.308465275","3.3914440855","3.4581612177","3.4604307521","3.384835928","3.2753561386","3.262478634","3.3193996768","3.408517649","3.4720809765","3.45916959","3.431643254","3.4034315024","3.3900315464","3.4250443995","3.5175300048","3.6116695562","3.7146161405","3.8174978537","3.8822050522","3.9667200792","4.0316315404","4.0544139063","4.017233801","3.9592606039","3.9576249661","3.8525795645","3.7065222292","3.6309247311","3.5736102155","3.51693176","3.5470934605","3.6085658631","3.6364338599","3.8730156009","4.0824490251","4.1951930584","4.3806407154","4.5331061984","4.7183022401","4.8682320835","4.9106696573","4.7946645929","4.5201658579","4.2218101611","4.0220675284","3.9976718393","4.0934828038","4.3240942344","4.4561278998","4.42142575","4.3471928696","4.1500859484","4.0255951686","3.9683220752","3.9176100696","3.9126121329","3.8968176877","3.9870603632","4.220660296","4.463129748","4.6529651269","4.7017315224","4.5469893388","4.337772124","4.1839302502","4.0909096445","4.1106075098","4.2234083044","4.4310894661","4.6775048546","4.9916294049","null","null"
"BR_SMA","null","null","null","3.5780319565","3.5320814688","3.5541026558","3.478816987","3.4584297708","3.3526008835","3.2615134453","3.2345920973","3.136761208","3.1266335513","3.132691312","3.0905147515","3.0799005933","3.1159027765","3.098721047","3.1767489665","3.2789568575","3.3379736925","3.4449144785","3.471407957","3.4494535473","3.3202183088","3.2304939685","3.2944632995","3.344336054","3.472699244","3.471462709","3.446876471","3.416410037","3.3904529678","3.389610125","3.460478674","3.5745813355","3.648757777","3.780474504","3.8545212035","3.909888901","4.0235512575","4.0397118233","4.0691159893","3.9653516128","3.953169595","3.9620803373","3.7430787918","3.6699656668","3.5918837955","3.5553366355","3.4785268845","3.6156600365","3.6014716898","3.67139603","4.0746351718","4.0902628785","4.3001232383","4.4611581925","4.6050542043","4.831550276","4.904913891","4.9164254235","4.6729037623","4.3674279535","4.0761923688","3.967942688","4.0274009905","4.159564617","4.4886238518","4.4236319478","4.4192195523","4.275166187","4.0250057098","4.0261846275","3.910459523","3.9247606163","3.9004636495","3.893171726","4.0809490005","4.3603715915","4.5658879045","4.7400423493","4.6634206955","4.430557982","4.244986266","4.1228742345","4.0589450545","4.162269965","4.2845466438","4.5776322885","4.7773774208","5.205881389"
"BR_EWMA","3.93368","4.361716772","3.5219887408","3.3581049253","3.5148141748","4.1456311761","3.2718803132","3.1754203227","3.2358771936","3.8325290862","3.0409449025","2.8803296535","3.0426185413","3.726266312","2.9097047412","2.7846029035","3.0427859845","3.6988760107","3.0181152316","3.0131818234","3.2743602724","4.0089258411","3.2465346954","3.1151064461","3.1287386644","3.7779939319","3.2103264795","3.1731779237","3.368962655","3.9201498702","3.2562820617","3.1520049786","3.3147275772","3.8862602751","3.3493379831","3.3904027898","3.5764485703","4.2540396342","3.6884803177","3.6824765066","3.9335525708","4.4941589397","3.8795985666","3.6311244536","3.8832501105","4.4782346511","3.5196415207","3.298169226","3.55854598","4.2249367168","3.2447671585","3.3526576519","3.5685376807","4.3428106816","3.9606741642","3.8072061861","4.1770433769","4.9655700261","4.5645633897","4.5319334362","4.7292615109","5.3153193586","4.3847783311","3.9353011071","3.9053051778","4.6477460695","4.0793676417","3.9635164958","4.4487291867","4.8698134284","4.2055482242","3.8087394609","3.9556062022","4.5758259061","3.8439955437","3.6146896018","3.8003011399","4.4709757911","4.0815291139","4.2042858895","4.4828850133","5.1591732268","4.3718529293","4.0058998372","4.0669386363","4.7142261502","4.0025979953","3.9496667336","4.2288414602","5.2803048761","4.6618374425","5.0308167511"
"BR_DES","3.1685579172","3.6247777264","3.154293697","3.033933612","3.1622819242","3.7562275506","3.245269624","3.1383446081","3.150966917","3.649085954","3.1358330155","2.9350773741","2.9823460433","3.5387200854","3.0131788717","2.8414919124","2.9756753524","3.5386230581","3.1352511922","3.0959759441","3.2829579174","3.9559944237","3.5224138101","3.3760990557","3.3137224601","3.8027679557","3.4289974913","3.3329574135","3.4295363615","3.8896110259","3.4576776118","3.3030203335","3.3557182783","3.8129149137","3.479513085","3.4721689001","3.6009040284","4.2048379636","3.9086047028","3.8944062877","4.084341701","4.5993241406","4.2316680187","3.9727307501","4.0676854906","4.5313853477","3.8388579733","3.5095148925","3.5572732017","4.0506577683","3.3579059116","3.3199544528","3.4309761343","4.0984888882","3.9796007771","3.9137044001","4.2338658231","5.0124015707","4.9344910037","4.9858482986","5.176168228","5.7187055473","5.0737163664","4.5485589938","4.2770975201","4.6841704364","4.2192409902","4.0008293046","4.2874150449","4.6730328108","4.2516056288","3.8779393511","3.8784490549","4.3470175838","3.8574571157","3.600923109","3.6585184107","4.2036683655","4.0320452642","4.1671290572","4.4583345867","5.1559999524","4.7381796928","4.4110103808","4.3380671383","4.7888106858","4.2674757161","4.1050813443","4.228415458","5.1124604209","4.8382776086","null"
"BR_TES","3.8447160964","5.2458632016","2.3827633225","3.0668085084","3.7803948833","5.1002367903","2.396174527","2.8661696055","3.6607953091","4.7739621707","2.043990237","2.6803638594","3.3351371767","4.6423434659","2.0184253984","2.5573930288","3.2669552829","4.7185547263","1.99600798","2.7626186139","3.6107322734","4.9890366024","2.3735178558","2.9553515556","3.6125539393","4.6378465839","2.0170830813","3.0155877545","3.7675513548","5.0367685266","2.1411776831","2.9883149307","3.6759091977","4.9368338611","2.1069531729","3.1702805444","4.0446313339","5.2565497289","2.5676328204","3.5190247981","4.3067675336","5.6496888506","2.7372338071","3.6532510818","4.0672128452","5.5399893636","2.7264381052","3.0536901156","3.6766354759","5.202660091","2.5191777166","2.778395492","3.9619453148","5.2552000432","2.7262955321","3.9421695725","4.376323076","5.9588284951","3.389442691","4.5457310884","5.1856796323","6.4171199185","3.567206184","3.939674499","4.1605468523","5.2968484238","2.9146154893","3.8930064938","4.5053788552","6.3027097341","3.059095535","3.9271592877","4.1241848037","5.4999889034","2.805825476","3.5312383012","4.0366101441","5.4058725721","2.7559059058","4.0264090441","4.9553979575","6.2588418542","3.502479887","4.0563880327","4.3311355713","5.5542652382","2.9449760904","3.704246687","4.499867556","5.9410083514","3.8663101322","4.5423206461"
"BR_ARIMA","0.0","0.0000006169","0.0000012478","0.000001167","3.9336808498","4.9088969242","2.2700525003","3.0127771933","3.7090245374","4.7540241527","1.8186976341","2.8582460168","3.3351937918","4.5947623344","1.823583365","2.7146164265","3.2340611688","4.6935342708","1.8113073484","2.8267620069","3.6037500008","4.9772518488","2.1585440616","3.067661091","3.6119567074","4.6725677571","1.768361278","3.0675128254","3.7682049204","5.0480054164","2.0160992035","3.0111119514","3.6343185805","4.9208159674","2.0180618201","3.172562631","3.9899231445","5.2373422825","2.475664951","3.5602953969","4.2165575395","5.5763298416","2.7266333618","3.669726317","4.0230443106","5.3802966402","2.7531310223","3.163588121","3.5362427649","5.079537443","2.5297356651","2.90484128","3.7604103649","5.2614864492","2.6143594735","3.9563044825","4.4342728921","5.7837967059","3.3016048079","4.5489095019","5.1907459264","6.3195325847","3.4903755021","3.9838005933","4.1176293747","5.18730142","2.8074025532","3.9376420121","4.5028471552","6.1589788407","3.147034981","3.7944303155","4.1617257124","5.3704056871","2.7842299169","3.513545314","4.0456398038","5.3090928824","2.7311781755","3.9122700338","4.9842135991","6.2259509613","3.4586656885","3.9971006996","4.3244042943","5.4410317565","2.9183958812","3.676247114","4.4620168561","5.8841141118","3.7778351934","4.5708082492"
"HP_Trend","null","null","13.2185396825","7.1731924603","7.5880963064","8.2986133861","8.4854133942","8.3938937294","8.4331584439","8.078677965","7.6703640528","7.619884349","7.3909321034","7.2769118716","7.4203640534","7.3395928702","7.3691689164","7.6511403449","7.3020120871","7.070924504","7.1938553571","6.9872828255","7.3052010887","7.6920620301","8.0178792546","8.4029531661","8.466019075","8.5183264652","8.4146786546","8.2781524066","8.2334888793","8.1076380842","8.0312923311","8.0737534411","8.1595512771","8.1812281474","8.1851504675","8.1957884699","8.270872779","8.4528687903","8.4840748633","8.5040927124","8.6179347267","8.4979634015","8.2164016658","8.1184057169","8.0031682042","8.0910561964","8.3792116996","8.2736738175","7.9471841682","7.7291259491","7.7845320679","7.8991489744","7.9267025535","7.7773392391","7.2711284896","6.8375891845","6.6355817828","6.4821973075","6.3834823745","6.312323066","6.3411564685","6.433127806","6.4902448948","6.5265655559","6.5861951092","6.6294637932","6.6219896921","6.5966005626","6.5382273417","6.319620371","6.2125672875","6.1590306433","5.9811680579","5.9264529526","5.8475635225","5.878708896","6.0115407301","6.1937263935","6.4451042811","6.6509636129","6.7427165292","6.6370718469","6.4550431519","6.3056153621","6.1862458062","6.960203661","7.9064948008","7.9061465624","null","null"
"HP_SMA","null","null","null","19.2638869047","7.1731924603","7.1731924603","8.0030001525","8.5942266198","8.3766001688","8.41118729","8.4551295978","7.7022263323","7.6385017733","7.6012669248","7.180597282","7.3732264613","7.4675016455","7.211684095","7.5266537378","7.775626952","6.8283972223","7.3134517858","7.0742589285","6.9003067225","7.710095455","7.6740286053","8.361729904","8.4441764283","8.4878617218","8.5487912088","8.2805661005","8.2757387128","8.1912390458","8.0240371228","8.0385475395","8.1089593428","8.2101432115","8.1523130833","8.2179878518","8.173589088","8.36815647","8.5375811105","8.430568616","8.5776168088","8.6582526448","8.3376741583","8.0951291733","8.1416822605","7.864654148","8.3174582448","8.4409651545","8.1063824805","7.787985856","7.6702660423","7.8987980935","7.8994998553","7.9539052518","7.6007732265","6.9414837528","6.7336946163","6.5374689493","6.4269256658","6.3400390833","6.2846070487","6.3977058883","6.4685497237","6.5119400658","6.541191046","6.6311991725","6.627728414","6.6162509702","6.576950155","6.4995045285","6.1397362135","6.2853983615","6.032662925","5.9296731908","5.9232327145","5.7718943305","5.9855234615","6.0375579988","6.3498947883","6.540313774","6.7616134518","6.7238196068","6.550324087","6.3597622168","6.2514685075","6.121023105","7.799384217","8.0136053845","7.7986877403"
