Date,Season,INDIA,INDIA_Trend,INDIA_SMA,INDIA_EWMA,INDIA_DES,INDIA_TES,INDIA_ARIMA
2011-11-30,POMKH,6.762820555103447,7.328462395020115,7.259141548481034,6.999571860681387,6.932565723802293,6.623536864094415,6.674889250436194
2012-02-29,POMRB,7.595244527666665,7.551296847308906,7.272000496097701,7.237840927475498,7.089318420999998,7.649902520238943,7.574376377812673
2012-05-31,PREMON,8.945521267999998,7.787163999537355,7.384924293942528,7.920913063685298,7.817987129484799,8.56921065223515,8.69227497409283
2012-08-31,MONSOON,7.567091251931034,7.9556086345833315,7.717669400675286,7.779384338983592,7.857204536114091,6.626569753635863,6.533097632786292
2012-11-30,POMKH,7.318777345999999,8.078610444568021,7.856658598399424,7.595141541790154,7.751497398229397,7.279099759651508,7.4999376546529595
2013-02-28,POMRB,8.38684481713793,8.053672076097252,8.05455867076724,7.911822851929265,8.084215538832716,8.263514644053204,7.912590274420175
2013-05-31,PREMON,9.137935458406247,7.978070407837796,8.1026622183688,8.402267894520058,8.66799454684661,9.257785460207872,9.264216449141268
2013-08-31,MONSOON,7.175170113758622,7.908076070545152,8.004681933825697,7.911428782215483,8.296057835441147,7.106178254612228,7.065277549746024
2013-11-30,POMKH,7.105885138096773,7.870004883572695,7.9514588818498915,7.589211324568,7.901655341325899,7.3916490268692385,7.1942183447358214
2014-02-28,POMRB,8.039782326700001,7.90790555018515,7.864693259240409,7.769439725420801,7.940475203788984,8.238998812397268,7.9780510262161
2014-05-31,PREMON,9.180428453064515,7.950561652515726,7.8753165079049765,8.333835216478287,8.456677633449084,9.097423727729609,9.007293759661684
2014-08-31,MONSOON,7.4358824519999995,7.938868260995294,7.940494592465321,7.974654110686972,8.156620731134838,7.031252171418588,7.134912890233661
2014-11-30,POMKH,7.186421618500001,7.883485417464785,7.960628712566129,7.659361113812183,7.778390492301021,7.45808265465462,7.313151789425013
2015-02-28,POMRB,7.865698714133333,7.7916226972467735,7.917107809424461,7.741896153940643,7.7431727542861015,8.311372092080187,8.050780929066603
2015-05-31,PREMON,8.911449317387095,7.7525072435711015,7.8498630255051065,8.209717419319224,8.167924124257114,9.065997582835854,8.974031274155555
2015-08-31,MONSOON,6.969959825933333,7.916173685603763,7.733382368988439,7.713814381964868,7.72850695784099,6.899776628648629,7.097045110286772
2015-11-30,POMKH,7.33942061516129,8.080828295461021,7.771632118153761,7.564056875243438,7.508083925410702,7.185749146249208,6.985543234172079
2016-02-29,POMRB,9.022031253733331,8.058864469501613,8.060715253053761,8.147246626639394,8.042267113671162,8.218174453512816,8.066706248301081
2016-05-31,PREMON,9.07235365664516,8.032051599664785,8.100941337868278,8.5172894386417,8.533959925231082,9.499060398996193,9.634631001149534
2016-08-31,MONSOON,6.633344879,7.984108324765455,8.016787601134945,7.76371161478502,7.911832253788531,7.218215369277531,7.141107910254682
2016-11-30,POMKH,7.461532603399999,7.959291936235484,8.047315598194624,7.642840010231012,7.704176444637225,7.228301113086497,6.928946653007676
2017-02-28,POMRB,8.5163730663,8.064737167147609,7.9209010513362905,7.992253232658607,7.976580387692622,8.294234453045714,8.52537911964621
2017-05-31,PREMON,9.37948073583871,8.075977060731509,7.997682821134679,8.547144233930648,8.58440711483105,9.330120084288026,9.107359958144732
2017-08-31,MONSOON,7.16977964710345,8.016804260881354,8.131791513160541,7.99619839919977,8.160622609193185,7.249778768231778,7.117996913954672
2017-11-30,POMKH,7.015016983967742,8.291599408926228,8.020162608302476,7.603725833106958,7.711350760658029,7.472499505993279,7.462469152603139
2018-02-28,POMRB,8.489506286931034,8.661834798827567,8.013445913460234,7.958038014636589,7.946981535109873,8.247527131644846,8.256878301354787
2018-05-31,PREMON,11.604708699566665,8.986373508682266,8.569752904392223,9.41670628860862,9.507742890848764,9.291768936626188,9.201442337042389
2018-08-31,MONSOON,7.90643480258621,,8.753916693262912,8.812597694199656,9.245366687418372,8.16477167585027,8.45887116158401
2018-11-30,POMKH,8.874671507322581,,9.218830324101623,8.837427219448827,,8.312382495623844,7.718525105515666
