Date,Season,Nainital,Champawat,Udham Singh Nagar,Dehradun,Hardwar,Nainital_Trend,Nainital_SMA,Nainital_EWMA,Nainital_DES,Nainital_TES,Nainital_ARIMA,Champawat_Trend,Champawat_SMA,Champawat_EWMA,Champawat_DES,Champawat_TES,Champawat_ARIMA,Udham Singh Nagar_Trend,Udham Singh Nagar_SMA,Udham Singh Nagar_EWMA,Udham Singh Nagar_DES,Udham Singh Nagar_TES,Udham Singh Nagar_ARIMA,Dehradun_Trend,Dehradun_SMA,Dehradun_EWMA,Dehradun_DES,Dehradun_TES,Dehradun_ARIMA,Hardwar_Trend,Hardwar_SMA,Hardwar_EWMA,Hardwar_DES,Hardwar_TES,Hardwar_ARIMA
2010-02-28,POMRB,27.051666666666666,3.23,3.5968000000000004,11.634375000000002,8.580000000000002,29.28075,27.68999999999999,27.138054974856587,26.45134221777505,25.183943736483176,23.338831107861118,10.617968750000001,10.99093749999999,8.97890984088723,9.87129207014459,14.084575428196285,11.038895866825293,3.683809661172161,3.7565076923076908,3.5371288237225924,3.5455998056773166,3.576990812685792,3.5230206936801443,10.994150018180349,11.125374212184873,10.917497924981525,10.903186792906292,10.219322294091784,10.71927324360366,9.474169191919191,9.916681818181821,9.451382953533493,9.534243392791184,9.212680413141573,9.685286111636813
2010-05-31,PREMON,31.80666666666667,18.45,4.850416666666666,13.87692307692308,10.17090909090909,29.766416666666665,28.536249999999992,29.00549965158062,29.304779111497528,31.707482855348736,28.3921077764628,10.763124999999999,11.11593749999999,12.767345904532338,12.577544647987668,12.771949547269218,10.030762121565186,3.5190170787545787,3.846996474358973,4.062443960900222,4.0037805042321315,4.533849613429937,4.507812716869872,10.177244162087913,11.490229981415641,12.101267985758147,11.90069807458801,12.927120599268012,13.02901680459862,8.79354292929293,9.841000000000003,9.739193408483732,9.682071138103014,10.740662114592022,9.32613683526934
2010-08-31,MONSOON,34.436,7.33,2.4664285714285716,6.063125000000001,7.584444444444442,29.432166666666667,30.02524999999999,31.17769979094837,32.925853325730436,30.729747919265193,28.150948523106166,13.070625,10.11999999999999,10.592407542719403,10.846711328221616,10.111282002174146,10.11259327149071,3.5730613095238097,3.5206228479853463,3.4240378051115616,3.61836699308265,2.581725355761596,2.7281776201246344,9.49024639423077,10.498070054945053,9.686010791454889,10.633150680503007,7.564756133277779,7.508908072064233,8.152020202020202,9.107338383838385,8.877293822868015,9.269933123731036,9.622931763299746,9.82708395352028
2010-11-30,POMKH,24.736,16.615000000000002,3.156,7.8512499999999985,7.583636363636362,28.904874999999997,29.507583333333322,28.601019874569023,30.501990442473218,26.949849639058765,27.371997931332015,13.517500000000002,11.406249999999991,13.001444525631642,12.649327776619302,8.243328418903461,7.851957339073846,3.587509226190477,3.5174113095238075,3.3168226830669374,3.481607883858874,3.1155375413734783,3.2788594557850645,8.820516826923075,9.856418269230767,8.952106474872933,9.915294367153257,9.288302109347235,8.86222920193727,7.4290404040404034,8.479747474747475,8.359830839175354,8.941322128735795,8.882580983424432,8.449402309704931
2011-02-28,POMRB,26.44833333333333,16.545,4.042000000000002,8.705,5.958181818181819,27.881,29.356749999999987,27.739945258074748,29.050469006036554,25.502875438849877,24.712359116983468,12.455000000000002,14.734999999999992,14.418866715378986,13.845169611418223,14.249809130304799,9.520833432504721,3.500003571428572,3.628711309523808,3.6068936098401627,3.6492904378661857,3.609818565298003,3.5200087229289485,8.336651842948717,9.124074519230767,8.85326388492376,9.494024330359473,10.210070855012203,10.448968217332947,6.838573232323232,7.8242929292929295,7.39917123077794,8.34639895942665,8.050906564033465,7.735565452766656
2011-05-31,PREMON,28.191666666666666,8.71,4.5208,11.448461538461535,7.0088888888888885,27.92575,28.45299999999999,27.920633821511515,28.66013678542373,31.984902115801802,31.76994161051632,12.2975,12.299999999999994,12.13532002922739,12.14517360739165,18.157118484536873,18.48887171572549,3.453470833333334,3.5463071428571413,3.972456165904098,3.962237159389924,4.606045536940898,4.461797837691914,8.152438301282048,8.516959134615382,9.89134294633887,9.876370768815113,12.754499910112335,12.601129725889495,6.484987373737374,7.033787878787878,7.243058294022319,8.087568139739556,9.177024793033132,8.095503793413723
2011-08-31,MONSOON,29.86000000000001,8.57,2.096,4.620666666666667,6.0227272727272725,28.187208333333334,27.30899999999999,28.696380292906916,29.192261944908118,30.79854850641747,32.2409359581317,11.755625000000002,12.609999999999994,10.709192017536434,10.95145897325233,9.492359271156586,8.770424101298067,3.4136166666666674,3.4536999999999978,3.2218736995424586,3.4416869308645097,2.622104630536259,2.812057720991253,8.223676282051281,8.156344551282048,7.783072434469989,8.423419886401328,7.257479575407144,7.049994686671489,6.420468434343434,6.643358585858586,6.7549258855043,7.679241079011693,7.619354584940459,6.851032628714248
2011-11-30,POMKH,29.67,14.115,3.154166666666667,7.8199999999999985,6.316666666666666,28.570458333333338,28.542499999999986,29.08582817574415,29.524602705926828,26.757566052094646,23.86376057507544,12.84125,11.984999999999994,12.071515210521861,11.919807909080072,8.362324221398955,11.054289149584932,3.361766666666667,3.4532416666666648,3.1947908863921417,3.313756125204163,3.1204507021125174,3.3218568943489246,8.505944638694638,8.148532051282048,7.797843460681992,7.994998981042446,8.902207191425237,8.594794893254823,6.880368686868686,6.326616161616161,6.579622197969247,7.414058613822136,7.000621616683241,6.936057313992653
2012-02-29,POMRB,23.606,14.71,3.725000000000001,9.306153846153846,6.708999999999999,29.315359375000003,27.831916666666658,26.89389690544649,26.741636907948465,25.577975497423584,27.67100660410817,14.56,11.526249999999994,13.126909126313116,12.76471483227314,13.32916756127867,8.525921020366612,3.418584821428572,3.3739916666666643,3.4068745318352853,3.3947997837646797,3.6131405685583347,3.5051835879008224,8.948225830159425,8.29882051282051,8.401167614870733,8.06014256873022,9.824562984496547,10.372015688665424,7.4270063131313115,6.514320707070706,6.631373318781548,7.283112620130741,6.338217320586192,6.2115994720359975
2012-05-31,PREMON,34.1,19.23,4.423,13.105454545454547,9.937272727272726,29.74346875,29.30899999999999,29.776338143267893,29.879528844335958,31.89595076176802,25.483269183923802,14.905,14.156249999999995,15.568145475787869,14.782684678538534,16.873512914175258,15.537268111660605,3.535857142857143,3.3495416666666635,3.813324719101171,3.708710027755955,4.579193749482037,4.459509849347298,9.568070395750084,8.713068764568764,10.282882387104259,9.214881763112086,12.405565737675797,12.63519561794183,7.841012626262625,7.246416666666665,7.953733082178019,7.840205701620643,8.142392801784501,7.250326277152441
2012-08-31,MONSOON,29.910875,11.8,2.6483452380952386,6.501923191391943,7.467444444444442,31.087593750000003,29.321718749999988,29.830152885960736,30.32866712211167,31.031354405132365,32.006350966929446,15.598125,14.963749999999996,14.060887285472722,13.767952442723749,12.894316563415837,11.851709796698696,3.5670922619047625,3.487627976190473,3.3473329266987983,3.4097568298167373,2.5855150769008874,2.6770552602843916,10.358238664980853,9.183382895750084,8.770498708819332,8.50645061129415,7.004321236705875,7.187369798352352,8.223054292929293,7.607595959595956,7.759217627084588,7.778121670689729,7.675505432950291,7.980132806491004
2012-11-30,POMKH,33.044000000000004,13.645,3.54,10.8975,8.184000000000001,31.96184375,30.16521874999999,31.11569173157644,32.173987544898466,26.98640336689818,27.095593049029834,16.238125,14.846249999999996,13.894532371283633,13.67280192347465,11.696021294743232,17.117433115958008,3.5774732142857144,3.5840863095238062,3.4243997560192794,3.428986223938135,3.133672314740081,3.137233949268827,11.123975116029804,9.952757895750084,9.621299225291601,9.059459960223856,8.757499702690177,8.844132191683538,8.34468686868687,8.074429292929292,7.929130576250753,7.87546165942141,7.438962287341597,7.302208671499981
2013-02-28,POMRB,30.985,20.725,3.58904761904762,12.55,7.8980000000000015,31.193296875000005,32.00996874999999,31.063415038945863,32.428365603946446,25.986666778951527,24.908882911731062,15.861875000000001,16.349999999999994,16.62671942277018,15.874977114779691,15.15294788594346,15.690325629588123,3.613150297619048,3.550098214285711,3.4902589012306158,3.466746174836349,3.6606373773660374,3.4712717478477293,11.544567322000916,10.763719434211623,10.792779535174962,10.049771140123672,9.854484371682256,10.826421619503162,8.281180555555554,8.371679292929294,7.9166783457504515,7.894435707792924,7.169874783528624,7.7716462630060725
2013-05-31,PREMON,33.715,18.335,4.642,15.9875,9.721333333333332,29.791125000000005,31.913718749999994,32.12404902336752,33.8013239085095,32.70512781985612,34.06255425504453,14.543125,16.126249999999995,17.310031653662108,16.598161723316323,20.36104107795196,15.17120622301479,3.5273076441102766,3.604848214285711,3.9509553407383695,3.8542906749892913,4.612989864157225,4.536242770625053,11.219383012820511,11.484230797847985,12.870667721104978,11.96311186537296,12.618582906730316,13.171283266463114,8.235166666666668,8.317694444444445,8.638540340783603,8.28314352038056,9.072405437638697,9.198851422222308
