Date,Season,Thoubal,Bishnupur,Imphal East,Senapati,Thoubal_Trend,Thoubal_SMA,Thoubal_EWMA,Thoubal_DES,Thoubal_TES,Thoubal_ARIMA,Bishnupur_SMA,Bishnupur_EWMA,Bishnupur_TES,Imphal East_SMA,Imphal East_EWMA,Imphal East_TES,Imphal East_ARIMA,Senapati_SMA,Senapati_EWMA,Senapati_TES
2002-02-28,POMRB,2.01,2.4,3.515,3.375,1.7318749999999998,1.7318749999999996,1.7008194797280316,1.7146434294500117,2.0099912701401963,2.01,2.375,2.3812908146688,2.4,3.490625000000001,3.401287060058338,3.0084557109715124,3.900607184313052,3.2624999999999993,3.2908086660096,3.375
2002-05-31,PREMON,2.53,,4.2,,1.6678125,1.7318749999999996,2.032491687836819,2.068297037429987,2.5299913546856043,2.53,,,,3.661875000000001,3.720772236035003,3.6083138691579704,3.8901292470142077,,,
2002-08-31,MONSOON,1.2,,,,1.4662499999999998,1.7318749999999994,1.6994950127020914,1.8028162726125339,1.199991438412527,1.2,,,,,,,,,,
2002-11-30,POMKH,0.675,2.35,3.175,3.15,1.3287499999999999,1.6037499999999993,1.2896970076212548,1.3630046292677815,1.187491521328717,1.1875,2.375,2.36877448880128,2.35,3.4056250000000015,3.502463341621002,3.7554884477052783,2.7629953003954073,3.262499999999999,3.2344851996057598,3.15
2003-02-28,POMRB,0.91,2.4,3.515,3.375,1.3287499999999999,1.3287499999999994,1.137818204572753,1.1113065999956093,1.9815982516453239,2.01,2.375,2.3812646932807677,2.4,3.6012500000000016,3.5074780049726013,3.995551963069261,3.641342627198072,3.2624999999999993,3.290691119763456,3.375
2003-05-31,PREMON,2.53,,4.2,,1.32875,1.3287499999999994,1.6946909227436517,1.6012807415419752,2.4408098760077888,2.53,,,,3.7725000000000017,3.7844868029835608,3.0958312750216876,4.041086427401336,,,
2003-08-31,MONSOON,1.2,,,,1.3287499999999999,1.3287499999999994,1.496814553646191,1.4764033671780736,1.1113626699093664,1.2,,,,,,,,,,
2003-11-30,POMKH,0.675,2.35,3.175,3.15,1.3287499999999999,1.3287499999999994,1.1680887321877145,1.15855544109337,0.6141055670271895,0.675,2.375,2.3687588159684605,2.35,3.516250000000002,3.5406920817901364,3.7745935227793117,3.180679475336924,3.262499999999999,3.2344146718580733,3.15
2004-02-29,POMRB,0.91,2.4,3.515,3.375,1.3287499999999999,1.3287499999999994,1.0648532393126287,1.0009927609407454,0.9064033084214884,0.9099999999999999,2.375,2.381255289581076,2.4,3.601250000000002,3.530415249074082,3.6668176258232656,3.6392016783427668,3.2624999999999993,3.290648803114844,3.375
2004-05-31,PREMON,2.53,,4.2,,1.32875,1.3287499999999994,1.6509119435875772,1.584684937039131,2.522569633510156,2.53,,,,3.7725000000000017,3.798249149444449,3.9611080112728745,4.030933736622266,,,
2004-08-31,MONSOON,1.2,,,,1.3287499999999999,1.3287499999999994,1.4705471661525462,1.5248225152602064,1.1887403440721604,1.2,,,,,,,,,,
2004-11-30,POMKH,0.675,2.35,3.175,3.15,1.3287499999999999,1.3287499999999994,1.1523282996915278,1.2365958943947404,0.6613584060759286,0.675,2.375,2.3687531737486456,2.35,3.516250000000002,3.5489494896666693,3.3104866433762203,3.2346310380863104,3.262499999999999,3.234389281868906,3.15
