Date,Season,Laharighat,Laharighat_Trend,Laharighat_SMA,Laharighat_EWMA,Laharighat_DES,Laharighat_TES,Laharighat_ARIMA
2005-11-30,POMKH,1.7424999999999995,1.8410416666666667,1.8096249999999983,1.6214814714991699,1.6156683343972387,1.4358360249902085,1.2800830014090654
2006-02-28,POMRB,2.68,1.8712916666666664,1.8931249999999982,2.044888882899502,1.8418200260221689,2.498624880438501,2.409623078984205
2006-05-31,PREMON,1.92,1.8773749999999998,1.7889583333333317,1.9949333297397014,1.8869183657361135,2.3995743948506263,2.3357865822354746
2006-08-31,MONSOON,1.472,1.9088333333333332,1.9536249999999982,1.7857599978438208,1.8248571507512676,0.9612225375278824,0.8511860743080186
2006-11-30,POMKH,1.1325,2.0677916666666665,1.801124999999998,1.5244559987062924,1.687224391069502,1.7330460912385814,1.652262068253891
2007-02-28,POMRB,3.5416666666666665,1.9867083333333335,2.0165416666666647,2.331340265890442,2.1022121261695057,2.604100832802199,2.3548598758876405
2007-05-31,PREMON,2.33,1.8438839285714284,2.1190416666666647,2.3308041595342655,2.2250207098230472,2.2847789736457518,2.2846841314793935
2007-08-31,MONSOON,0.4133333333333333,1.747767857142857,1.8543749999999983,1.5638158290538926,1.9009168448181357,1.4131565251271931,1.3854256492184693
2007-11-30,POMKH,1.0485714285714285,1.6365178571428571,1.8333928571428553,1.357718068860907,1.7276068058489265,1.417439998959472,1.2078707024877429
2008-02-29,POMRB,2.856666666666667,1.6379761904761907,1.6621428571428556,1.957297507983211,1.9673426195487276,3.085395215983935,2.967817871739107
2008-05-31,PREMON,2.125,1.7002380952380953,1.6108928571428556,2.0243785047899268,2.031898951642354,2.1564320908093624,2.062134714039332
2008-08-31,MONSOON,0.63,1.8492708333333334,1.6650595238095223,1.466627102873956,1.7572714670620078,0.7548980291234408,0.8788254325305578
2008-11-30,POMKH,1.33,1.98875,1.7354166666666653,1.4119762617243734,1.6514401080252652,1.1974198912040286,1.0607132038337062
2009-02-28,POMRB,3.7675,2.0281249999999997,1.9631249999999985,2.354185757034624,2.1060032433762355,3.0065567228839023,2.9638463346319286
2009-05-31,PREMON,2.33,2.113875,2.0143749999999985,2.3445114542207746,2.2177389512129575,2.3168591107271843,2.329732408692407
2009-08-31,MONSOON,0.74,2.1909375,2.0418749999999983,1.7027068725324648,1.957706591986523,0.8752732710037723,0.7397188283670941
2009-11-30,POMKH,1.906,2.3193921568627447,2.1858749999999985,1.7840241235194787,1.9626736420483912,1.44417744373031,1.3143315550240595
2010-02-28,POMRB,3.808,2.4586176470588232,2.1959999999999984,2.5936144741116873,2.401682303180607,3.6123626263183497,3.418231001218656
