Date,Season,Maheshpur,Amrapara,Hiranpur,Pakaur,Litipara,Pakuria,Maheshpur_Trend,Maheshpur_SMA,Maheshpur_EWMA,Maheshpur_DES,Maheshpur_TES,Maheshpur_ARIMA,Amrapara_Trend,Amrapara_SMA,Amrapara_EWMA,Amrapara_DES,Amrapara_TES,Amrapara_ARIMA,Hiranpur_Trend,Hiranpur_SMA,Hiranpur_EWMA,Hiranpur_DES,Hiranpur_TES,Hiranpur_ARIMA,Pakaur_Trend,Pakaur_SMA,Pakaur_EWMA,Pakaur_DES,Pakaur_TES,Pakaur_ARIMA,Litipara_Trend,Litipara_SMA,Litipara_EWMA,Litipara_DES,Litipara_TES,Pakuria_Trend,Pakuria_SMA,Pakuria_EWMA,Pakuria_DES,Pakuria_TES,Pakuria_ARIMA
2002-11-30,POMKH,5.93,1.38,12.24,5.76,6.66,1.17,4.918333333333333,5.266666666666665,5.40338407196298,5.250489861377431,4.997436750531044,5.522190043963803,2.1425,1.9400000000000008,1.7199658760247662,1.6410459131014585,1.5220883072525526,1.4604025888114243,8.20125,8.334999999999999,9.260600649583736,9.336744822666166,9.609881475706985,11.0169871222669,6.16875,6.8075000000000045,6.266753677955114,6.788620048241628,6.5118548796025255,6.224878647888118,7.047499999999999,7.079999999999999,6.638992269685043,7.11031175627668,6.588464944179748,2.991093749999999,3.0017708333333366,2.2330379870493595,2.965174962590685,2.4054883698787926,2.2395085831466512
2003-02-28,POMRB,3.07,2.29,6.55,5.0,7.73,3.795,4.885,4.839166666666665,4.470030443177788,4.827035863345944,5.833950888921416,5.516100730882527,2.09375,2.197500000000001,1.9479795256148598,1.8883834558760875,1.8406227407344087,2.3176154217064435,8.19,8.162499999999998,8.176360389750242,8.629292175169116,7.480941016931853,7.240721412676237,5.95125,6.3300000000000045,5.760052206773068,6.456143944829533,6.794846291305016,6.525355952887932,7.15875,7.055,7.075395361811026,7.292549108727042,7.192649074537543,3.363333333333333,2.9109375000000033,2.8578227922296158,3.078909797590896,4.079586401820078,3.859698155633599
2003-05-31,PREMON,6.22,4.34,7.17,8.87,9.59,6.3249999999999975,4.80625,4.997499999999998,5.170018265906673,5.110467554635933,5.971009557634575,4.7808041080912895,2.24,2.0875000000000012,2.904787715368916,3.544243793456512,3.6446945091873193,3.953614858216466,7.385,8.239999999999998,7.7738162338501455,8.18058238019151,7.430574383940804,8.180525225859585,6.0562499999999995,6.007500000000005,7.00403132406384,6.8479107382472675,9.066295681935971,8.998851477310822,7.319999999999999,7.040000000000001,8.081237217086617,8.254733073808005,8.786859760963113,3.691041666666666,3.0712500000000027,4.244693675337769,3.665266696724802,5.177159717338507,5.187338855456423
2003-08-31,MONSOON,3.87,0.39,6.6,3.95,5.13,3.331666666666667,4.83125,4.772499999999998,4.650010959544003,4.872919628890073,3.74713047473219,4.913135831490502,2.3215625,2.1000000000000014,1.8988726292213496,2.2650066346622784,1.5802530184199999,2.230069633187935,6.673125000000001,8.139999999999999,7.304289740310088,7.584030321629576,7.380294123641858,6.811885879444956,6.3740625,5.895000000000005,5.782418794438304,6.3327580542372885,5.088144914749579,4.93224318188895,7.3171875,7.277500000000002,6.900742330251971,7.200050771968952,4.98518301020594,4.008541666666666,3.6554166666666696,3.879482871869328,3.678478041643771,2.5177670463952246,2.335677406783848
2003-11-30,POMKH,6.2,2.5,6.2,7.05,7.0,1.455,4.578749999999999,4.839999999999998,5.270006575726402,5.143378583865125,4.903196372759031,5.052683406473427,2.2506250000000003,2.3800000000000017,2.1393235775328097,2.4605154152934907,1.2056074323476187,1.4487328329035989,6.638749999999999,6.629999999999999,6.862573844186053,6.952624838516115,11.370604716937109,9.120797786755482,6.5493749999999995,6.217500000000005,6.289451276662983,6.405954480741016,6.125764974892848,6.068276198713046,7.083125,7.362500000000002,6.940445398151182,7.05058775140964,6.613596434851826,4.189791666666666,3.7266666666666697,2.9096897231215966,3.3370295030709154,2.0730544591059124,1.867124464481331
2004-02-29,POMRB,3.0,1.8225,6.895,6.2525,7.3675,6.05,4.135,4.822499999999998,4.362003945435841,4.727103622352291,5.070286807116499,4.849056332777846,2.3693750000000002,2.2631250000000014,2.012594146519686,2.1765352224195276,1.8132184761541887,2.3137626898760564,6.50625,6.716249999999998,6.875544306511632,6.696599450395469,6.279729121739406,6.740777566311449,6.746041666666667,6.530625000000005,6.27467076599779,6.338284357098357,6.16149775887378,6.013919090350662,6.600624999999999,7.271875000000002,7.111267238890709,7.095873995770116,7.217788665677901,4.103958333333334,4.290416666666669,4.165813833872958,3.8528268717717333,4.003012500449105,3.819469192666233
2004-05-31,PREMON,4.27,4.24,6.55,9.02,8.08,5.52,3.5262499999999997,4.334999999999998,4.325202367261505,4.644058778061056,5.9869706169546895,5.107911157409241,2.3631249999999997,2.2381250000000015,2.903556487911812,3.5323141537011304,3.5809071935142605,4.001550311890316,6.619583333333333,6.561249999999998,6.745326583906979,6.414414528939842,6.71822085142815,6.728634691198518,6.745208333333333,6.5681250000000055,7.372802459598674,6.786524156443122,9.036123571260447,8.955648843090021,6.105625,6.894375000000003,7.498760343334426,7.45155114151377,8.811989667997523,4.154375,4.089166666666669,4.707488300323774,4.257075761858621,5.486010101489035,5.545739843654435
2004-08-31,MONSOON,2.27,1.44,6.16,5.373333333333334,2.78,3.45,3.24125,3.934999999999998,3.5031214203569028,4.181320161495241,3.272903637804371,3.8185951929781923,2.3053125000000003,2.500625000000001,2.318133892747087,2.7523442951765764,1.4307673377442232,1.9983322061830966,6.727291666666666,6.451249999999996,6.511195950344188,6.094445394591976,6.315787165597277,6.3146739740073,6.596145833333334,6.923958333333339,6.5730148090925375,6.553273522623388,4.769644345188481,4.602906694728161,5.9196875,6.306875000000003,5.611256206000656,5.636657196305334,5.010273979248541,4.058125,4.118750000000002,4.2044929801942645,4.250931562395436,2.7367637251533647,2.6599835667560923
2004-11-30,POMKH,2.93,1.4,7.546666666666668,5.62,5.39,1.74,3.67375,3.117499999999998,3.273872852214142,3.940156481071372,4.402952220726867,4.858982876974405,2.39625,2.2256250000000013,1.950880335648252,2.0687017569209596,1.4254484718271103,1.5806820303657956,6.772916666666667,6.787916666666663,6.92538423687318,6.3618480754900535,7.776011839181113,6.977416179710694,6.923333333333333,6.5664583333333395,6.191808885455522,6.373333036856846,6.554657646278507,6.397438542661529,6.008750000000001,5.9043750000000035,5.522753723600394,5.219951546632861,6.638627588680103,4.07375,4.190000000000001,3.218695788116559,3.909247395308342,1.9067540277865271,1.7193957560857847
2005-02-28,POMRB,3.99,2.46,6.41,6.49,7.49,4.995,4.27,3.3649999999999984,3.5603237113284854,3.9562462305329147,3.2276110606561224,2.7995652105363233,2.6012500000000003,2.385000000000001,2.154528201388951,2.187557604987678,1.7732849383599578,2.2578642508368847,6.784166666666667,6.666666666666663,6.719230542123908,6.243023223126539,6.555672346031232,6.71140641907382,7.586666666666666,6.625833333333339,6.311085331273313,6.362146815040543,6.228718441011732,6.093746490968845,6.67625,5.935000000000004,6.309652234160236,5.81672433684754,7.242778503344524,4.48375,3.9262500000000014,3.9292174728699356,4.167332857522674,4.553797191892293,4.551177625772615
2005-05-31,PREMON,6.74,4.33,7.4,11.4,8.67,6.7,4.5575,3.982499999999999,4.832194226797091,4.513683516834515,4.885656327306518,5.155739293472134,2.7800000000000002,2.407500000000001,3.0247169208333706,3.551567485719302,3.7152851641727156,4.0278413468767,6.44375,6.879166666666664,6.991538325274345,6.523433455015278,6.452718878572271,6.350310781799797,8.076250000000002,7.220833333333339,8.346651198763988,7.265088729174474,9.078239416159876,8.977180262307286,7.398750000000001,6.082500000000005,7.253791340496141,6.903844025008705,8.836981661628903,4.758541666666667,4.221250000000001,5.037530483721961,4.734879729137173,5.495155797691112,5.510593671137041
