Date,Season,Mawshynrut,Mawshynrut_Trend,Mawshynrut_SMA,Mawshynrut_EWMA,Mawshynrut_DES,Mawshynrut_TES,Mawshynrut_ARIMA
2006-08-31,MONSOON,0.78,0.9962500000000001,0.9875000000000002,0.9385379853345108,1.0426763405930035,0.8107257909607648,0.8728421173514682
2006-11-30,POMKH,1.05,0.9825000000000002,0.9825000000000002,0.9831227912007066,1.042619127586571,1.0309056123575133,1.1341413704892402
2007-02-28,POMRB,1.16,0.9474999999999999,1.0100000000000002,1.0538736747204238,1.0619817996497471,1.3124299995946749,1.184999954463024
2007-05-31,PREMON,0.83,0.9087500000000001,0.9550000000000003,0.9643242048322542,1.0208121529232668,1.1147576795186975,1.0936416442525219
2007-08-31,MONSOON,0.72,0.8949999999999999,0.9400000000000002,0.8665945228993526,0.9660083126004458,0.7619880040467223,0.802840882100844
2007-11-30,POMKH,0.8,0.92625,0.8775000000000002,0.8399567137396116,0.9328501960309166,0.9809448486070368,1.0904617131145808
2008-02-29,POMRB,1.3,0.91875,0.9125000000000001,1.0239740282437668,0.9921442201331725,1.2407467421882767,1.105826317710131
2008-05-31,PREMON,0.94,0.9100000000000001,0.94,0.9903844169462601,0.9804264609484135,1.066061353587775,1.0636752532542044
2008-08-31,MONSOON,0.55,0.9662499999999998,0.8975,0.8142306501677561,0.9022053076996916,0.7305246969869219,0.8136198549944191
2008-11-30,POMKH,0.9,0.99625,0.9225000000000001,0.8485383901006537,0.8961639386912985,0.9344376807030964,0.9762133580497253
2009-02-28,POMRB,1.65,0.9725,1.01,1.1691230340603922,1.023182446711458,1.2101489582882374,1.1594414812711464
2009-05-31,PREMON,0.83,0.95625,0.9825,1.0334738204362353,0.989217070334611,1.0767931263348733,1.1211118641534727
2009-08-31,MONSOON,0.47,0.90625,0.9625000000000001,0.808084292261741,0.8968891920355818,0.7281460659115644,0.7370172685342319
2009-11-30,POMKH,0.85,0.8890808823529412,0.9500000000000001,0.8248505753570446,0.8838729050387777,0.9236300547683223,0.9349505036480208
2010-02-28,POMRB,1.3,0.9369117647058823,0.8625000000000002,1.0149103452142267,0.951858451026154,1.195085386805217,1.2400870096928736
2010-05-31,PREMON,1.0426470588235297,0.9481617647058824,0.9156617647058827,1.0260050306579478,0.9656841414010087,1.0253584179688717,0.9699189972721418
2010-08-31,MONSOON,0.64,0.9044117647058825,0.9581617647058827,0.8716030183947686,0.9071131922998744,0.7053883042284766,0.7350914291754225
2010-11-30,POMKH,0.77,0.8565808823529413,0.9381617647058825,0.8309618110368612,0.8794266817139317,0.9218040829370397,0.9522369747923006
2011-02-28,POMRB,1.03,0.8300000000000001,0.8706617647058825,0.9105770866221168,0.9012672502139988,1.1847704062035058,1.218889360954404
2011-05-31,PREMON,0.93,0.79625,0.8425,0.9183462519732701,0.9027878715616611,0.9868439386479175,0.9175243739716685
2011-08-31,MONSOON,0.54,0.79125,0.8175,0.7670077511839621,0.8360394629581602,0.6588236817549403,0.6902275118027672
2011-11-30,POMKH,0.6,0.8218749999999999,0.775,0.7002046507103772,0.7892744705792342,0.8694368505801473,0.8784341435554412
2012-02-29,POMRB,1.16,0.8424999999999999,0.8074999999999999,0.8841227904262263,0.8472453384790792,1.1196292945979036,1.1155911837753902
