Date,Season,Sarila,Muskara,Kurara,Gohand,Sumerpur,Maudaha,Rath,Sarila_Trend,Sarila_SMA,Sarila_EWMA,Sarila_DES,Sarila_TES,Sarila_ARIMA,Muskara_Trend,Muskara_SMA,Muskara_EWMA,Muskara_DES,Muskara_TES,Muskara_ARIMA,Kurara_Trend,Kurara_SMA,Kurara_EWMA,Kurara_DES,Kurara_TES,Kurara_ARIMA,Gohand_Trend,Gohand_SMA,Gohand_EWMA,Gohand_DES,Gohand_TES,Gohand_ARIMA,Sumerpur_Trend,Sumerpur_SMA,Sumerpur_EWMA,Sumerpur_DES,Sumerpur_TES,Sumerpur_ARIMA,Maudaha_Trend,Maudaha_SMA,Maudaha_EWMA,Maudaha_DES,Maudaha_TES,Maudaha_ARIMA,Rath_Trend,Rath_SMA,Rath_EWMA,Rath_DES,Rath_TES,Rath_ARIMA
2005-02-28,POMRB,6.75,7.12,7.337499999999999,17.06,7.966923076923077,5.109999999999999,3.08,13.603750000000002,10.107499999999998,10.313790262520303,9.285104827236776,11.634241561128722,12.49434204806965,7.095833333333332,6.972500000000001,6.957728983467897,7.0468258540482696,7.068859620222146,6.709647208678433,6.668541666666667,7.27187500000001,6.925412697727239,6.867561506009953,7.031748919767194,6.081296124081882,15.608125000000001,14.451249999999995,15.17280049132169,16.10046703709957,16.354320060527595,15.268942035334703,7.168973630536131,6.866584935897434,6.935925721499591,7.0875065748405595,6.678356647597982,5.1667159458267875,6.417187499999999,5.605,4.96289382975939,5.293932755206541,4.999275303503431,5.108210273327737,3.57625,3.07,2.8490020244841885,3.0836214990300066,2.826763816434694,2.7387732435935614
2005-05-31,PREMON,22.27,8.143333333333333,6.765,17.83,8.837272727272726,11.955,5.65,11.952083333333334,14.309999999999997,15.09627415751218,17.30950436365191,12.074498400611162,9.666014338802995,7.432708333333333,7.153333333333335,7.4319707234140715,7.380930103198897,7.4516123446375975,7.688472039102385,6.6777083333333325,6.76812500000001,6.861247618636343,6.777064418268985,8.084939739857235,8.309986980795264,16.89625,14.828749999999994,16.235680294793013,16.526215087722072,15.81983907157779,15.753715173322153,7.533008085664336,7.124903117715616,7.696464523808845,7.555214466863001,8.177012897453352,8.039904462694308,6.4009375,6.385625,7.759736297855634,11.916525428258677,8.326502694815698,8.90895069498615,4.29875,3.0825,3.9694012146905133,3.700962847483585,5.997403819679704,5.664034378983132
2005-08-31,MONSOON,8.96,6.04,7.473333333333334,17.46,7.319230769230769,4.44,5.15,11.024166666666668,12.897499999999997,12.64176449450731,14.800789664575142,15.164516467250039,15.479186195227978,8.072083333333333,7.038333333333336,6.875182434048443,6.968497317917028,5.71927063721818,6.708420017581412,6.714270833333333,6.5689583333333434,7.106081904515139,6.914222787200204,5.798282248905219,7.321195652332761,17.718125,16.387499999999996,16.72540817687581,16.857615364667105,14.0024393414152,14.955195757482928,7.97027972027972,7.21304414335664,7.545571021977614,7.481229478382646,6.713176612255014,8.15974154643713,6.459687499999999,6.44875,6.43184177871338,8.929984992775484,6.197970060568986,5.698731665152981,4.81125,4.07,4.441640728814308,4.048649104876167,1.7885148699199584,2.2348489229054027
2005-11-30,POMKH,6.046666666666668,10.005,5.57,17.27,7.288461538461537,3.9075,4.23,9.260833333333332,11.006666666666664,10.003725363371053,10.675604248474817,12.233609990214243,12.255590753078472,8.560416666666667,7.827083333333337,8.127109460429066,7.936237230130788,7.372802720976573,6.85802212815218,6.7664583333333335,6.786458333333344,6.4916491427090826,6.470709724614782,6.700520442988459,6.228692325424899,18.283125,17.404999999999994,16.943244906125486,17.12351014456585,15.855303924267481,15.635222110077004,8.220324155011657,7.852972027972026,7.442727228571183,7.419115089760255,7.034503141158252,6.19149376896205,6.2584375,6.353125,5.422105067228028,5.937806345038449,5.132864760740843,5.0464641243529735,5.335,4.527500000000001,4.356984437288585,4.090554785092313,3.862833513663282,3.6293465214594165
2006-02-28,POMRB,6.89,9.08,6.76,19.565,8.905384615384618,5.9625,5.35,7.1204166666666655,11.041666666666664,8.758235218022632,8.174408761555734,8.101177729470038,9.211745405668093,9.210625,8.317083333333338,8.50826567625744,8.420205553130165,7.9701891525461015,7.93000472534527,6.770416666666667,6.642083333333344,6.59898948562545,6.4950346724042936,6.8507986742365246,7.063647950479467,18.4725,18.031249999999993,17.99194694367529,17.75481095313533,18.29969978864915,17.23902205984687,8.350240384615384,8.08758741258741,8.027790183296556,7.814598282248481,7.743710143109093,8.161142429328038,6.3471875,6.56625,5.638263040336817,5.6271402464511455,5.412241670206926,5.0274378202238745,5.62125,5.095000000000001,4.754190662373151,4.392357855157927,4.587909460594702,4.5416588399499185
2006-05-31,PREMON,8.023333333333332,10.09,7.76,19.845,9.899166666666668,9.4925,7.57,7.205,7.479999999999998,8.464274464146913,7.276610510492956,10.374316327741276,8.024526805866536,9.61375,8.803750000000004,9.140959405754463,9.139182923375524,8.947297903247287,9.124366244453965,6.913749999999999,6.890833333333344,7.0633936913752695,6.7962081644196894,7.751206464066115,6.848907570961709,18.731875,18.534999999999993,18.733168166205175,18.390548699980524,17.90610823233733,17.966441800564134,8.437384906759908,8.353060897435896,8.7763407766446,8.372604061479434,9.195871639126418,8.866720758592287,7.424687500000001,5.9506250000000005,7.17995782420209,8.623383002278912,8.963187554554299,9.604864667691254,5.9425,5.575000000000001,5.880514397423891,5.156480855134804,7.978285768770364,7.117425549500984
2006-08-31,MONSOON,6.083333333333332,9.295,6.51,16.96,7.296666666666666,7.6125000000000025,5.52,8.566666666666666,6.760833333333331,7.511898011821481,5.900772489543165,7.20356033685168,7.939000173661344,9.86125,9.617500000000005,9.202575643452679,9.441822286506888,7.672326301352516,8.262404458349513,7.366249999999999,6.65000000000001,6.8420362148251614,6.654197932863024,5.976484470960541,7.6748114299962875,19.08875,18.40999999999999,18.023900899723106,18.471446825578987,16.070765850472196,17.399018650199253,8.553696095571096,8.34741987179487,8.184471132653428,8.068694054336314,7.747803972918846,8.925254076379517,8.74125,6.743750000000001,7.352974694521254,8.811408131357467,5.257198921819026,4.752738776757495,6.78,5.6675,5.736308638454334,5.241808316500924,3.7431064399185976,3.9534531415232963
2006-11-30,POMKH,9.6,9.975,7.68,19.845,8.00818181818182,9.355,6.43,10.30875,7.649166666666664,8.34713880709289,7.218779803594692,6.809746010013468,6.984005840644053,10.228125,9.610000000000005,9.511545386071607,9.886037450213989,10.09919360458499,9.635495465251127,7.6925,7.177500000000011,7.177221728895097,6.8860330095637945,6.438910865637483,6.229463832729839,19.123749999999998,19.05374999999999,18.752340539833863,19.009790124223084,17.27703115364589,17.378064051178413,8.568896416083916,8.527349941724939,8.113955406864784,8.041864939796138,7.681762712935886,7.0047310172875505,9.994375000000002,8.105625000000002,8.153784816712752,10.07642377264649,6.285710016205959,5.322730289009478,7.75875,6.2175,6.013785183072601,5.525916604437577,5.1331579837358,4.337891536566404
2007-02-28,POMRB,14.23,11.09,8.27,19.845,9.116153846153846,11.0475,9.85,11.867291666666667,9.484166666666663,10.700283284255732,11.539232951163392,7.156991194350338,8.137840050341504,10.6025,10.112500000000004,10.142927231642965,10.592726600425445,10.184729280580758,9.552725179400698,7.811249999999999,7.555000000000012,7.614333037337057,7.217505650762086,7.502924870754883,7.561811395249039,18.5675,19.12374999999999,19.189404323900316,19.495064714645984,20.01177380225736,19.280401310700963,8.904417249417252,8.580042249417247,8.514834782580408,8.324290184368358,8.41752019813634,8.288596450443428,11.5928125,9.376875000000002,9.31127089002765,12.039812586483016,8.751025872416097,8.685910566891744,8.456249999999999,7.342499999999999,7.54827110984356,6.565925016443405,6.259691563547859,5.703117438410573
2007-05-31,PREMON,14.62,11.015,8.86,19.845,9.81,14.4325,10.9,13.081527777777778,11.13333333333333,12.268169970553439,15.252683925877335,13.563990537363363,10.91095088328633,10.977708333333334,10.343750000000004,10.49175633898578,11.112233938673011,11.333688055986265,10.848211770938795,7.803437499999999,7.8300000000000125,8.112599822402235,7.619431005369442,8.733855015993978,8.073182613719535,17.903958333333332,19.12374999999999,19.45164259434019,19.923720761825862,19.25764474326428,19.629155659704246,8.98849868881119,8.55775058275058,9.032900869548245,8.718460857040135,9.700017913748352,9.132349783316446,12.44265625,10.611875000000001,11.359762534016589,15.95591516940094,13.19077920436175,13.754993235299587,8.5853125,8.174999999999999,8.888962665906135,7.607875810382953,10.871364576486805,9.714796862984683
