Date,Season,Matanhail,Bahadurgarh,Sahlawas,Beri,Jhajjar,Matanhail_Trend,Matanhail_SMA,Matanhail_EWMA,Matanhail_DES,Matanhail_TES,Matanhail_ARIMA,Bahadurgarh_Trend,Bahadurgarh_SMA,Bahadurgarh_EWMA,Bahadurgarh_DES,Bahadurgarh_TES,Bahadurgarh_ARIMA,Sahlawas_Trend,Sahlawas_SMA,Sahlawas_EWMA,Sahlawas_DES,Sahlawas_TES,Sahlawas_ARIMA,Beri_Trend,Beri_SMA,Beri_EWMA,Beri_DES,Beri_TES,Beri_ARIMA,Jhajjar_Trend,Jhajjar_SMA,Jhajjar_EWMA,Jhajjar_DES,Jhajjar_TES,Jhajjar_ARIMA
1999-11-30,POMKH,2.02,5.869999999999999,8.323333333333334,3.332,5.015,7.375833333333333,7.259999999999996,6.309127092156169,6.318010323357657,9.063319213814099,8.219698945364438,5.217375,5.140416666666667,5.364984968859671,5.31060435420335,5.7504702977096604,5.2161926874771805,6.939166666666667,6.532500000000001,6.720282646503069,6.274802184434615,5.645299079479492,4.591855994378804,3.7784166666666668,3.467166666666666,3.5188812408683603,3.4445247291063557,3.2605232182937125,3.376186862218219,5.1949375,4.900875000000003,4.81444890571391,4.389564401596207,3.960234549137459,3.373941082010907
2000-02-29,POMRB,9.45,5.282,6.846666666666668,4.248,5.4875,7.353333333333333,7.396666666666661,7.565476255293701,7.132552278124461,7.680715224505751,5.401579406073939,5.2655,5.202166666666667,5.331790981315803,5.297154247507883,5.5019845632842825,5.478379566046589,7.3950000000000005,6.415833333333335,6.770836254568509,6.347050854219707,6.359445827158495,6.346864202957049,3.663291666666667,3.834166666666666,3.8105287445210165,3.5254872316257373,3.8111001693187547,4.277134895429253,5.305125,5.092750000000002,5.083669343428346,4.546179579666335,4.298122088306379,3.0974549278858765
2000-05-31,PREMON,8.993333333333332,4.7200000000000015,8.916666666666666,3.674,6.0,8.387500000000001,7.354999999999995,8.136619086509555,7.530855708241309,7.074460817714332,9.088866615990941,5.239166666666667,5.232583333333334,5.087074588789482,5.11829046122233,5.98969744859082,5.287460071309428,7.187083333333334,7.462500000000001,7.629168419407772,7.117879008787811,7.900920063778243,8.071968089383565,3.6179166666666664,3.722666666666666,3.7559172467126096,3.5266258662587124,4.371122956683012,3.917218093561316,5.409166666666667,5.297125000000002,5.450201606057007,4.758683127481552,5.152200629279533,4.2943655823134375
2000-08-31,MONSOON,8.943333333333333,5.321666666666666,5.223333333333334,3.161666666666667,4.750000000000001,9.486666666666666,7.351666666666662,8.459304785239066,7.779554443413661,7.865423109767614,8.221489684150036,5.251541666666666,5.298416666666667,5.180911419940356,5.163223390073594,5.234792367660769,5.102567409810319,6.690833333333333,7.3275000000000015,6.666834384977996,6.308627168243556,6.661078323704053,7.871464555433204,3.5559166666666666,3.603916666666666,3.5182170146942324,3.465483198711262,3.217095367453217,3.562038134389128,5.506770833333334,5.313125000000002,5.170120963634204,4.7380503913527425,5.097046146540976,4.057301369075973
2000-11-30,POMKH,10.306666666666667,5.395999999999999,7.2,3.444,5.783333333333334,8.743333333333334,9.423333333333328,9.198249537810106,8.368820170625881,8.249891264731223,8.898153221902835,5.3589166666666666,5.179916666666667,5.266946851964214,5.220966200521039,5.715868906885291,5.287083183953255,6.686666666666667,7.046666666666668,6.880100630986798,6.492147644775474,6.672312713386347,8.46191095801528,3.615416666666667,3.6319166666666662,3.4885302088165395,3.4462912587277064,3.208915108285464,3.332644020787135,5.525083333333334,5.505208333333336,5.415405911513856,4.884893236832682,4.5732783893696265,4.152460476964707
2001-02-28,POMRB,9.956666666666667,5.855,4.0,3.64,5.5,7.990833333333333,9.549999999999994,9.50161638935273,8.65085600021969,10.117815665657703,10.2740161892816,5.373833333333334,5.323166666666667,5.502168111178529,5.404444421583306,5.402007840964273,5.290634138779222,7.121250000000001,6.335,5.728060378592078,5.486262020634749,6.581417902886834,6.327684402669224,3.8925833333333335,3.479916666666666,3.549118125289924,3.4532904795589205,3.794071783368517,4.251725814573514,7.101000000000001,5.5083333333333355,5.449243546908313,4.962820880252261,4.958860228408477,4.560449446366283
2001-05-31,PREMON,2.54,5.006,11.73,4.758,6.134,6.876666666666666,7.93666666666666,6.716969833611638,6.529938083382734,8.822015704189022,9.151798320159273,5.421208333333334,5.394666666666667,5.303700866707118,5.289255038696625,5.948822648971467,5.489568298302215,7.46875,7.038333333333334,8.128836227155247,7.562160620248064,6.97406278670907,5.879534466610837,4.136875000000001,3.750916666666666,4.032670875173954,3.595002642741274,4.229188566158304,3.7500375615531105,8.65975,5.541833333333336,5.723146128144988,5.128749277963912,5.652103440158641,4.996252863527751
2001-08-31,MONSOON,9.376666666666667,5.155,5.886666666666668,4.295,17.223333333333333,4.61,8.044999999999993,7.780848566833649,7.25033690182153,6.683643620147723,6.289274602314867,5.445541666666666,5.353000000000001,5.244220520024271,5.245871275221729,5.220450916035815,5.203410170834512,8.832083333333333,7.204166666666668,7.231968402959815,6.820596022391688,7.134464320280852,6.317603918808638,4.31925,4.034249999999998,4.137602525104372,3.662694734287755,3.334270826830915,3.6308989069439255,8.796833333333332,8.660166666666669,10.323221010220326,7.028874042835609,5.332178332592861,4.221257018427045
2001-11-30,POMKH,0.96,5.941666666666666,9.316666666666668,4.2650000000000015,5.779999999999999,3.400416666666666,5.708333333333327,5.05250914010019,5.109059384117311,7.64502556624441,8.733092694497445,5.525291666666668,5.489416666666667,5.523198978681229,5.450376336680417,5.675754968392098,5.269794266530666,9.955833333333334,7.733333333333335,8.065847708442556,7.555981562740143,7.216810722249514,8.635021176951529,4.416333333333333,4.239499999999999,4.188561515062624,3.718214368208907,3.5408626763475475,3.6681128333272643,8.941020833333333,8.659333333333336,8.505932606132195,6.802087549974454,6.9955076052005145,4.824789661513426
2002-02-28,POMRB,1.17,5.504,12.79,4.2780000000000005,6.6,2.3258333333333336,3.5116666666666605,3.499505484060114,3.753757797859559,6.390403067529623,3.803136534294526,5.7735,5.401666666666666,5.515519387208737,5.4750899783470945,5.4204250489540176,5.537904103978032,10.735625,9.930833333333336,9.955508625065534,9.23578464276764,7.714500510086678,6.541320292143359,4.49075,4.398999999999999,4.224336909037574,3.7683113314725345,4.229384020085167,4.604410192711084,7.558541666666667,8.934333333333337,7.743559563679316,6.742470469951263,6.8850552934523455,4.915858707114139
