Date,Season,Lakhandur,Bhandara,Tumsar,Lakhani,Pauni,Mohadi,Sakoli,Lakhandur_Trend,Lakhandur_SMA,Lakhandur_EWMA,Lakhandur_DES,Lakhandur_TES,Lakhandur_ARIMA,Bhandara_Trend,Bhandara_SMA,Bhandara_EWMA,Bhandara_DES,Bhandara_TES,Bhandara_ARIMA,Tumsar_Trend,Tumsar_SMA,Tumsar_EWMA,Tumsar_DES,Tumsar_TES,Tumsar_ARIMA,Lakhani_Trend,Lakhani_SMA,Lakhani_EWMA,Lakhani_DES,Lakhani_TES,Lakhani_ARIMA,Pauni_Trend,Pauni_SMA,Pauni_EWMA,Pauni_DES,Pauni_TES,Pauni_ARIMA,Mohadi_Trend,Mohadi_SMA,Mohadi_EWMA,Mohadi_DES,Mohadi_TES,Mohadi_ARIMA,Sakoli_Trend,Sakoli_SMA,Sakoli_EWMA,Sakoli_DES,Sakoli_TES,Sakoli_ARIMA
2008-05-31,PREMON,5.69,9.238333333333337,7.486666666666667,10.12,10.475,6.889999999999999,8.166666666666666,5.120833333333333,5.472916666666664,5.745731082911524,5.634737737849597,7.469988710181197,7.282458554510482,5.681041666666668,5.430416666666663,6.843822640320701,8.091355022384878,9.729245029812315,9.906596724318707,4.345000000000001,4.250000000000003,5.480348891151914,4.633355793440385,8.425559016767108,8.406892075863935,6.244583333333333,6.046666666666665,7.449679233403122,6.492305888903364,9.653114174670437,9.522811860543742,8.3359375,7.2875,8.242458550380544,8.166308633032866,9.290651419415031,8.56240301028454,4.428749999999999,4.050625000000002,5.061823583023963,4.578152794356046,7.437934521071038,6.6794408046237255,4.336041666666667,4.254166666666666,5.609700231591521,4.50180600840339,8.702507826998346,7.9825053602197436
2008-08-31,MONSOON,3.9,3.0666666666666664,1.6833333333333336,3.583333333333333,9.2625,3.2625,1.475,4.746875000000001,5.129166666666663,5.0074386497469145,5.250031523740905,4.844593495610563,4.72806070096004,5.982916666666668,5.54708333333333,5.332960250859087,5.593188297697287,2.444863027350144,2.1064500631169105,4.4695833333333335,4.270833333333336,3.9615426680244816,4.011142751832468,1.8561569236922182,0.9597642821762099,6.505,6.246666666666664,5.903140873375206,6.076609482195917,3.098256506814943,3.0579471745620315,8.416666666666666,8.196874999999999,8.650475130228326,8.80430097096604,6.098628867433433,5.782846950901433,4.707812499999999,4.316250000000002,4.342094149814377,4.5646772521224275,1.9650099255888658,2.0377258616915817,4.544791666666667,4.272916666666667,3.9558201389549126,3.9968685979743226,1.3771179795556874,1.246921288105566
2008-11-30,POMKH,4.61,5.421666666666668,3.4266666666666663,5.266666666666667,7.3625,3.9625,3.405,4.47625,5.112499999999996,4.8484631898481485,5.086797718181976,4.310370268898375,4.16496543066709,6.102291666666668,5.814999999999996,5.368442817182119,5.360867030428389,4.271897925316144,4.368553162077084,4.78,4.419166666666669,3.7475922674813558,3.8654078476283313,2.6457353173861256,2.7183588868509805,6.68375,6.242499999999997,5.648551190691791,5.992795902829797,4.539372967713538,4.488109165104092,8.190625,8.474999999999998,8.135285078136995,8.716945679817405,7.0656237489085605,6.635227594523814,5.0678125000000005,4.541250000000002,4.190256489888626,4.555751664457353,2.9640352708082047,3.741129693235326,4.8992708333333335,4.399166666666668,3.7354920833729475,3.8718938342661895,2.7185442487351335,3.017181833675839
2009-02-28,POMRB,3.325,6.876666666666668,5.4833333333333325,8.1,6.333333333333332,5.3825,5.715,4.268125,4.381249999999996,4.239077913908889,4.700360660090304,4.913019538697274,5.21598902353222,6.131041666666667,6.150833333333329,5.971732356975939,6.2873568571905585,6.442301078326612,6.44937244458986,5.9004166666666675,4.520000000000003,4.441888693822147,4.160141805659293,4.51851275763648,4.810730660395263,6.841666666666667,6.7674999999999965,6.629130714415075,6.471668746818354,6.346149789532897,6.340026679089034,7.630729166666666,8.358333333333329,7.41450438021553,8.240088631883102,8.338660819283048,7.499301615763962,5.6278125,4.8743750000000015,4.667153893933175,4.5559184040708915,4.9238617010282875,4.773241701378752,5.3959375000000005,4.690416666666668,4.527295250023768,4.191385815712188,4.810640324214969,4.913871971652473
2009-05-31,PREMON,6.45,8.85,9.566666666666668,9.45,9.133333333333333,8.4375,9.8375,3.6637500000000003,4.571249999999996,5.123446748345334,5.018638024436488,5.593608012334632,5.401554722875371,6.070208333333333,6.0537499999999955,7.123039414185563,8.468038879212584,10.457356671556902,10.335334205948508,7.192500000000002,5.040000000000004,6.491799882959956,5.208615765669058,8.714618036362062,8.296686050174934,7.03125,6.599999999999996,7.757478428649044,7.2041250617588455,10.200335919251508,10.24771114793491,7.236354166666667,8.022916666666662,8.10203596146265,8.646765431547136,10.355898241964876,8.928732390792621,5.9365625,5.261250000000002,6.175292336359905,4.575501707727721,7.9367707436859565,7.207429643362774,5.75125,5.108125000000001,6.6513771500142616,5.313622264915042,9.230974175640796,8.626768484452535
2009-08-31,MONSOON,1.475,3.685,8.566666666666668,5.516666666666668,6.125,6.195,3.7775,3.4706250000000005,3.964999999999996,3.6640680490072004,4.2763760150372825,4.162547433170026,4.281517867307885,5.897708333333333,6.208333333333329,5.747823648511337,6.114408737055229,2.7240894726924108,2.2310665436307073,7.465833333333333,6.760833333333337,7.321746596442641,5.840777152314894,2.814856737526811,2.0650375447054796,6.821666666666667,7.08333333333333,6.861153723856093,7.096020773855698,3.4514585810653555,2.841022463979378,7.47375,7.238541666666662,7.311221576877591,8.03962283895018,7.102198159455025,6.174189266270767,5.795,5.9943750000000025,6.183175401815943,4.580685167743852,3.1778490327588944,3.415426160873876,5.810625,5.683750000000001,5.501826290008557,5.229917493385207,2.2613889167648473,2.169429456413193
2009-11-30,POMKH,2.2,4.316666666666666,6.88,4.8500000000000005,7.3450000000000015,3.5,3.945,3.7379166666666666,3.3624999999999963,3.07844082940432,3.8324809984201447,3.1588824765915255,3.335282289420397,6.050000000000001,5.9320833333333285,5.175360855773469,4.845925354941821,4.687467914146335,4.941591369284298,7.2004166666666665,7.62416666666667,7.145047957865584,6.005709145880337,5.819681940392476,5.790656224626061,6.794166666666667,6.979166666666664,6.056692234313656,6.825456867222453,5.1444408570046,5.188206857921789,7.881041666666667,7.234166666666662,7.324732946126555,7.84680555349582,6.865221886869718,6.288264683823534,5.617812499999999,5.878750000000003,5.109905241089566,4.568700269135238,4.570560980529018,5.081835418186163,5.793125,5.8187500000000005,4.879095774005134,5.152054978293981,4.044540493957644,4.361237193054005
2010-02-28,POMRB,4.19,6.601666666666668,4.216666666666666,6.84,8.25,4.7125,5.65,3.9127083333333337,3.5787499999999968,3.5230644976425918,3.878229494185526,2.926073889590175,3.052834429102595,6.190625,5.863333333333329,5.745883180130749,5.652807955058737,6.246500710019344,6.14645380114716,6.1933333333333325,7.307500000000003,5.973695441386017,5.605164089512416,7.796923314968766,5.1426068955314514,6.61375,6.664166666666665,6.3700153405881945,6.940210888764067,6.788357787860405,6.2401792952361905,8.08625,7.71333333333333,7.6948397676759335,7.954063768741759,7.7107575200051865,7.422005385204715,5.215625,5.711250000000003,4.950943144653739,4.564511674209655,5.846465623003465,4.551879386966571,5.4678125,5.802500000000001,5.187457464403081,5.382303675996461,5.891828137151349,5.492081490230387
2010-05-31,PREMON,7.723333333333334,10.343333333333332,8.709999999999999,10.49,10.475,7.689999999999999,9.7625,3.7408333333333337,3.89708333333333,5.203172031918889,4.6210206391327135,5.173217971338493,5.599538740636958,5.975833333333333,6.236666666666661,7.5848632414117825,9.299967322987278,10.229712775090238,9.855640468499114,4.714583333333334,7.0933333333333355,7.06821726483161,6.183926248766835,10.293604018143611,7.955908703019673,6.035416666666666,6.9241666666666655,8.018009204352918,7.7783283066056255,10.371219617878634,9.83681733059681,7.6068750000000005,8.048749999999997,8.80690386060556,8.762146128006078,10.223926445987074,9.386225817757383,4.7328125000000005,5.524375000000003,6.0465658867922425,4.579279594622313,8.439888720346525,7.396523311215451,4.811249999999999,5.783750000000001,7.017474478641848,6.400403904703543,9.955167354936904,8.987896236377823
2010-08-31,MONSOON,1.6,3.316666666666667,1.3666666666666665,3.033333333333333,6.425,3.725,1.25,3.288958333333333,3.9283333333333306,3.7619032191513337,3.9859273885672044,3.78225062005121,4.222116174126727,5.610208333333334,6.144583333333328,5.877584611513736,6.5337732696025705,3.1883929885228963,3.2378784403171985,4.167083333333333,5.293333333333335,4.787597025565632,5.177914434024729,3.4831413742008666,3.4087798235146156,5.545000000000001,6.303333333333332,6.024138855945084,7.067107999345358,3.760875510970675,3.2803252711649336,7.14625,8.123749999999996,7.854142316363336,8.206588560484041,7.2489503550643235,6.54965164076777,4.439374999999999,4.906875000000003,5.117939532075345,4.568735316715335,3.9319699632701903,4.6420797034880446,4.143958333333333,5.151875000000001,4.710484687185109,5.723371325244626,2.736663312417942,2.658536560040214
