Date,Season,Kodarma,Jainagar,Barkatha,Chauparan,Kodarma_Trend,Kodarma_SMA,Kodarma_EWMA,Kodarma_DES,Kodarma_TES,Kodarma_ARIMA,Jainagar_Trend,Jainagar_SMA,Jainagar_EWMA,Jainagar_DES,Jainagar_TES,Jainagar_ARIMA,Barkatha_Trend,Barkatha_SMA,Barkatha_EWMA,Barkatha_DES,Barkatha_TES,Barkatha_ARIMA,Chauparan_Trend,Chauparan_SMA,Chauparan_EWMA,Chauparan_DES,Chauparan_TES,Chauparan_ARIMA
2005-05-31,PREMON,6.956666666666666,3.2266666666666666,7.1,7.88,5.691875,5.691875,6.186811889516388,5.9735466502658605,7.004562286954409,6.9006923122480375,2.66125,2.8741666666666665,2.9617000788786045,2.4411357225296735,3.268878634881237,2.8431084405731477,5.375,5.037499999999998,5.712252419949273,5.311768712384555,7.539892802534208,7.293445124971955,6.5425,6.190000000000005,6.58897531153702,5.967972945420225,8.386436387632358,8.038946079323063
2005-08-31,MONSOON,4.4126666666666665,1.6116666666666666,5.8,7.7,5.691875,5.691875,5.4771538003765,5.603618910370055,4.44947651687733,4.416879849464811,2.6716666666666664,2.66375,2.4216867139938296,2.3883528188034218,1.4207569912683398,1.6887037192292,5.544583333333334,5.149999999999999,5.747351451969564,5.297959986236587,5.249689836978691,5.615461520609796,6.640000000000001,6.532500000000006,7.033385186922212,6.219450757407708,5.48263765966245,5.4292393213497325
2005-11-30,POMKH,5.359166666666667,2.9,5.1,4.98,5.522291666666667,5.691875,5.429958946892567,5.546727666929393,5.290865965930328,5.31630429674195,2.7075,2.65875,2.6130120283962976,2.425573758724825,2.4850354702757906,2.438328141833213,5.540729166666666,5.599999999999999,5.488410871181738,5.121057607107734,3.9707985742288603,4.465094779670522,6.84,6.5525000000000055,6.212031112153327,5.979323992898199,5.493373278381718,5.466051596895409
2006-02-28,POMRB,6.039,3.0,3.956666666666667,6.35,5.094875,5.691875,5.67357536813554,5.665057491171183,6.217607873729671,5.997189548966423,2.835208333333333,2.6845833333333333,2.7678072170377788,2.469464449758405,2.8082430788585566,2.7952665543665343,5.492291666666667,5.489166666666666,4.87571318937571,4.676653927861572,5.267628107221559,5.3778887600649945,6.6537500000000005,6.727500000000006,6.267218667291996,6.006174086098898,6.048867232843004,6.04255890886229
2006-05-31,PREMON,5.6,3.41,7.512499999999998,8.78,4.548395833333333,5.352708333333333,5.644145220881324,5.650849964690842,7.004562286952943,6.905858870287208,2.854375,2.7304166666666667,3.0246843302226676,2.541618560419925,3.290439707507579,2.9266057974810664,5.067291666666666,5.592291666666666,5.930427913625426,5.293164816641586,7.367004727385961,6.71284978069302,6.297083333333332,6.952500000000007,7.272331200375197,6.429283450630173,8.744508500537691,8.014664511663616
2006-08-31,MONSOON,2.35,2.45,5.0,5.31,4.179874999999999,4.837041666666667,4.326487132528794,4.866989119311245,3.775380078729482,3.544125774954822,2.82875,2.94,2.7948105981336004,2.5458555746117644,1.4423700404919726,1.726478154813557,4.668958333333332,5.392291666666666,5.558256748175255,5.1792605261932145,5.526696256370659,5.845873815728482,6.027916666666666,6.355000000000007,6.4873987202251175,6.207775451257088,6.645239000181562,6.549726829465406
2006-11-30,POMKH,3.05,2.215,2.5,4.516666666666667,4.16875,4.25975,3.8158922795172767,4.435897051423972,3.926820944115394,3.9960231154384234,2.875,2.76875,2.56288635888016,2.532982770458115,2.506786267259096,2.7343653791743163,4.662812499999999,4.742291666666667,4.3349540489051535,4.402737790065546,4.307951088357175,4.66409064356584,5.581666666666666,6.239166666666673,5.6991058988017365,5.8932120860594805,4.894257745815027,4.80694237785861
2007-02-28,POMRB,5.4,3.48,3.37,4.66,4.4825,4.1,4.449535367710366,4.666205864416618,4.38395366191129,4.523737833075155,2.6581249999999996,2.88875,2.929731815328096,2.6081419900235745,2.829870885661417,2.6357412357438754,4.787083333333334,4.595625,3.948972429343092,3.9679373028827007,4.282462683554285,3.9992845280262235,4.979166666666667,5.8166666666666735,5.283463539281042,5.6559856013385215,5.6819938921433115,5.395121000043269
2007-05-31,PREMON,6.15,3.3,8.05,6.9,4.815,4.237499999999999,5.1297212206262195,5.0201774391522225,5.764504253732169,6.37048732578261,2.4406250000000003,2.86125,3.077839089196858,2.6699251741849697,3.312118946812092,3.1259446584325916,4.887916666666667,4.73,5.589383457605855,4.919872633406165,6.977458591425249,6.802587648380332,4.493333333333333,5.346666666666673,5.9300781235686255,5.828752379968395,7.895992108689818,7.629525699591211
2007-08-31,MONSOON,4.31,0.825,5.456666666666668,2.37,4.9125,4.727499999999998,4.801832732375732,4.852380564572345,3.424760677627839,3.7848180215280625,2.28375,2.455,2.1767034535181145,2.5574756076658285,1.4641479577070278,1.800300757211693,5.022916666666668,4.844166666666667,5.5362967412301805,5.090030370225205,5.021061954017601,5.597426353720959,4.255000000000001,4.6116666666666735,4.506046874141175,5.224780055565305,5.151021056518406,4.614180726729214
2007-11-30,POMKH,3.75,2.1,2.85,3.57,4.853750000000001,4.902499999999998,4.38109963942544,4.591258607642068,4.724295136269825,5.165185969545136,2.225625,2.42625,2.1460220721108687,2.5338109966579494,2.5281756478837583,2.211585477299104,5.032916666666667,4.9316666666666675,4.461778044738108,4.513990789807786,3.4660119068917066,3.9126990741408645,4.16,4.375000000000007,4.131628124484704,4.921847392277914,3.1635398291851122,3.3629435380867605
2008-02-29,POMRB,5.48,2.34,4.1,3.7,4.54,4.922499999999998,4.820659783655264,4.803677020524212,5.132995171710613,5.056289717697936,2.356875,2.14125,2.223613243266521,2.5265581713636363,2.851365328995283,2.7223592639618843,4.939166666666667,5.114166666666667,4.317066826842865,4.3370414366059835,3.9420913660821126,3.8181827247300757,4.06125,4.135000000000007,3.9589768746908227,4.692066940497519,4.050487104281288,3.983204859242244
2008-05-31,PREMON,5.6,3.975,7.4,7.1,4.2075,4.784999999999998,5.132395870193158,4.994160729064695,6.181114437697786,6.40237219055453,2.4524999999999997,2.3099999999999996,2.924167945959913,2.6334285054547806,3.333372574012505,2.8363643348239833,4.995416666666666,4.951666666666667,5.5502400961057194,5.12696240348662,7.52422461444434,7.434212453528433,4.11625,4.185000000000008,5.2153861248144935,5.062357389910121,6.483657282195295,6.6454822653710615
2008-08-31,MONSOON,2.35,1.2,5.3566666666666665,1.38,4.109999999999999,4.294999999999999,4.019437522115895,4.366350009321493,3.3610845111657905,3.478342690131489,2.5825000000000005,2.4037499999999996,2.2345007675759474,2.5453957931315,1.485406353881621,1.845992519698503,5.039166666666666,4.926666666666667,5.472810724330098,5.283467431608326,5.16119299365831,5.395525036152957,4.52,3.937500000000007,3.681231674888696,4.425895881934063,3.8359141845574993,3.601049888048464
2008-11-30,POMKH,3.05,2.49,3.4,5.0,4.2375,4.119999999999999,3.6316625132695375,4.054225623214329,3.7183793075753577,3.7814775415424178,2.573125,2.5012499999999998,2.3367004605455683,2.547309185693021,2.549508581088327,2.296699376880717,4.829166666666667,5.064166666666666,4.643686434598059,4.857505566247103,3.182887509584629,3.366154236809561,4.92375,4.295000000000007,4.208739004933218,4.495212447809506,2.691820805979064,3.247992122070025
