Date,Season,Vidisha,Neteran,Sironj,Lateri,Gyaraspur,Basoda,Kurwai,Vidisha_Trend,Vidisha_SMA,Vidisha_EWMA,Vidisha_DES,Vidisha_TES,Vidisha_ARIMA,Neteran_Trend,Neteran_SMA,Neteran_EWMA,Neteran_DES,Neteran_TES,Neteran_ARIMA,Sironj_Trend,Sironj_SMA,Sironj_EWMA,Sironj_DES,Sironj_TES,Sironj_ARIMA,Lateri_Trend,Lateri_SMA,Lateri_EWMA,Lateri_DES,Lateri_TES,Lateri_ARIMA,Gyaraspur_Trend,Gyaraspur_SMA,Gyaraspur_EWMA,Gyaraspur_DES,Gyaraspur_TES,Gyaraspur_ARIMA,Basoda_Trend,Basoda_SMA,Basoda_EWMA,Basoda_DES,Basoda_TES,Basoda_ARIMA,Kurwai_Trend,Kurwai_SMA,Kurwai_EWMA,Kurwai_DES,Kurwai_TES,Kurwai_ARIMA
2002-02-28,POMRB,7.38,10.486666666666666,6.2475,8.883999999999997,11.455,8.935999999999998,7.07,7.8503125,7.488125,7.067609100794032,8.46362860090331,7.545875146764169,7.4834197911588705,7.929895833333334,7.552708333333333,8.199527637832777,9.240171841584111,7.7643523853234875,7.255748118432811,7.521145833333334,6.326249999999998,6.071553507597942,6.1167614510602935,5.980202453408525,6.174957565132025,7.9306874999999994,7.4745,7.653907789569056,8.525558818690827,7.873244091431239,8.338655809923662,10.915000000000001,11.016249999999998,10.553284353660631,11.220121076092141,10.998007256860015,10.421342308626464,8.08375,7.511499999999997,7.61883589713425,7.482638951295415,7.667167037743818,7.991035203698802,6.556354166666667,6.195833333333333,6.170302542614793,6.538331921320578,6.544019188629001,6.479200052666707
2002-05-31,PREMON,12.4225,10.286666666666667,10.52,9.0175,15.17,12.704,9.917083333333332,8.3096875,7.548125000000001,9.20956546047642,9.575502295997902,11.7737278033151,11.451125218239508,7.868125,7.810208333333334,9.034383249366332,10.16624136002506,9.728063920520835,9.83636336879268,7.746354166666666,7.252499999999997,7.8509321045587654,7.25265596480071,8.002599392719684,7.307525673058532,8.2905,7.573875000000001,8.199344673741432,9.351700373162247,10.324981287162293,10.527896195377405,10.845,11.121249999999998,12.399970612196379,12.629445788987725,13.748124237752457,13.728974747007584,8.23425,7.8684999999999965,9.65290153828055,8.3155773745314,11.812479612121603,10.20074954928185,6.844062500000001,6.335104166666666,7.669014858902209,7.522354045250236,9.379630322242852,9.027893144173694
2002-08-31,MONSOON,6.3400000000000025,4.51,7.616666666666667,7.8425,7.0,4.561999999999999,4.73,8.6284375,8.152500000000002,8.061739276285852,9.189096430962683,4.1197920949942155,3.8146886151609123,7.577916666666667,8.049583333333333,7.224629949619799,8.407676453963322,4.283652341688134,4.853217971939233,7.716666666666666,7.7897916666666625,7.757225929401926,7.465678431195768,5.36669376431671,5.717937011700666,8.26175,8.287500000000001,8.05660680424486,9.06703513355354,4.3591350208816575,5.455083379771939,11.026250000000001,10.708749999999998,10.239982367317827,11.667699916868566,8.163087995718467,7.927746905478524,8.09425,8.298999999999996,7.61654092296833,8.061892725410317,3.147180603306592,4.069309646296479,6.8767708333333335,6.7776041666666655,6.493408915341325,7.196454796767793,3.4962240993380407,3.4528337936691087
2002-11-30,POMKH,7.725,5.463333333333334,6.4274999999999975,7.4300000000000015,10.3,6.475999999999999,5.9250000000000025,8.767500000000002,8.466875000000002,7.927043565771511,9.08656794954851,6.29413806382964,6.279719278498771,7.4825,7.686666666666666,6.520111303105214,7.240518875428829,6.676486782623376,6.47101067922162,7.404166666666665,7.7029166666666615,7.225335557641154,7.344613796093795,6.258317879469724,5.579790801685468,8.529479166666667,8.293500000000002,7.805964082546916,8.43597042014302,7.055874240383489,8.235374328150655,10.99375,10.981249999999998,10.263989420390697,11.569277440158052,9.233275166516863,8.730411688179142,8.3105,8.169499999999996,7.160324553780997,8.036499850265693,5.889609642942036,6.595912977846,7.016510416666667,6.910520833333332,6.266045349204796,7.11716299704444,5.195847724534868,5.0803066927982
2003-02-28,POMRB,8.6725,9.616666666666667,6.3575,8.629999999999999,11.815,8.334,6.8,8.38625,8.790000000000001,8.225226139462906,9.171201683277395,7.9177441250663785,7.121721233194068,7.451666666666666,7.469166666666666,7.758733448529796,7.990444867824599,8.053769757629723,7.264614242685528,7.119166666666667,7.730416666666662,6.878201334584692,7.224615118134798,7.176281515260209,6.05897875812303,8.727395833333334,8.23,8.13557844952815,8.611825551408558,8.803113336055027,9.643088843310457,10.687500000000002,11.071249999999997,10.884393652234419,11.838889540420961,11.458432993668238,10.992247700626107,8.344999999999999,8.018999999999997,7.629794732268598,8.235610425449146,7.72241734472379,7.623349121310008,8.44875,6.843020833333332,6.479627209522878,7.213555433798754,7.01129320387438,6.592753775590297
2003-05-31,PREMON,12.2425,10.393333333333333,7.91,11.413333333333336,14.55,15.036,11.305,7.593125,8.745000000000001,9.832135683677745,10.056185015836126,12.509526397443624,12.212654950707623,7.495520833333334,7.495833333333332,8.81257340245121,9.01113840442775,9.871213089281099,9.589635004252003,7.079479166666666,7.077916666666662,7.290920800750815,7.500133046123053,8.95398867539049,7.808431676731498,8.671833333333334,8.828958333333334,9.446680403050223,10.470584968727069,11.004862224279135,10.06271716729604,10.215,10.916249999999998,12.350636191340651,12.798576691385655,14.182609747204996,14.397045286438257,7.842999999999999,8.601999999999997,10.592276839361158,9.302689181064228,11.867729913157024,10.628366529130032,9.993125000000001,7.1899999999999995,8.409776325713727,8.362164309818649,9.75720417979847,9.099524281898418
2003-08-31,MONSOON,3.47,4.156666666666667,7.946666666666665,7.03,5.17,2.506,14.8,6.7671874999999995,8.0275,7.2872814102066465,8.851490098560516,5.3030431440336745,4.7897878105060405,7.088958333333334,7.407499999999999,6.9502107081373925,7.288215381027507,4.422199000455398,4.858268318931313,6.880416666666667,7.160416666666661,7.553219147117155,7.728396922868137,5.515714606411889,5.1240834338551835,8.541583333333334,8.625833333333334,8.480008241830134,9.085690351392154,5.401360057434066,7.2607407908992645,9.396875,10.458749999999998,9.47838171480439,11.141618672973898,8.325197172887258,7.489873288462604,7.42075,8.087999999999997,7.357766103616695,8.704928615993847,3.2024309249293497,5.3356426904137955,10.648333333333333,9.7075,10.965865795428236,10.328511536928008,4.070555328718971,4.193977845845953
2003-11-30,POMKH,4.25,6.1675,5.78,7.797999999999999,8.35,4.516,8.209999999999999,6.4734375,7.1587499999999995,6.072368846123988,7.868777434693956,6.825797562798673,5.755659193829981,6.549270833333333,7.583541666666666,6.637126424882436,6.654552598051507,6.752979512819905,6.1753607942099435,6.942916666666667,6.998541666666662,6.843931488270293,7.382923482124063,6.448112686037774,5.807616071844621,8.119666666666667,8.717833333333335,8.20720494509808,8.387713002167668,7.7064516563189525,8.602779815282672,8.540625,9.971249999999998,9.027029028882634,10.413157850387782,8.880817394855505,8.511438109597545,6.8255,7.597999999999997,6.221059662170017,8.347229444014735,5.944859945471823,5.173631107647719,11.031458333333333,10.278749999999999,9.863519477256942,10.574112241314218,6.8884608738137185,8.404124895855464
2004-02-29,POMRB,5.54,5.66,5.4125,7.2200000000000015,7.22,6.916,9.756666666666666,6.464375,6.375624999999999,5.859421307674393,7.2481057731121545,7.840703650649303,6.8712419779530345,6.223333333333333,6.594374999999999,6.246275854929461,5.994000957570196,8.209447724560713,7.913592828802765,6.694895833333334,6.762291666666661,6.2713588929621755,7.010236851962108,7.177436755335378,5.8779111141964835,7.50075,8.365333333333336,7.812322967058849,7.560729259180621,9.394021113413267,9.299825856557321,8.728749999999998,8.822499999999998,8.30421741732958,9.466540232089143,10.69332593577007,10.337787125589937,6.546,7.243499999999998,6.49903579730201,8.287310171756577,7.777667629033889,7.348744399981614,9.453125,11.017916666666666,9.820778353020831,11.072942609047555,8.67941652768273,6.3320081853008645
2004-05-31,PREMON,13.025,10.0325,9.355,9.448,12.295,11.692,11.413333333333332,6.498125,6.571249999999999,8.725652784604637,8.3898938895787,11.796263435280693,11.239407328839201,5.771979166666667,6.504166666666666,7.760765512957677,7.333805279027157,9.508091462307629,8.201799893840768,6.278437499999999,7.12354166666666,7.504815335777305,7.661562092099906,8.741978477811633,7.506371721389026,6.82325,7.874000000000002,8.46659378023531,8.354597406386933,11.17325412751467,9.634758851461145,9.251875,8.25875,9.90053045039775,9.962352577438402,12.428231444461728,12.489243705974467,6.8855,6.407499999999999,8.576221478381207,8.837837197135796,11.922980184163501,11.421613809428857,7.894375,11.045,10.45780034514583,11.855956045786007,11.766582939828204,10.575864356010822
