Date,Season,Jorhat East,Jorhat East_Trend,Jorhat East_SMA,Jorhat East_EWMA,Jorhat East_DES,Jorhat East_TES,Jorhat East_ARIMA
2011-08-31,MONSOON,1.90625,2.27503125,2.119375,2.1976696909977487,2.234545366761199,1.3445317947247457,1.1920784447741997
2011-11-30,POMKH,1.35,2.4419375,2.0937499999999996,1.8586018145986491,2.2251901173242543,2.2379023615164835,1.7332184549418703
2012-02-29,POMRB,3.729,2.389216145833333,2.4563124999999997,2.6067610887591894,2.218302593170334,2.950898070995235,3.1661584667968823
2012-05-31,PREMON,2.725,2.506564236111111,2.4275624999999996,2.6540566532555134,2.2104256567067546,2.9626476458723174,2.687200735735078
2012-08-31,MONSOON,1.5994791666666666,2.572661458333333,2.3508697916666663,2.2322256586199747,2.201440300736986,1.3867286151465776,1.4837809309499383
2012-11-30,POMKH,2.5955555555555554,2.497439236111111,2.662258680555555,2.3775576173942072,2.193512507859344,2.2113759976259706,1.3452662836039275
2013-02-28,POMRB,3.0122222222222224,2.530212673611111,2.483064236111111,2.631423459325413,2.186047121931026,3.1748863872501776,3.009159300311668
2013-05-31,PREMON,2.84,2.5875595238095235,2.511814236111111,2.7148540755952477,2.1784421910037306,3.001368241923942,2.6779744785047948
2013-08-31,MONSOON,1.7466666666666666,2.611785714285714,2.5486111111111107,2.327579112023815,2.1697603145577804,1.4404711293679098,1.6694364173672045
2013-11-30,POMKH,2.9071428571428566,2.5683134920634916,2.6265079365079362,2.5594046100714314,2.1623019706496587,2.283520896448564,1.9982401663055391
2014-02-28,POMRB,2.8944444444444435,2.5354489087301584,2.5970634920634916,2.6934205438206362,2.154866508888312,3.294185353733432,3.2006658231126743
2014-05-31,PREMON,2.61,2.424191468253968,2.5395634920634915,2.660052326292382,2.1471770699774506,3.0739790165264598,2.695231182921444
2014-08-31,MONSOON,1.71375,2.3205555555555555,2.5313343253968252,2.281531395775429,2.1386118033789203,1.4534879106853402,1.626454829658106
2014-11-30,POMKH,2.05,2.2818124999999996,2.3170486111111113,2.1889188374652573,2.1304301075289636,2.2874918743195307,2.679903760485521
2015-02-28,POMRB,2.9225,2.14284375,2.3240625,2.482351302479154,2.1231762639837846,3.128574755414631,2.842711730656127
2015-05-31,PREMON,2.272,1.9417499999999999,2.2395625000000003,2.3982107814874922,2.1152947758048652,2.946507640089137,2.6138278288064414
2015-08-31,MONSOON,0.94,1.7808125,2.046125,1.8149264688924953,2.1060946091168615,1.2845565386787363,1.668108046486338
2015-11-30,POMKH,1.215,1.6918124999999997,1.837375,1.5749558813354971,2.097218684181532,1.9994518640978232,2.3288382728621633
2016-02-29,POMRB,2.47,1.658125,1.72425,1.9329735288012984,2.0896634877704865,2.732820371802179,2.8103384814292944
2016-05-31,PREMON,2.0125,1.6749999999999998,1.6593750000000003,1.9647841172807792,2.0816786473125823,2.539578182182258,2.331512567825265
2016-08-31,MONSOON,0.93,1.618263888888889,1.6568750000000003,1.5508704703684675,2.0726297184273808,0.9066607797292185,1.2230912560258431
2016-11-30,POMKH,1.36,1.6764236111111113,1.6931250000000004,1.4745222822210806,2.0640621589222743,1.694006854526789,1.5135875409651478
2017-02-28,POMRB,1.8711111111111112,1.9040277777777779,1.5434027777777781,1.6331578137770928,2.056056261828948,2.5160827683874816,2.5693746942670597
2017-05-31,PREMON,3.0766666666666667,2.0631944444444446,1.8094444444444446,2.2105613549329224,2.049316560641505,2.247582448318075,2.0489485930257993
2017-08-31,MONSOON,1.6866666666666668,2.187638888888889,1.9986111111111113,2.0010034796264202,2.0411936302807856,0.881737932241583,0.9020255024719139
2017-11-30,POMKH,1.8766666666666667,2.180989583333333,2.127777777777778,1.951268754442519,2.0333032038517644,1.8230046343841453,1.2540063226698308
2018-02-28,POMRB,2.35,2.0671875,2.2475000000000005,2.1107612526655113,2.0259327149544086,2.7214252754643953,2.0508145551039076
2018-05-31,PREMON,2.5445833333333336,2.0794791666666668,2.1144791666666674,2.2842900849326404,2.0187957845475064,2.5067952159120135,2.5367293372582234
2018-08-31,MONSOON,1.3083333333333331,,2.019895833333334,1.8939073842929175,2.0104341132739165,0.9851185269668239,1.3200144777090466
2018-11-30,POMKH,2.353333333333333,,2.1390625000000005,2.0776777639090835,,1.8315199466378893,1.601323520437914
