Date,Season,Nangal Choudhry,Ateli,Kanina,Narnaul,Mahendargarh,Nangal Choudhry_Trend,Nangal Choudhry_SMA,Nangal Choudhry_EWMA,Nangal Choudhry_DES,Nangal Choudhry_TES,Nangal Choudhry_ARIMA,Ateli_Trend,Ateli_SMA,Ateli_EWMA,Ateli_DES,Ateli_TES,Ateli_ARIMA,Kanina_Trend,Kanina_SMA,Kanina_EWMA,Kanina_DES,Kanina_TES,Kanina_ARIMA,Narnaul_Trend,Narnaul_SMA,Narnaul_EWMA,Narnaul_DES,Narnaul_TES,Narnaul_ARIMA,Mahendargarh_Trend,Mahendargarh_SMA,Mahendargarh_EWMA,Mahendargarh_DES,Mahendargarh_TES,Mahendargarh_ARIMA
2001-05-31,PREMON,23.48,27.495,24.175,19.0,21.57333333333333,22.745,22.432499999999997,22.347315191570367,20.366207713210272,23.377150716268098,23.401226222715298,27.28625,26.98749999999999,26.99211563176666,26.002064971542964,27.75524451605105,26.554377823692786,22.409791666666663,20.486250000000002,21.395960167342686,20.883011146331544,19.383568858038743,19.413083724597403,17.124375,16.5875,16.860815597339876,15.274798602554814,16.130801932374712,16.22165469731019,21.773541666666667,21.757916666666656,21.47876749860144,22.775028861362713,21.73918222306346,20.9518656777522
2001-08-31,MONSOON,22.155,26.895,24.065,16.4225,21.54666666666667,22.96375,22.871249999999996,22.27038911494222,20.77548840324247,23.553555461508935,22.144204273122508,27.396250000000002,27.168749999999992,26.953269379059996,26.09883483246202,27.124148148596703,27.018289909457966,22.834583333333335,22.09625,22.46357610040561,21.877774680227404,19.679862328327246,20.69180293747551,17.478125,17.053124999999998,16.685489358403924,15.405911538378763,14.325113716049515,16.497656025900575,21.530833333333334,21.952083333333324,21.50592716582753,22.954840665837246,22.40143876208989,21.158269297285447
2001-11-30,POMKH,23.0,27.885,22.14333333333333,17.22,22.066666666666666,22.8825,22.618749999999995,22.56223346896533,21.27183946234013,26.960486860467135,23.85564994197937,27.799791666666668,27.403749999999995,27.325961627436,26.41761964392374,26.37647081281115,27.2761709719045,22.984583333333333,22.723333333333333,22.3354789935767,21.971892069411137,21.658990687549583,22.574419561143323,17.679375,17.195625,16.899293615042353,15.693419751044555,17.349657400204908,17.700277849963385,22.794583333333335,21.594999999999988,21.730222966163183,23.15965664924444,22.13264619809267,22.131788669838052
2002-02-28,POMRB,24.6,27.28,21.399999999999995,18.4,20.68,22.900625,23.308749999999996,23.377340081379202,21.987235594773754,23.418050381121944,22.341189056933704,28.786458333333336,27.388749999999995,27.307576976461604,26.504771142330465,28.6338564623576,27.08733571864836,23.16833333333333,22.94583333333333,21.96128739614602,21.807284037647104,22.608218556038373,21.87842992199964,17.9190625,17.760625,17.49957616902541,16.189360048828593,15.731886383238933,16.49987507040577,25.594166666666666,21.466666666666654,21.31013377969791,22.611494819236665,21.748858367327514,21.35256695395276
2002-05-31,PREMON,20.07,30.78333333333333,24.485,18.35,32.196666666666665,23.408125,22.456249999999994,22.05440404882752,21.670086281398934,25.02961457993082,23.168310256268654,29.884791666666665,28.210833333333326,28.697879519210293,27.442391748535197,28.947889995943697,27.532416199300172,23.75979166666667,23.02333333333333,22.970772437687614,22.646733647450652,24.016062115423022,23.701268119291633,18.60625,17.598125000000003,17.839745701415247,16.55163035674243,18.169306771039423,17.154915544164965,28.426249999999996,24.122499999999988,25.664746934485414,27.002713544844962,22.134652461959995,21.36931688427165
2002-08-31,MONSOON,25.71,31.5,25.225,18.99,33.32,23.298750000000002,23.34499999999999,23.516642429296514,22.52696329233911,22.21377910024599,24.17194878352521,31.140833333333337,29.362083333333327,29.818727711526176,28.320447465342,28.84094946345992,27.504271526233335,24.741875,23.313333333333333,23.872463462612572,23.455915403272552,23.101314344732778,23.980858789772522,19.32125,18.240000000000002,18.299847420849147,16.97625550876163,15.633371986073001,18.03674311767472,31.435,27.06583333333332,28.726848160691247,31.253249273860785,23.70417211272698,23.133438727346444
2002-11-30,POMKH,23.505000000000006,32.06666666666667,25.715,20.15,32.95,23.339375000000004,23.471249999999994,23.51198545757791,22.78233441814366,24.862146581567508,20.428328283131922,31.751875000000005,30.407499999999995,30.717903293582374,29.116700853628572,29.181741307149014,29.44293917958834,25.138125000000002,24.20625,24.609478077567545,24.16691407198184,22.44298040875897,23.171832914788,20.138749999999998,18.972500000000004,19.039908452509486,17.570895206666858,18.999948512862925,18.50474599626472,31.804375000000004,29.786666666666655,30.416108896414748,34.44729439941314,25.00502914456958,24.97515347856565
2003-02-28,POMRB,23.22,33.14666666666667,25.685,21.19,33.86666666666667,23.3303125,23.12624999999999,23.395191274546747,22.931838451784067,25.409833013086782,25.968858962997455,31.693958333333335,31.87416666666666,31.68940864281609,29.979781411326915,31.543999896890128,30.663111693304383,25.180625000000003,25.277500000000003,25.039686846540526,24.64933158352897,23.11128119694151,23.601085673333603,20.79625,19.67,19.89994507150569,18.265399591010574,17.729769588870568,18.57676686628315,30.8725,33.08333333333332,31.796332004515516,37.06670862524275,25.13313633065076,25.818023835352456
2003-05-31,PREMON,21.775,29.805,23.37,22.1,21.965,23.045,23.552499999999995,22.747114764728046,22.76727915377308,21.584984361443492,22.835576440046722,31.85,31.62958333333333,30.935645185689655,29.791388427893015,33.38213102127781,31.519242571551967,25.365000000000002,24.998750000000005,24.371812107924313,24.267596199819437,26.29680072952118,25.97093834750152,21.066250000000004,20.6075,20.779967042903415,19.0044885775576,20.38234323313232,19.958169458321805,30.256458333333335,30.525416666666658,27.86379920270931,33.52011664923701,31.446062054031884,30.981568999153257
2003-08-31,MONSOON,23.9325,32.015,26.68,20.5,36.09666666666667,23.154374999999998,23.108124999999994,23.22126885883683,23.06023439171282,25.91953020538707,23.40161840836454,33.27333333333333,31.758333333333326,31.367387111413795,30.201288787816658,32.42394989435014,32.3556031502994,25.218125,25.362500000000004,25.29508726475459,25.02641878840946,25.503126701994134,24.559422075249575,21.13375,20.985000000000003,20.66798022574205,19.18359655526395,18.26387555982666,20.03538671149457,27.965000000000003,31.219583333333325,31.156946188292256,35.9063280807927,30.5259920774038,29.88019463987269
