Date,Season,Mandsaur,Garoth,Malhargarh,Sitamau,Bhanpura,Mandsaur_Trend,Mandsaur_SMA,Mandsaur_EWMA,Mandsaur_DES,Mandsaur_TES,Mandsaur_ARIMA,Garoth_Trend,Garoth_SMA,Garoth_EWMA,Garoth_DES,Garoth_TES,Garoth_ARIMA,Malhargarh_Trend,Malhargarh_SMA,Malhargarh_EWMA,Malhargarh_DES,Malhargarh_TES,Malhargarh_ARIMA,Sitamau_Trend,Sitamau_SMA,Sitamau_EWMA,Sitamau_DES,Sitamau_TES,Sitamau_ARIMA,Bhanpura_Trend,Bhanpura_SMA,Bhanpura_EWMA,Bhanpura_DES,Bhanpura_TES,Bhanpura_ARIMA
2005-05-31,PREMON,15.992857142857144,17.029999999999998,16.255,19.216,13.58,12.741160714285714,9.70714285714285,12.580392370589673,14.85113781840656,13.794021858373723,14.038325682878789,13.361062499999997,12.209666666666656,14.023018915510242,14.547943361579154,17.285770348336865,17.43131567255259,14.7703125,13.015624999999996,14.845791232793108,18.76564195802713,20.289328226047235,20.235538481860548,13.4555625,11.51358333333333,14.568993991220204,13.475519104741267,19.68005821051945,18.66326560303386,10.316916666666668,9.439416666666665,11.038829964795223,11.135894409023106,12.896394199721978,13.129807980867273
2005-08-31,MONSOON,13.018333333333333,16.178,16.560000000000002,14.576666666666668,9.286,14.350089285714287,11.669940476190469,12.755568755687136,14.561776920832399,9.263219040269881,13.647559223213864,12.513312499999998,14.049999999999988,14.885011349306147,15.202704655563053,10.397725951212035,8.558436658945247,15.0034375,14.833749999999997,15.531474739675865,18.373005630406876,10.003780845219387,9.08309267065289,12.522229166666667,14.02858333333333,14.57206306139879,14.199285773571992,7.822091049230313,8.120547703129354,10.485041666666667,10.134416666666665,10.337697978877134,10.429304551419788,6.584471429479759,8.663592952578757
2005-11-30,POMKH,14.738333333333335,6.922499999999999,13.6275,6.6475,8.655,14.999107142857145,13.812380952380947,13.548674586745616,14.520230405092153,10.751520846482531,12.223701014831496,11.628874999999999,12.672124999999989,11.700006809583687,12.808575650654998,13.695239009525558,12.177893945463403,14.465208333333333,14.706874999999998,14.769884843805519,17.511073557645908,14.231061537036505,14.338111417325862,11.005229166666668,12.882541666666665,11.402237836839275,11.091056007444534,12.52200417283319,13.033611766961796,10.720416666666667,10.499416666666665,9.66461878732628,9.590154811140785,9.806151106971846,8.33319710579222
2006-02-28,POMRB,15.801666666666668,9.2875,14.7575,8.2075,10.361666666666666,13.743958333333335,14.887797619047614,14.449871418714038,14.632137926128832,14.716957470981228,14.932829873704334,9.131625,12.35449999999999,10.735004085750212,11.732719169067979,13.852177708083953,14.261697835857811,11.975729166666667,15.299999999999999,14.764930906283311,16.889803550380996,16.983955215519792,14.92674254742347,8.725000000000001,12.161916666666663,10.124342702103565,9.3650790010647,14.560709410859102,9.712976404817965,10.476666666666667,10.470666666666665,9.943437939062434,9.885185328629346,11.267425777205869,10.687308718431968
2006-05-31,PREMON,16.883333333333333,11.225,9.576666666666666,9.9625,15.578000000000005,11.20625,15.110416666666662,15.423256184561756,14.895525798001566,18.113856816063407,16.846215234109142,7.130624999999999,10.90324999999999,10.931002451450127,11.524049137452455,16.157697195144515,14.615135289870627,9.883229166666666,13.630416666666665,12.689625210436652,15.467693566372105,20.631502867648184,21.317827177901883,8.289479166666666,9.848541666666662,10.05960562126214,8.956426149697686,18.500061550833657,16.73202809763774,9.699833333333334,10.970166666666666,12.197262763437463,12.902375778252496,13.465195978081614,12.255456618582397
2006-08-31,MONSOON,2.0866666666666664,2.005,3.3225,5.588333333333333,5.337999999999999,9.245833333333334,12.377499999999996,10.088620377403721,13.153774525201325,12.790005943128964,7.951967983723642,6.6453125,7.35999999999999,7.360601470870076,8.566763640994647,8.102227510509508,3.960666220051571,9.708229166666666,10.321041666666664,8.942775126261992,13.153933379552127,8.104225415989996,3.6022228933121783,10.373020833333333,7.601458333333328,8.271096706090617,6.95088993306683,4.731160936582171,7.712102706056378,9.293791666666667,9.983166666666666,9.453557658062477,9.685456616344059,7.684496845918427,9.04397079366714
2006-11-30,POMKH,5.368333333333333,5.0875,10.125,12.151666666666667,6.388333333333333,7.998333333333334,10.034999999999995,8.200505559775566,11.934018426105794,9.617903343659576,7.099504362182357,6.050833333333333,6.90124999999999,6.451360882522046,7.331981953174754,8.434952765432417,7.147037683927038,10.973333333333333,9.445416666666665,9.415665075757195,12.15799221733049,8.711168181199726,6.998449492073201,12.331979166666667,8.977499999999994,9.823324690321037,8.532684240147855,8.035206042921475,7.018528808784601,8.435083333333333,9.4165,8.227467928170821,7.9848461249455465,9.029858470290517,6.393411056880234
2007-02-28,POMRB,9.488333333333337,7.24,16.86,19.371666666666666,9.38,8.210208333333334,8.456666666666662,8.715636669198675,11.343340675360109,10.297278853705413,10.496081788201595,6.031041666666667,6.3893749999999905,6.766816529513228,7.08777578137018,9.446890036620733,8.536181465451781,13.3796875,9.971041666666665,12.393399045454316,12.396266468489577,12.10823908540786,11.852873655666045,12.427374999999998,11.76854166666666,13.642661480859289,13.828037361798115,12.438692473495669,9.861603817209918,8.309020833333333,9.171083333333334,8.688480756902493,8.36728797226137,9.9371708552235,9.379708899776222
2007-05-31,PREMON,13.216666666666667,8.516666666666667,17.595,14.470000000000002,9.69,9.253124999999999,7.539999999999996,10.51604866818587,11.308540009124668,12.595813794202849,14.226062908709938,6.301354166666668,5.7122916666666566,7.466756584374604,7.309124993942253,12.340945765620749,13.867432869459403,15.7409375,11.975624999999997,14.47403942727259,12.81187763295949,17.98401252909963,22.29831783407377,11.849541666666667,12.89541666666666,13.973596888515573,15.877953081424465,19.522777654498835,14.917243823205904,9.49125,7.699083333333332,9.089088454141496,8.844119885164933,12.264509033217339,13.41985648755726
2007-08-31,MONSOON,7.448333333333332,4.555,14.555,1.844,10.2175,9.667083333333332,8.880416666666662,9.288962534244856,10.537686678576554,5.904137771520465,6.382831173054287,7.383416666666667,6.349791666666657,6.302053950624762,6.292327236718348,4.562152487739856,6.3481454127890355,16.34875,14.783749999999998,14.506423656363555,12.758992878702172,8.862456962638126,11.124267120588145,11.413708333333334,11.959333333333328,9.121758133109344,11.091708952279207,6.578697424057523,8.084438826386608,10.440416666666666,8.918958333333332,9.540453072484897,9.477684761323372,4.741566274513953,5.165438724381056
