Date,Season,Mandi,Sundarnagar,Aut,Mandi_Trend,Mandi_SMA,Mandi_EWMA,Mandi_DES,Mandi_TES,Mandi_ARIMA,Sundarnagar_Trend,Sundarnagar_SMA,Sundarnagar_EWMA,Sundarnagar_DES,Sundarnagar_TES,Sundarnagar_ARIMA,Aut_Trend,Aut_SMA,Aut_EWMA,Aut_DES,Aut_TES,Aut_ARIMA
2001-08-31,MONSOON,3.658,5.096666666666667,14.945,4.8838125,4.835000000000003,4.5759416664989825,4.323953004501455,4.5267274945199025,4.771019862053513,4.367604166666666,4.296875,4.172116901233297,3.9794457182661955,3.5127704025705633,3.972341797558722,15.20453125,14.845312500000006,14.907984617516071,14.538910457581096,14.242763628733547,14.89814557014004
2001-11-30,POMKH,4.7360000000000015,5.48,15.755,4.831125000000001,4.896000000000003,4.63996499989939,4.371667485606022,4.586491657299607,4.607410258735244,4.896666666666667,4.369375,4.695270140739979,4.2191044908867985,4.274534889543872,4.253021625550421,15.0075,15.051562500000005,15.246790770509644,14.888574167089907,15.295481461101222,14.919146771824112
2002-02-28,POMRB,4.7725,5.496666666666666,15.39,4.882125,4.8716250000000025,4.692978999939634,4.418092545370474,5.1991477182954045,4.840855617623513,5.467916666666667,4.365833333333333,5.015828751110654,4.4099044365755296,5.029897278687542,4.559327610860672,14.795,15.357500000000005,15.304074462305786,14.93742321959769,15.554822927889989,15.293794852606858
2002-05-31,PREMON,5.996,5.636666666666668,12.54,4.903875,4.790625000000002,5.21418739996378,4.600136775928827,5.004977517868843,4.870739586278258,5.0008333333333335,5.427499999999999,5.264163917333059,4.5874031829507675,4.562692123492337,4.7933270582564935,14.96,14.657500000000006,14.198444677383472,13.780773614043545,15.369652439861467,15.336916147850188
2002-08-31,MONSOON,4.3900000000000015,5.419999999999999,16.044999999999998,4.948812500000001,4.973625000000002,4.884512439978269,4.5761817699676595,4.3468366091319055,4.264020310768897,4.510833333333333,5.508333333333332,5.326498350399835,4.682460547655017,4.470284060081993,5.0038601459858585,14.15,14.932500000000006,14.937066806430082,14.57424610924446,13.430088530171222,14.083275877549235
2002-11-30,POMKH,4.178,1.42,15.975,5.083000000000001,4.834125000000002,4.6019074639869615,4.530559843623383,4.880265990543398,4.862648960914142,4.597916666666667,4.493333333333331,3.7638990102399013,3.948892806510484,5.095866948557717,5.107746146781385,13.631874999999999,14.987500000000006,15.35224008385805,15.00029117817747,15.337604616620824,14.962564432915965
2003-02-28,POMRB,5.69,5.636666666666668,8.69,5.033750000000001,5.063500000000002,5.037144478392177,4.664396656314676,5.115921535302724,4.7586444412595625,4.913124999999999,4.5283333333333315,4.513006072810608,4.226852671792752,4.714839329180062,4.187129859629179,13.145624999999999,13.312500000000007,12.687344050314831,12.216491746412697,15.677201094069352,15.416360660935567
2003-05-31,PREMON,6.151999999999999,6.1933333333333325,15.095,5.08075,5.102500000000001,5.483086687035306,4.836050207245135,5.493959406090733,5.4444064602615345,5.703333333333332,4.667499999999998,5.185136977019698,4.556675294927063,4.351070700718124,4.54899507471044,11.739375,13.951250000000007,13.650406430188898,13.282071475943562,12.423975047211167,12.40145561860942
2003-08-31,MONSOON,3.84,7.385,9.6,5.2075,4.965000000000001,4.825852012221183,4.721559375427916,4.5623233649548505,4.596960519040603,6.2562500000000005,5.158749999999999,6.065082186211819,5.055314856990593,4.437080257699249,4.959490882324184,11.446250000000001,12.340000000000007,12.030243858113339,11.609170062293677,12.938807065130769,13.60876235497675
2003-11-30,POMKH,5.104,5.776666666666666,11.17,5.2085,5.1965,4.937111207332711,4.765884878075795,4.71721498998113,4.4537768935641555,6.172083333333333,6.247916666666665,5.949715978393758,5.12044618971102,5.532467047812793,5.564999685398743,11.999375,11.138750000000007,11.686146314868003,11.302187902955207,12.164997790496836,11.811945555113747
2004-02-29,POMRB,5.778,5.703333333333332,11.15,5.14475,5.2185,5.2734667243996265,4.8827607396070976,5.529080088195208,5.276238043607536,5.7664583333333335,6.264583333333332,5.851162920369588,5.156572763945468,6.078936641556463,5.617840640367743,13.113125,11.753750000000007,11.471687788920802,11.117786988268126,11.749022566492412,11.52421122319612
2004-05-31,PREMON,6.072,5.453333333333332,17.060000000000002,4.992687500000001,5.198499999999999,5.5928800346397765,5.020050444847042,5.816239635673123,5.915236213130598,4.866249999999999,6.079583333333332,5.692031085555086,5.134332413331567,5.427924439184258,5.639183201518313,14.663125,12.245000000000008,13.707012673352484,13.468644228650735,11.343080936282435,11.356481397131144
2004-08-31,MONSOON,3.41,4.88,16.544999999999998,4.848625,5.090999999999999,4.719728020783866,4.834827863362151,4.513134819499461,4.355883300401479,3.9349999999999996,5.453333333333331,5.367218651333051,5.001138019961322,5.100735358605295,5.59278728140761,15.98125,13.981250000000008,14.842207604011488,14.603042986403715,13.22115332480972,13.912925789810881
2004-11-30,POMKH,4.3175,1.08,16.625,4.773875,4.894374999999999,4.55883681247032,4.775492917381665,4.73799847383208,4.437337798990621,3.5816666666666666,4.279166666666664,3.6523311907998304,4.129453424887507,5.4597666045127315,5.41484568814254,16.5075,15.34500000000001,15.555324562406893,15.28699715192914,15.446713411848751,15.09268022286741
2005-02-28,POMRB,5.412000000000001,2.95,16.240000000000002,4.826625000000001,4.802875,4.900102087482193,4.849093665300593,5.263795122839045,4.970370768387682,3.0493750000000004,3.5908333333333307,3.3713987144798985,3.825419807813802,4.918370047080351,4.332686442367215,16.226875,16.617500000000007,15.829194737444137,15.519284433543612,16.03091518262639,15.779500162417092
2005-05-31,PREMON,5.8400000000000025,5.38,16.18,4.957937500000001,4.744875000000001,5.276061252489317,4.963530586755222,5.519460954645199,5.593428358936122,3.0470833333333336,3.572499999999997,4.174839228687939,4.078445291520005,3.878233918089254,3.987509930060402,15.888125,16.397500000000008,15.969516842466483,15.627585874409137,16.01766072596055,15.985906472203933
2005-08-31,MONSOON,4.064,0.6950000000000001,15.18,4.979250000000001,4.908375000000001,4.7912367514935905,4.860167345895553,4.0002203544507555,3.881506840064011,3.8629166666666666,2.5262499999999974,2.7829035372127633,3.330067413567826,3.878598571000693,4.335133838668568,15.688125000000001,16.05625000000001,15.653710105479888,15.274034834643722,15.428812038935185,16.07290352531078
2005-11-30,POMKH,4.714,5.246666666666667,15.28,4.812250000000001,5.007500000000001,4.7603420508961545,4.843597036651402,4.722948120746972,4.60977768552592,4.135,3.567916666666664,3.768408788994325,3.6641070090494083,3.5261092285679405,3.426403802022798,15.490625,15.72000000000001,15.504226063287932,15.112802468941798,16.062106269487792,15.672684227466018
2006-02-28,POMRB,5.186,5.31,15.985,4.569,4.9510000000000005,4.930605230537693,4.88331639199177,5.481567839631138,5.420758125399777,4.638541666666667,4.157916666666664,4.385045273396595,3.938146452923059,4.394736396453319,3.880817736715522,15.408124999999998,15.656250000000009,15.69653563797276,15.313368185553973,15.768431996478768,15.496674388400299
2006-05-31,PREMON,4.73,5.196666666666666,14.855,4.4105,4.6735,4.850363138322615,4.865923693690297,5.623281615647918,5.657803201218263,5.167916666666667,4.112083333333331,4.709693830704623,4.129577924424052,4.026674642157246,4.237601555287359,15.618125000000001,15.325000000000008,15.359921382783655,14.958703107878646,15.756542876765828,15.715552831428086
2006-08-31,MONSOON,3.228,4.906666666666667,15.845,4.271,4.4645,4.201417882993569,4.6774811248586445,3.665279082831169,3.408838186305024,5.1475,5.164999999999997,4.7884829650894405,4.220720174748014,3.9518927444552308,4.477024420717102,15.785625000000001,15.49125000000001,15.553952829670195,15.166781242541923,14.687161362364066,15.329833836945904
2006-11-30,POMKH,4.281999999999999,5.27,16.295,4.230250000000001,4.3565000000000005,4.233650729796141,4.6321759879312445,4.212693124857736,3.996278226532533,4.601458333333333,5.170833333333331,4.981089779053664,4.3653864315906405,4.574006922229313,4.584281140218633,15.309375,15.745000000000012,15.850371697802117,15.473189667503455,15.947988692636656,15.560742814462964
2007-02-28,POMRB,4.502000000000002,5.123333333333334,16.31,4.15075,4.185500000000001,4.340990437877685,4.617435439503152,4.946688811961288,4.940771388390785,4.1033333333333335,5.124166666666665,5.0379872007655315,4.448904420041314,5.215971288445077,4.755465319832836,14.124375,15.826250000000012,16.03422301868127,15.655183115426684,16.161275194979833,15.889853280379002
2007-05-31,PREMON,5.088,1.015,10.72,3.9680000000000004,4.275000000000001,4.63979426272661,4.671908341936882,4.935689191397115,4.969342922455898,4.145416666666667,4.0787499999999985,3.428792320459319,3.6844309845080883,4.6221142643948685,4.847300600719623,12.766875,14.792500000000011,13.908533811208763,13.435960490983206,16.121356192894783,16.07817242164342
2007-08-31,MONSOON,2.2339999999999995,5.1033333333333335,10.5,3.88575,4.0265,3.677476557635966,4.3912848182148805,3.3966220591207037,3.3320744004357605,4.239583333333333,4.127916666666666,4.0986087256089245,3.9122994851630932,3.4325610665295567,3.8905976822985497,11.99625,13.456250000000011,12.545120286725258,12.071548300069514,13.030153029810135,13.676519898684779
2007-11-30,POMKH,3.814,5.41,10.78,3.86975,3.9095000000000004,3.73208593458158,4.325017264537744,3.797034094806802,3.7428012136382387,4.826458333333333,4.162916666666666,4.623165235365355,4.152451957868702,4.216877468998415,4.1933473508397885,11.9775,12.077500000000011,11.839072172035156,11.405299077386449,12.620680464071457,12.252732751020588
2008-02-29,POMRB,4.311999999999999,5.736666666666667,15.66,3.9509999999999996,3.862,3.9640515607489473,4.323758062544685,4.424337618831507,4.3455228890182545,4.998125000000001,4.316249999999999,5.06856580788588,4.4062511006349245,4.971728339596486,4.497074866352985,12.325000000000001,11.91500000000001,13.367443303221094,13.051620414127862,11.827342534682614,11.592621047103531
2008-05-31,PREMON,5.15,5.096666666666667,11.22,3.98825,3.8774999999999995,4.438430936449368,4.419193967551913,4.625394988886208,4.792638965745118,4.664583333333334,5.336666666666666,5.079806151398195,4.475478013640708,4.576962715500721,4.806528955833399,13.594375000000001,12.04000000000001,12.508465981932655,12.1503727385779,13.41533249998353,13.415711115014517
2008-08-31,MONSOON,2.822,2.395,12.78,3.976,4.0245,3.791858561869621,4.235419221085894,2.977670170616017,2.9843027565200395,4.615833333333333,4.659583333333332,4.005883690838917,3.9839430078120244,4.35751001488837,4.878959493940476,13.97875,12.61000000000001,12.617079589159593,12.281860650318528,11.748241755619777,12.431544364843841
2008-11-30,POMKH,3.524,5.45,18.655,4.052499999999999,3.952,3.684715137121773,4.153688713581808,3.910759762469526,4.018621440666056,4.633333333333334,4.669583333333332,4.58353021450335,4.216562425371396,4.300145749492737,4.258859051755344,13.34125,14.57875000000001,15.032247753495756,14.799365692378455,12.932693027398903,12.587729961248234
