Date,Season,Narwana,Uchana,Jind,Pilukhera,Safidon,Julana,Alewa,Narwana_Trend,Narwana_SMA,Narwana_EWMA,Narwana_DES,Narwana_TES,Narwana_ARIMA,Uchana_Trend,Uchana_SMA,Uchana_EWMA,Uchana_DES,Uchana_TES,Uchana_ARIMA,Jind_Trend,Jind_SMA,Jind_EWMA,Jind_DES,Jind_TES,Jind_ARIMA,Pilukhera_Trend,Pilukhera_SMA,Pilukhera_EWMA,Pilukhera_DES,Pilukhera_TES,Pilukhera_ARIMA,Safidon_Trend,Safidon_SMA,Safidon_EWMA,Safidon_DES,Safidon_TES,Safidon_ARIMA,Julana_Trend,Julana_SMA,Julana_EWMA,Julana_DES,Julana_TES,Julana_ARIMA,Alewa_Trend,Alewa_SMA,Alewa_EWMA,Alewa_DES,Alewa_TES,Alewa_ARIMA
2005-02-28,POMRB,8.275,14.95,12.444,5.25,6.96,4.8900000000000015,13.305,8.259625,8.233749999999995,8.254166102140676,8.498058725439346,8.485201685987978,8.382282615130274,13.678749999999999,14.009375,14.000855483627362,13.760884691562826,13.332795591584997,13.244905899252698,12.6351875,12.434000000000001,12.393479946284428,10.061404208829542,12.572241850240935,12.181082641268128,5.15625,4.953749999999997,4.92147031717189,4.9091406093699455,4.652588560038442,4.37318723408487,7.221875000000001,7.187499999999996,7.195707723876751,7.49987408047971,7.1050487432951295,6.991370379110659,5.1353125,5.010625,4.922047262723037,5.259424803856331,4.902148953961838,5.184143321343267,13.320000000000002,13.301250000000007,13.361893673629343,14.714856719176396,12.151226077813302,12.657100303531475
2005-05-31,PREMON,8.366,13.48,12.844,5.57,7.38,5.8,13.09,8.7868125,7.897749999999995,8.298899661284405,8.505944246230303,9.079434548739986,8.150816889492802,13.403125,13.795,13.792513290176416,13.819617470181198,15.25120406953473,13.75384578111208,12.505937499999998,12.570500000000001,12.573687967770656,10.115242788389198,12.20331487847729,10.737815877130728,4.800625,5.328749999999997,5.180882190303134,5.158191105466361,6.182217104819097,5.540694910346072,7.2175,7.157499999999995,7.26942463432605,7.56784794181301,7.753146444125955,7.067626748656477,5.360625000000001,5.059375,5.273228357633823,5.2821612031148115,5.798643635296017,5.454067820277859,13.338125,13.305000000000007,13.253136204177606,14.592158133828663,12.75460880054862,14.039685764003497
2005-08-31,MONSOON,9.765,12.2075,13.177499999999998,4.23,7.785,5.72,13.45,9.220666666666666,8.621499999999996,8.885339796770644,8.875795210083968,8.567345737643965,8.156378675111291,12.77,13.5625,13.158507974105849,13.657049090705744,14.515610090993468,13.672107747166747,12.204749999999999,12.699875000000002,12.815212780662392,10.16936946020675,12.655742159052249,13.90605484796412,4.43375,4.983749999999997,4.80052931418188,4.878636924954818,5.458594521565325,4.9894322019618755,7.144375,7.286249999999995,7.4756547805956295,7.7714266217494,7.755767662142453,7.1643584838040555,5.589583333333333,5.21125,5.4519370145802935,5.303788915560709,5.363181064782083,5.18787092911411,13.340624999999998,13.335000000000008,13.331881722506562,14.582404688325896,16.019351021087243,14.847285751177514
2005-11-30,POMKH,9.4025,12.337500000000002,10.7825,3.42,6.4700000000000015,5.63,13.52,9.871375,8.952124999999995,9.092203878062387,9.056948931124985,9.00876741058358,8.424918900137898,12.274375,13.243750000000002,12.830104784463511,13.541968994529496,13.198155518692095,13.234948710907874,12.0616875,12.312000000000001,12.002127668397435,10.223785745369552,12.74383298938291,12.544273557078448,4.20125,4.617499999999998,4.248317588509128,4.420513938421384,4.021339278032258,3.7805064254854788,7.186875000000001,7.148749999999995,7.073392868357378,7.3718691092970525,8.032591142570505,7.394257775436073,5.690416666666667,5.51,5.523162208748176,5.32418193482645,4.85547469778934,4.903416772403796,13.424999999999999,13.341250000000008,13.407129033503939,14.574148292548623,13.815179684032664,12.789411393649159
2006-02-28,POMRB,10.423333333333334,11.160000000000002,11.586,3.78,6.925,5.526666666666666,13.3,10.494583333333335,9.489208333333329,9.624655660170765,9.457462593366195,8.988538144059818,8.917864951168866,12.468750000000002,12.29625,12.162062870678108,13.249032699553654,13.597787595080955,12.967076432947305,11.9461875,12.0975,11.835676601038461,10.278493217617536,12.784335235707625,12.427259551073197,4.305,4.249999999999998,4.060990553105476,4.232620622395724,3.5441440390786187,3.698337090630271,6.991875,7.139999999999995,7.014035721014427,7.307315835294316,6.826152404057909,6.973136369327602,5.726666666666667,5.6691666666666665,5.5245639919155725,5.3431734020599535,4.994850943468077,5.577375074090746,13.5925,13.340000000000009,13.364277420102363,14.47991424279,13.15718986935104,12.303880420628474
2006-05-31,PREMON,11.423333333333336,13.305,12.5575,5.18,7.755,5.97,13.77,10.5403125,10.253541666666663,10.344126729435793,10.01593553667161,9.9735065887507,9.34237643823722,12.400312500000002,12.252500000000001,12.619237722406865,13.359951969418423,13.265497803942651,12.427696661536453,11.8143125,12.025875,12.124405960623076,10.333493436351887,12.533185575245842,11.60639850101824,4.755,4.152499999999998,4.508594331863286,4.57330239174889,4.833185682944482,4.733867718767929,7.023125,7.233749999999996,7.310421432608656,7.598908797219794,7.57746755342167,7.028288459065061,5.760104166666666,5.711666666666666,5.702738395149343,5.367431554799185,5.8913456248022555,5.77725337151939,13.8425,13.510000000000009,13.526566452061417,14.530934496346136,12.96859074081598,13.505659464123045
2006-08-31,MONSOON,11.693333333333333,13.9375,12.54,5.45,5.85,5.84,14.11,10.371145833333333,10.735624999999997,10.883809370994808,10.502132605075904,9.975256541146504,9.963568547700309,12.333750000000002,12.685000000000002,13.146542633444119,13.558604664146072,12.494816771659988,12.68955590862246,11.601374999999999,11.866499999999998,12.290643576373846,10.388787960628774,12.87782929966581,13.369013145981043,5.32,4.457499999999998,4.8851565991179715,4.892392396200964,4.747723514625377,4.744387376471968,7.488125,6.749999999999996,6.726252859565194,7.018033136667927,7.813137247021639,7.4245895983638475,5.812395833333333,5.741666666666666,5.757643037089606,5.389969794691139,5.455883054288321,5.415558943814795,14.205,13.675000000000008,13.759939871236849,14.656869828279632,14.875263294184505,12.686026289658399
2006-11-30,POMKH,7.84,10.06,10.365,5.8,8.655000000000001,5.7775,14.86,10.304062499999999,10.344999999999995,9.666285622596885,9.861730928671722,10.54029401123784,10.6650233017799,12.498125,12.115625000000001,11.91192558006647,13.079791145857488,12.343594859972715,13.062044745546144,11.585625,11.762125,11.520386145824308,10.444378349071131,12.09125516728894,11.812157266777076,5.65625,5.052499999999998,5.251093959470783,5.223652546207638,4.595311936168481,4.560805629882936,7.772500000000001,7.296249999999996,7.497751715739117,7.779969840481789,7.246785689522253,6.48621244995498,5.7734375,5.7785416666666665,5.7655858222537635,5.411606450117725,4.948176687295579,5.14755371233838,14.514999999999999,14.010000000000009,14.19996392274211,14.967055302486376,14.51164480772654,13.704638906615035
2007-02-28,POMRB,10.6325,12.905,10.3,5.92,8.46,5.797499999999999,14.86,10.199479166666666,10.397291666666662,10.05277137355813,10.11128386768785,9.785141595301518,10.663698746181892,12.229270833333334,12.551875,12.309155348039882,13.15097379806908,11.802053531552271,12.165988453130842,11.488958333333333,11.440625,11.032231687494583,10.50026620069207,12.39719396766682,11.945814471828108,5.675,5.587499999999999,5.51865637568247,5.486373604099801,5.319886666480305,5.272836783610676,8.1875,7.679999999999995,7.88265102944347,8.171625038184358,7.297598125469433,7.531623765639999,5.5984375,5.8462499999999995,5.7783514933522575,5.4333451002251,5.087552932974315,5.715464233945997,14.75875,14.40000000000001,14.463978353645267,15.191922806680978,14.314240932399137,14.402143174572632
2007-05-31,PREMON,10.677499999999998,12.875000000000002,13.7175,5.73,8.495000000000001,5.3875,14.69,10.94,10.21083333333333,10.302662824134877,10.308858779639813,10.63057636833315,10.02907908794982,12.377083333333335,12.444375,12.53549320882393,13.20584768503611,13.010847999538354,12.386570090936912,11.230416666666668,11.730625000000002,12.10633901249675,10.556453133368816,12.425267588683322,12.144805475106816,5.5375000000000005,5.724999999999999,5.603193825409482,5.599612560406564,6.851313108063586,6.246227869416503,7.971875000000001,7.864999999999996,8.127590617666083,8.42693746401081,8.4990117033535,8.094850967855356,5.493645833333334,5.700625,5.622010896011355,5.449936045983127,5.984047614308496,5.977971986866105,16.13625,14.63000000000001,14.55438701218716,15.297931701708434,14.61583412958359,14.399636225110214
