Date,Season,Sonpeth,Manwat,Gangakhed,Palam,Parbhani,Pathri,Jintur,Selu,Purna,Sonpeth_Trend,Sonpeth_SMA,Sonpeth_EWMA,Sonpeth_DES,Sonpeth_TES,Sonpeth_ARIMA,Manwat_Trend,Manwat_SMA,Manwat_EWMA,Manwat_DES,Manwat_TES,Manwat_ARIMA,Gangakhed_Trend,Gangakhed_SMA,Gangakhed_EWMA,Gangakhed_DES,Gangakhed_TES,Gangakhed_ARIMA,Palam_Trend,Palam_SMA,Palam_EWMA,Palam_DES,Palam_TES,Palam_ARIMA,Parbhani_Trend,Parbhani_SMA,Parbhani_EWMA,Parbhani_DES,Parbhani_TES,Parbhani_ARIMA,Pathri_Trend,Pathri_SMA,Pathri_EWMA,Pathri_DES,Pathri_TES,Pathri_ARIMA,Jintur_Trend,Jintur_SMA,Jintur_EWMA,Jintur_DES,Jintur_TES,Jintur_ARIMA,Selu_Trend,Selu_SMA,Selu_EWMA,Selu_DES,Selu_TES,Selu_ARIMA,Purna_Trend,Purna_SMA,Purna_EWMA,Purna_DES,Purna_TES,Purna_ARIMA
2004-08-31,MONSOON,8.108833333333333,1.9675,5.67125,1.51125,4.719875,3.9325,3.949375,6.5458333333333325,0.8325,8.904948717948718,9.435317307692308,9.453255953638696,9.051754299110874,8.748144123908148,9.961947633122104,4.680625,4.474375000000003,4.214425986071327,3.919986110877669,2.9518085279486903,2.907035614849458,8.970625,8.445312500000002,8.619993192595425,7.887778782314221,8.746543370119847,9.544561807707737,5.4703125,4.957812499999998,4.558703952608652,6.396511398660625,3.9762025258367677,3.4210375787699263,7.835385416666667,8.140218750000003,7.478874387391888,6.75917960737933,7.3612491962747075,7.2461195479589025,4.871874999999999,4.700625,4.691321022243195,4.214805476374041,4.057814828889002,4.551580720320722,6.75275,6.922843750000002,6.369654951249844,7.457888986637453,4.9370920510669976,5.429059743115499,9.813333333333336,10.312291666666662,9.534317698288069,9.254080206509672,9.409235738054997,10.906937297741951,3.1218749999999997,3.033124999999999,2.9718319702240867,4.058294598330878,2.123882631733731,2.130118913346979
2004-11-30,POMKH,7.919487179487182,3.38,5.83125,3.3675,4.2411666666666665,3.63,4.958625,6.3475,1.2049999999999998,8.374580128205128,9.435317307692308,8.83974844397809,9.038790713562548,7.749380223708558,7.8666055434708415,5.0181249999999995,4.249375000000002,3.880655591642796,3.8202201826471236,2.650219157288527,2.519577800369509,8.213125000000002,8.903125000000001,7.504495915557255,7.516426626500539,7.769707800682603,5.914787026571883,5.8646875000000005,5.113437499999998,4.082222371565191,6.34653221961534,4.554522956314171,3.4044996280102695,8.000885416666668,7.5005104166666685,6.1837912991018,6.813656243231893,5.890900972236704,4.725674123921315,5.43625,4.403124999999999,4.266792613345917,3.9626437127389353,3.501145302407884,3.3596237060273806,6.9575625,6.496000000000001,5.805242970749906,6.238304002908046,5.33812177101003,5.0212403414638525,10.301666666666666,9.562499999999996,8.259590618972842,8.025576362396496,5.395245773979627,5.275136198563904,2.803125,3.009374999999999,2.2650991821344517,3.007078895132008,2.095433294639602,2.09354221605853
2005-02-28,POMRB,3.95,6.45,7.05,9.23,12.275,6.9,8.441999999999998,13.18,3.9,8.204725961538461,8.37458012820513,6.883849066386854,8.682197816871783,8.442832286453791,8.466817584364437,4.8909375,5.111875000000002,4.9083933549856775,4.224842728992151,5.24392703808738,4.089453229550481,7.59796875,9.038125,7.322697549334353,7.442701350497061,7.897577057907554,7.159304351418444,5.97578125,5.827187499999998,6.141333422939114,6.425355999665297,7.268264674659484,5.91021848705499,8.036838541666667,8.170260416666668,8.62027477946108,6.8685720208639545,7.858548109088064,7.228523176456352,5.5590625,5.340624999999999,5.32007556800755,4.630175550318958,4.300278640240823,3.7057058725211722,6.8275781250000005,7.009500000000001,6.859945782449943,7.416124897341482,6.821531515035601,6.165042714127961,10.531354166666667,10.064166666666663,10.227754371383705,9.915920651880107,9.116200914427937,8.463839283415883,2.3553124999999997,3.234374999999999,2.919059509280671,3.638248975270341,2.6758105944730564,2.7534658599146304
2005-05-31,PREMON,13.52,7.9,11.0,9.5,10.09,7.665,10.2725,16.083333333333332,3.55,7.522435897435898,8.374580128205132,9.538309439832112,9.184074035965281,11.300228909629878,8.231164115599963,4.66625,4.924375000000003,6.105036012991407,4.820331531459278,8.540519595599319,8.302528180161303,7.66640625,7.3881250000000005,8.79361852960061,8.123702946567503,10.328975268356022,10.544428510638951,5.840937500000001,5.9021874999999975,7.484800053763468,6.509880813095032,9.33541459065301,9.30363169670924,8.289270833333333,7.831510416666669,9.208164867676649,6.923930378624665,10.425519728263511,9.653909063290932,5.41375,5.531874999999999,6.2580453408045305,5.307081353004606,7.280283139141313,6.096450067125984,6.582828125,6.905625000000001,8.224967469469966,9.528467194529002,9.391149012901591,9.164504315852568,10.375937500000001,10.539166666666663,12.569985956163556,12.174077610129709,16.388844733626293,15.45878623777159,2.2881249999999995,2.3718749999999993,3.1714357055684026,3.862030199544244,5.690762284059115,5.407542579459745
2005-08-31,MONSOON,6.75,1.7,7.35,2.1,6.3625,4.15,3.325,6.4833333333333325,0.7,7.066249999999999,8.034871794871798,8.422985663899267,9.059334527088598,8.706774650350965,9.731881087182412,4.26875,4.857500000000003,4.343021607794844,4.352513534812841,3.3377658024101855,2.584999176072399,7.79125,7.807812500000001,8.216171117760366,7.993444922352438,6.624739642933985,5.185116011333646,5.635,6.049374999999998,5.33088003225808,6.431084406983229,4.116877875904517,3.34160853274893,7.608499999999999,8.242166666666668,8.06989892060599,6.979734868310815,7.4289066183996795,6.421542190277024,4.705,5.586249999999999,5.414827204482718,4.880431821264101,4.944663981150045,5.168685232827931,5.9693125,6.74953125,6.26498048168198,6.763907701998609,5.2737385011675055,4.722497599040384,9.546666666666667,10.523541666666663,10.135324907031467,9.838927005100718,11.30383393052819,9.736238272236283,1.95625,2.338749999999999,2.1828614233410413,2.586460142887286,1.6564153906863317,1.507751865460547
2005-11-30,POMKH,3.82,1.85,4.7,1.7,4.617999999999999,2.25,3.625,5.166666666666667,0.8,6.504999999999999,7.0100000000000025,6.5817913983395595,8.689865039359832,7.5303899601166275,7.562464630822507,3.9875000000000003,4.475000000000003,3.3458129646769064,3.9615515684522795,2.751898437342433,2.653058271154916,7.94875,7.525000000000001,6.809702670656219,7.390237557978513,7.31791528862739,6.887492838838653,5.574999999999999,5.632499999999998,3.878528019354848,6.343104896431149,4.6952411294761145,3.6120302513915186,6.756124999999999,8.336375000000002,6.689139352363593,7.035989105182871,6.430944339294689,5.929304217646461,3.791875,5.241249999999999,4.14889632268963,4.081749604588846,4.224382857967951,3.902440285065684,5.4369375,6.416125000000001,5.208988289009188,4.884338987586092,5.412793517974876,4.628255763432737,8.3575,10.228333333333328,8.147861610885547,7.923547003367772,5.422259556287141,5.555805865751269,1.5062499999999996,2.2374999999999994,1.6297168540046247,1.8132150012563768,1.6889669264555518,1.5815616068147826
2006-02-28,POMRB,4.4,4.8,9.18,9.25,6.452000000000001,2.61,4.8675,7.7266666666666675,1.65,6.034375,7.122500000000003,5.709074839003735,8.399345528770514,7.700672508332774,6.6034237459408125,3.975,4.0625000000000036,3.9274877788061437,4.087704260860384,4.635765703502192,3.7846063863223094,7.866250000000001,8.057500000000001,7.757821602393731,7.739548297528601,7.147222360592481,6.512494004615338,5.56875,5.6374999999999975,6.027116811612909,6.421081948174768,7.4088099678911,5.755486938479432,6.183187499999999,6.880625000000002,6.594283611418156,7.092696749405065,8.349639277330555,7.847607331106227,3.28125,4.168749999999999,3.533337793613778,3.6026771036842247,4.509413722519608,3.9881850747233836,5.48075,5.522500000000001,5.072392973405513,4.374573526430346,6.512301194199959,6.579591387827357,7.737499999999999,8.864999999999995,7.979383633197996,7.7542646404959195,7.990612108075787,8.643859000282232,1.3912499999999999,1.6749999999999994,1.6378301124027748,1.7250269023268041,2.269611266549189,2.4386377954926926
2006-05-31,PREMON,8.58,7.3,10.13,9.0,9.093999999999998,4.65,9.588,12.023333333333332,2.2,6.19,5.887500000000004,6.857444903402241,8.494219425237118,10.718796395536794,8.748515638023761,4.3549999999999995,3.9125000000000036,5.276492667283686,4.603152622333451,7.4791200494434635,7.415856698186478,8.31125,7.840000000000002,8.70669296143624,8.20219029527325,10.84428473318589,11.830388182689214,5.8500000000000005,5.5124999999999975,7.216270086967745,6.49331036337163,9.475948333092752,9.341790764839105,5.363333333333332,6.6316250000000005,7.594170166850892,7.149861463264372,9.022801801763798,7.733639613123427,3.36,3.414999999999999,3.980002676168267,3.788495250913632,6.389677268262319,4.9839455156067825,5.764,5.351375000000001,6.878635784043308,7.137584317563752,8.191805306282665,8.120243282546516,7.682499999999999,7.849999999999995,9.596963513252131,9.306851886297155,11.133453833658145,11.118964355646677,1.4975,1.3374999999999997,1.8626980674416649,1.9331044027691213,4.948788478514571,4.4511118383554065
2006-08-31,MONSOON,7.925,2.2,7.56,2.55,2.775,3.08,4.359999999999999,5.583333333333332,1.13,6.142500000000001,6.181250000000004,7.284466942041345,8.524883420887909,7.5377190340969795,7.645285320552752,4.89625,4.037500000000004,4.045895600370212,4.241542491755206,2.477092061490843,2.1223964325256484,8.493125000000001,7.892500000000002,8.248015776861743,8.096748276586368,6.531326666460108,5.132673920372216,5.68625,5.624999999999997,5.3497620521806475,6.423182836085193,4.257350354282061,3.0790625018925963,5.118666666666667,5.73475,5.666502100110535,7.207486842031493,6.148177128188388,6.776494133207126,3.73875,3.1474999999999986,3.6200016057009603,3.5144079994477164,3.534784253905394,3.9026144258937587,6.1141875,5.610125000000001,5.871181470425984,6.036623856075727,4.214741324348877,4.383884624925972,7.794166666666666,7.624999999999995,7.9915114412846115,7.763116055650559,7.18915912585995,7.975121278463934,1.56,1.4449999999999996,1.5696188404649989,1.5622630576056367,0.8037139555695096,0.5495396872480167
2006-11-30,POMKH,3.89,4.39,8.05,3.5,1.6466666666666665,3.95,4.856,5.626666666666666,1.22,5.745,6.198750000000004,5.9266801652248065,8.202853811253314,6.677360477980018,6.857927037442382,5.151249999999999,4.672500000000004,4.183537360222127,4.271346604921426,2.4831679149500316,2.7143274780498343,8.5975,8.73,8.168809466117047,8.102819554682176,7.357825798633925,6.670045538088649,5.7975,6.0749999999999975,4.609857231308388,6.37364058114262,4.835743166122171,3.5675367616285527,5.245666666666667,4.9919166666666674,4.058567926732988,7.2655766497943555,4.458336500400019,4.286765868219617,4.033125,3.572499999999999,3.752000963420576,3.5436409672134603,2.8975812442035997,3.054840099891509,6.360250000000001,5.917875,5.46510888225559,5.408868125280813,4.9246205295172505,4.5735286751957,7.928333333333333,7.739999999999994,7.045573531437434,6.8487824357418505,4.375226719886851,4.383790708519641,1.5887499999999999,1.5499999999999996,1.4297713042789992,1.375950366677335,1.0698582060188713,0.8716398247388816
2007-02-28,POMRB,3.95,6.59,7.285,6.14,7.466000000000001,3.94,6.438,8.16,1.73,5.256875,6.086250000000003,5.136008099134884,7.910956068332016,6.972086079890497,5.92303699110918,5.595,5.120000000000004,5.146122416133276,4.652194811140383,5.5889364608850745,5.162749250893912,9.213750000000001,8.25625,7.815285679670229,7.964246853171671,8.641627917862548,8.909919222660758,7.6225,5.297499999999998,5.221914338785033,6.381937119097043,7.549470626113379,6.670667226342861,5.744041666666667,5.245416666666667,5.421540756039793,7.32413469834002,6.0774799473152035,6.877996829418009,4.448125,3.9049999999999994,3.8272005780523455,3.561999765573478,3.922464909479375,4.097007280817458,6.7415,6.3105,5.854265329353354,5.89681602259574,6.492775220664394,6.010385153821292,8.646666666666667,7.848333333333327,7.49134411886246,7.272958067486247,8.381683421141062,7.521833522924785,1.7225000000000001,1.5699999999999994,1.5498627825673996,1.5023885053316715,1.8397345998152665,1.9197831703963022
2007-05-31,PREMON,5.85,7.55,12.86,13.0,9.096,5.675,9.986,12.663333333333332,2.35,5.10125,5.403750000000004,5.421604859480929,7.806607810904437,10.027769055448774,8.126332514764302,5.87125,5.182500000000004,6.107673449679966,5.147767879845216,8.79634236474373,8.348427659306903,9.64125,8.938749999999999,9.833171407802137,8.897302217382535,10.849342763698298,10.469809451452544,9.06625,6.297499999999998,8.33314860327102,6.5410993799989345,9.61629820486679,8.355823431259406,6.936833333333333,5.245916666666668,6.891324453623875,7.3831647201262,7.736272590181552,8.192991955631037,4.8575,4.161249999999999,4.566320346831407,4.025234637014843,6.27129565227226,5.2225456363811436,7.29825,6.41,7.506959197612013,8.63520082188384,8.605720838551685,8.73891614332609,9.684583333333332,8.008333333333328,9.56013980465081,9.263046729840474,11.564854186305642,11.722999430339025,1.9437499999999999,1.6074999999999993,1.8699176695404398,1.8852295767454466,4.611765434200915,3.901938520872827
2007-08-31,MONSOON,6.75,5.5,9.76,13.15,6.76,5.375,7.0120000000000005,10.69,2.05,5.205,5.110000000000004,5.952962915688557,7.7884737036990765,6.571796916421403,6.55016701734627,5.705,6.007500000000004,5.86460406980798,5.257726746089342,3.3300333421983246,2.426975553608014,10.095625,9.488749999999998,9.803902844681282,9.075455515917964,7.73375854763067,7.189186622716971,9.605,8.947499999999998,10.259889161962612,6.703441645212735,4.398069173028397,4.304939833202788,7.862,6.242166666666668,6.838794672174325,7.442670479899781,5.2481213257957595,6.08140381599079,5.137499999999999,4.734999999999999,4.889792208098845,4.279437925198735,3.6958838193696653,4.116345149413207,7.753125,7.073,7.308975518567208,8.712474987618394,4.624318277869179,4.754877472187895,10.735,9.284999999999993,10.012083882790485,9.703315667545562,7.8196181922821,7.069701935486852,2.1149999999999998,1.8374999999999992,1.9419506017242636,1.9864734029469437,0.5553826612755124,0.3510042314683095
2007-11-30,POMKH,3.82,3.3,9.27,4.45,7.2040000000000015,4.93,6.6579999999999995,8.823333333333332,2.07,5.382499999999999,5.092500000000004,5.099777749413134,7.517359170945562,5.683250430622967,5.646990699695311,5.7124999999999995,5.735000000000004,4.838762441884787,4.9980190406312675,4.400669913424329,4.754855820310713,10.397499999999999,9.79375,9.590341706808768,9.128587960276768,8.99860168632615,8.232103706948346,9.681249999999999,9.184999999999999,7.935933497177567,6.673847965434314,4.977461907993222,7.02922804730622,8.135750000000002,7.631500000000001,6.984876803304595,7.502655839411215,5.0234738446343785,5.566489848246358,5.463749999999999,4.9799999999999995,4.9058753248593066,4.346202201173621,3.5802783289658486,3.9920490505825854,8.00325,7.5235,7.048585311140324,8.238730309952206,5.945482603564588,5.52422185178351,11.665416666666667,10.08416666666666,9.536583663007624,9.249971985652207,9.277160547088961,9.088890034632222,2.17125,2.049999999999999,1.993170361034558,2.0584071880364982,1.0342916839534517,0.8702380262792246
2008-02-29,POMRB,4.85,6.35,9.7,9.5,9.31,5.199999999999998,8.274999999999999,13.366666666666667,2.25,5.74125,5.3175000000000034,4.99986664964788,7.35665188506957,6.102564768287072,5.1265486995511145,5.74375,5.675000000000003,5.4432574651308725,5.256954981647163,6.198064262714918,5.094783469095425,10.38375,10.3975,9.634205024085261,9.252519194380827,10.097509576755186,9.39835078286239,8.91875,10.024999999999999,8.56156009830654,6.755134605369687,7.691266727449262,7.208799831686305,8.39775,8.092500000000001,7.914926081982757,7.563124680487706,8.139945397048594,8.639249390406873,5.763750000000001,5.294999999999999,5.0235251949155835,4.464096538710953,4.677832893247015,4.600793952452697,7.9831875,7.98275,7.539151186684194,8.672335190536886,7.726575702104637,6.967044359921219,12.487916666666667,11.385833333333327,11.068616864471242,10.726236166277937,11.656345618654914,11.386996800098126,2.15625,2.179999999999999,2.095902216620735,2.188607965524394,1.9654385669344714,2.0355388549460094
2008-05-31,PREMON,6.37,7.85,12.86,10.25,9.442,7.025,10.15,14.9,2.28,6.052499999999999,5.447500000000003,5.547919989788728,7.340349177450863,9.396815026748822,7.479018459773866,6.1625000000000005,5.750000000000003,6.405954479078524,5.730932894053481,9.036068282100656,8.296657450641192,10.48,10.3975,10.924523014451157,9.946252508090748,12.726673112162041,12.29980287260517,8.96875,9.337499999999999,9.236936058983925,6.852669367000386,9.758402067557693,10.129422703343769,8.7425625,8.179000000000002,8.525755649189653,7.62408088031324,9.733212876504055,8.71933253717826,6.0443750000000005,5.632499999999999,5.824115116949351,5.022020964272144,7.1500127874281,5.924503745046203,7.88725,8.02375,8.583490712010516,10.060571100206646,10.003953670850924,9.431656624934828,13.87375,11.944999999999993,12.601170118682745,12.207064868282384,16.683154808339395,15.723158055145214,2.1287499999999997,2.1624999999999988,2.169541329972441,2.282775207510381,4.809274638444299,3.976263589686991
2008-08-31,MONSOON,9.1,5.45,9.65,9.8,8.51,6.4250000000000025,6.6875,15.033333333333333,2.0,6.07625,6.035000000000004,6.968751993873237,7.5623279562292005,6.096014782839767,6.342655666573077,6.706249999999999,5.7375000000000025,6.023572687447114,5.763720899107036,3.595980706749094,3.216953497398558,10.77125,10.370000000000001,10.414713808670694,9.908906252490507,8.786166276666027,7.745038650389187,9.25625,8.499999999999998,9.462161635390355,6.940001739485697,4.539896666094946,4.551642198020625,8.76675,8.616500000000002,8.519453389513792,7.685528356312754,6.749888887208156,6.506777487151727,6.276250000000001,5.895,6.064469070169611,5.266270575777674,4.689798444241642,5.026150715199943,7.6725,7.942625,7.825094427206309,8.796566900365113,5.686098912078901,5.602825130581074,15.116666666666667,13.030833333333327,13.57403540454298,13.151495173006719,10.188085069485668,11.081241824830219,2.0637499999999998,2.1499999999999986,2.1017247979834646,2.202129320241581,0.7041757734415757,0.648301453160723
