Date,Season,Mumbai,Mumbai_Trend,Mumbai_SMA,Mumbai_EWMA,Mumbai_DES,Mumbai_TES,Mumbai_ARIMA
2006-05-31,PREMON,4.91,3.6508749999999996,3.530000000000002,4.050710933192223,3.6437873645298193,3.92139043651675,3.76843824133142
2006-08-31,MONSOON,2.5475000000000003,3.7477500000000004,3.656875000000002,3.4494265599153335,3.568409715157561,2.247088170878323,2.5852127257835784
2006-11-30,POMKH,3.59,3.8215625000000006,3.644875000000002,3.5056559359492,3.6114252117237973,3.3952982924665873,3.347339360134451
2007-02-28,POMRB,4.355,3.719375,3.8506250000000017,3.8453935615695203,3.7403107407711738,3.8506208149864345,3.826182378878528
2007-05-31,PREMON,4.6775,3.675625,3.7925000000000013,4.178236136941712,3.902428807201068,4.1452979487207235,4.1486102867533
2007-08-31,MONSOON,1.9625,3.5676250000000005,3.646250000000001,3.2919416821650276,3.7386586075370185,2.4149962234928304,2.6313481408498047
2007-11-30,POMKH,3.825,3.3638125,3.705000000000001,3.5051650092990165,3.789690929035734,3.520173218794338,3.4815142976178546
2008-02-29,POMRB,3.2560000000000002,3.3426875,3.430250000000001,3.4054990055794097,3.7694063716366446,4.000052971967651,3.92051502709277
2008-05-31,PREMON,4.146,3.439875,3.297375000000001,3.7016994033476456,3.8499246268503247,4.2294916101712765,4.252541896813709
2008-08-31,MONSOON,2.325,3.51575,3.3880000000000012,3.1510196420085874,3.712633181452799,2.4122573065149706,2.6432819162463685
2008-11-30,POMKH,4.24,3.5781666666666663,3.4917500000000015,3.5866117852051524,3.797836232690076,3.574826826482413,3.5486064037001044
2009-02-28,POMRB,3.4479999999999995,3.530125,3.5397500000000015,3.5311670711230914,3.7867769451953683,4.017776489429957,4.050756332325589
2009-05-31,PREMON,4.453333333333334,3.3664791666666667,3.6165833333333346,3.9000335760071883,3.8909375859333544,4.290945229599643,4.373217932650778
2009-08-31,MONSOON,1.6333333333333335,3.3523541666666667,3.443666666666668,2.9933534789376464,3.661802600272331,2.4869261442673563,2.643186901046719
2009-11-30,POMKH,3.6225,3.5103125000000004,3.2892916666666676,3.245012087362588,3.665747222485991,3.6471133831088816,3.5662415693488816
2010-02-28,POMRB,3.9525,3.694791666666667,3.415416666666667,3.5280072524175528,3.7073085709465254,3.985199935941064,3.9542478873407427
2010-05-31,PREMON,5.2125,3.9362500000000002,3.6052083333333336,4.201804351450532,3.8950936860646004,4.323097384587616,4.40648836331772
2010-08-31,MONSOON,2.3500000000000005,4.22375,3.7843750000000007,3.4610826108703194,3.7442545101021074,2.5038099746809164,2.7022779946000823
2010-11-30,POMKH,4.8375,4.4203125000000005,4.088125000000001,4.011649566522192,3.884061762568017,3.7463372754037936,3.7658635700145755
2011-02-28,POMRB,5.0375,4.553125,4.359375,4.4219897399133155,4.044405955052613,4.147692961122326,4.0660602366037795
2011-05-31,PREMON,5.7,4.371979166666667,4.481249999999999,4.93319384394799,4.2790017642907685,4.590200225285434,4.61430860625633
2011-08-31,MONSOON,2.925,4.2684375,4.624999999999999,4.129916306368793,4.180912135603271,2.7357423621335157,2.7868313218670573
2011-11-30,POMKH,2.813333333333333,4.420416666666666,4.118958333333332,3.603283117154609,4.065535586807381,4.0709366797558975,3.9880460174796912
2012-02-29,POMRB,6.2333333333333325,4.3683854166666665,4.417916666666665,4.655303203626099,4.349669389570103,4.340655101560379,4.041611112385462
2012-05-31,PREMON,5.72,4.4096874999999995,4.422916666666665,5.081181922175659,4.568359274969569,4.8528813323269295,4.9661404164458105
2012-08-31,MONSOON,2.48875,4.501354166666666,4.3138541666666645,4.044209153305395,4.399202465883286,2.9418866535434,2.8429730303770135
2012-11-30,POMKH,3.58,4.4309375,4.505520833333332,3.8585254919832375,4.353301869590913,4.170026141972431,4.273222544924257
2013-02-28,POMRB,6.2,4.30359375,4.497187499999999,4.795115295189943,4.611792909703662,4.64543971883009,4.315884494805729
2013-05-31,PREMON,5.19,4.1290625,4.3646875,4.953069177113965,4.745102801498308,5.089712053125648,5.211317222621155
2013-08-31,MONSOON,2.0,3.6296875,4.2425,3.7718415062683794,4.496226476782542,3.070565160032533,2.967738291386899
2013-11-30,POMKH,2.6725,3.1203125,4.015625,3.3321049037610275,4.323452212772497,4.258987792568473,4.206791360575427
2014-02-28,POMRB,3.1125,3.081875,3.2437500000000004,3.2442629422566167,4.201617376727436,4.792052798661099,4.567660488160373
2014-05-31,PREMON,4.2025,3.7265625,2.996875,3.62755776535397,4.2073615845763035,4.977833053530639,5.081101298189693
2014-08-31,MONSOON,2.68,4.58625,3.166875,3.248534659212382,4.035730473553214,2.8368165015906586,2.8405726165640433
2014-11-30,POMKH,7.15,5.003125000000001,4.286250000000001,4.809120795527429,4.389051786482089,4.034548010430925,4.093000086136727
2015-02-28,POMRB,5.5125,5.3865625,4.88625,5.090472477316457,4.546511493337548,4.811580801511475,5.156599516030241
2015-05-31,PREMON,5.1375,5.0615625,5.12,5.109283486389874,4.655500510018436,5.17822910274184,5.3110006535073895
2015-08-31,MONSOON,4.812499999999999,4.3685937500000005,5.653125,4.9905700918339235,4.72121254608127,3.1184538669668784,2.980594544414515
2015-11-30,POMKH,2.4175,4.4875,4.470000000000001,3.961342055100354,4.50139740830726,4.600975347021094,4.2161630913002215
2016-02-29,POMRB,4.70125,4.435,4.267187500000001,4.257305233060213,4.547572886750252,4.97250957426789,4.767692118194976
2016-05-31,PREMON,6.9,4.405,4.707812500000002,5.314383139836128,4.849489108122507,5.246736456393694,5.344377021104864
