Date,Season,Tirumakudal Narsipur,Mysore,Heggadadevankote,Hunsur,Nanjangud,Krishnrajanagara,Piriyapatna,Tirumakudal Narsipur_Trend,Tirumakudal Narsipur_SMA,Tirumakudal Narsipur_EWMA,Tirumakudal Narsipur_DES,Tirumakudal Narsipur_TES,Tirumakudal Narsipur_ARIMA,Mysore_Trend,Mysore_SMA,Mysore_EWMA,Mysore_DES,Mysore_TES,Mysore_ARIMA,Heggadadevankote_Trend,Heggadadevankote_SMA,Heggadadevankote_EWMA,Heggadadevankote_DES,Heggadadevankote_TES,Heggadadevankote_ARIMA,Hunsur_Trend,Hunsur_SMA,Hunsur_EWMA,Hunsur_DES,Hunsur_TES,Hunsur_ARIMA,Nanjangud_Trend,Nanjangud_SMA,Nanjangud_EWMA,Nanjangud_DES,Nanjangud_TES,Nanjangud_ARIMA,Krishnrajanagara_Trend,Krishnrajanagara_SMA,Krishnrajanagara_EWMA,Krishnrajanagara_DES,Krishnrajanagara_TES,Krishnrajanagara_ARIMA,Piriyapatna_Trend,Piriyapatna_SMA,Piriyapatna_EWMA,Piriyapatna_DES,Piriyapatna_TES,Piriyapatna_ARIMA
2000-05-31,PREMON,5.222,8.677999999999999,8.174,8.687142857142858,7.377499999999999,7.955714285714286,7.261428571428572,3.68075,3.763416666666668,4.059521610640563,3.211688787703021,5.108707773853919,5.226299375184517,7.598291666666667,7.385125000000002,7.664589212548411,7.562555778220646,8.327645139741234,8.05110242864704,7.0945833333333335,7.7713333333333345,7.741151808225288,7.656752355551731,8.395155689620344,8.08645189339828,6.2005059523809525,6.082142857142858,6.429066951094532,5.973224425955389,6.346968731211061,5.432633127940981,5.461562499999999,4.997916666666665,5.607731143672129,5.112476025922359,5.648406387671912,3.920192446845093,5.95275,6.771785714285716,6.603847684743247,5.9452614505185295,5.211292104304073,5.560437866553714,5.49667857142857,5.754285714285713,5.973113236655444,5.126098239715192,6.453990779274588,5.747103995561205
2000-08-31,MONSOON,4.026000000000002,8.576666666666666,7.888333333333333,5.5,4.875,6.452857142857143,5.567142857142856,3.5195000000000003,3.795750000000002,4.046112966384339,3.2949253893795065,4.1267930398968575,3.5887900033854843,7.989395833333333,7.632291666666669,8.029420194195714,7.682014679015307,7.841493570722417,8.739471273803474,6.877541666666667,7.4225833333333355,7.800024418268506,7.701530739688283,6.766247368316128,7.47140818259242,6.819427083333334,5.875714285714286,6.057440170656719,5.535496134746446,5.750739211975264,6.682323816460639,5.365625,5.5924999999999985,5.314638686203278,5.120711873266376,4.750713205046881,4.200820214563926,5.600321428571428,6.222857142857144,6.543451467988806,5.954382154809063,6.322975042774431,7.0384349039422816,5.3508571428571425,5.688571428571427,5.810725084850409,5.179541768401912,5.343005851241835,5.494518705775061
2000-11-30,POMKH,1.82,6.68,4.97,6.668333333333334,3.5025,2.432,2.9819999999999998,3.4934166666666675,3.5657500000000018,3.1556677798306034,2.9844760890346915,2.2783235795058903,2.8908796725190653,8.3485,7.564291666666668,7.489652116517428,7.476659709841362,6.720039616654318,8.019856415239001,6.8527499999999995,6.766583333333336,6.668014650961103,6.658606731786149,6.355157738523317,7.20294518795556,6.5146636904761905,6.5252976190476195,6.301797435727364,5.782514118244852,4.531786963309335,5.1817808874585065,4.923854166666667,5.330624999999999,4.589783211721967,5.128930238887274,3.6656157630411315,4.733896859787039,5.1620357142857145,5.6826428571428576,4.898870880793283,5.963516845390865,4.551323083181676,4.2825258954704095,5.1770000000000005,5.304785714285712,4.679235050910245,5.233502204188401,3.9209104247011473,4.608751409634117
2001-02-28,POMRB,2.825,9.723333333333333,6.921666666666668,7.598749999999999,5.8475,5.231428571428571,5.777142857142858,3.5156458333333336,3.473250000000002,3.023400667898362,2.895178012896534,2.9777788436103565,3.2428758749021753,8.024666666666667,8.414500000000002,8.38312460324379,7.794768401150578,7.528382993593828,6.725930286232138,6.512458333333334,6.988500000000003,6.769475457243329,6.720180076423765,6.805749850202865,6.037642710914428,5.945235119047619,7.113556547619048,6.820578461436418,6.318216530106767,6.466577724088129,6.596874673645618,4.399583333333333,5.400624999999998,5.092869927033179,5.137213906204222,5.248143256324151,4.768775810677413,4.623214285714286,5.518000000000001,5.031893957047398,5.972665553706873,5.9149524580926744,4.776348333243016,5.008678571428572,5.396928571428569,5.11839817340329,5.288066924821099,6.02159881553114,4.492308468126632
2001-05-31,PREMON,5.383333333333333,8.15,7.087999999999999,3.896,3.563333333333334,5.1080000000000005,5.502000000000002,3.5857083333333333,3.513583333333335,3.9673737340723507,3.272164392310443,4.930694304646625,5.330193606412955,7.665333333333333,8.282500000000002,8.289874761946274,7.80696352463533,9.126870141922232,8.948421998724982,6.241666666666667,6.717000000000002,6.896885274345998,6.819877146522778,8.161778077702198,8.64715835450616,5.789282738095238,5.915770833333333,5.65074707686185,5.077273968456765,8.030961266584146,6.274966418738922,4.315833333333333,4.447083333333332,4.481055289553241,5.145459859723936,5.715079526448334,5.536024845267713,4.687607142857143,4.806071428571429,5.062336374228439,5.98182829698215,5.9772095986587725,5.799492303028826,5.031702380952381,4.957071428571427,5.271838904041974,5.343195428370804,6.7124696854634855,6.257134857421262
2001-08-31,MONSOON,4.0425,6.5139999999999985,6.252000000000002,5.735714285714287,4.495,4.99,5.98,3.848083333333333,3.5177083333333345,3.9974242404434106,3.367822910436233,4.0496949965655045,3.5900992058618844,7.264916666666666,7.766833333333334,7.579524857167764,7.554113747929192,8.313370485365505,7.772369959304648,6.065958333333334,6.30791666666667,6.638931164607599,6.575648147278072,5.992611227882094,6.894109873489019,4.987772321428571,5.974699404761905,5.684733960402825,5.151074726577189,5.533335574264928,5.8583050469112505,4.094479166666667,4.352083333333332,4.486633173731945,5.153739675127692,4.816683349706949,4.673025117829157,4.782178571428571,4.440357142857144,5.033401824537063,5.991005096755836,6.200852409661415,5.866137031757104,4.647851190476191,5.060285714285714,5.555103342425185,5.398905061497935,5.288180380168708,5.00433811192731
2001-11-30,POMKH,2.364,5.8679999999999986,4.44,5.185,3.2125,4.409999999999998,2.7533333333333334,4.252291666666666,3.6537083333333342,3.3440545442660463,3.157653037723892,2.229059850353993,2.363414603099045,7.100999999999999,7.563833333333333,6.894914914300658,7.239515514917139,6.566794194310825,7.329197257578519,6.459250000000001,6.1754166666666706,5.75935869876456,5.757327086166707,5.034879220770179,5.7699776982422035,4.994928571428572,5.6038660714285715,5.484840376241695,4.966780841648428,4.4474394910105595,6.953648706192228,4.151458333333333,4.279583333333331,3.9769799042391667,5.162004083399727,3.731505061671509,4.121583857457004,5.191833333333333,4.934857142857143,4.784041094722237,6.0001959739157,3.7532133113611215,3.3703007458553014,4.652333333333334,5.003119047619047,4.434395338788445,5.45514541309152,3.9386982977674156,4.548306004715623
2002-02-28,POMRB,4.38,7.331999999999999,6.046000000000001,2.6700000000000004,4.366666666666666,4.01,2.935,4.713479166666667,4.042458333333334,3.7584327265596276,3.3326652688400054,3.1049407164252507,3.3231814151800654,7.4513333333333325,6.966,7.069748948580395,7.2126691159434975,7.2126616914815305,8.644554315545795,7.4437500000000005,5.956500000000004,5.8740152192587365,5.8330338397827095,5.986226087888824,5.8952934255900225,5.86175,4.371678571428572,4.358904225745017,3.8188669350093356,5.971423959537244,4.195663953535567,4.5294791666666665,3.909374999999998,4.132854609210167,5.170307339202352,5.3139680137175365,4.714556629532962,6.0254166666666675,4.6295,4.474424656833342,6.0094009503215835,5.634959611832825,5.581802718609613,5.190000000000001,4.292583333333333,3.8346372032730667,5.511973951525599,6.001121660616251,4.629403903765457
2002-05-31,PREMON,7.062,9.23,11.11,8.882,5.5,9.606666666666667,8.38,5.151833333333333,4.462125000000001,5.079859635935777,3.9692441642564757,5.482468686321138,5.820577508410468,7.859416666666666,7.236000000000001,7.933849369148237,7.495428308192245,8.299217833284317,7.722841560785638,8.5735,6.962000000000003,7.968409131555242,7.7390554034580585,7.306679729646546,7.850970940410532,6.162553571428571,5.618178571428572,6.168142535447011,5.790886365869312,6.233900683946507,5.312775836364065,4.857291666666667,4.393541666666665,4.6797127655261,5.178649040645882,5.780624006253881,3.8273286188608138,6.506666666666666,5.754166666666667,6.5273214607666725,6.0186200563837495,5.590358978578388,5.229020465988022,5.875535714285714,5.012083333333333,5.652782321963841,5.569477014124207,6.253895033272887,5.103227641247381
2002-08-31,MONSOON,6.053333333333334,8.236666666666666,10.106,7.684285714285713,5.5825,7.160000000000001,7.403333333333332,5.2900833333333335,4.964833333333335,5.469249114894799,4.354208302046883,4.936586181502729,4.192385274252972,8.128166666666667,7.666666666666667,8.054976288155608,7.571405231086785,7.956223429211002,8.180238290379426,9.8210625,7.925500000000003,8.823445478933145,8.567083753999295,8.227853972248374,9.248083703079779,6.779369047619047,6.105321428571429,6.774599806982492,6.414639556019823,5.728092096910206,7.613254700896302,5.188333333333334,4.6654166666666645,5.04082765931566,5.187005840716559,4.882566680608025,4.411613975911548,7.008095238095239,6.296666666666667,6.780392876460004,6.027853302001452,5.9863177002685,7.382941104311181,7.097351190476191,5.367916666666666,6.3530027265116376,5.627563754056973,5.347649025397815,6.040605009135468
2002-11-30,POMKH,3.86,7.41,9.624,5.642857142857142,4.7475000000000005,6.09,6.814285714285716,5.202333333333334,5.338833333333334,4.825549468936879,4.300657383649687,3.4501905281111873,3.230338560358006,7.852604166666666,8.052166666666668,7.796985772893365,7.501829478756759,6.722614453079499,7.629737236854065,10.1796875,9.221500000000004,9.143667287359888,8.909980696818891,8.29583678736396,7.900752900066094,7.009014880952381,6.219785714285715,6.321902741332352,5.9113616249002385,5.157196357009006,6.168777288770231,5.51125,5.049166666666665,4.923496595589397,5.195357325039184,3.7975734050700938,4.264461531308735,7.2128571428571435,6.716666666666667,6.504235725876002,6.037100710882091,4.167359186127815,4.358685394785503,7.64311011904762,6.383154761904762,6.537515921621269,5.686246154378633,4.209923320092993,4.896935466907644
2003-02-28,POMRB,3.99,7.939999999999999,10.8425,7.1466666666666665,5.48,6.341428571428572,8.648571428571428,5.335416666666666,5.241333333333334,4.491329681362128,4.274546659683778,4.40781242865407,4.3471717792033555,7.386958333333333,8.204166666666667,7.854191463736019,7.529046349261597,7.71037069352746,6.598546064228602,9.8145625,10.420625000000005,9.823200372415933,9.57242465558034,10.465706773247184,9.058911576215433,6.319791666666667,7.338952380952382,6.651808311466077,6.264693397585393,6.607211535154636,7.408671959726442,5.5346874999999995,5.327499999999998,5.146097957353637,5.2037384027683915,5.380302440592888,4.4394613160359775,7.209627976190476,7.29952380952381,6.43911286409703,6.046362306688557,5.530471140406943,5.949498827516547,7.182380952380952,7.8115476190476185,7.381938124401332,5.745567347766431,6.860747381812969,6.100589533917373
2003-05-31,PREMON,6.75,6.4175,9.1825,6.2425,6.97,8.913333333333334,7.0325000000000015,5.581250000000001,5.163333333333334,5.394797808817277,4.747632250324773,6.281911838877454,6.243850810212326,7.084875,7.501041666666667,7.279514878241611,7.306963770973814,8.824129116573049,8.574549387836996,9.442375,9.938750000000004,9.56692022344956,9.379048521470285,11.987037627903842,11.255483841831307,5.66589880952381,6.679077380952382,6.488084986879645,6.087478621614697,7.997546190385171,7.1632167652973795,5.126354166666667,5.694999999999998,5.875658774412182,5.212165995443903,5.8471481256907305,5.080027624323398,7.210252976190477,7.126190476190477,7.4288010517915515,6.055638114582867,7.120569691472322,6.747095105888095,6.641553571428572,7.4746726190476185,7.242162874640799,5.805481399093744,7.8671541365651425,8.042663044434589
2003-08-31,MONSOON,7.43,7.3240000000000025,9.1125,4.8100000000000005,4.3,7.8275000000000015,5.065,5.657916666666667,5.5075,6.208878685290366,5.292751253948047,5.405506807619987,4.812812474619163,6.830625000000001,7.272875000000001,7.297308926944968,7.267599173195232,7.65799229118205,7.444697487563538,9.1563125,9.690375000000005,9.385152134069736,9.231967231674414,8.721186449117598,8.181128430007819,5.247458333333333,5.960505952380954,5.816850992127788,5.384296794705216,6.198772513382722,5.996707564628412,4.76125,5.374374999999998,5.245395264647309,5.220547508624441,4.94934510782243,5.070600864421709,7.312053571428572,7.293065476190477,7.588280631074932,6.064928151012214,6.667230062509452,7.089678595505826,6.3894464285714285,6.890089285714285,6.37129772478448,5.865989123673785,6.501214709953604,6.436932727210937
2003-11-30,POMKH,4.45,5.9060000000000015,7.64,3.286,2.763333333333333,5.4275,4.8260000000000005,5.537083333333333,5.655,5.50532721117422,5.23625273850939,4.189057937986762,3.9219551739661904,6.822187500000002,6.8968750000000005,6.740785356166981,7.006822951749043,6.272838328522261,7.943408376646681,9.3474375,9.194375000000004,8.687091280441841,8.599227390898346,7.847047704772541,7.525414185385466,5.3003125,5.371291666666669,4.804510595276673,4.345853439503699,4.645641590030769,5.979177221201391,4.666666666666667,4.87833333333333,4.252570492121718,5.2289081143737555,3.864107485578347,4.847046516408348,7.4781249999999995,7.127440476190476,6.723968378644959,6.074232435880531,5.0604124231195495,4.858862983982824,6.526187500000001,6.393017857142855,5.753178634870688,5.927123044033599,4.821329733524354,4.817152820498793
2004-02-29,POMRB,4.013333333333333,7.41,10.538,6.1560000000000015,4.543333333333333,7.8183333333333325,8.62,5.067916666666666,5.660833333333333,4.908529660037865,5.101434923829708,5.102409432419251,4.0819733513801015,6.74425,6.764375000000001,7.008471213700189,7.031266319543079,7.000579749043312,8.050107468931142,9.6783125,9.118250000000003,9.427454768265104,9.265598358894676,9.044141449278468,8.084745717836348,5.2229375000000005,5.123625000000002,5.345106357166005,4.970310817947853,5.553791515500636,4.282536270495556,4.580000000000001,4.6441666666666634,4.368875628606364,5.237321661560864,5.446465057514232,4.899828658764296,7.200208333333334,7.496666666666666,7.161714360520309,6.08355099806135,6.060548326743852,5.751436338871878,6.504,6.385874999999997,6.899907180922412,5.988951142496467,7.068520362006323,5.995372230100347
