Date,Season,Gohana,Ganaur,Sonepat,Kathura,Rai,Kharhauda,Mundlana,Gohana_Trend,Gohana_SMA,Gohana_EWMA,Gohana_DES,Gohana_TES,Gohana_ARIMA,Ganaur_Trend,Ganaur_SMA,Ganaur_EWMA,Ganaur_DES,Ganaur_TES,Ganaur_ARIMA,Sonepat_Trend,Sonepat_SMA,Sonepat_EWMA,Sonepat_DES,Sonepat_TES,Sonepat_ARIMA,Kathura_Trend,Kathura_SMA,Kathura_EWMA,Kathura_DES,Kathura_TES,Kathura_ARIMA,Rai_Trend,Rai_SMA,Rai_EWMA,Rai_DES,Rai_TES,Rai_ARIMA,Kharhauda_Trend,Kharhauda_SMA,Kharhauda_EWMA,Kharhauda_DES,Kharhauda_TES,Kharhauda_ARIMA,Mundlana_Trend,Mundlana_SMA,Mundlana_EWMA,Mundlana_DES,Mundlana_TES,Mundlana_ARIMA
2003-11-30,POMKH,7.538333333333332,9.25,2.7325,3.406,3.01,4.6025,3.9175,7.338452380952381,7.442916666666669,7.407833211041348,7.606261117222783,7.6467397204383705,6.752299546584346,8.764583333333333,8.600833333333332,8.778796775552912,7.97634320919178,6.922563119941659,7.9885482019739396,3.0165625000000005,3.182500000000003,3.0782199489085853,3.3648702923542997,3.2526246496918363,3.2835598308591742,3.5351250000000003,3.7122500000000014,3.6096967606091193,3.694686588149473,3.51714247852358,3.6846734427415493,3.625,3.4700000000000024,3.4766206221893725,2.7099205791969667,3.818132801328704,3.8084300144143386,5.166145833333332,5.206458333333335,5.083717730790564,5.266533400410154,4.9628274644138415,4.943256669095255,5.1290625,5.3717500000000005,5.173610681552978,5.16572198471494,5.589404828880179,5.850735011737164
2004-02-29,POMRB,7.618333333333335,8.19,2.9425,3.358,3.56,4.85,3.8825,7.541071428571428,7.352500000000002,7.492033259958143,7.599659468500247,7.86463196000574,6.770240640234412,8.729166666666666,8.758333333333331,8.543278065331748,8.098498089117506,9.571264192339067,8.286967888274836,3.0546875,3.0556250000000036,3.023931969345151,3.275485383659906,3.1323969506705307,2.9952771914895373,3.51175,3.534250000000001,3.5090180563654716,3.6094125464673157,3.563648106752666,3.5513178609734672,4.101770833333333,3.657500000000002,3.509972373313624,3.0847684638530333,4.057156773729563,3.585907642677394,5.1944791666666665,5.165833333333334,4.990230638474339,5.19831771937226,5.18303087729059,5.308195235111031,4.6155,5.181125000000001,4.657166408931786,4.792757560353399,5.061503831985102,4.733983229409461
2004-05-31,PREMON,7.994285714285715,8.78,3.8775,4.082000000000002,4.74,5.54,4.686,7.711696428571429,7.324404761904763,7.692934241689171,7.664188444211196,7.925267842079419,7.016725906428167,8.49,8.770833333333332,8.637966839199049,8.222523729343692,9.426630139068553,8.431907175110561,3.0949999999999998,2.9775000000000036,3.365359181607091,3.4670715500408766,3.976664714548006,3.5177915653008434,3.47625,3.5360000000000014,3.7382108338192834,3.7085165110269007,4.2288280529572955,4.294504025591073,4.763541666666667,3.592500000000002,4.001983423988174,4.595461433237571,6.033140982332421,3.846661641853158,5.141875000000001,5.166458333333335,5.210138383084603,5.336952836690992,5.786504383328504,5.719877497272749,4.084,5.077000000000001,4.668699845359072,4.769058489528237,5.38634929028841,4.504799006166781
2004-08-31,MONSOON,7.879999999999997,8.53,2.975,3.104,7.134166666666665,5.8975,4.13,7.702738095238096,7.7577380952380945,7.767760545013502,7.695397846095977,7.429925267490773,6.202983260201897,8.258750000000001,8.6875,8.59478010351943,8.3484487772844,10.138787022380097,8.819049729570215,3.04625,3.1318750000000035,3.2092155089642542,3.359333119907514,3.131124204451905,2.797444737446939,3.506500000000001,3.487500000000001,3.48452650029157,3.5622561045190637,3.4156631191484617,3.683506638332122,4.803541666666666,4.611041666666669,5.254856721059571,8.170449486755658,4.564504195734659,3.636854788676996,4.975937500000001,5.222500000000002,5.485083029850761,5.5366722828182535,5.279289733294062,5.197875185089127,3.9674375,4.154000000000001,4.453219907215443,4.587008150433701,4.653653808808966,4.147260074194527
2004-11-30,POMKH,7.170000000000001,7.67,2.4375,3.3160000000000003,4.23,3.9575000000000014,3.3575,7.566785714285714,7.6656547619047615,7.528656327008101,7.5887682028315995,7.710115777998926,6.691249206701062,8.464375,8.2925,8.224868062111657,8.476302319794208,7.371643890944317,8.451578029801107,3.0246875,3.0581250000000035,2.9005293053785524,3.132563603136599,3.171115268740457,2.902656749302541,3.5025000000000004,3.465000000000001,3.4171159001749425,3.497872678238518,3.2524430594336704,3.3906270547849933,5.300625,4.916041666666668,4.844914032635742,6.650811690859091,4.088329391333186,4.196368361992839,4.823125000000001,5.061250000000003,4.874049817910457,5.152711924576232,5.037995417566746,4.931341790369009,3.8228750000000002,4.014,4.014931944329266,4.229046522258151,4.164285662311402,3.8226186025967817
2005-02-28,POMRB,7.915,7.92,2.8475,3.69,2.66,4.1675,3.51,7.3196875,7.739821428571427,7.683193796204861,7.640594217079792,7.8470502335576455,6.691966906762925,9.038472222222222,8.225000000000001,8.102920837266995,8.606113894533822,9.732166976311376,8.203526525172448,3.0321875,3.0343750000000034,2.8793175832271314,3.079087543727475,3.0992240700786926,2.8011003524620026,3.3682499999999997,3.548000000000001,3.5262695401049653,3.5334093288836868,3.3585951806962018,3.322229492770887,6.237604166666666,4.691041666666669,3.9709484195814455,3.915850549500824,4.448838086700744,4.317427625925565,4.586562500000001,4.8906250000000036,4.591429890746275,4.927920505139933,5.034159117205078,5.249855524226311,3.7036249999999997,3.9208750000000006,3.8129591665975595,4.022299766203294,3.956325179823332,3.2176512571893334
2005-05-31,PREMON,6.610000000000001,10.695,3.8,3.718,9.616666666666667,5.000000000000001,3.902,7.258958333333333,7.393749999999999,7.253916277722917,7.440104179903841,7.966616623216931,7.060329657430927,9.366944444444444,8.703750000000001,9.139752502360196,8.737913495925081,9.526334424358355,8.500009470715904,3.114375,3.0150000000000037,3.2475905499362785,3.301806099759038,3.955758017657945,3.414692989485825,3.203125,3.4570000000000007,3.602961724062979,3.5671475612990085,4.2071376359664665,4.245955770325347,7.15,5.910208333333335,6.229235718415534,9.687484046589061,6.209871057466821,4.244214305002222,4.443125,4.755625000000004,4.754857934447765,4.990445210956942,5.471624239567097,5.357969680737975,3.5259375000000004,3.724875000000001,3.848575499958536,3.9932787704447588,4.552131673258176,4.175381172287778
2005-08-31,MONSOON,7.2875,11.207777777777777,3.1125000000000003,2.394,9.753333333333332,4.545,3.96,7.202083333333333,7.245625,7.26734976663375,7.403079780890016,7.203927050878768,7.124488846573701,9.319444444444445,9.373194444444445,9.966962612527228,8.871731562849577,10.496306704871406,9.12302782481262,3.2271875,3.049375000000004,3.193554329961767,3.2760069057092966,3.0719731906949903,2.8453233139371883,3.0273749999999997,3.2795000000000005,3.1193770344377874,3.2918063835095466,3.277100153606998,3.489933361945033,8.499583333333334,6.565000000000001,7.638874764382654,13.085794896778554,5.652217485109615,5.486420805393566,4.5096875,4.417500000000004,4.6709147606686585,4.911921312781441,4.894376220408963,4.760955151823452,3.24575,3.6823750000000013,3.8931452999751217,3.990089907873714,3.8380077953903653,3.6691528095958805
2005-11-30,POMKH,7.276666666666666,7.62,2.9575,2.705,8.91,4.1625000000000005,2.1060000000000003,7.285,7.272291666666666,7.271076526646916,7.370967781525521,7.415388057595324,6.5744255808202,9.763194444444444,9.360694444444444,9.028177567516337,9.00759899463006,8.05869570288364,9.365696672380285,3.306875,3.179375000000004,3.09913259797706,3.214475364716896,2.9708674864151705,2.7198923306900857,2.8945,3.1267500000000004,2.9536262206626724,3.150552057008978,2.918778040267204,3.0542373362784074,9.281666666666665,7.735,8.147324858629592,12.81879308489614,4.98137176738769,5.56707541143615,4.580625,4.4687500000000036,4.467548856401195,4.749549289186075,4.35207184416511,4.201123374953129,3.0959999999999996,3.3695000000000017,3.178287179985073,3.436446520310026,3.5874140576488722,3.4470823394109735
2006-02-28,POMRB,7.353333333333333,7.59,3.2299999999999995,2.895,8.776666666666666,4.495,2.5200000000000005,7.4921875,7.131874999999999,7.303979249321483,7.359116831858978,7.627595372110003,6.930257077271403,10.875972222222222,9.278194444444445,8.452906540509803,9.145547187628203,10.314539807237644,8.671192067680757,3.3993749999999996,3.275000000000004,3.1514795587862356,3.244305381373651,3.2998327202833355,2.9903368826835086,2.9639375,2.9280000000000004,2.9301757323976036,3.0850168211885105,2.9302414708570437,2.9274997264937075,9.294166666666667,9.264166666666668,8.399061581844421,11.260195113097605,5.403570571647893,5.7430170308703365,4.635000000000001,4.550625000000004,4.478529313840717,4.7211609506066115,4.625396254583977,4.4042497525218325,2.9595000000000002,3.122000000000002,2.914972307991044,3.1696595520998634,3.129960830063606,2.6254502165484594
