Date,Season,Pathna,Barharwa,Rajmahal,Borio,Barhait,Pathna_Trend,Pathna_SMA,Pathna_EWMA,Pathna_DES,Pathna_TES,Pathna_ARIMA,Barharwa_Trend,Barharwa_SMA,Barharwa_EWMA,Barharwa_DES,Barharwa_TES,Barharwa_ARIMA,Rajmahal_Trend,Rajmahal_SMA,Rajmahal_EWMA,Rajmahal_DES,Rajmahal_TES,Rajmahal_ARIMA,Borio_Trend,Borio_SMA,Borio_EWMA,Borio_DES,Borio_TES,Borio_ARIMA,Barhait_Trend,Barhait_SMA,Barhait_EWMA,Barhait_DES,Barhait_TES,Barhait_ARIMA
2003-02-28,POMRB,4.945,7.3,5.285,3.31,7.128750000000001,4.751583333333334,4.751583333333334,4.5520774471739704,4.540404878745778,5.044149341410625,4.94499998401122,5.5125,6.952499999999998,6.32375093534896,6.9518858377103845,6.170855417050703,6.569886079271381,3.1587500000000004,4.321250000000002,4.186426261002751,4.278771906565235,4.582817225671155,4.141698413542903,3.630833333333333,3.629999999999998,3.5963130463571504,3.9170382722413084,3.9140195386666203,4.591417881857958,6.639393668831169,6.639393668831173,6.649893023044345,6.671233242322748,7.0224242867719,7.061006387527426
2003-05-31,PREMON,7.736666666666667,6.32,2.89,5.06,8.223500000000001,4.751583333333333,4.751583333333334,5.825913134971049,6.576821200366218,7.834140301532605,7.7366666378288365,5.6537500000000005,5.437499999999998,6.322250561209376,6.876685684603328,8.891583475773498,7.608668955096729,3.34,3.146250000000002,3.6678557566016505,4.122182678434242,5.924147653228863,5.1656966799885,3.6279166666666667,3.7066666666666643,4.18178782781429,4.260576308718531,5.8535631490395685,4.512135768676866,6.639393668831169,6.639393668831172,7.2793358138266075,7.269631631544275,8.30697682779505,8.145353116301145
2003-08-31,MONSOON,2.106666666666667,4.050000000000002,1.76,2.1833333333333336,4.818181818181818,4.7515833333333335,4.751583333333334,4.338214547649296,4.613401796481147,2.202283071366542,2.1066666625408743,5.626250000000001,5.587499999999999,5.413350336725626,5.845503236793592,4.506036097452144,4.6984490544424045,3.4421875,3.171250000000002,2.9047134539609902,3.79128288586043,2.950610602583999,2.653186759712522,3.8229166666666665,3.5549999999999975,3.382406030021907,3.624916012302664,2.8462242392509562,2.8214543652932162,6.639393668831169,6.639393668831172,6.294874215568692,6.500232478404081,4.697676119682197,4.7723952438296084
2003-11-30,POMKH,4.218,5.21,4.1,4.25,6.387142857142856,4.7515833333333335,4.751583333333334,4.290128728589578,4.303555369956384,4.311592340689477,4.217999988343131,5.911250000000001,5.719999999999999,5.3320102020353755,5.45389831138877,4.9412950377843305,5.532838264674869,3.8350000000000004,3.508750000000002,3.382828072376594,3.827710043359443,3.3712740472905223,3.312637691435516,3.9908333333333337,3.7008333333333314,3.7294436180131445,3.742753402488768,3.371456295668079,3.207742096260161,6.639393668831169,6.639393668831172,6.331781672198358,6.4026242714296515,6.363442089263422,6.326446643848623
2004-02-29,POMRB,4.945,6.55,4.7525,4.286666666666666,7.128750000000001,4.751583333333334,4.751583333333334,4.552077237153747,4.543149868153389,5.036414821988493,4.944999986325698,6.215,5.532499999999999,5.819206121221225,5.715490547813462,6.4534464720126055,6.325618658700256,4.461875,3.375625000000002,3.9306968434259564,3.96489109243868,4.790209382754701,4.442064191172789,4.09625,3.944999999999998,3.952332837474553,3.8766682858740813,3.869160925258136,4.014845663472494,6.639393668831169,6.639393668831173,6.650569003319015,6.61063187853864,7.070761931889043,7.061006387527426
2004-05-31,PREMON,7.736666666666667,9.35,6.565,5.426666666666668,8.223500000000001,4.751583333333333,4.751583333333334,5.825913008958915,6.577381487737627,7.8257656689796775,7.73666664179595,6.13515625,6.289999999999999,7.231523672732735,7.190611148103093,7.943801705744548,9.831855978710225,4.545,4.294375000000002,4.984418106055574,4.382128120258985,4.88094583264091,5.066783691861268,3.9220833333333336,4.036666666666665,4.5420663691513985,4.392749718522355,5.888116197853762,5.185189946584664,6.639393668831169,6.639393668831172,7.2797414019914095,7.222618525351493,8.241656049750116,8.145353116301145
2004-08-31,MONSOON,2.106666666666667,3.45,3.1,2.66,4.818181818181818,4.7515833333333335,4.751583333333334,4.338214472042016,4.612842816512724,2.1933252324280863,2.1066666630905226,6.2240625,6.139999999999999,5.718914203639641,5.971927317001021,4.4393226804597345,4.018639418368517,4.420208333333333,4.629375000000002,4.230650863633345,4.249051548277727,2.780558209252003,2.1375512631461384,3.6937499999999996,4.155833333333332,3.789239821490839,3.925912182984223,2.9065952437779177,2.6724595788891277,6.639393668831169,6.639393668831172,6.295117568467573,6.466785282184954,4.759365567399737,4.7723952438296084
2004-11-30,POMKH,4.218,5.17125,3.425,2.38,6.387142857142856,4.7515833333333335,4.751583333333334,4.29012868322521,4.3025093194177275,4.302106821080077,4.21799998999206,5.9390625,6.130312499999999,5.499848522183784,5.6068352184050125,5.077546080151991,5.207812275124613,4.544791666666667,4.460625000000002,3.908390518180007,4.162468576276413,3.9137228143604457,3.365860356888346,3.9967708333333336,3.6883333333333317,3.2255438928945033,3.413694248019776,3.464189426861334,3.7763044768566307,6.639393668831169,6.639393668831172,6.331927683937686,6.381501632928715,6.363948619072939,6.326446643848623
2005-02-28,POMRB,4.945,7.3,4.429166666666667,4.33,7.128750000000001,4.751583333333334,4.751583333333334,4.552077209935126,4.541993828146663,5.026455685398098,4.944999988055241,5.7743125,6.317812499999999,6.219909113310271,6.201247809314872,6.52780513142908,6.974650791217163,4.587604166666667,4.3797916666666685,4.116700977574672,4.228934047929075,5.020686535740114,4.6914583241215055,4.866874999999999,3.699166666666666,3.667326335736702,3.611266709481335,3.809314474244561,3.976200542372252,6.639393668831169,6.639393668831173,6.650656610362612,6.600136436551669,7.092415740492128,7.061006387527426
2005-05-31,PREMON,7.736666666666667,6.32,7.885,7.8075,8.223500000000001,4.751583333333333,4.751583333333334,5.825912992627742,6.576280366124703,7.815385444083895,7.736666644804124,5.988312499999999,5.560312499999998,6.259945467986163,6.311888871420171,8.470845858867007,7.047605366767058,4.430208333333333,4.709791666666669,5.624020586544803,4.8336453432603825,5.632196390270116,4.911767469481104,5.500624999999999,4.294374999999999,5.323395801442022,5.034271511783935,5.836290770247613,5.157496109672203,6.639393668831169,6.639393668831172,7.279793966217568,7.221104995846188,8.2180571975071,8.145353116301145
2005-08-31,MONSOON,2.106666666666667,5.162000000000001,2.1225,7.2399999999999975,4.818181818181818,4.7515833333333335,4.751583333333334,4.338214462243312,4.612018460239278,2.182574848316576,2.106666663510733,5.8754375,5.988312499999998,5.8207672807916975,5.909716519402593,4.016373759405557,4.259832051980134,4.4334375,4.465416666666668,4.223412351926881,4.52308843801758,3.134571780376702,2.2956620440804274,5.379375,5.439374999999998,6.090037480865211,6.176116025526262,3.043880628791654,3.4314987810457964,6.639393668831169,6.639393668831172,6.295149107003268,6.47124666699973,4.784185322912608,4.7723952438296084
2005-11-30,POMKH,4.218,5.17125,3.143333333333333,2.87,6.387142857142856,4.7515833333333335,4.751583333333334,4.2901286773459875,4.301989395258095,4.291035550405011,4.217999991233776,6.049870192307693,5.988312499999998,5.560960368475018,5.569008714505247,5.108585361605455,5.163883368024568,4.41375,4.395000000000001,3.791380744489462,4.366620044727229,3.9310373098990317,3.5286156600820746,4.9721874999999995,5.561874999999999,4.8020224885191265,5.620245864003871,3.946843995818406,4.072322195717444,6.632706168831169,6.639393668831172,6.331946607059104,6.38972143681638,6.366629094295029,6.326446643848623
2006-02-28,POMRB,4.945,6.397,4.736666666666667,2.87,7.128750000000001,4.751583333333334,4.751583333333334,4.552077206407592,4.541742450511982,5.0151110952049,4.944999989396699,6.573177884615384,5.762562499999999,5.8953762210850105,5.804267305432187,6.770999154421294,6.56477359080558,4.350312499999999,4.471875000000002,4.169495113360344,4.454596246025755,4.986931298118282,4.58872910376678,4.2853125,5.196874999999999,4.029213493111476,5.010648395772378,4.2925400646929734,4.20156385213551,6.536245941558442,6.639393668831173,6.6506679642354625,6.61043240989176,7.103488336773956,7.061006387527426
2006-05-31,PREMON,7.736666666666667,8.618461538461537,7.42,6.01,8.17,4.751583333333333,4.751583333333334,5.825912990511222,6.5762844289003075,7.8038133536451895,7.736666647163576,6.781521634615385,6.337177884615382,6.984610348035622,6.983898290994693,7.72700142341303,8.206543212323844,4.233125,4.355625000000002,5.469697068016206,4.957611265866858,6.528568388222876,6.098885448739617,3.9651562499999997,4.747499999999998,4.821528095866885,5.4711169526243335,6.168453261993472,5.886350993039816,6.420580357142858,6.626018668831172,7.258400778541278,7.211533787422932,8.211023937059025,8.145353116301145
2006-08-31,MONSOON,2.106666666666667,7.05,2.08,3.5425,4.1,4.7515833333333335,4.751583333333334,4.3382144609734,4.612137452235558,2.1708192943504585,2.106666663842482,6.729240384615385,6.809177884615382,7.010766208821373,7.317000841651601,4.4784223563133985,4.162435813986369,3.9758333333333336,4.3450000000000015,4.1138182408097235,4.613671016891648,2.9025543812908934,2.4203897776032934,4.3471875,3.8231249999999983,4.309916857520131,5.023748696750047,3.2104867297741086,4.654163869532713,6.08109375,6.446473214285717,5.995040467124766,6.20236903942456,4.789221252559855,4.7723952438296084
2006-11-30,POMKH,4.218,4.95,2.248333333333333,4.00625,6.18,4.7515833333333335,4.751583333333334,4.29012867658404,4.3021466180193215,4.279138758951559,4.217999992202266,6.838557692307692,6.753865384615382,6.186459725292824,6.64206684522744,5.312426637878035,4.464387307120536,4.29875,4.121250000000001,3.3676242778191674,4.295584615543773,3.77856804335226,3.3624750674960246,4.902604166666666,4.1071874999999975,4.1884501145120785,4.746115355872435,3.8130609684365906,2.9783079122292326,5.7559375,6.394687500000003,6.06902428027486,6.092119235241734,6.280146895001131,6.326446643848623
2007-02-28,POMRB,4.945,6.2,3.5733333333333337,4.79,4.62,4.751583333333334,4.751583333333334,4.5520772059504235,4.541895518902324,5.003113460099451,4.9449999904675135,6.906875,6.7046153846153835,6.191875835175695,6.53017105613451,6.822126318051911,6.524699914440919,4.700833333333332,3.8304166666666672,3.449907900024834,4.187014051969138,4.956220336382096,4.548455495327977,5.090520833333334,4.587187499999997,4.429070068707247,4.750830112922281,4.257487275073526,3.8241502023734975,5.575,5.767500000000004,5.489414568164916,5.454970327738179,6.998132687328287,7.061006387527426
2007-05-31,PREMON,7.736666666666667,9.69,11.166666666666664,8.533333333333333,8.077499999999999,4.751583333333333,4.751583333333334,5.825912990236921,6.5764146432008035,7.791753420889956,7.736666649063747,6.8412500000000005,6.972499999999998,7.591125501105417,7.923146163893484,8.171553588188747,7.223548580471827,4.626874999999999,4.767083333333334,6.5366114066815655,5.27557826347057,6.785660103479414,6.8442445167891695,5.137239583333333,5.21802083333333,6.070775374557682,6.054346087686319,6.285382997706487,5.760085367894761,5.507499999999999,5.744375000000003,6.524648740898949,6.232704374816953,7.778752013739569,8.113624070246146
2007-08-31,MONSOON,2.106666666666667,6.525,1.55,2.5225,2.745,4.7515833333333335,4.751583333333334,4.338214460808819,4.612227517418723,2.1587337527501607,2.106666664111081,6.956874999999999,6.841249999999998,7.16467530066325,7.737331338364422,5.4951396429805355,5.253519426166191,4.909999999999999,4.6345833333333335,4.54196684400894,4.8407755894858715,2.8209080275872873,2.2301809271891777,5.23734375,4.9630208333333306,4.6514652247346095,5.181576119928111,3.514486245739267,3.888560350732557,5.8393749999999995,5.405625000000004,5.01278924453937,4.982222607870128,3.9856559296613145,4.346465823550119
2007-11-30,POMKH,4.218,4.95,2.186666666666667,5.4,6.994999999999999,4.7515833333333335,4.751583333333334,4.290128676485292,4.3021981638066675,4.267062436275663,4.21799999297863,7.08875,6.841249999999998,6.27880518039795,6.837603236696824,5.3258049696084875,4.59612790401847,4.903124999999999,4.619166666666667,3.5998467730720303,4.5011248933675105,3.444825650098029,2.9657487582306272,4.9444791666666665,5.311458333333331,4.950879134840766,5.312444520977527,4.014134982316199,3.4779742992437703,6.0809375,5.6093750000000036,5.805673546723622,5.498437427046129,5.721682051041639,6.203597199843961
2008-02-29,POMRB,4.945,7.125,5.9,4.1970833333333335,6.460000000000001,4.751583333333334,4.751583333333334,4.552077205891175,4.541915509301853,4.991079324701806,4.9449999913420895,7.170624999999999,7.072499999999999,6.6172831082387695,6.9366675045091055,6.757084770664552,6.298130902471083,4.732760416666667,5.200833333333333,4.519908063843218,4.738128027452106,4.687354921643477,4.278186023847979,4.874635416666667,5.163229166666664,4.649360814237793,5.0152376474749305,4.5512779200520015,4.92587602723925,6.261875000000001,6.0693750000000035,6.067404128034173,5.790596712430568,5.242730842667969,5.573151354060608
2008-05-31,PREMON,7.736666666666667,9.82,8.785,6.783333333333334,8.17,4.751583333333333,4.751583333333334,5.825912990201372,6.57640582724637,7.779792588083316,7.7366666506268675,7.236250000000001,7.105,7.8983698649432625,8.180933688064114,8.841626992694236,8.528013931136817,4.875520833333334,4.605416666666667,6.2259448383059315,5.423416653140302,8.52385329227346,8.130228975824343,5.020416666666667,4.725729166666664,5.50294982187601,5.6102014349278475,6.510242503244582,6.767732836148657,6.329375,6.092500000000003,6.908442476820504,6.72286586370968,7.968746422621335,8.03750288902631
