Date,Season,Keshorai Patan,Hindoli,Talera,Nainwa,Keshorai Patan_Trend,Keshorai Patan_SMA,Keshorai Patan_EWMA,Keshorai Patan_DES,Keshorai Patan_TES,Keshorai Patan_ARIMA,Hindoli_Trend,Hindoli_SMA,Hindoli_EWMA,Hindoli_DES,Hindoli_TES,Hindoli_ARIMA,Talera_Trend,Talera_SMA,Talera_EWMA,Talera_DES,Talera_TES,Talera_ARIMA,Nainwa_Trend,Nainwa_SMA,Nainwa_EWMA,Nainwa_DES,Nainwa_TES,Nainwa_ARIMA
2003-05-31,PREMON,8.555,17.34,16.735,17.39,5.340010416666667,5.1445833333333315,6.186418957994651,7.218493973305638,5.757045859711492,6.769127130625256,13.41236111111111,13.250000000000002,14.318033007660372,14.330357957636808,15.13178983119612,14.916176256673792,11.695666666666666,11.518333333333336,13.310450101947502,13.266106264161483,13.419807795812444,12.915628368906056,14.0075,14.122499999999999,15.759118191429685,15.551973350771696,18.02980392478278,17.6164628851721
2003-08-31,MONSOON,2.110666666666667,8.351111111111111,7.9543333333333335,7.166666666666668,4.913488839285715,5.510999999999998,4.556118041463457,5.532740194471961,4.488254247115347,3.468204069251021,12.278350694444445,13.805277777777778,11.931264249040666,13.48343434522079,12.412158646045953,12.871723343267368,11.160177083333334,11.826083333333335,11.168003394501834,11.645748446557663,10.929059780235137,10.230873144277238,13.085677083333334,14.609166666666667,12.322137581524478,13.262890266670514,7.7535882202438255,6.9540453987230695
2003-11-30,POMKH,3.877083333333333,11.536666666666667,8.841666666666667,12.276666666666666,4.362753720238095,5.169020833333332,4.284504158211408,5.12508610443812,4.243137874327106,4.272744952712118,11.075121527777778,13.019444444444444,11.773425216091066,13.599958194638512,11.27667532023224,11.979490178372508,10.092145833333333,11.565250000000002,10.237468703367767,10.550610082352948,10.898729097324079,11.621574540615612,12.725104166666666,13.405833333333334,12.303949215581353,12.870472541773262,14.04747080754965,13.512893911422989
2004-02-29,POMRB,4.089077380952381,8.92125,9.489416666666667,14.22875,4.139064484126984,4.657956845238094,4.206333447307797,4.899561593459203,4.374614198658813,4.49598669963119,10.685208333333334,11.537256944444444,10.63255512965464,12.665549117402708,10.201141194203327,10.838627962479745,9.210284722222223,10.75510416666667,9.938247888687329,9.910002023620535,10.653357527106639,12.279220745854914,12.711354166666666,12.765520833333335,13.073869529348812,13.194950201789023,15.00731985294094,13.878874469061273
2004-05-31,PREMON,6.193375,13.642916666666665,11.431333333333333,17.066666666666666,4.2524533730158725,4.067550595238094,5.001150068384678,5.73040854509948,5.6847151259865285,6.366194796967122,10.766319444444445,10.612986111111109,11.83669974445945,13.32556707181021,14.179507580149554,14.269112266669978,8.802381944444445,9.429187500000003,10.53548206654573,10.211067163009641,12.129995014286079,12.64117712994652,12.844062500000001,12.684687500000003,14.670988384275955,14.476357699908668,17.34007043894757,16.933789282597445
2004-08-31,MONSOON,2.682777777777777,8.92888888888889,6.203111111111113,7.38,4.386586557539682,4.2105783730158715,4.073801152141918,4.609128001932559,3.6997964503509495,1.9025818555818992,10.620052083333334,10.757430555555555,10.673575402231226,12.255238408819531,10.550003629318136,10.59960337632236,8.347413194444446,8.991381944444448,8.802533684371884,8.493677329394078,7.841971322367835,5.990600742796935,13.089010416666667,12.738020833333337,11.754593030565573,12.376900862825545,7.127751820786663,6.906212671096341
2004-11-30,POMKH,4.212083333333334,11.607777777777779,7.329666666666667,13.125,4.473110367063492,4.294328373015873,4.1291140246184845,4.531908372630048,3.880287318071038,4.230060973304435,10.219947916666667,10.775208333333332,11.047256352449846,12.145358776457067,10.22333242984259,10.901548580539812,7.721527777777779,8.613381944444448,8.213386877289796,7.599543741687436,8.40979890850774,7.520118446860136,13.078333333333333,12.950104166666671,12.302755818339342,12.41125903135668,13.138301825494207,14.57018828192006
2005-02-28,POMRB,4.827142857142858,7.68,7.361666666666667,15.34,4.59765376984127,4.478844742063492,4.408325557628235,4.755756987901083,4.230062214019078,4.401516452740758,10.385555555555557,10.464895833333332,9.700353811469908,10.74497457118407,9.520543009646229,9.967720006864095,7.480972222222224,8.081444444444447,7.872698793040545,7.0106994786190535,8.601865500236599,8.186834864203266,13.1775,13.22791666666667,13.517653491003605,13.232227386275197,14.647823296627557,14.734230846159896
2005-05-31,PREMON,6.147499999999999,11.683333333333335,8.552000000000001,15.87,4.720952380952381,4.467375992063492,5.10399533457694,5.530657181563042,5.816259691518155,6.40403536184168,10.820138888888888,9.975,10.49354562021528,10.85053723937774,13.313059200081176,13.337682274344223,7.483875,7.361611111111113,8.144419275824328,7.121443859098442,10.044357100657315,9.344709451027589,12.930625,12.928750000000004,14.458592094602164,14.174582815915688,17.333496199240617,16.60220689237523
2005-08-31,MONSOON,3.725,12.213333333333333,7.1579999999999995,9.37,4.547872023809523,4.727931547619049,4.552397200746164,4.8995568480174745,3.7758413997000675,2.5822573000412654,11.014166666666668,10.79611111111111,11.181460705462502,11.157158086201834,9.321192479311403,9.218629317755525,7.329208333333334,7.600333333333335,7.7498515654945965,6.787461666792415,5.400941928860738,4.347825839064795,12.049374999999998,13.426250000000003,12.423155256761298,12.811648231933706,7.143263208468022,7.660701006515005
