Date,Season,Seondha,Datia,Seondha_Trend,Seondha_SMA,Seondha_EWMA,Seondha_DES,Seondha_TES,Seondha_ARIMA,Datia_Trend,Datia_SMA,Datia_EWMA,Datia_DES,Datia_TES,Datia_ARIMA
2006-11-30,POMKH,19.130000000000006,12.24,18.760625,17.597916666666666,17.81979777978814,17.721470361433028,17.282531148791357,16.621085140730326,12.114166666666666,11.659999999999995,11.44464623670252,11.715843774108322,10.023203043902463,9.551242445493891
2007-02-28,POMRB,19.6,13.133333333333333,19.185000000000002,18.543750000000003,18.531878667872885,18.42891236632746,18.24583496048568,17.918194864440007,12.715,11.755833333333328,12.120121075354845,12.066218513980573,12.204954823150484,13.517279265765502
2007-05-31,PREMON,19.465,14.316666666666668,19.4675,18.977500000000003,18.90512720072373,18.77408992282523,18.529730880231284,18.221979826148832,12.930833333333334,12.472499999999997,12.998739311879575,12.609532930737098,15.446381972198946,12.53028000507791
2007-08-31,MONSOON,19.375,12.14,19.589375,19.392500000000002,19.093076320434236,18.932239072008045,18.574554455798978,18.489339971748844,12.78125,12.957499999999996,12.655243587127746,12.717242257810977,9.820633750969927,11.656338279344675
2007-11-30,POMKH,19.73,12.026666666666666,20.834375,19.5425,19.347845792260543,19.173355429501,19.410381357643697,18.654388538708066,12.1625,12.904166666666661,12.403812818943313,12.774383406098556,11.769025778773846,11.112029795674959
2008-02-29,POMRB,19.975,12.15,22.2075,19.636250000000004,19.598707475356328,19.414871015501404,19.71522722374462,19.05576198891796,11.229583333333332,12.658333333333328,12.302287691365988,12.827388105408149,13.161740378282051,13.352345043580957
2008-05-31,PREMON,29.05,10.35,21.675624999999997,22.032500000000002,23.379224485213797,23.415105354901602,19.52747266547635,19.293678810415997,10.205416666666666,11.66666666666666,11.521372614819592,12.527920648928443,15.62179744612147,12.124527561037812
2008-08-31,MONSOON,20.775,8.643333333333333,20.78125,22.3825,22.337534691128276,22.16958149378193,23.273148830915627,25.450157656864807,9.062083333333334,10.792499999999993,10.370156902225089,11.91325412194552,8.327852972688895,9.88329081869146
2008-11-30,POMKH,14.075,7.330000000000001,18.603125,20.96875,19.032520814676964,18.608835538003735,22.687379778523027,19.274296268774723,8.435,9.618333333333327,9.154094141335055,11.084118435669925,9.469193180807451,10.710661107723679
2009-02-28,POMRB,18.475,7.7,16.038125,20.59375,18.809512488806178,18.455099397000453,19.14280029115754,17.224976300193592,7.787916666666666,8.505833333333328,8.572456484801034,10.370917059847724,9.89659867372439,10.046950587421115
2009-05-31,PREMON,13.125,9.783333333333333,15.9575,16.6125,16.535707493283706,16.090371801527922,18.555289360951814,19.626488455475826,7.10375,8.36416666666666,9.056807224213953,10.086260377557782,11.879461880901166,9.882334530227068
2009-08-31,MONSOON,16.18,4.033333333333333,16.48875,15.46375,16.393424495970223,16.04484947812751,15.856746777005604,14.879484621265643,7.016666666666666,7.211666666666661,7.047417667861705,8.835529424511902,5.864497102944531,9.235110706450932
2009-11-30,POMKH,18.025,6.466666666666666,17.373124999999998,16.451249999999998,17.046054697582132,16.804265140466264,16.48691799764851,17.722082095851707,7.189583333333333,6.995833333333327,6.815117267383689,8.130108127009661,6.141290551399337,6.656595359355465
2010-02-28,POMRB,18.775,7.866666666666667,18.265625,16.526249999999997,17.73763281854928,17.555723937289265,17.316885290022835,17.483842733191217,7.82625,7.037499999999995,7.23573702709688,7.762964823223574,7.561285066808042,8.330340327768841
2010-05-31,PREMON,19.9,11.0,17.815625,18.22,18.602579691129566,18.462272923572172,17.645580422454508,18.211043084939305,8.466666666666667,7.3416666666666615,8.741442216258129,8.017615587570173,10.551804320826239,8.809693751678559
