Date,Season,Shindkhede,Dhule,Sakri,Shirpur,Shindkhede_Trend,Shindkhede_SMA,Shindkhede_EWMA,Shindkhede_DES,Shindkhede_TES,Shindkhede_ARIMA,Dhule_Trend,Dhule_SMA,Dhule_EWMA,Dhule_DES,Dhule_TES,Dhule_ARIMA,Sakri_Trend,Sakri_SMA,Sakri_EWMA,Sakri_DES,Sakri_TES,Sakri_ARIMA,Shirpur_Trend,Shirpur_SMA,Shirpur_EWMA,Shirpur_DES,Shirpur_TES,Shirpur_ARIMA
1998-11-30,POMKH,5.3,3.625,3.61875,7.93,7.121041666666667,7.670833333333328,7.2800851079168005,7.337887727971321,7.710972169778891,9.09120607508429,5.057000000000001,5.232124999999998,4.926190041115927,5.812381071549191,4.684690562589128,4.314896432027021,4.427306547619048,4.916235119047619,4.455346114274742,4.766791478182583,4.100455698885969,4.133754434184952,8.064874999999999,7.803750000000001,7.853050834124801,7.809391279846703,6.83301051229135,8.35215295615274
1999-02-28,POMRB,6.1175,4.4300000000000015,3.865,8.002,7.143020833333333,7.291874999999996,6.81505106475008,6.898943864699026,9.505527335353625,8.774469912369444,5.019270833333335,5.1164999999999985,4.727714024669557,5.630869227680946,5.218885269146043,4.491123022426923,4.224122023809524,4.686056547619048,4.219207668564845,4.629937178676998,4.8843576738421435,4.470316684809625,8.858375,7.521750000000001,7.912630500474881,7.844789543554532,7.94450041656483,7.997029949647165
1999-05-31,PREMON,8.833333333333334,7.1750000000000025,4.883333333333334,9.725,7.498333333333334,6.95020833333333,7.622363972183381,7.2742339509327305,9.94849339734596,8.568953262046994,5.135520833333334,4.9975,5.7066284148017346,5.830683303962022,6.747492166477002,7.65779385128546,4.263802083333333,4.168556547619048,4.484857934472241,4.692304695817369,6.112476889432837,6.0141311895855125,9.22625,8.608,8.637578300284929,8.149426277656895,9.579530713688426,6.782605578350867
1999-08-31,MONSOON,9.0925,4.934166666666667,4.751666666666667,10.778,8.100833333333334,7.33583333333333,8.210418383310028,7.613342135446556,8.186214489791716,8.587855799331345,5.406979166666667,5.041041666666667,5.397643715547708,5.712468101943421,4.779127600486089,5.120239437431712,4.3567559523809525,4.2796875,4.591581427350011,4.722865193740966,3.2449271069907506,3.105790956120644,9.816,9.10875,9.493746980170958,8.573629078664084,7.527169388777956,8.862532545899487
1999-11-30,POMKH,6.6000000000000005,4.3808333333333325,3.4916666666666667,8.870000000000003,8.511666666666667,7.66083333333333,7.5662510299860175,7.222573813233098,7.710972107944464,8.621731533408807,5.687992424242424,5.2299999999999995,4.990919562661958,5.537591961410147,4.25006279548341,4.167975320328402,4.513511904761905,4.247916666666667,4.151615523076673,4.517207274036433,3.679344570304778,3.6690263397877168,10.335125,9.343750000000002,9.244248188102576,8.62603738300477,7.983673676600437,9.094332021711567
2000-02-29,POMRB,9.6375,5.845833333333332,4.735714285714286,11.78,8.5434375,8.54083333333333,8.39475061799161,7.715135026348508,9.505527286899099,8.493495546591976,5.910255681818182,5.583958333333332,5.332885070930507,5.576410201297441,5.213413471356726,4.887764381010855,4.512648809523809,4.465595238095238,4.385255028131718,4.559855900225659,4.585549845988212,4.3557511581567185,10.544541666666667,10.288250000000001,10.258548912861546,9.13433880302459,9.045835879885583,8.388965837172554
2000-05-31,PREMON,8.600000000000001,8.007272727272728,5.266666666666667,10.1,8.98875,8.482499999999996,8.476850370794967,7.80795747546211,9.948493385120086,8.561809107487672,6.318291396103896,5.7920265151515125,6.402640133467395,5.891765726894283,7.254394591703538,8.281910639501682,4.732767857142857,4.561428571428571,4.737819683545698,4.695795285751838,6.3001414885707625,6.081000091345753,11.021770833333333,10.382000000000001,10.195129347716927,9.293852131061412,11.307618894900719,9.281645185989442
2000-08-31,MONSOON,9.58,5.88,4.361428571428571,12.078333333333333,9.51375,8.604374999999996,8.91811022247698,8.126016413038503,8.186214475164324,8.563845472222182,6.8552533924408925,6.028484848484846,6.193584080080437,5.888805916504265,5.403324582643822,5.518188150419402,5.206130952380953,4.463869047619047,4.5872632386988474,4.650750983422053,3.5139817412954786,3.881693350369661,11.385833333333332,10.707083333333335,10.94841094196349,9.743610981299053,8.938426051478901,9.524287426525563
2000-11-30,POMKH,9.675,6.699285714285715,5.642857142857142,11.3875,9.9925,9.373124999999996,9.220866133486188,8.381540957194261,7.710972098334533,8.618474003467838,7.07199975024975,6.6080979437229415,6.395864733762548,5.992973464589133,4.990208261803071,4.744187684059345,5.958511904761905,5.001666666666666,5.009500800362165,4.845410020650801,3.6741609223422467,3.5570635014846728,12.058958333333333,11.336458333333333,11.124046565178094,10.011684162023792,9.368957157467289,9.557680691496737
2001-02-28,POMRB,10.7625,7.823076923076924,6.371428571428572,12.175,10.434166666666666,9.654374999999995,9.837519680091713,8.845373583197892,9.505527308937777,8.672621371321286,7.118822802197802,7.102408841158839,6.966749609488298,6.229957928832553,6.522531610206412,6.431733578488277,6.457678571428572,5.410595238095237,5.554271908788728,5.15547967778925,5.4773279075128185,5.231348451636425,12.717916666666666,11.435208333333332,11.544427939106857,10.36278009220379,10.696232815603238,10.313917467081144
2001-05-31,PREMON,11.305,7.7639999999999985,9.65,15.09,10.481458333333332,10.330624999999994,10.424511808055028,9.321298942079979,9.948493418737524,8.775115594843331,7.095623397435897,7.041590659340656,7.285649765692979,6.428312502676161,8.804369004989853,9.291092782903974,6.390178571428571,6.50642857142857,7.192563145273237,6.051599743528854,7.501365994701394,7.156312534829343,12.526562499999999,12.682708333333332,12.962656763464114,11.123096855856303,12.664059144758067,9.640196261536065
2001-08-31,MONSOON,10.408333333333333,6.497857142857143,3.971428571428572,12.36,10.270520833333334,10.537708333333327,10.418040418166349,9.438036426115714,8.186214536622245,8.894017133760977,7.0402239010989,7.196054945054942,6.970532716558644,6.435816306899064,6.306841321235174,5.471041555608865,6.457291666666667,6.40892857142857,5.904109315735371,5.80209059374999,6.0388308186661135,6.264643252189018,12.16875,12.753124999999999,12.721594058078468,11.327070274900139,11.1456802219991,12.366424289896383
2001-11-30,POMKH,9.225,5.895833333333332,5.492857142857144,9.575,9.911041666666668,10.425208333333327,9.940824250899809,9.220340842105132,7.710972168317854,8.96230265499291,7.246144841269841,6.995191849816846,6.540652963268519,6.363905704381708,5.79074597783558,5.614741022480478,6.244404761904763,6.37142857142857,5.73960844658408,5.8483041175892625,4.986554341193827,4.877068473511852,11.594583333333334,12.299999999999997,11.46295643484708,11.054345087712218,11.125326587718604,10.087770307477001
2002-02-28,POMRB,9.525,8.183333333333332,7.058333333333335,11.125,9.545833333333333,10.115833333333327,9.774494550539885,9.138779367447093,9.505527374289594,8.973588625536706,7.593030753968254,7.0852559523809475,7.197725111294444,6.599409428347918,6.744837979917723,6.344179184209153,6.210476190476191,6.543154761904761,6.267098401283782,6.175107103271302,6.181426649203885,5.259035889746009,10.875416666666666,12.037499999999998,11.327773860908248,11.072229811292978,11.616935849504557,9.889306464438937
2002-05-31,PREMON,9.666666666666666,9.051111111111112,7.26,11.546666666666667,9.394791666666666,9.706249999999994,9.731363396990597,9.115705486206876,9.948493471352705,8.996563333402687,7.8831944444444435,7.407033730158726,7.939079511221111,6.917232236420152,9.076405754823718,9.072141781069764,6.293154761904764,5.945654761904761,6.664259040770268,6.503541812777281,8.19831275865217,7.817461168320989,10.446041666666666,11.151666666666664,11.415330983211616,11.154539177391054,13.123313438352653,10.34468180453711
2002-08-31,MONSOON,9.125,7.985833333333333,6.0900000000000025,10.15,9.441354166666668,9.38541666666666,9.488818038194358,8.960432035806456,8.186214572375322,9.023548243380628,7.929236111111111,7.779027777777774,7.957781040065999,7.054780167185971,6.944807895591691,6.454326621796289,5.837113095238096,6.475297619047619,6.434555424462163,6.5742811092434446,5.451736460015292,5.004711721866808,10.253854166666667,10.599166666666664,10.90919858992697,11.000961833021925,10.66771110390351,10.744966562368095
2002-11-30,POMKH,9.3,6.729166666666668,4.035714285714286,8.35,9.311041666666666,9.40416666666666,9.413290822916615,8.892291315653004,7.710972190862567,9.027384096429337,7.937563131313132,7.987361111111109,7.466335290706267,7.010648886637006,6.735137264910778,6.5069570794463,5.391339285714286,6.111011904761904,5.4750189689630115,6.244134218176935,5.524904118243374,5.266047923441862,10.118958333333333,10.292916666666663,9.885519153956182,10.584644473186863,10.241794857053417,8.958842051685597
