Date,Season,Parliament Street,Darya Ganj,Chanakya Puri,Connaught Place,Parliament Street_Trend,Parliament Street_SMA,Parliament Street_EWMA,Parliament Street_DES,Parliament Street_TES,Parliament Street_ARIMA,Darya Ganj_Trend,Darya Ganj_SMA,Darya Ganj_EWMA,Darya Ganj_DES,Darya Ganj_TES,Darya Ganj_ARIMA,Chanakya Puri_Trend,Chanakya Puri_SMA,Chanakya Puri_EWMA,Chanakya Puri_DES,Chanakya Puri_TES,Chanakya Puri_ARIMA,Connaught Place_Trend,Connaught Place_SMA,Connaught Place_EWMA,Connaught Place_DES,Connaught Place_TES,Connaught Place_ARIMA
2001-05-31,PREMON,9.055,5.45,14.398,3.895000000000001,7.857500000000001,7.129999999999998,7.5111033123038276,7.185408007944948,8.002835706584507,7.176064487613628,5.5015624999999995,5.603124999999999,5.541019382415823,4.82067800016915,5.686154205769305,4.109139376198827,13.523062500000002,13.498,13.692848734302547,14.703684782818849,14.330963659058973,13.011029725375698,3.9856249999999998,3.9856249999999993,4.097653766895614,4.203130820961171,3.9250611146840635,3.895000000000001
2001-08-31,MONSOON,7.42,5.3,12.934000000000001,3.51,8.615625,7.612499999999997,7.474661987382296,7.289248498485958,6.680523931903936,6.759568609203116,5.478750000000001,5.493124999999999,5.4446116294494935,4.804566240038511,5.7401569765166105,4.367862966552086,13.690999999999999,13.287125,13.389309240581529,13.310744867169403,13.117481039103051,13.382614895683268,3.985625,3.9856249999999993,3.8625922601373683,3.998937614716744,3.5397553511541373,3.51
2001-11-30,POMKH,9.13,5.44,13.87,3.58,9.3225,8.102499999999997,8.136797192429379,7.873125754667284,7.009434883447487,7.429241401221522,5.516249999999999,5.51,5.442766977669696,4.788509607378562,5.5424181411798195,4.088213203449666,13.7623125,13.759,13.581585544348917,13.774286837986864,13.076397310490696,13.262425988675234,3.985625,3.9856249999999993,3.7495553560824213,3.8395565289269653,3.6094527222699266,3.58
2002-02-28,POMRB,10.91,5.6,13.29,4.9575,9.969375000000001,9.128749999999998,9.246078315457627,8.816873794202882,8.166478408338985,8.19733325387976,5.672499999999999,5.4475,5.505660186601817,4.772508079578272,5.798401686073275,4.451567657548728,14.304625,13.622999999999998,13.464951326609349,13.299777586286512,12.877179470186876,13.425201700865486,3.9856250000000006,3.9856249999999998,4.232733213649452,4.16382026922796,4.9866531665006715,4.9575
2002-05-31,PREMON,10.605,6.0,15.5125,3.895000000000001,10.641875,9.516249999999998,9.789646989274576,9.392224456463548,10.564685056373623,9.948662770476458,5.83625,5.585,5.703396111961091,4.756563417403524,5.696783344969676,4.147186963015482,14.965124999999999,13.901625,14.283970795965608,15.797496158378694,14.665710284241777,13.388979701383935,3.9856249999999998,3.9856249999999993,4.097639928189672,4.104417141635207,3.9238566560735997,3.895000000000001
2002-08-31,MONSOON,11.045,6.0,16.157999999999998,3.51,10.528125000000001,10.422499999999998,10.291788193564745,9.929870038351932,8.906456361692912,9.064670106718062,5.9750000000000005,5.76,5.822037667176655,4.7406721879539395,5.68132853236148,4.033044202565515,15.545125,14.707625,15.033582477579365,17.292401740056928,13.691700099372026,13.957893674957408,3.985625,3.9856249999999993,3.8625839569138027,3.919223225667939,3.538563159684302,3.51
2002-11-30,POMKH,10.885,6.05,15.929999999999998,3.58,10.283750000000001,10.861249999999997,10.529072916138848,10.261749742186389,9.699834154568126,10.29530454242567,6.1049999999999995,5.9125,5.913222600305993,4.724834617465683,5.684398975631211,4.139577445652151,16.02439583333333,15.222624999999999,15.392149486547618,16.982702900394365,14.464398670080897,14.54732581173407,3.985625,3.9856249999999993,3.7495503741482814,3.7792561752061045,3.6082726500881757,3.58
2003-02-28,POMRB,8.245000000000001,6.1,15.87,4.9575,9.596875,10.194999999999997,9.615443749683308,9.707881461385126,10.546340896439247,10.838851878031777,6.11625,6.0375,5.9879335601835955,4.709050526124626,5.921735056340754,4.261329723465449,15.995375,15.867624999999999,15.58328969192857,16.322083394145196,14.471560379997102,14.91775907148615,3.9856250000000006,3.9856249999999998,4.232730224488969,4.122310823257008,4.985485095018577,4.9575
2003-05-31,PREMON,11.315,6.54,16.766666666666666,3.895000000000001,8.491875,10.372499999999995,10.295266249809984,10.233380097728455,11.269738272270937,10.688029645692527,5.9825,6.172499999999999,6.208760136110158,4.693322896023516,6.0807791982962405,4.565710417998696,15.748541666666664,16.181166666666666,16.05664048182381,16.942813074069296,16.562787676416537,15.17287463242511,3.9856249999999998,3.9856249999999993,4.097638134693382,4.079627761379539,3.922700464550617,3.895000000000001
2003-08-31,MONSOON,4.84,5.55,14.671666666666667,3.51,7.925625,8.821249999999996,8.113159749885991,8.671223574134011,9.613151826659065,9.92569971707992,5.84875,6.06,5.945256081666095,4.677639946533874,6.084517211117872,4.565710417998696,15.3565625,15.809583333333332,15.502650955760952,14.697759693645793,15.391331219669501,15.599868610977069,3.985625,3.9856249999999993,3.8625828808160287,3.9081425789561606,3.537418728835384,3.51
