Date,Season,Anantnag,Anantnag_SMA,Anantnag_EWMA,Anantnag_TES,Anantnag_ARIMA
2002-11-30,POMKH,13.605,13.82875,13.53832780964329,14.36089769607581,8.354293519421072
2003-02-28,POMRB,,,,,
2003-05-31,PREMON,16.3875,14.524375,14.677996685785974,12.179977075079575,17.590185944496014
2003-08-31,MONSOON,11.7175,13.356874999999999,13.493798011471583,13.916842472737496,8.440568507564965
2003-11-30,POMKH,13.605,13.82875,13.53827880688295,14.407781139135444,8.045321406684614
2004-02-29,POMRB,,,,,
2004-05-31,PREMON,16.3875,14.524375,14.67796728412977,14.208543385923395,17.07583837409754
2004-08-31,MONSOON,11.7175,13.356874999999999,13.493780370477861,13.157752579029859,8.316897353289061
2004-11-30,POMKH,13.605,13.82875,13.538268222286716,13.263425524820974,8.215070763938632
2005-02-28,POMRB,,,,,
2005-05-31,PREMON,16.3875,14.524375,14.67796093337203,14.2454135804724,17.07508195991705
2005-08-31,MONSOON,11.7175,13.356874999999999,13.493776560023218,14.862667458510478,8.894219784641464
2005-11-30,POMKH,13.605,13.82875,13.53826593601393,12.656700265642668,8.125418602989331
2006-02-28,POMRB,,,,,
2006-05-31,PREMON,16.3875,14.524375,14.677959561608358,13.298318648222793,17.18907565973494
2006-08-31,MONSOON,11.7175,13.356874999999999,13.493775736965013,14.887442001179501,8.681387716752827
2006-11-30,POMKH,13.605,13.82875,13.538265442179007,14.085468553651754,7.9386821560516205
2007-02-28,POMRB,,,,,
2007-05-31,PREMON,16.3875,14.524375,14.677959265307404,12.810621777690619,17.090721540159045
2007-08-31,MONSOON,11.7175,13.356874999999999,13.493775559184442,14.100380965844518,8.801615675466396
2007-11-30,POMKH,13.605,13.82875,13.538265335510665,14.09799724849202,7.906123078976074
2008-02-29,POMRB,,,,,
2008-05-31,PREMON,16.3875,14.524375,14.677959201306399,14.00490472320386,17.424182964434337
2008-08-31,MONSOON,11.7175,13.356874999999999,13.493775520783839,13.706234049530481,8.67154599969473
2008-11-30,POMKH,13.605,13.82875,13.538265312470303,13.441623132412994,8.020088550961331
2009-02-28,POMRB,,,,,
2009-05-31,PREMON,16.3875,14.524375,14.67795918748218,14.006381057567234,17.27524060296145
2009-08-31,MONSOON,11.7175,13.356874999999999,13.493775512489307,14.70242597645001,8.626087116939296
2009-11-30,POMKH,13.605,13.82875,13.538265307493583,13.121627224971055,7.931243013087048
2010-02-28,POMRB,,,,,
2010-05-31,PREMON,16.3875,14.524375,14.67795918449615,13.457520884150936,17.378314380952915
2010-08-31,MONSOON,11.7175,13.356874999999999,13.493775510697688,14.694800590822101,8.555318049864416
2010-11-30,POMKH,13.605,13.82875,13.538265306418612,13.951288719273908,8.136576490683979
2011-02-28,POMRB,,,,,
2011-05-31,PREMON,18.75,15.114999999999998,15.622959183851167,13.196861975911629,17.281656176458707
2011-08-31,MONSOON,12.84,14.228124999999999,14.5097755103107,14.509890682765665,11.193033179913552
2011-11-30,POMKH,15.02,15.053749999999997,14.71386530618642,14.336446390814364,6.724755182221344
2012-02-29,POMRB,,,,,
2012-05-31,PREMON,16.5,15.777499999999996,15.428319183711853,14.440475198500188,20.09943385346766
2012-08-31,MONSOON,12.67,14.257499999999997,14.324991510227111,14.94420230879188,8.644255719053156
2012-11-30,POMKH,13.86,14.512499999999996,14.138994906136267,14.279514596633126,10.08420777622915
2013-02-28,POMRB,,,,,
2013-05-31,PREMON,18.75,15.444999999999997,15.98339694368176,14.609832249100947,17.09810238856525
2013-08-31,MONSOON,12.84,14.529999999999998,14.726038166209054,15.333821161869633,11.344446473543721
2013-11-30,POMKH,15.02,15.117499999999996,14.843622899725432,14.6623707841828,5.355179081772468
2014-02-28,POMRB,,,,,
2014-05-31,PREMON,14.25,15.214999999999996,14.60617373983526,14.585119754464623,20.764925496063704
2014-08-31,MONSOON,12.5,13.652499999999996,13.763704243901156,15.66276239865894,4.252683456692745
2014-11-30,POMKH,12.7,13.617499999999996,13.338222546340694,14.508122474564127,14.265131902653103
2015-02-28,POMRB,,,,,
2015-05-31,PREMON,13.29,13.184999999999999,13.318933527804415,14.304250268617675,12.611174616683689
2015-08-31,MONSOON,11.23,12.43,12.483360116682649,13.903178930589773,7.7865153388433495
2015-11-30,POMKH,11.7,12.23,12.170016070009588,14.19230319333934,8.250029078518212
