Date,Season,Indri,Nilokheri,Nissang,Assandh,Karnal,Gharaunda,Indri_Trend,Indri_SMA,Indri_EWMA,Indri_DES,Indri_TES,Indri_ARIMA,Nilokheri_Trend,Nilokheri_SMA,Nilokheri_EWMA,Nilokheri_DES,Nilokheri_TES,Nilokheri_ARIMA,Nissang_Trend,Nissang_SMA,Nissang_EWMA,Nissang_DES,Nissang_TES,Nissang_ARIMA,Assandh_Trend,Assandh_SMA,Assandh_EWMA,Assandh_DES,Assandh_TES,Assandh_ARIMA,Karnal_Trend,Karnal_SMA,Karnal_EWMA,Karnal_DES,Karnal_TES,Karnal_ARIMA,Gharaunda_Trend,Gharaunda_SMA,Gharaunda_EWMA,Gharaunda_DES,Gharaunda_TES,Gharaunda_ARIMA
2005-08-31,MONSOON,6.670000000000001,16.746666666666666,12.108333333333334,13.143333333333333,13.603333333333332,17.053333333333335,6.4454166666666675,6.542083333333337,6.428623069580462,7.018349583432485,5.567345416260009,5.830711430535492,15.7225,15.314374999999998,15.708195780970883,17.041713274268425,17.50490992015637,17.160033402488217,10.998041666666667,10.648166666666667,11.068051105571666,11.197805025045135,12.280701932837374,10.903922564342233,12.758020833333333,12.313333333333329,12.493518862290607,13.253855244836616,13.474309683064014,13.189498312952539,12.8175,12.424583333333322,12.617417914595592,12.479950653199499,15.227147997534932,10.548210525354268,15.654687500000001,15.760416666666668,15.9777849324304,15.46892672174572,17.117361626202428,15.859657016821592
2005-11-30,POMKH,6.163333333333334,17.435,11.093333333333335,13.526000000000002,12.475,15.096666666666666,6.500416666666668,6.4250000000000025,6.322507175081611,7.136440107837984,6.9729159626102115,6.021752040423695,15.706458333333334,15.974999999999998,16.398917468582532,17.627142934081906,15.729306901321499,15.94193683285293,11.231083333333332,10.9145,11.078163996676334,11.312379558585754,11.225904410776142,10.591746271133173,12.811958333333333,12.73383333333333,12.906511317374365,13.515873790324315,12.477960202994389,12.79980284387508,12.907604166666665,12.694583333333323,12.560450748757354,12.681726364551174,12.108725031480251,10.811349494516046,15.763125,15.600833333333334,15.625337626124907,15.505651639871868,16.028176932053004,15.921398949155334
2006-02-28,POMRB,6.42,12.285,10.526666666666666,12.1475,12.563333333333333,15.0075,6.93125,6.465833333333336,6.361504305048967,7.2576866444333925,6.239249587801837,6.053979068749451,15.610833333333334,15.469999999999997,14.753350481149518,16.617359120853695,15.423953014936655,15.812816858664231,11.504124999999998,11.081583333333333,10.857565064672468,11.06875510146332,10.806342988088586,10.75978389043081,12.954625000000002,12.78220833333333,12.602906790424619,13.33035027825142,12.538666747211941,12.84073652672866,12.768125,12.940416666666657,12.561603782587746,12.87183500677979,12.303839184839928,10.851624993214221,16.01291666666667,15.708541666666665,15.378202575674944,15.51757046047013,15.019032663007488,15.073123245394173
2006-05-31,PREMON,6.886666666666668,17.305,11.794,12.55,12.8575,16.113333333333333,7.444583333333334,6.535000000000004,6.571569249696047,7.4423071359871065,6.9709474799348214,6.137293514218989,14.636874999999998,15.942916666666664,15.774010288689711,17.168352147916195,15.670050203203736,15.567832005673687,11.831,11.380583333333334,11.232139038803481,11.484337476353694,12.015320797572842,10.977757189919538,13.103875,12.84170833333333,12.581744074254772,13.23846072622768,13.274952985390035,12.778313526709073,12.828645833333333,12.874791666666658,12.679962269552647,13.078731290503853,13.08304917992847,10.98538933592733,16.398125,15.81770833333333,15.6722548787383,15.747410122490388,15.6594604725056,15.254674645809505
2006-08-31,MONSOON,9.84,14.09,13.096666666666666,14.046666666666667,12.75,18.615,8.019166666666667,7.327500000000004,7.878941549817628,8.35553000450092,6.382463190427047,6.307867389314017,14.901249999999997,15.278749999999995,15.100406173213827,16.686173297816765,17.963894600068322,17.58616244096921,12.295062499999998,11.627666666666666,11.977950089948756,12.469638971863555,13.008798119440598,11.58381840056843,13.277604166666668,13.067541666666664,13.16771311121953,13.554671018496478,14.06352939525459,13.92887524248966,13.098645833333334,12.661458333333327,12.707977361731588,13.24757871776276,15.65418449032232,11.146227857103623,16.723020833333333,16.208124999999995,16.84935292724298,16.431294575898075,17.407605478128964,16.46663322654379
2006-11-30,POMKH,7.1,12.3,12.72,13.816666666666668,13.812499999999998,16.616666666666664,8.62375,7.561666666666671,7.5673649298905765,8.450404696767164,8.22808575212748,7.111858758067193,15.190625,13.994999999999994,13.980243703928295,15.764719429765044,16.164389197174046,16.05378275440021,12.858791666666667,12.034333333333333,12.274770053969254,13.004169683114407,12.008954910733813,11.706974601043713,13.3878125,13.140208333333328,13.427294533398385,13.761599877278329,13.38204661856609,13.612784200948436,13.243645833333332,12.995833333333325,13.149786417038953,13.536855441584015,12.535761529036966,11.25736768188619,16.920416666666664,16.588124999999994,16.756278423012454,16.585959527732186,16.200300877857185,15.619884104648602
2007-02-28,POMRB,10.08,19.535,12.6125,13.246666666666668,13.385833333333332,16.086666666666666,8.429166666666667,8.47666666666667,8.572418957934346,9.26234498069282,7.504711816558001,7.109159442900279,14.734999999999998,15.807499999999994,16.202146222356976,17.02160198169283,12.516133204974256,12.776468286555398,13.441583333333334,12.555791666666666,12.409862032381554,13.258230780410782,11.731451054528815,11.798093173678666,13.455625000000001,13.414999999999994,13.355043386705699,13.764273216341312,13.04601803198292,13.189502134283545,13.628333333333332,13.201458333333324,13.244205183556705,13.736537353744566,12.730875682180349,11.525620102521996,16.839791666666667,16.85791666666666,16.488433720474138,16.60539287035317,15.95337597347033,16.13571843076778
2007-05-31,PREMON,8.063333333333333,12.37,14.218,12.3325,13.195,16.613333333333333,8.647812499999999,8.770833333333336,8.36878470809394,9.435880016487715,8.734647284573404,7.785388347393808,15.045,14.573749999999995,14.669287733414185,16.02343817868488,17.409558236499407,17.145111023115348,13.9829375,13.161791666666666,13.133117219428932,14.171374794261776,13.16996607159086,12.510704522800868,13.714791666666665,13.360624999999995,12.946026032023418,13.482070324284079,13.845554053026184,13.52086253174427,14.081770833333334,13.285833333333326,13.224523110134022,13.888028820807941,13.510085676110387,11.632095507974116,17.01833333333333,16.98291666666666,16.538393565617817,16.725972811233166,16.85253004621351,16.555152808560077
2007-08-31,MONSOON,7.1066666666666665,15.38,15.335,14.806666666666667,15.49,17.470000000000002,8.913124999999999,8.087500000000002,7.86393749152303,9.26593720988074,8.159376100844101,7.848654762988606,14.400625,14.896249999999995,14.953572640048511,16.03100611366656,15.803424810139735,15.386996047784269,14.435937500000001,13.721375000000002,14.013870331657358,15.369658472609503,14.446532959186438,13.307578897227577,14.061250000000001,13.550624999999997,13.690282285880718,13.902289388904215,14.58714508177226,14.01219386045938,14.305729166666666,13.970833333333324,14.130713866080413,14.324269213248574,16.081220979999483,11.73392033265488,17.722916666666666,16.696666666666662,16.91103613937069,16.993996657229133,18.80044845573712,17.99778714498468
2007-11-30,POMKH,11.5825,13.49,14.8125,15.13,14.7,19.19,8.634375,9.208125,9.351362494913818,10.214946643307231,9.285501940928103,7.679761889783435,13.716249999999999,15.193749999999994,14.368143584029108,15.496542034737132,15.007362225293939,14.554888322501753,14.6185625,14.244500000000002,14.333322198994415,15.885166002194712,13.681200019179808,13.83642613693172,14.684895833333332,13.878958333333328,14.26616937152843,14.369381295567928,14.030533076454653,14.632114798126517,14.769374999999998,14.192708333333325,14.358428319648247,14.606094457484872,12.96279802896927,12.182240973816652,18.252916666666668,17.339999999999996,17.822621683622415,17.553078861889578,16.612015748358896,16.5425223659752
2008-02-29,POMRB,7.7200000000000015,13.19,14.144,14.705,14.29,19.15,9.462916666666667,8.618125000000001,8.69881749694829,10.038128142931608,9.181787436414346,8.568111252892088,13.87375,13.607499999999995,13.896886150417464,14.96913691473748,15.922385573801115,15.408030469639355,14.844125000000002,14.627375000000004,14.25759331939665,15.730657809648443,13.506261179227618,14.370995908105336,15.214791666666668,14.243541666666662,14.441701622917059,14.653598037459014,13.792347213395683,13.738826314602006,14.9675,14.418749999999994,14.331056991788948,14.801380290960772,13.157912180625374,12.310496329462875,18.770000000000003,18.10583333333333,18.35357301017345,17.996870043950103,16.739188489381448,16.363045643695198
2008-05-31,PREMON,8.193333333333333,13.24,14.1475,15.863333333333335,16.0,17.79,10.341895833333334,8.650625000000002,8.496623831502308,9.915320645017452,9.751812307412315,8.375062406140195,14.848124999999998,13.824999999999994,13.634131690250477,14.550068358598624,13.68727209383784,13.58959368822983,15.2054375,14.609750000000002,14.21355599163799,15.417755935759454,14.92008479441238,15.104012798881264,15.412395833333333,15.126249999999995,15.010354307083569,15.209736780090369,14.439095454096504,14.332817734011376,15.0625,15.119999999999996,14.998634195073368,15.199315643363244,13.937122172223756,12.42692164826982,19.012500000000003,18.399999999999995,18.12814380610407,18.084645638620337,17.996687750498328,17.973607628343643
2008-08-31,MONSOON,13.605000000000002,15.77,17.21,15.515,14.27,20.43,10.407645833333335,10.275208333333335,10.539974298901386,11.167547742921942,8.992147285657147,8.333696856742021,16.60875,13.922499999999994,14.488479014150286,14.909116027099932,15.059114532843896,14.349324795424973,15.504687500000003,15.0785,15.412133594982794,16.623249910801718,15.827726096238804,15.487421480857385,15.650833333333333,15.30333333333333,15.212212584250143,15.581719229819782,16.15007609934221,15.997003924977587,15.4125,14.814999999999996,14.707180517044021,15.323464827811918,16.50825747555462,12.818255985892149,18.7425,19.139999999999993,19.04888628366244,18.68128457415217,19.42586144653355,18.485283853210195
2008-11-30,POMKH,12.116,20.895,15.828,16.0025,16.68,18.17,10.416604166666666,10.408583333333336,11.170384579340832,11.917386673662904,11.110135686078973,9.533561838152728,18.425625,15.773749999999994,17.051087408490172,16.631210235510714,14.201503487278767,13.6964597389333,15.8843125,15.332374999999999,15.578480156989677,16.77437301485045,15.188538867353625,15.743242613001643,15.778958333333335,15.52145833333333,15.528327550550085,16.010449674149413,15.600838399276457,15.47895933274584,15.59,15.309999999999995,15.496308310226413,15.750665361934363,13.389834530097547,12.797888901120096,18.642083333333336,18.884999999999994,18.697331770197465,18.71334562520804,19.67438934694661,19.310598241493683
