Date,Season,Bangana,Haroli,Una,Amb,Bangana_Trend,Bangana_SMA,Bangana_EWMA,Bangana_DES,Bangana_TES,Bangana_ARIMA,Haroli_Trend,Haroli_SMA,Haroli_EWMA,Haroli_DES,Haroli_TES,Haroli_ARIMA,Una_Trend,Una_SMA,Una_EWMA,Una_DES,Una_TES,Una_ARIMA,Amb_Trend,Amb_SMA,Amb_EWMA,Amb_DES,Amb_TES,Amb_ARIMA
1998-11-30,POMKH,1.2309523809523808,34.185,6.0425,4.475714285714285,1.7926825396825397,1.7926825396825392,1.5146828193655466,1.430980361647033,1.315649098270692,1.23095230721786,25.521875,34.063750000000006,33.633092990976,24.156483458337274,27.628692173013818,32.48209879014571,6.546827651515152,6.3159053030303,6.39298286910371,8.055256993797949,6.089179247950043,7.292254600289127,4.676607142857143,4.558928571428572,4.411447631520914,4.433212577607642,4.409665478284982,4.14081936276477
1999-02-28,POMRB,1.9944444444444445,11.03,6.521666666666667,4.627142857142856,1.7926825396825394,1.7926825396825394,1.7065874693971057,1.5701727245619614,2.0829490262167076,1.9944443816916817,21.362500000000004,28.478750000000005,24.5918557945856,20.89642292618618,33.342653113795045,32.84534702421888,6.539250000000001,6.517821969696968,6.444456388128893,8.030845488304854,7.21844943894209,5.951992954332373,4.675892857142856,4.627857142857144,4.49772572176969,4.4986884949550126,5.125657992963191,4.6648693952921585
1999-05-31,PREMON,3.0636666666666668,11.44,7.8475,5.6085714285714285,1.7926825396825399,1.7926825396825397,2.24941914830493,1.98544682555255,3.155533692353423,3.0636665683636686,18.6178125,22.565000000000005,19.33111347675136,18.137247889095445,29.76959094817775,28.205103400222495,6.581833333333333,6.57583333333333,7.005673832877336,8.00650797369507,8.709680221797209,8.972679655869733,4.673058035714286,4.725357142857144,4.942064004490385,4.748032490372554,5.415658131137899,5.041596396831742
1999-08-31,MONSOON,0.8816666666666666,23.985,5.599,3.794285714285714,1.7926825396825397,1.7926825396825394,1.7023181556496247,1.8100514021414609,0.976464842405995,0.8816666239559827,19.865624999999998,20.160000000000004,21.192668086050816,18.277008874860936,27.083669922694387,24.645373743647077,6.991753205128205,6.502666666666663,6.443004299726401,7.982244194747284,4.570997467529352,5.852263356182444,4.787857142857143,4.626428571428572,4.482952688408517,4.585507922738081,3.563368254338872,4.130944908614991
1999-11-30,POMKH,1.2309523809523808,21.8475,6.675833333333332,4.848750000000001,1.7926825396825397,1.7926825396825392,1.5137718457707272,1.7175413122849694,1.328264990456769,1.2309523304154733,22.583125000000003,17.075625000000002,21.454600851630488,18.13589172881303,19.751887882209303,24.50531076955677,7.618299679487179,6.660999999999995,6.536135913169174,7.958053956836639,5.877180745600411,6.77164865429942,4.805267857142858,4.7196875,4.629271613045111,4.665782525359661,4.597106628697452,4.38473730562871
2000-02-29,POMRB,1.9944444444444445,33.35,9.167692307692308,5.1725,1.7926825396825394,1.7926825396825394,1.7060408852402142,1.8167058820432755,2.093868736108755,1.9944443969498598,22.25875,22.655625,26.212760510978292,20.506349969236624,24.479910711110122,23.941983180029904,8.553325091575092,7.3225064102564055,7.588758470978427,7.933937049364925,7.320007649621586,6.370521282413999,4.841689608134921,4.856026785714286,4.846562967827067,4.795309962044599,5.366632554366891,4.903808177934767
2000-05-31,PREMON,3.0636666666666668,10.86,10.213846153846154,5.2025,1.7926825396825399,1.7926825396825397,2.2490911978107953,2.1872075726034037,3.164816288741955,3.063666593923658,20.554687499999996,22.510625,20.071656306586974,18.228138890870348,27.302211896673086,25.935182562464632,9.593598901098902,7.914092948717944,8.638793544125518,7.909893237568414,9.755051040024185,9.805658694070644,5.005589037698413,4.754508928571429,4.98893778069624,4.9056790785427244,5.744429648936642,5.464255190182223
2000-08-31,MONSOON,0.8816666666666666,21.97,10.712857142857144,4.491731150793651,1.7926825396825397,1.7926825396825394,1.7021213853531438,1.9671862200896673,0.9841708187256009,0.8816666346355906,17.119374999999998,22.006875,20.830993783952184,18.438661528103104,24.990294110038484,22.742169409552474,11.05492902930403,9.192557234432229,9.468418983618168,7.885922295185743,6.10635419080072,6.819601451240517,5.0906907242063495,4.928870287698413,4.7900551287352044,4.85222875419549,3.6801796336449315,4.1955389358262
2000-11-30,POMKH,1.2309523809523808,10.23,9.884166666666667,5.4625,1.7926825396825397,1.7926825396825392,1.5136537835928385,1.8326059739876683,1.334456022187914,1.230952342341995,16.741249999999997,19.102500000000003,16.59059627037131,16.344636093356208,17.660630440497158,22.578646144958988,12.24819826007326,9.994640567765563,9.634718056837567,7.862023989873469,8.739901211809228,8.932234621747515,5.248292410714286,5.082307787698413,5.059033077241123,5.003619036492479,4.881397706605783,4.742289085807469
2001-02-28,POMRB,1.9944444444444445,17.485,17.65,5.239563492063492,1.7926825396825394,1.7926825396825394,1.705970047933481,1.892196802638748,2.0986074477799224,1.9944444062205662,16.575000000000003,15.136250000000002,16.948357762222784,15.9593814294849,20.399926394883764,19.963824469919977,11.840253704628704,12.115217490842486,12.84083083410254,7.838198176022131,10.31092538722068,8.377957253932935,5.2527635168650795,5.099073660714287,5.131245243170071,5.080937177895537,5.745953677945705,5.327513774951056
