Date,Season,Dadri,Dankaur,Jewar,Bisarakha,Dadri_Trend,Dadri_SMA,Dadri_EWMA,Dadri_DES,Dadri_TES,Dadri_ARIMA,Dankaur_Trend,Dankaur_SMA,Dankaur_EWMA,Dankaur_DES,Dankaur_TES,Dankaur_ARIMA,Jewar_Trend,Jewar_SMA,Jewar_EWMA,Jewar_DES,Jewar_TES,Jewar_ARIMA,Bisarakha_Trend,Bisarakha_SMA,Bisarakha_EWMA,Bisarakha_DES,Bisarakha_TES,Bisarakha_ARIMA
2004-02-29,POMRB,9.275,15.2,3.43,16.787222222222226,6.885000000000001,6.476249999999995,7.0219236560126825,7.001224988410113,6.527060587214546,6.273623907257932,15.128749999999998,15.127500000000003,15.086559454045638,15.309178868924738,15.096602300427143,15.116861598092896,4.275,4.275,3.580652362900432,3.43124727652709,3.3806274944964283,3.159757944516138,17.1352025462963,17.1352025462963,16.944767745147892,17.237615465997525,17.80222360300501,17.390166787383006
2004-05-31,PREMON,7.4,15.3,8.54,18.855625000000003,7.146249999999999,6.691249999999995,7.17315419360761,7.413475441454322,7.082951155114152,6.665374715676439,15.2375,15.092500000000005,15.171935672427383,15.374503940365031,15.354485414862763,15.033286760305371,4.694999999999999,4.275,5.564391417740259,5.146042389731288,5.342245741965918,5.120673080291397,17.1352025462963,17.1352025462963,17.709110647088735,18.010006768749946,18.7396027317444,17.87857268842048
2004-08-31,MONSOON,6.38,15.39,3.77,15.519444444444444,7.153125,7.078749999999996,6.855892516164566,7.358708842237883,5.409716643754949,5.909021684644955,15.280000000000001,15.165000000000004,15.25916140345643,15.448604238749144,14.872346941911935,15.111500459575412,5.114999999999999,4.275,4.846634850644156,4.560698855881782,5.0275452988192235,4.48051665567418,17.1352025462963,17.1352025462963,16.83324416603102,17.12625317710176,16.337420554907062,17.038984115568102
2004-11-30,POMKH,5.8,15.35,4.72,17.37851851851852,7.117500000000001,7.213749999999996,6.433535509698739,7.041754640669522,6.036703029241959,6.213031944540458,15.31,15.310000000000006,15.295496842073858,15.483330972207268,15.182607208858638,15.23182494859661,5.114999999999999,5.115,4.795980910386493,4.52237295232319,3.9587211763435315,3.3666788323438626,17.1352025462963,17.1352025462963,17.05135390702602,17.345597806725475,17.369333407187035,15.999370127653824
2005-02-28,POMRB,8.790000000000001,14.96,3.43,16.787222222222226,7.0512500000000005,7.092499999999996,7.376121305819243,7.777449916864264,8.933081610057412,8.21661823611468,15.42125,15.250000000000004,15.161298105244317,15.367728701678473,15.356732800987004,15.318404719198513,5.115,5.115,4.249588546231896,4.042135201843072,4.559308838983242,4.564263872871578,17.1352025462963,17.1352025462963,16.9457012331045,17.238635773336835,17.802605634322475,16.581197357879187
2005-05-31,PREMON,7.6,15.78,8.54,18.855625000000003,7.185833333333333,7.1424999999999965,7.465672783491546,7.981144379002365,7.469379674459594,7.346991510047382,15.517500000000002,15.370000000000005,15.40877886314659,15.570072867709646,15.437358942088222,15.262698941674428,5.592499999999999,5.115,5.965753127739138,5.5598388175540725,6.034923510357687,6.069854252304351,17.1352025462963,17.1352025462963,17.709670739862702,18.010621471329948,18.73981336235677,17.13763489148155
2005-08-31,MONSOON,5.65,15.8,3.77,15.519444444444444,7.782916666666667,6.959999999999996,6.739403670094928,7.419942133094305,6.170319687469808,6.863688918149162,15.675,15.472500000000004,15.565267317887955,15.716760939713533,15.09597060638827,15.30274173317267,6.069999999999999,5.115,5.087451876643483,4.843675741127388,5.434612478654066,5.121984148920656,17.1352025462963,17.1352025462963,16.8335802216954,17.126623515770614,16.33753668479676,17.19084177385624
2005-11-30,POMKH,7.606666666666666,15.71,8.54,17.37851851851852,8.329166666666666,7.411666666666663,7.0863088687236235,7.561461501143289,5.784888339663255,6.353228644613585,16.008750000000003,15.562500000000005,15.623160390732773,15.785263058305446,15.472286642982091,15.52640815393919,6.069999999999999,6.07,6.46847112598609,6.090253419970022,4.1979430720937145,5.03195258843118,17.1352025462963,17.1352025462963,17.051555540424648,17.34582092394364,17.36939743468608,17.85368113925174
2006-02-28,POMRB,11.76,15.86,3.43,16.787222222222226,8.509166666666665,8.154166666666663,8.955785321234174,9.176378208524339,9.099707706671438,8.116272933313388,16.2703125,15.787500000000003,15.717896234439664,15.882516121615824,15.671335351494935,15.674793671265915,6.069999999999999,6.07,5.253082675591654,5.074164987731803,6.274986582627099,5.696312543557723,17.1352025462963,17.1352025462963,16.94582221314368,17.238770194333693,17.802640935489244,17.332584977617483
2006-05-31,PREMON,9.0,17.55,8.54,18.855625000000003,9.033333333333333,8.504166666666663,8.973471192740504,9.605943973694858,8.296910659033323,8.133652657696272,16.2996875,16.230000000000004,16.450737740663797,16.540810074933212,15.959438900958807,15.756148474549548,5.831249999999999,6.07,6.567849605354992,6.249105701091716,7.043178910602515,6.834905692979617,17.1352025462963,17.1352025462963,17.70974332788621,18.01070245568671,18.739832825437684,17.83385552957883
