Date,Season,Bongaigaon,Bongaigaon_Trend,Bongaigaon_SMA,Bongaigaon_EWMA,Bongaigaon_DES,Bongaigaon_TES,Bongaigaon_ARIMA
2006-02-28,POMRB,3.473333333333333,2.6085833333333333,2.334583333333331,2.6387512666011372,2.379864211982231,3.0688002939777084,3.2118442964120093
2006-05-31,PREMON,3.3020000000000005,2.733833333333333,2.506333333333331,2.9040507599606826,2.487237292552898,2.119093607797011,2.3054551767137528
2006-08-31,MONSOON,1.98,2.8139166666666666,2.7108333333333308,2.5344304559764095,2.434688691658631,1.6827051218869955,1.7134367292945916
2006-11-30,POMKH,2.272,2.76325,2.756833333333331,2.4294582735858454,2.4173705085197628,2.389867174845506,2.3316633232982253
2007-02-28,POMRB,3.93,2.581,2.8709999999999978,3.029674964151507,2.5992995643852606,3.401408892406234,3.331117291163979
2007-05-31,PREMON,2.44,2.520625,2.6554999999999973,2.793804978490904,2.5992657485288984,2.8134542442469703,2.873808200258938
2007-08-31,MONSOON,1.384,2.50175,2.5064999999999973,2.2298829870945425,2.4712283590326036,1.8440536160059424,1.9214567835733996
2007-11-30,POMKH,2.385,2.5226250000000006,2.534749999999997,2.2919297922567257,2.4638224648330014,2.2920034459540046,2.32514264161865
2008-02-29,POMRB,3.6660000000000004,2.5067500000000003,2.4687499999999973,2.8415578753540354,2.610022273817299,3.5955890090950664,3.6182399546490007
2008-05-31,PREMON,2.8710000000000004,2.450125,2.5764999999999976,2.8533347252124215,2.6581912539889347,2.57216685976622,2.63476208555529
2008-08-31,MONSOON,0.826,2.4735,2.4369999999999976,2.042400835127453,2.4596674693689238,1.637093636439275,1.685461769339973
2008-11-30,POMKH,2.49,2.4298750000000005,2.4632499999999977,2.221440501076472,2.4621547232765675,2.2770925031859974,2.3809538154563565
2009-02-28,POMRB,3.748,2.4183749999999997,2.483749999999998,2.832064300645883,2.6156208211205767,3.5812534255351816,3.591996349513387
2009-05-31,PREMON,2.44,2.387625,2.3759999999999977,2.67523858038753,2.609577183127579,2.6626812339459196,2.7678788295289065
2009-08-31,MONSOON,1.165,2.1831875,2.4607499999999973,2.071143148232518,2.4502688925681633,1.1981208258445242,1.2864406485525954
2009-11-30,POMKH,1.905,2.1841489748677247,2.314499999999997,2.0046858889395107,2.381773514981609,2.3525467005291354,2.4599432557761727
2010-02-28,POMRB,2.6975,2.3607979497354497,2.0518749999999972,2.2818115333637063,2.409640630647581,3.561804204702673,3.6214723959691626
2010-05-31,PREMON,3.4981917989417988,2.5442354497354494,2.316422949735447,2.768363639594943,2.5337013859935134,2.3533585270695347,2.5817278946113
2010-08-31,MONSOON,1.5200000000000002,2.7046104497354504,2.405172949735447,2.269018183756966,2.4197111866173957,1.1103438893371276,1.3036016813282911
2010-11-30,POMKH,3.0175,2.8744823082010584,2.683297949735447,2.5684109102541797,2.4863270321644397,2.1395690035550134,2.177864348019744
2011-02-28,POMRB,2.8680000000000003,3.0364791666666666,2.7259229497354474,2.688246546152508,2.5342054783984875,3.3302467468291,3.0797099669037227
2011-05-31,PREMON,4.6866666666666665,3.0517916666666665,3.0230416666666646,3.4876145943581713,2.8008410703599087,3.0319166490463156,3.085648028528328
2011-08-31,MONSOON,1.6275,3.160791666666667,3.0499166666666646,2.743568756614903,2.6948513945383223,1.560507078553747,1.5151946182504479
2011-11-30,POMKH,3.0325,3.2408928571428572,3.0536666666666648,2.859141253968942,2.7560846764441624,2.774518289468877,2.671219116863177
2012-02-29,POMRB,3.725,3.2144159226190476,3.2679166666666646,3.2054847523813654,2.898282195313015,3.3524620283326114,2.9582104148089217
2012-05-31,PREMON,4.47047619047619,3.1709002976190472,3.2138690476190455,3.7114813276192953,3.127782984509023,4.059446272728437,3.9371264281082112
2012-08-31,MONSOON,1.631875,3.2262127976190476,3.214962797619046,2.879638796571577,3.007969561550188,1.8008665830502735,1.6627559017833136
2012-11-30,POMKH,2.68,3.3526116071428573,3.1268377976190456,2.7997832779429466,3.0102537991719136,3.0801236559592824,2.883421737661676
2013-02-28,POMRB,4.5200000000000005,3.445494791666667,3.3255877976190455,3.487869966765768,3.231763432187356,3.639404874350144,3.3683872464642395
2013-05-31,PREMON,4.6866666666666665,3.5569791666666664,3.3796354166666642,3.9673886467261275,3.469398272686521,4.424081848867775,4.169309745883477
2013-08-31,MONSOON,2.15875,3.5077430555555553,3.5113541666666643,3.2439331880356765,3.3927038848396873,1.9120152868448064,1.7287369523112863
2013-11-30,POMKH,3.045,3.3588343253968254,3.602604166666664,3.1643599128214057,3.41620835644248,3.148680656363812,2.787671021261351
2014-02-28,POMRB,3.761111111111111,3.1875992063492062,3.4128819444444423,3.403060392137288,3.5202342500211588,4.292675274863964,3.97002838860417
2014-05-31,PREMON,4.2542857142857144,3.119942956349206,3.304786706349204,3.7435505209966586,3.6778914161760845,4.667091872019082,4.381355495270523
2014-08-31,MONSOON,1.22125,3.2339781746031746,3.070411706349204,2.734630312597995,3.46069597401093,2.068378904442695,2.0359407173373154
2014-11-30,POMKH,3.44125,3.2841964285714287,3.169474206349204,3.017278187558797,3.5064750299082763,3.021356109996313,2.935261457270072
2015-02-28,POMRB,4.277142857142857,3.275587797619048,3.2984821428571407,3.521224055392421,3.6484728426138173,4.025100968464404,3.8008995443028057
2015-05-31,PREMON,4.1400000000000015,3.157108630952381,3.2699107142857127,3.768734433235453,3.768119070053166,4.525490023525977,4.234592602793937
2015-08-31,MONSOON,1.2666666666666666,2.983309523809524,3.2812648809523792,2.7679073266079386,3.534218235970917,1.7405645842361985,1.6594662441743129
2015-11-30,POMKH,2.448,3.017885416666667,3.0329523809523793,2.639944395964763,3.4396455191578914,3.2642412924291047,3.2114128472916144
2016-02-29,POMRB,3.88,3.1376994047619053,2.9336666666666655,3.135966637578858,3.5152135416589254,4.051417583066398,4.005421283823704
2016-05-31,PREMON,4.8137500000000015,3.2831875000000004,3.102104166666666,3.8070799825473154,3.7003915764165183,4.218327503252738,4.106943803500103
2016-08-31,MONSOON,1.5514285714285716,3.552008928571429,3.173294642857142,2.9048194180998177,3.488173030062868,1.4898326525821037,1.5275902650904305
2016-11-30,POMKH,3.3271428571428565,3.70875,3.393080357142856,3.0737487937170336,3.488265869008423,2.922066545580768,2.791081238640028
2017-02-28,POMRB,5.151428571428572,3.8140625000000004,3.710937499999999,3.904820704801649,3.706274569099347,4.119179017798473,3.8834679829168612
2017-05-31,PREMON,4.7962500000000015,3.835513392857143,3.7065624999999986,4.26139242288099,3.8773752779853514,4.758880991019321,4.430144495601165
2017-08-31,MONSOON,2.4114285714285715,3.580535714285715,3.921562499999999,3.521406882300022,3.75509819841572,1.7638961505197255,1.6378875582289982
2017-11-30,POMKH,2.63875,3.218325892857143,3.749464285714285,3.1683441293800136,3.6570115018325846,3.4259485478158123,3.1044395458734546
2018-02-28,POMRB,3.8,2.971294642857143,3.411607142857142,3.421006477628008,3.696506101635842,4.77194034941631,4.52043775851792
2018-05-31,PREMON,3.25,3.075736607142857,3.025044642857142,3.352603886576805,3.6671851067023664,4.769871115290873,4.547086122353477
2018-08-31,MONSOON,1.9814285714285715,,2.917544642857142,2.804133760517512,3.4848215738747936,1.8387220680143321,2.130018771667803
2018-11-30,POMKH,3.9042857142857135,,3.2339285714285704,3.2441945420247924,,2.8087775172063862,2.845820397553041
