Date,Season,Imphal West I,Imphal West I_SMA,Imphal West I_EWMA,Imphal West I_TES,Imphal West I_ARIMA
2008-02-29,POMRB,3.515,3.4906250000000014,3.4305209378217296,3.6133836836418434,2.025350683013176
2008-05-31,PREMON,4.2,3.661875000000001,3.738312562693038,3.815456488423699,5.519882422013112
2008-08-31,MONSOON,,,,,
2008-11-30,POMKH,2.7325,3.295000000000001,3.335987537615823,3.3949121992293927,0.7835728889567585
2009-02-28,POMRB,3.515,3.490625000000001,3.4075925225694936,3.5080982029802046,3.007722970428969
2009-05-31,PREMON,4.2,3.661875000000001,3.7245555135416963,3.548720880190613,4.767271659757704
2009-08-31,MONSOON,,,,,
2009-11-30,POMKH,2.7325,3.295000000000001,3.3277333081250178,3.884753986540726,1.0780664353389975
2010-02-28,POMRB,3.515,3.490625000000001,3.4026399848750106,3.1794214341474523,3.0758776551896614
2010-05-31,PREMON,4.2,3.661875000000001,3.7215839909250064,3.4663570304609976,4.746966523672498
2010-08-31,MONSOON,,,,,
2010-11-30,POMKH,2.29,3.184375000000001,3.1489503945550035,3.657604332315105,0.9779259198966996
2011-02-28,POMRB,3.515,3.3800000000000012,3.2953702367330022,3.5752042631641316,2.618106634710119
2011-05-31,PREMON,4.2,3.5512500000000014,3.6572221420398012,3.137465002291369,5.358265342486938
2011-08-31,MONSOON,,,,,
2011-11-30,POMKH,2.29,3.0737500000000013,3.1103332852238808,3.546905499540344,-0.09748695627374095
2012-02-29,POMRB,3.515,3.3800000000000017,3.2721999711343286,3.289463173458952,3.796687587558621
2012-05-31,PREMON,4.2,3.5512500000000014,3.6433199826805973,3.512061483561307,3.9923838050266363
2012-08-31,MONSOON,,,,,
2012-11-30,POMKH,2.29,3.0737500000000013,3.1019919896083583,3.279225094995093,1.3246630332751002
2013-02-28,POMRB,3.515,3.3800000000000017,3.2671951937650148,3.213772951179178,2.734772840598903
2013-05-31,PREMON,4.2,3.5512500000000014,3.640317116259009,3.2788895015965096,4.950566973072047
2013-08-31,MONSOON,,,,,
2013-11-30,POMKH,2.29,3.0737500000000013,3.100190269755405,3.6335855059413995,0.6545243014131646
2014-02-28,POMRB,3.515,3.3800000000000017,3.266114161853243,2.9980565348273296,3.1336246082441157
2014-05-31,PREMON,4.2,3.5512500000000014,3.6396684971119457,3.231369955491199,4.5403160239284786
2014-08-31,MONSOON,,,,,
2014-11-30,POMKH,2.29,3.0737500000000013,3.099801098267167,3.4437698270411037,0.8033992975042428
2015-02-28,POMRB,3.515,3.3800000000000017,3.2658806589603,3.330457444058557,3.118837288687113
2015-05-31,PREMON,4.2,3.5512500000000014,3.63952839537618,3.057350501222077,4.388247623698964
2015-08-31,MONSOON,,,,,
2015-11-30,POMKH,2.7325,3.184375000000002,3.276717037225708,3.416727989422015,1.3845666240754981
2016-02-29,POMRB,3.515,3.4906250000000023,3.372030222335425,3.226072394336899,3.2358252090280044
2016-05-31,PREMON,4.2,3.661875000000002,3.703218133401255,3.415823556174127,4.153291047826917
2016-08-31,MONSOON,,,,,
2016-11-30,POMKH,2.7325,3.2950000000000026,3.314930880040753,3.3236591446472707,1.7586812307844126
2017-02-28,POMRB,3.515,3.4906250000000028,3.3949585280244516,3.305986202542288,2.866733228765986
2017-05-31,PREMON,4.2,3.661875000000003,3.716975116814671,3.3194495418723022,4.296364824903829
2017-08-31,MONSOON,,,,,
2017-11-30,POMKH,2.7325,3.2950000000000026,3.3231850700888024,3.6378196800610416,1.7339833860878742
2018-02-28,POMRB,3.515,3.4906250000000028,3.399911042053281,3.2185326553868894,2.742850632874261
2018-05-31,PREMON,4.2,3.661875000000003,3.7199466252319686,3.3838492591889255,4.454509764090707
2018-08-31,MONSOON,,,,,
2018-11-30,POMKH,2.7325,3.2950000000000026,3.324967975139181,3.54396354701437,1.751561487542079
