Date,Season,Maya Bazar,Sohawal,Tarun,Puredalai,Rudauli,Amaniganj,Pura Bazar,Hastinganj,Bikapur,Masodha,Milkipur,Maya Bazar_Trend,Maya Bazar_SMA,Maya Bazar_EWMA,Maya Bazar_DES,Maya Bazar_TES,Maya Bazar_ARIMA,Sohawal_Trend,Sohawal_SMA,Sohawal_EWMA,Sohawal_DES,Sohawal_TES,Sohawal_ARIMA,Tarun_Trend,Tarun_SMA,Tarun_EWMA,Tarun_DES,Tarun_TES,Tarun_ARIMA,Puredalai_Trend,Puredalai_SMA,Puredalai_EWMA,Puredalai_DES,Puredalai_TES,Puredalai_ARIMA,Rudauli_Trend,Rudauli_SMA,Rudauli_EWMA,Rudauli_DES,Rudauli_TES,Rudauli_ARIMA,Amaniganj_Trend,Amaniganj_SMA,Amaniganj_EWMA,Amaniganj_DES,Amaniganj_TES,Amaniganj_ARIMA,Pura Bazar_Trend,Pura Bazar_SMA,Pura Bazar_EWMA,Pura Bazar_DES,Pura Bazar_TES,Pura Bazar_ARIMA,Hastinganj_SMA,Hastinganj_EWMA,Hastinganj_TES,Bikapur_Trend,Bikapur_SMA,Bikapur_EWMA,Bikapur_DES,Bikapur_TES,Bikapur_ARIMA,Masodha_Trend,Masodha_SMA,Masodha_EWMA,Masodha_DES,Masodha_TES,Masodha_ARIMA,Milkipur_Trend,Milkipur_SMA,Milkipur_EWMA,Milkipur_DES,Milkipur_TES,Milkipur_ARIMA
2010-08-31,MONSOON,0.15,5.896666666666667,3.1785714285714284,4.0216666666666665,1.04,1.8795454545454544,3.82125,5.98,5.45,0.7,5.4,1.8499999999999999,1.8875000000000006,1.5880875116051423,2.028582693333652,0.613019486912592,0.5857746302630478,10.118916666666667,8.373874999999995,8.496645809919494,9.27087965975801,5.687565255498198,5.6810082924755845,4.248668154761905,4.248668154761905,4.169466083494719,4.26826272856053,3.2920773684065683,2.807315364322097,4.5841666666666665,4.346666666666669,4.39044840675065,4.238895280699851,3.756033214532571,3.794559848564694,2.5425,2.559999999999999,2.3608750727490238,2.399211726408316,1.1975961449679509,1.3944848928089613,2.579769796176046,2.579769796176047,2.5981457284414375,2.7046733955458415,1.981245786361097,2.075597752970329,4.186458333333334,4.1864583333333325,4.161321236161752,4.305524498531422,3.9772229858324395,4.068672503367121,6.305,6.218775510314392,6.499336798905948,6.342499999999999,5.249999999999997,5.518215694369488,5.269568207611629,3.4513264579130687,3.7962499767916045,2.1554166666666665,2.0233333333333308,2.039854946068142,2.3328202761841803,0.8758880285834885,1.0927813646620956,5.1775,5.021249999999998,5.124466531712891,4.956928048733582,4.498437741820465,4.233880673842242
2010-11-30,POMKH,1.55,9.8725,3.420625,4.241666666666666,2.14,1.8807142857142856,3.921250000000001,,6.55,1.2833333333333332,4.865,1.6524999999999999,1.8875000000000008,1.5728525069630854,1.7039213363769097,1.6818140890596656,1.7262708848264368,11.020479166666666,9.638666666666662,9.046987485951696,9.179402356491613,7.165456017362063,6.843525478448812,4.248668154761904,4.248668154761905,3.8699296500968314,4.107542633639658,3.4687907163476437,3.8212095218800313,4.808541666666667,4.490416666666669,4.330935710717057,4.220338095609889,3.87971190978474,3.9720447237936165,2.4633333333333334,2.5524999999999993,2.272525043649414,2.341339747966652,2.0147312092806615,2.059329075211687,2.5797697961760466,2.579769796176047,2.3111731513505767,1.6808891871917673,2.0845797666972232,2.0375216319946654,4.186458333333334,4.1864583333333325,4.065292741697052,4.262102657280915,3.9873860938314167,3.9635090637630874,,,,6.83875,5.9499999999999975,5.930929416621693,5.526294418928867,4.158366273010463,4.433916450113369,2.0129166666666665,2.194166666666664,1.7372463009742187,2.1018040431391904,1.6697837941526024,1.1858892484391825,5.309375,5.124999999999999,5.020679919027734,4.924179134575596,5.114346118816097,4.796919701051124
2011-02-28,POMRB,1.75,14.38,4.508333333333334,4.913333333333333,2.16,2.364444444444445,4.23,7.28,8.09,1.79,5.205,1.5374999999999999,1.812500000000001,1.6437115041778512,1.669800698498297,1.9818730761569,2.037971539329533,11.539958333333335,10.599166666666662,11.180192491571018,10.28778160777486,12.050004572979194,13.27097552154353,4.248668154761905,4.248668154761905,4.125291123391433,4.176115142352732,4.454729503104218,4.168890244540719,4.893645833333332,4.677916666666669,4.563894759763567,4.3271012301433265,4.378431638291675,4.322444690915187,2.412291666666667,2.5324999999999993,2.2275150261896486,2.2917474545537404,2.6893343569938626,2.8025293976960137,2.579769796176046,2.579769796176047,2.332481668588124,2.1371432200054388,2.3992339066856307,2.3689982638295106,4.186458333333333,4.1864583333333325,4.1311756450182315,4.278046509604428,4.3125971589072805,4.143886623563031,6.63,6.643265306188635,6.179418749614566,6.6450000000000005,6.734999999999998,6.794557649973015,6.019108291032623,6.873912285126122,6.868710782203701,1.8829166666666668,2.116666666666664,1.7583477805845313,2.0201879225658055,2.2597655245447315,2.197579317354718,5.1775,5.2299999999999995,5.094407951416641,5.001453139678628,5.317913069012618,5.038223804737475
2011-05-31,PREMON,2.52,15.618,5.887142857142857,6.58,4.236666666666667,4.194375000000001,4.773333333333333,5.98,7.68,3.8633333333333333,6.085,1.58625,1.4925000000000013,1.9942269025067105,2.334296985966123,3.166647446684154,3.095573243524172,11.567562500000001,11.441791666666662,12.95531549494261,11.68729895765051,13.71760974511569,14.137654257443499,4.248668154761905,4.248668154761905,4.830031816892003,4.498746761072017,5.779111389139906,5.720217023260931,4.7768749999999995,4.93916666666667,5.37033685585814,4.738368872011059,5.74632479015533,5.892712628903194,2.487916666666667,2.394166666666666,3.0311756823804563,2.9030811705797723,4.173290699063909,4.421700641249319,2.5797697961760466,2.579769796176047,3.0772390011528747,5.441449660356131,4.134238484692876,3.984824595975846,4.186458333333333,4.1864583333333325,4.388038720344273,4.383298613713937,4.825002159055664,4.491813671658927,6.305,6.377959183713181,6.449092901053968,6.210000000000001,6.942499999999997,7.148734589983809,6.380387341148484,8.915758044613563,8.21293150074346,1.92375,1.9091666666666642,2.6003420016840524,2.4687165513384097,3.7181226477228924,3.604673237061478,4.858750000000001,5.38875,5.490644770849984,5.315497119520273,5.9935202025021805,5.573880171184629
2011-08-31,MONSOON,0.51,6.682,3.1785714285714284,3.6575,1.185,1.8795454545454544,3.82125,5.98,3.07,0.49,3.71,1.7737500000000002,1.5825000000000011,1.4005361415040263,1.1870153407941009,0.29301935144065894,0.26157474578752193,10.831,11.638124999999995,10.445989296965566,10.685298279484213,7.482105339285574,7.613555811687295,4.248668154761905,4.248668154761905,4.1694476615637726,4.26112273297598,3.2920620145364596,2.788071243742652,4.723708333333334,4.848125000000003,4.685202113514884,4.599029239859748,4.307287920873565,4.281387041901294,2.555416666666667,2.430416666666666,2.2927054094282737,2.510135656707373,1.0732425256292237,1.2613076770863412,2.579769796176046,2.579769796176047,2.5981615825099067,2.704740814639251,1.9571832491717727,2.0458616951107986,4.186458333333334,4.1864583333333325,4.1613232322065645,4.310189469987354,3.958195626044448,4.0737730481081185,6.305,6.218775510227909,6.494408594243514,5.83,6.3474999999999975,5.517240753990285,5.893419392311163,5.2299340543859945,4.814219504708217,2.1304166666666666,1.856666666666664,1.7562052010104314,2.033976680697672,0.6382666141845668,0.7324215325077539,4.621875,4.9662500000000005,4.77838686250999,4.8357376677429365,5.10516392315648,4.971864820238119
2011-11-30,POMKH,1.58,9.308,3.420625,3.671666666666667,2.6,1.8807142857142856,3.921250000000001,,5.45,1.82,4.005,2.0325,1.5900000000000012,1.4723216849024159,1.3144615265747726,1.5133216327778871,1.5513988360912516,10.04075,11.496999999999995,9.990793578179339,10.386251801500446,9.266758094468813,8.469693543476676,4.248668154761904,4.248668154761905,3.8699185969382635,4.102301022156687,3.4687818460574684,3.2756242050425723,4.669291666666666,4.705625000000003,4.279787934775597,4.460830468821755,4.1994365677937795,3.9218756175871494,2.5470833333333336,2.5454166666666658,2.415623245656964,2.5664017510476436,1.9575982515830754,2.0239294625026885,2.5797697961760466,2.579769796176047,2.311182663791658,1.6809071130578583,2.0430288484222725,2.0062092057082084,4.186458333333334,4.1864583333333325,4.065293939323939,4.266001764445904,3.994108199876682,3.9682768200653187,,,,5.521249999999999,6.072499999999997,5.4903444523941705,5.875299778194259,4.56526725782851,3.8050300338404868,2.3633333333333333,1.9908333333333306,1.7817231206062587,1.9726381636525356,1.4402134245892795,1.0451529148360676,4.3425,4.751250000000001,4.469032117505994,4.585128194494657,3.726022588499277,3.7085760794779343
2012-02-29,POMRB,3.22,9.052,4.508333333333334,5.058,2.24,2.364444444444445,4.23,7.28,6.15,2.9066666666666663,4.17,2.090625,1.9575000000000014,2.1713930109414497,3.0629776282834444,1.822513663409718,1.863799994416147,9.776277777777779,10.164999999999994,9.615276146907604,10.039035095264591,13.480578939146078,13.40463045040888,4.248668154761905,4.248668154761905,4.125284491496291,4.172488643361438,4.454724378661382,4.1912947058917,4.670963541666667,4.7417916666666695,4.591072760865359,4.577110309418811,4.4731255081390975,4.250276483269988,2.510625,2.565416666666666,2.3453739473941786,2.5007665366313847,2.7612585795348625,2.8325816208549286,2.579769796176046,2.579769796176047,2.332487376052773,2.137138291362414,2.4170391503776867,2.3741756836033785,4.186458333333333,4.1864583333333325,4.1311763635943635,4.2813054870339124,4.314039591113034,4.1483425219726735,6.63,6.643265306136746,6.3705936745387515,5.620000000000001,5.587499999999998,5.754206671436503,5.978512748690805,6.625245407945039,6.594209034314023,2.4977083333333328,2.269999999999997,2.2317005390304216,2.189166071889931,2.253536698812907,2.2737947484067558,4.2346875,4.4925000000000015,4.349419270503596,4.45743554043744,4.388517431193542,4.495603449493399
2012-05-31,PREMON,3.12,14.624,5.887142857142857,6.0,4.09,4.194375000000001,4.773333333333333,5.98,7.15,4.609999999999999,4.885,2.19875,2.1075000000000017,2.55083580656487,4.109221413219071,3.2131885122037946,3.127447827356873,8.958984126984127,9.916499999999994,11.618765688144563,11.153358243777285,13.55944771854132,12.06841144915079,4.248668154761905,4.248668154761905,4.830027837754917,4.496535174569246,5.779108428696295,5.741005485028857,4.801385416666667,4.59679166666667,5.154643656519216,4.861042886822309,5.853657871207703,6.102329345491294,2.55,2.5287499999999987,3.0432243684365075,3.0179759984177488,4.247230337601415,4.478975126108415,2.5797697961760466,2.579769796176047,3.077242425631664,5.441432211197735,4.1699944021217075,4.0110738103201395,4.288802083333334,4.1864583333333325,4.388039151489952,4.386022553692108,4.8339222820798495,4.4959777084530534,6.305,6.377959183682048,6.468219979423987,5.84375,5.454999999999998,6.3125240028619025,6.241032728516446,7.795080604838212,6.964313155530408,2.6287499999999997,2.4566666666666634,3.183020323418253,2.8248226601344095,4.039193603799746,4.048475959361398,4.331249999999999,4.192500000000001,4.563651562302157,4.578538238651878,4.972391404026987,4.983672348489863
2012-08-31,MONSOON,0.375,5.560222222222222,3.1785714285714284,4.2508750000000015,1.04,1.8795454545454544,3.82125,5.98,4.39,0.8183333333333332,4.0474999999999985,2.22125,2.0737500000000018,1.6805014839389223,2.13124177183025,0.5816864347900321,0.5877532438520912,8.403329365079363,9.636055555555549,9.195348301775628,9.886264293474637,6.565361377999091,6.924554673193779,4.248668154761905,4.248668154761905,4.1694452740815215,4.260053003487584,3.2920603037382157,3.58280864442163,4.887677083333333,4.74513541666667,4.79313619391153,4.8105161878044775,4.240779461592027,3.9485433732100708,2.7570703125000002,2.4924999999999984,2.241934621061904,2.540928292638104,1.0921270228790112,1.2727599137154932,2.579769796176046,2.579769796176047,2.5981636371971804,2.704731215957955,1.9438626342413294,2.0221083340653334,4.474895833333334,4.1864583333333325,4.161323490893972,4.312466211439304,3.9442597444076166,4.077663832364533,6.305,6.218775510209229,6.3165779703042615,5.990000000000001,5.784999999999998,5.543514401717141,5.989687232074058,4.199644554671568,4.101132333071401,2.7804166666666665,2.5387499999999967,2.237145527384285,2.438403895866221,1.0833895256049433,1.0946272280016318,4.48625,4.276875,4.357190937381294,4.416651876173456,3.9286587691131554,3.895669788545069
2012-11-30,POMKH,2.58,3.8914285714285706,3.420625,4.121666666666666,3.06,1.8807142857142856,4.74,,5.92,2.54,4.44,2.06375,2.3237500000000018,2.040300890363353,2.490790719501328,1.7239955147956183,1.741511657199553,8.614037698412698,8.281912698412691,7.073780409636805,8.317042430955668,8.483223052700705,8.258703082629172,4.248668154761904,4.248668154761905,3.869917164448913,4.1021492006220095,3.468780857808464,2.9811978934489183,4.96646875,4.85763541666667,4.524548383013585,4.730353880454189,4.299827040232245,4.11471428035924,2.9410156250000004,2.6074999999999986,2.569160772637143,2.7091749106802254,1.9355832658810976,2.0434422138484414,2.5797697961760466,2.579769796176047,2.3111838966040223,1.6809045620493384,2.012738051903469,1.9811802048264022,4.558645833333333,4.391145833333333,4.3927940945363835,4.406427895432999,3.9986042157017456,3.9719135876888605,,,,6.14,5.902499999999999,5.694108641030285,6.031652261861626,4.7031367919896505,4.99276416367196,2.887083333333333,2.7187499999999964,2.3582873164305713,2.51017832281112,1.8512946987206873,1.4183304485683763,4.7225,4.385625000000001,4.3903145624287765,4.418530097679985,3.8646570332653365,4.00899505838792
2013-02-28,POMRB,2.4,10.023333333333332,4.508333333333334,5.298333333333333,3.4365625,2.364444444444445,4.9,7.28,6.85,3.4,4.975,2.035625,2.1187500000000017,2.1841805342180116,2.5443519448145735,2.3905957595379674,2.49380594360122,8.412051587301587,8.524746031746025,8.253601579115415,8.44333764333784,10.721431877545891,9.012836246162474,4.248668154761905,4.248668154761905,4.125283632002681,4.173101676888611,4.454723807927099,4.672543003684443,5.075859375,4.917718750000003,4.834062363141484,4.862473715088295,4.661939861913779,4.615701208804813,3.0944531250000002,2.9066406249999983,2.916121463582286,2.9791413542486263,2.859536630833686,2.882431784275476,2.579769796176046,2.579769796176047,2.3324881157401913,2.13713899391094,2.4265102700401067,2.3783199065056824,4.558645833333333,4.558645833333332,4.59567645672183,4.51203374568747,4.457049645162639,4.476003073885604,6.63,6.643265306125537,6.363925164830768,6.235833333333334,6.077499999999999,6.15646518461817,6.227894348683821,6.712865424840332,6.671735119295648,2.8797916666666667,2.84208333333333,2.774972389858343,2.7873323633527085,2.7546611094999527,2.7871205393621463,4.6746875,4.586875000000001,4.624188737457266,4.57771263070883,4.784589622913121,4.687200500098507
2013-05-31,PREMON,2.68,15.338333333333333,5.887142857142857,6.389999999999999,4.365,4.194375000000001,4.773333333333333,5.98,7.65,4.97,5.9700000000000015,1.94,2.008750000000002,2.382508320530807,2.764489937996865,3.3317903798925417,3.235192952892678,8.16795634920635,8.703329365079357,11.087494280802582,9.977794453564341,12.793204516205796,13.454377207313069,4.248668154761905,4.248668154761905,4.8300273220587515,4.497824861591272,5.779108099076494,5.71887173727122,5.232541666666666,5.0152187500000025,5.4564374178848905,5.18744048095884,6.055502499522385,6.188914795160152,3.213515625,2.9753906249999984,3.4956728781493718,3.51989034993828,4.6195994031310015,4.7857926635173245,2.5797697961760466,2.579769796176047,3.077242869444115,5.441434695702214,4.195878218810875,4.032047869046078,4.558645833333333,4.558645833333332,4.666739207366431,4.578871366376129,5.074247221670071,4.796862741321567,6.305,6.377959183675323,6.626588232894606,5.816666666666666,6.202499999999999,6.753879110770903,6.537668979065816,8.071225100176958,7.346125430019668,2.71625,2.9320833333333303,3.652983433915006,3.4434293166953562,4.53804708369855,4.5001916570884655,4.166875000000001,4.858125000000001,5.16251324247436,4.983336395860124,5.72367847182123,5.459327853159793
