Date,Season,Tinsukia,Tinsukia_Trend,Tinsukia_SMA,Tinsukia_EWMA,Tinsukia_DES,Tinsukia_TES,Tinsukia_ARIMA
2005-11-30,POMKH,3.3735714285714287,2.9561904761904767,2.8756547619047614,2.808713692278894,2.756537924378157,3.087794909002614,3.3044111661593347
2006-02-28,POMRB,4.083333333333333,3.13875,2.8982738095238085,3.3185615487006697,3.19136845049709,3.902607501753905,4.06861695652466
2006-05-31,PREMON,3.0766666666666667,3.300863095238095,3.0141071428571418,3.2218035958870685,3.244303115595128,2.490262580131026,2.601805593217622
2006-08-31,MONSOON,2.52,3.31875,3.263392857142856,2.9410821575322412,3.088074078008036,1.843213547904634,1.826229563726991
2006-11-30,POMKH,3.6733333333333333,3.3720833333333333,3.3383333333333316,3.233982627852678,3.3172299853123093,3.4495790747909902,3.3301254132762232
2007-02-28,POMRB,3.9266666666666663,3.3452777777777776,3.2991666666666655,3.511056243378273,3.602634715783541,4.26300105355191,4.074087815357707
2007-05-31,PREMON,3.66,3.1700138888888882,3.444999999999999,3.5706337460269637,3.7533747970006517,2.925809545516606,2.778336673654337
2007-08-31,MONSOON,1.722222222222222,3.132701388888889,3.2455555555555544,2.8312691365050666,3.222176615095536,2.363007005398119,2.0841408804006822
2007-11-30,POMKH,3.069,3.1344722222222225,3.094472222222221,2.92636148190304,3.1701455811000057,3.6177941373015803,3.4577140246190328
2008-02-29,POMRB,4.232500000000001,3.0804284188034186,3.1709305555555547,3.4488168891418245,3.512000083488922,4.112626448977284,4.019286661815023
2008-05-31,PREMON,3.368333333333333,3.09887703962704,3.0980138888888877,3.416623466818428,3.5302497381465514,3.1771636116955433,3.106079115963482
2008-08-31,MONSOON,1.5815384615384618,3.152723630536131,3.0628429487179476,2.6825894647064414,2.955772279526324,2.0725156984587416,1.9496041457944013
2008-11-30,POMKH,3.3572727272727274,3.206994463869464,3.1349111305361292,2.952462769732956,3.0205303107502917,3.361838594495694,3.313216595746153
2009-02-28,POMRB,4.375000000000001,3.2635729895104895,3.170536130536129,3.521477661839774,3.430916405820245,4.149160184232634,4.098543095997845
2009-05-31,PREMON,3.66,3.213693181818182,3.243452797202796,3.576886597103864,3.566107807640891,3.250985542075326,3.203565203349385
2009-08-31,MONSOON,1.7425000000000004,3.115359848484849,3.2836931818181805,2.8431319582623185,3.048091298325465,1.968792468779443,1.8127854367609286
2009-11-30,POMKH,2.7972727272727282,3.0022294626669632,3.143693181818181,2.8247882658664825,2.925013849108611,3.463583207943065,3.32959330049835
2010-02-28,POMRB,4.148333333333333,2.935453243515744,3.087026515151514,3.354206292853223,3.271368938611229,4.212752628185762,4.201307746781598
