Date,Season,Roorkee,Luksar,Gurukul Narsen,Bhagwanpur,Bahadrabad,Roorkee_Trend,Roorkee_SMA,Roorkee_EWMA,Roorkee_DES,Roorkee_TES,Roorkee_ARIMA,Luksar_Trend,Luksar_SMA,Luksar_EWMA,Luksar_DES,Luksar_TES,Luksar_ARIMA,Gurukul Narsen_Trend,Gurukul Narsen_SMA,Gurukul Narsen_EWMA,Gurukul Narsen_DES,Gurukul Narsen_TES,Gurukul Narsen_ARIMA,Bhagwanpur_Trend,Bhagwanpur_SMA,Bhagwanpur_EWMA,Bhagwanpur_DES,Bhagwanpur_TES,Bhagwanpur_ARIMA,Bahadrabad_Trend,Bahadrabad_SMA,Bahadrabad_EWMA,Bahadrabad_DES,Bahadrabad_TES,Bahadrabad_ARIMA
2003-02-28,POMRB,6.0,2.075,6.035,5.13,5.0150000000000015,6.312312500000001,6.243270833333334,6.035324347618717,6.0269268350307605,5.75758611901503,5.784999861307305,3.9865056818181817,2.751002435064935,2.4634556664452765,2.4804520660580773,1.95056390274057,2.5010827165926783,7.459583333333334,5.949999999999999,5.896972985553351,5.769301944715761,5.981163628607274,5.823067554095549,4.5503125,4.825,4.744296968479707,4.785159524241636,5.128428081883147,5.35266892954446,6.3483693181818195,5.128269886363637,5.012378729039809,5.082249609983413,4.790112813066497,4.945836988709079
2003-05-31,PREMON,7.55,5.885,10.17,4.2,9.197500000000002,6.346718749999999,6.2486875,6.6411946085712295,6.660455768371998,7.59586081048122,7.6039843165980825,5.08203125,3.186448863636363,3.832073399867166,4.013028353571887,4.142768752754508,3.29632699332086,8.86375,6.694999999999999,7.606183791332011,7.433944087198491,7.583958310120002,6.371955813856903,4.220625,4.5275,4.5265781810878245,4.521159126657901,6.963813574720389,7.21943310830552,7.14009375,5.920926136363637,6.686427237423886,5.844410701880993,6.179225376579778,5.621039235869018
2003-08-31,MONSOON,6.06,8.49,10.741666666666667,2.9925000000000006,7.8875,6.3,6.375937499999999,6.408716765142737,6.531603555755654,5.627645042659546,5.595053635355194,5.3559375000000005,4.7865625,5.6952440399203,6.508079928496828,2.7214066199934717,3.116292621956065,9.941875,8.224166666666665,8.860376941465873,9.186591763321617,5.8555321462866186,6.385033621726867,3.791875,4.573125,3.912946908652695,3.849759418377737,2.9166758483054176,2.113262585802994,7.446250000000001,6.775812500000001,7.166856342454332,6.226611323926976,5.388497277109342,5.593079594499372
2003-11-30,POMKH,5.66,5.0600000000000005,11.066666666666665,3.15,7.9175,6.213749999999999,6.317499999999999,6.109230059085642,6.220710487519663,6.069088280203953,6.047066481132348,5.2621875,5.3774999999999995,5.44114642395218,6.7477791357785675,4.582691175419669,4.292480313074472,10.542916666666667,9.503333333333332,9.74289283154619,10.837063063043715,7.892384578848139,7.977191155271001,3.8465625,3.868124999999999,3.607768145191617,3.538343504894938,3.40787864989229,3.834442387930545,7.1429687500000005,7.504375000000001,7.467113805472598,6.544520913864445,6.600838146026336,5.690334523365371
2004-02-29,POMRB,5.8599999999999985,1.9025,9.543333333333333,4.52,4.550000000000002,6.147499999999999,6.282499999999999,6.009538035451385,6.040108065607118,5.812711932960221,5.897525025359849,4.77375,5.334375,4.0256878543713075,5.339122765545525,3.9455877340532823,2.872400208469407,11.461041666666667,10.380416666666665,9.663069032261047,11.543711773761144,8.69836649133828,8.790396173687533,4.1096875,3.7156249999999993,3.97266088711497,3.954746384322227,3.2416783052557725,3.449735083764881,6.668593750000001,7.388125000000002,6.300268283283559,6.185466771950922,6.666525467846751,5.746704632150181
2004-05-31,PREMON,7.0,5.3075,11.47,5.2475000000000005,7.236250000000001,6.178749999999999,6.144999999999999,6.405722821270832,6.398100182780337,7.618435223588567,7.409657392975525,4.19125,5.1899999999999995,4.538412712622785,5.747916648345868,5.604760272645779,4.374805380033635,12.907291666666667,10.705416666666665,10.385841419356629,12.703605024906699,11.413201062257988,10.509206655940634,4.501875,3.9775,4.482596532268982,4.504725657546556,5.949233610719133,5.762846088937318,6.225468750000001,6.8978125000000015,6.674660969970136,6.3856863771327035,7.45015837862444,7.374982449250865
2004-08-31,MONSOON,6.08,5.16,16.78666666666667,4.05,6.053750000000001,6.225,6.1499999999999995,6.275433692762499,6.302253973726142,5.5547010880382,5.659591691568071,4.0465625,4.3575,4.787047627573671,5.927537999554458,3.681851230333853,5.976094003997514,13.182500000000001,12.216666666666665,12.946171518280645,15.707074013875102,9.965793277044076,10.96362048680925,4.728125,4.241875,4.309557919361389,4.297771713431358,3.310738305049796,2.63448493163777,6.069687500000001,6.439375000000003,6.426296581982081,6.332010562193377,5.82360108958196,6.847529549175443
2004-11-30,POMKH,5.8900000000000015,3.73,16.59166666666667,5.23,6.20625,6.31125,6.2075,6.1212602156575,6.131809355390244,6.01164948016686,5.748973427896766,4.1403125,4.025,4.364228576544202,5.351086125874238,4.48803983957359,3.924829457582751,13.302083333333334,13.597916666666666,14.404369577635055,18.14918699401319,11.805246361733516,12.55725649544021,4.725937500000001,4.761875000000001,4.677734751616834,4.691061255283456,4.255146745215956,4.572081880453714,6.37296875,6.011562500000003,6.338277949189248,6.316165474374246,6.449225723014058,6.7007511508073305
2005-02-28,POMRB,6.0,2.075,6.22,4.25,5.0150000000000015,6.3775,6.2425,6.0727561293945005,6.039842807187598,5.803224428567284,6.0290598884453255,4.62875,4.068125,3.4485371459265215,4.161302565484246,3.5471423894148315,2.4630812560988122,13.792916666666667,12.767083333333332,11.130621746581033,15.825913506210576,12.113552000292717,13.015142579068861,4.61,4.694375000000001,4.506640850970101,4.4895896687004715,4.931046845101792,5.272371102027987,6.847343750000001,6.127812500000003,5.80896676951355,6.084278610772619,6.111597201885263,4.815354098483603
2005-05-31,PREMON,7.55,5.885,15.75,5.5,9.197500000000002,6.3462499999999995,6.379999999999999,6.663653677636701,6.657900437689445,7.6338856173516305,7.2608844225883376,5.21125,4.2124999999999995,4.423122287555913,4.960410857984934,5.346720450821742,4.931952511150771,13.685208333333334,13.837083333333332,12.97837304794862,16.987212600387515,13.024852590953437,12.007725809584024,4.248125,4.7575,4.9039845105820605,4.916248805766762,6.3001236767661455,6.040441114695017,7.2904687500000005,6.618125000000002,7.164380061708131,6.663430420172567,7.158979354401703,6.517153358883395
2005-08-31,MONSOON,6.06,8.49,16.433333333333334,2.87,7.8875,6.2825,6.374999999999998,6.42219220658202,6.518945635935573,5.65932645135872,5.963415491524928,5.334375,5.044999999999999,6.049873372533548,6.7688936715833465,3.6292853765827235,6.996253339275874,14.914166666666667,13.74875,14.360357162102506,18.03892977974041,14.672549363870653,14.919725189773319,3.996875,4.4625,4.090390706349236,4.020119787098622,3.5944164185248777,3.1302691830949207,7.3881250000000005,7.076562500000001,7.453628037024878,6.896046338704081,6.114890918365625,6.445714214882162
2005-11-30,POMKH,5.66,5.0600000000000005,16.083333333333332,3.515,7.9175,6.11,6.317499999999998,6.117315323949212,6.20298991225192,6.0954845130727175,5.941268267549371,5.146875,5.377499999999999,5.653924023520129,6.514126204442776,5.267306544947571,4.884084777919916,16.206666666666667,13.621666666666666,15.049547630594837,18.566264937427427,14.625337611491334,15.230671275195288,4.01,4.03375,3.860234423809542,3.7924831204934266,3.5389610722005083,3.9543857010741026,6.781562500000001,7.504375000000002,7.639176822214926,7.091691182175472,7.139389388482328,6.299612236892909
2006-02-28,POMRB,5.72,1.73,16.56,3.955,4.085,5.9775,6.247499999999998,5.958389194369527,5.9610563744452225,5.834704676909592,5.906348827170614,4.17,5.291249999999999,4.084354414112077,4.797478235999819,4.461844118280894,2.7443684127393095,16.295,16.206666666666667,15.653728578356901,18.94032058422043,10.24530235924707,11.61310804528466,4.922125,3.960000000000001,3.898140654285725,3.854078176496344,3.532553862954651,3.7471520248467507,5.832812499999999,7.271875000000001,6.217506093328956,6.54724183339095,7.065809580864325,5.692447692453669
2006-05-31,PREMON,6.45,4.73,15.75,5.9,5.275,6.04,5.9724999999999975,6.155033516621716,6.0904327205471045,7.613403912427389,7.367935202003296,3.005,5.0024999999999995,4.342612648467247,4.830357950044744,5.951639323075413,3.973304076254112,16.510416666666668,16.206666666666667,15.692237147014142,18.71139068998151,17.077651757659936,16.387167031451863,6.582625,4.0600000000000005,4.6988843925714345,4.729985436884937,5.6554458000985415,5.307613538444576,4.9465625,6.291250000000001,5.840503655997374,6.320935979461123,7.625942185722515,7.356336721913072
2006-08-31,MONSOON,6.1,1.83,17.14,9.767,4.2200000000000015,6.20125,5.982499999999997,6.133020109973029,6.063628761111563,5.458756668546467,5.46774959617131,2.75875,3.337499999999999,3.3375675890803485,3.6134545382421823,3.8014091806385895,4.044634295339883,16.745,16.383333333333333,16.271342288208487,18.825603893084804,17.45969180914141,16.478489827088225,8.196875,5.78425,6.7261306355428605,6.897345213921691,3.66337603347482,3.174056306939185,4.663125,5.3743750000000015,5.192302193598424,5.9420675467604775,5.446756770742164,6.449802055305338
