Date,Season,Sinapali,Nuapada,Komana,Boden,Khariar,Sinapali_Trend,Sinapali_SMA,Sinapali_EWMA,Sinapali_DES,Sinapali_TES,Sinapali_ARIMA,Nuapada_Trend,Nuapada_SMA,Nuapada_EWMA,Nuapada_DES,Nuapada_TES,Nuapada_ARIMA,Komana_Trend,Komana_SMA,Komana_EWMA,Komana_DES,Komana_TES,Komana_ARIMA,Boden_Trend,Boden_SMA,Boden_EWMA,Boden_DES,Boden_TES,Boden_ARIMA,Khariar_Trend,Khariar_SMA,Khariar_EWMA,Khariar_DES,Khariar_TES,Khariar_ARIMA
2004-02-29,POMRB,5.71,4.136666666666667,5.415,2.8575,4.11,5.9712499999999995,6.2675,5.675727677706041,5.413994479271355,6.165146191858775,5.906231307996364,4.902395833333333,4.891874999999999,4.397769648949222,4.039042346940294,7.318432673309625,6.254680503967007,4.176875,4.381249999999999,4.344351581212825,4.872873050076096,5.142276766317934,4.373576771042683,2.939375,3.0643749999999996,2.9652511121200718,3.185009046862894,3.1856654970015725,2.91562689342997,4.01575,4.050333333333333,3.988166483043438,3.354028248265595,4.706787813372862,4.046205736293296
2004-05-31,PREMON,8.73,9.566666666666666,7.71,4.42,6.469999999999999,5.71375,6.219999999999999,6.897436606623625,5.88923901077071,7.343488335723693,7.848484316050862,5.024583333333333,4.937708333333332,6.465328456036199,7.020145963536477,8.607222332397367,7.507493752669597,4.14125,4.296249999999999,5.690610948727695,5.663277617453635,7.126786228922163,6.817537078891334,2.659375,3.1443749999999997,3.547150667272043,3.5515246718198155,4.303913117066692,4.239456541574022,3.94025,4.1819999999999995,4.980899889826063,5.304362830214811,6.062522513615209,5.783977603001869
2004-08-31,MONSOON,2.98,3.0925,1.125,0.5,2.112,5.893750000000001,5.722499999999999,5.330461963974175,5.532566072186846,4.585245255150072,4.790724470862301,5.5175,4.8670833333333325,5.11619707362172,5.38337740541363,2.8195379763689967,3.3786171150900266,4.131875,4.057499999999999,3.864366569236617,4.454308014589135,3.4458346402594433,3.0415026668184844,2.4959374999999997,2.7343749999999996,2.328290400363226,2.8207350123024386,1.8877238373511815,2.141934320787282,4.058,3.849499999999999,3.8333399338956378,3.60223342111006,3.2641378851897636,3.54574372834991
2004-11-30,POMKH,5.4,3.9325,2.65,2.56,3.4319999999999995,6.047499999999999,5.705,5.358277178384505,5.546137142237422,5.460588675116674,5.890387292151584,6.159583333333334,5.182083333333333,4.642718244173032,4.582213609329137,4.151810984747917,3.400562195031012,3.819375,4.224999999999999,3.37861994154197,3.8240211289082846,3.381390535037223,2.530069283573117,2.225,2.5843749999999996,2.4209742402179355,2.701724489279854,3.086197513852701,2.7133622937318114,4.04125,4.030999999999999,3.6728039603373825,3.3097226613605355,3.4132987408111495,3.3865444980536297
2005-02-28,POMRB,7.22,6.82,4.67,2.15,4.3260000000000005,6.213749999999999,6.0825,6.1029663070307025,5.8019705199716745,6.105637157688848,6.010712910450573,6.405104166666667,5.852916666666666,5.513630946503819,5.720632233782053,6.420971906097317,5.814640745703842,3.6593750000000003,4.0387499999999985,3.895171964925182,3.8765102476898208,5.167193707671942,4.707154161482695,2.1875,2.4074999999999998,2.312584544130761,2.4962681796700754,2.6773498087639793,2.6598858542201707,4.008500000000001,4.084999999999999,3.9340823762024297,3.8085087111691456,4.390736004391809,4.46098672952197
2005-05-31,PREMON,8.45,12.02,5.955,2.96,6.12,6.2749999999999995,6.0125,7.041779784218422,6.189858456457311,7.705028638520097,7.931007505058636,6.221562499999999,6.46625,8.116178567902292,10.199323093147648,9.19212625237514,8.882878492801872,3.7649999999999997,3.599999999999998,4.719103178955109,4.340307642148796,7.16833102026083,6.781269066961843,2.0937499999999996,2.0425,2.5715507264784563,2.5398353569304315,3.9166140291202245,3.9449466685403456,3.8329999999999997,3.9974999999999996,4.808449425721458,5.596734337865588,5.873597017350058,5.837044038336894
2005-08-31,MONSOON,4.59,2.603333333333333,1.6,1.66,2.2,5.76125,6.415,6.061067870531053,6.0104354733547805,4.774680705905027,4.242524328679359,6.0529166666666665,6.343958333333332,5.911040474074708,7.50501050401944,3.4568150534617725,3.579405172635082,3.7631249999999996,3.718749999999998,3.4714619073730653,3.5236741860735354,2.7682526166388373,2.2942116549012184,1.9925000000000002,2.3325,2.206930435887074,2.250240303466168,0.5340077082482275,1.470780425815769,3.655333333333333,4.019499999999999,3.7650696554328746,3.9317706161202604,3.0367258890945896,3.33242164158807
2005-11-30,POMKH,4.28,2.953333333333333,3.02,0.65,1.94,4.85625,6.135,5.348640722318631,5.812489713478017,6.031116396449519,6.283928999648259,5.528666666666666,6.099166666666665,4.727957617778158,5.410432611829645,4.5648377529424895,3.0465095816582264,4.1240625,3.811249999999998,3.290877144423839,3.228175444705689,3.089090069771385,2.662835497552736,2.16625,1.855,1.5841582615322443,1.7536548773380745,2.515432351888922,2.0435881539263443,3.5185416666666667,3.6464999999999996,3.035041793259725,2.6114491375905744,3.2612500180271558,3.2850367697937273
2006-02-28,POMRB,4.23,6.45,4.285,3.25,4.3966666666666665,4.1825,5.3875,4.901184433391179,5.6332574010876915,6.222650079603619,6.579165372890014,4.805250000000001,6.006666666666665,5.416774570666895,5.838804126378698,6.858615086353496,5.954300698143225,4.3914583333333335,3.7149999999999985,3.6885262866543034,3.3641265641194544,4.950889919152556,4.786270221335297,2.0587500000000003,2.13,2.2504949569193466,2.0153239886670242,1.839149568462014,2.342988122904245,3.1966666666666663,3.6641666666666666,3.5796917426225017,3.4845080097431596,3.91852474372813,3.8723602797161396
2006-05-31,PREMON,4.2,8.196000000000002,9.2275,3.25,4.955,4.141249999999999,4.325,4.620710660034707,5.473017041051637,6.988528849891776,7.334720108623882,4.735666666666667,5.0506666666666655,6.528464742400137,7.261448083415282,10.183417594237987,10.102151062803834,4.219791666666667,4.533124999999998,5.904115771992582,5.06701611043577,6.783749593512328,6.54792685109093,1.9025,2.2024999999999997,2.6502969741516083,2.2789937411905816,3.173999381884242,3.13049716166564,3.023541666666666,3.372916666666666,4.129815045573501,4.613271437815749,5.531098814044771,5.945371719309675
