Date,Season,Porbandar,Ranavav,Kutiyana,Porbandar_Trend,Porbandar_SMA,Porbandar_EWMA,Porbandar_DES,Porbandar_TES,Porbandar_ARIMA,Ranavav_Trend,Ranavav_SMA,Ranavav_EWMA,Ranavav_DES,Ranavav_TES,Ranavav_ARIMA,Kutiyana_Trend,Kutiyana_SMA,Kutiyana_EWMA,Kutiyana_DES,Kutiyana_TES,Kutiyana_ARIMA
1999-11-30,POMKH,6.434444444444447,22.53,11.785,7.0597103174603175,6.46313492063492,6.2354856901068185,6.112142938303898,5.92989112243137,5.912695287836259,23.608333333333334,21.671249999999997,21.874767289079074,19.899201465558264,20.75331243131527,19.834488926775393,11.218333333333334,8.962083333333332,9.52435017538896,8.647435761931774,6.728085860221854,7.945966372702686
2000-02-29,POMRB,7.912857142857143,21.08,12.535,7.441642857142857,6.8077380952380935,6.906434271206948,6.339648486029079,7.023785764961291,6.495960179397764,22.491041666666668,23.334999999999997,21.556860373447442,20.06642522280119,24.86884448241328,22.698377163792603,11.397916666666667,10.572499999999998,10.728610105233376,8.60068753838424,10.99572371576827,11.856320466731388
2000-05-31,PREMON,9.708,25.00666666666667,13.876666666666665,7.495891369047619,7.311682539682538,8.02706056272417,6.771693389017213,8.64395900881097,8.53330274622986,20.471666666666668,23.881666666666664,22.936782890735135,21.130206182019972,27.674343018599348,24.684368037434442,10.580416666666666,11.864166666666664,11.98783272980669,8.565302860281536,13.525696279226231,12.580358233570783
2000-08-31,MONSOON,6.231111111111113,15.785,5.53,7.3513849206349215,7.571603174603173,7.308680782078946,6.787028377874896,6.94025471386143,7.511896345296529,19.680416666666666,21.100416666666664,20.07606973444108,19.732332155560822,17.98627838964482,20.084283048696847,10.091666666666667,10.931666666666665,9.404699637884015,8.464715401300177,7.256672549103493,8.173874232461916
2000-11-30,POMKH,5.82875,17.5,8.975,6.902371527777778,7.420179563492063,6.716708469247368,6.748178897508184,7.266261534801526,7.617243884508921,19.24458333333333,19.842916666666664,19.04564184066465,19.08567446426951,17.072422691095873,15.720096138960807,10.040000000000001,10.229166666666664,9.23281978273041,8.3929787661675,8.358903151568976,7.169664215682846
2001-02-28,POMRB,7.3625000000000025,19.78,11.435,6.27498263888889,7.2825902777777785,6.975025081548422,6.882488076279011,7.493490870821283,7.131863811902845,18.764375,19.517916666666665,19.33938510439879,19.14144704522493,20.466279762565573,20.100070772173364,10.615833333333333,9.954166666666666,10.113691869638245,8.341842353758143,11.239283482052702,10.774837676864367
2001-05-31,PREMON,6.66625,22.820000000000004,14.563333333333333,5.82671875,6.522152777777778,6.851515048929053,6.927618286969126,8.654985114188916,8.215610401058202,18.160625,18.971249999999998,20.731631062639273,19.909345918806945,24.93142273089346,24.15387333742325,11.063958333333334,10.125833333333333,11.89354845511628,8.316227999608575,13.34954425061623,12.358124413769946
2001-08-31,MONSOON,4.25375,14.13,9.45,5.328854166666666,6.0278125000000005,5.812409029357432,6.685088898039658,5.2836732026245725,5.5328006969459,17.795,18.557499999999997,18.090978637583564,18.414862067789418,15.5409129665033,19.739409069217025,10.990833333333335,11.105833333333333,10.916129073069767,8.250735402673035,7.350054628577507,8.063026359805722
2001-11-30,POMKH,4.22,14.325,8.64,5.200520833333334,5.625625,5.175445417614459,6.43844879911995,5.364854696248848,4.668245463054955,18.36,17.763749999999998,16.584587182550138,17.33233435464963,15.049844765499012,14.38401985002693,10.972083333333332,11.022083333333333,10.005677443841861,8.17995986669128,9.647674313168249,9.325668290743444
2002-02-28,POMRB,4.988333333333333,20.03,11.185,5.591346726190477,5.032083333333333,5.100600583902009,6.2835742011250275,5.897876892065154,5.350803121009956,20.235625000000002,17.826249999999998,17.96275230953008,17.876484173604638,17.82724060184108,17.11089725342429,11.332708333333333,10.959583333333333,10.477406466305116,8.13043844680407,12.020808203385785,10.829928497757871
2002-05-31,PREMON,8.01375,27.09,14.663333333333332,6.16186011904762,5.3689583333333335,6.265860350341206,6.481785841560862,6.4536153140591646,5.888658660019962,22.596874999999997,18.893749999999997,21.61365138571805,19.973077440034537,23.837807498528107,23.547395021902773,12.114583333333334,10.984583333333333,12.151777213116402,8.109171018659062,13.808833145056417,12.67925383525288
2002-08-31,MONSOON,6.032857142857144,24.865,12.235,6.741622023809524,5.813735119047619,6.172659067347581,6.445980581185394,4.879346974320444,4.62306472868782,23.7953125,21.577499999999997,22.91419083143083,21.02586081355724,17.31643825507541,21.026771948245482,12.704583333333332,11.680833333333332,12.18506632786984,8.069118559264346,7.697106024876353,8.42838613150473
2002-11-30,POMKH,7.005,22.48,12.11,6.895290178571429,6.509985119047619,6.505595440408548,6.522237854736691,5.9756566614525095,6.126892167175264,23.468333333333334,23.616249999999997,22.7405144988585,21.251848457403288,21.618031501103346,20.928488010860725,11.507916666666667,12.548333333333332,12.155039796721905,8.028754911677504,10.756311319573232,10.614088089174727
2003-02-28,POMRB,6.841428571428572,21.4625,12.435,6.505892857142857,6.973258928571428,6.639928692816557,6.576742628303025,7.564420678121968,7.508108874296957,21.576666666666668,23.974374999999995,22.229308699315098,21.179666325590787,25.24425597984455,22.857441053183656,9.249374999999999,12.860833333333332,12.267023878033143,7.9916327528962725,13.86710640306979,12.628315332030901
2003-05-31,PREMON,7.389999999999999,23.04166666666667,3.84,5.928630952380952,6.817321428571427,6.939957215689933,6.692171243171752,8.525248838361444,8.664799796948449,19.22354166666667,22.962291666666662,22.554251886255727,21.50213945097599,28.05354634468945,25.99829974580989,7.43125,10.155,8.896214326819885,7.88737939999613,15.46885501080865,13.729145669738937
2003-08-31,MONSOON,3.541428571428572,13.78,4.99,5.478869047619047,6.194464285714284,5.580545757985389,6.357854164129176,5.627409210712388,5.651298362689495,19.10572916666667,20.191041666666663,19.044551131753437,19.534658331278706,17.111504974149547,19.186059743907943,5.970625,8.34375,7.333728596091931,7.793946642327263,5.4574789517485645,4.130064197756571
2003-11-30,POMKH,4.878333333333333,14.74,4.8100000000000005,4.990440476190476,5.662797619047618,5.299660788124567,6.184451063893282,5.179768762858274,4.838745939050449,20.461458333333336,18.25604166666666,17.322730679052064,18.277415860937214,15.593060998671842,15.284793641247804,6.361250000000001,6.518750000000001,6.324237157655159,7.700667682378627,6.953066379959845,7.477567346826428
2004-02-29,POMRB,5.37,28.26,8.05,4.862423611111112,5.294940476190475,5.32779647287474,6.072993565209176,5.915836250844208,5.0303699603155065,21.07796875,19.955416666666665,21.697638407431242,20.555304221716593,18.301870559880115,18.367661429074467,7.34578125,5.422499999999999,7.014542294593096,7.6345004653734705,8.971517542828483,9.102869456442376
2004-05-31,PREMON,4.9540000000000015,27.09,11.35,5.152150793650794,4.685940476190476,5.178277883724844,5.918731467928184,6.907293407508677,6.556366167627658,21.5234375,20.967499999999998,23.854583044458746,21.996924234618547,28.460991273027524,29.161402521268048,8.8578125,7.3,8.748725376755857,7.595461605484904,10.732767925153528,10.250173192655394
2004-08-31,MONSOON,4.9532936507936505,14.66375,5.35625,5.350751984126984,5.038906746031746,5.088284190552367,5.771664315959543,3.501527170121019,3.3321925025921693,20.548437500000002,21.1884375,20.17824982667525,20.119452388194272,19.46655799934527,21.975483813130168,10.344895833333332,7.391562499999999,7.391735226053514,7.509829982203867,4.546921120640786,7.441639006750178
2004-11-30,POMKH,5.784285714285715,17.42,16.54,5.734359126984128,5.265394841269841,5.3666848000457055,5.727987004083574,4.951704811058424,4.196846018147294,18.226354166666667,21.8584375,19.07494989600515,19.359044527791326,17.161074882302568,16.475110014128102,10.743645833333334,10.324062499999998,11.051041135632108,7.513803519725167,6.441367847840679,7.1628483466724955
2005-02-28,POMRB,6.0528571428571425,17.78,8.216666666666667,6.203169642857143,5.436109126984126,5.6411537371702805,5.720622751657991,6.191286631516362,6.2620259652661066,17.106302083333336,19.2384375,18.556969937603093,18.87050247238352,20.464715408630685,18.971307940578008,10.78078125,10.365729166666664,9.917291348045932,7.452095692537567,12.283977334295642,14.311250152553285
2005-05-31,PREMON,7.34,18.993333333333336,14.373333333333335,6.41125,6.032609126984126,6.320692242302169,5.865762697160986,7.194198072798706,7.019797865344059,16.24375,17.214270833333334,18.731515295895193,18.791077725083152,23.860841968768568,23.23900244530965,8.759166666666667,11.121562499999998,11.699708142160894,7.439960823047244,13.062520053062183,10.506371112637481
2005-08-31,MONSOON,6.317777777777778,13.8,2.63,6.515218253968254,6.373730158730158,6.319526456492412,5.892693268630268,5.215732268572356,5.147563509827954,14.866666666666667,16.998333333333335,16.758909177537117,17.49122772498576,12.996028510819698,16.597799318992923,6.86125,10.439999999999998,8.071824885296536,7.3354552109083455,7.093339614973079,8.699683094180326
2005-11-30,POMKH,6.084444444444445,11.383333333333333,3.0933333333333337,6.585104166666667,6.44876984126984,6.225493651673225,5.89423410215782,6.421452056131561,6.436554304665756,14.665833333333333,15.489166666666666,14.608678839855603,15.93224236513579,13.68976094626865,13.987243034267873,6.004166666666666,7.078333333333331,6.080428264511255,7.236361311647906,7.340668578473105,7.046243761449702
2006-02-28,POMRB,6.584444444444448,12.8,6.48,6.288958333333334,6.581666666666667,6.369073968781715,5.955299224705013,6.984686830618989,7.081253056788489,14.138749999999998,14.244166666666665,13.885207303913363,15.092641741494331,15.62112602943242,16.075655041793652,5.2316666666666665,6.6441666666666634,6.240256958706754,7.165633241667164,8.70177163930116,7.400675586317853
2006-05-31,PREMON,7.3675,22.366666666666664,9.253333333333332,5.831180555555557,6.588541666666667,6.7684443812690285,6.107095823559081,7.900600179839507,7.47286898628799,12.680416666666668,15.087499999999995,17.27779104901468,16.742248384677616,18.944282918429863,18.861219163131324,5.2162500000000005,5.364166666666662,7.445487508557385,7.117958485450359,10.056838393369322,9.877411921760409
2006-08-31,MONSOON,3.921111111111111,6.21,1.5699999999999998,5.507569444444445,5.989375000000001,5.629511073205861,5.858268036830619,5.724686750378352,5.69772270544335,11.759583333333333,13.189999999999994,12.850674629408807,14.131319062634468,12.513953501894402,15.449062927731866,5.495416666666666,5.099166666666663,5.095292505134431,7.010517017236253,3.4271705189508093,5.436654838871441
2006-11-30,POMKH,4.818888888888889,7.3066666666666675,4.03,5.122465277777778,5.672986111111111,5.305262199479072,5.719924089095072,5.375110334665283,5.284528050098023,10.939583333333333,12.170833333333327,10.633071444311952,12.420579387124562,9.405467708001074,8.956207461086573,5.512083333333333,5.3333333333333295,4.669175503080659,6.924276798687344,4.488635136508777,5.80589613971063
