Date,Season,Kodagu,Somvarpet,Virajpet,Kodagu_Trend,Kodagu_SMA,Kodagu_EWMA,Kodagu_DES,Kodagu_TES,Kodagu_ARIMA,Somvarpet_Trend,Somvarpet_SMA,Somvarpet_EWMA,Somvarpet_DES,Somvarpet_TES,Somvarpet_ARIMA,Virajpet_Trend,Virajpet_SMA,Virajpet_EWMA,Virajpet_DES,Virajpet_TES,Virajpet_ARIMA
1999-11-30,POMKH,5.8975,6.277142857142858,7.501428571428572,5.4152256944444455,4.882187500000001,4.869544401223932,5.606756238290988,4.95337585861979,4.561030187814903,6.550223214285714,6.312276785714284,5.935695014026948,5.749791961046252,6.675676827525886,5.919027299586122,8.183928571428572,7.950357142857143,7.460737805518625,7.212835805348526,6.496636522282266,6.595691772978063
2000-02-29,POMRB,6.542499999999999,6.9262500000000005,8.92,5.568888888888889,5.285937499999999,5.5387266407343585,5.625062982546016,5.388979614033182,5.243322131645684,6.898437500000001,6.264910714285713,6.33191700841617,6.022580037162449,7.8375444814433965,7.114865694771583,8.482321428571428,8.072142857142858,8.044442683311175,7.817323479744809,8.438240450900695,8.067855825615169
2000-05-31,PREMON,6.965555555555558,10.57625,11.584285714285713,5.641493055555556,5.544513888888888,6.109458206662838,5.643429502424576,5.878317168268645,6.147349398762371,7.110863095238096,6.835535714285712,8.029650205049702,7.358000492164104,9.147503389115915,8.408774560335816,8.83625,8.295714285714286,9.46037989570099,9.519325095678763,10.920027320705818,10.264326111580239
2000-08-31,MONSOON,2.9675,4.065714285714286,6.669999999999999,5.868909722222222,5.593263888888888,4.852674923997703,5.661855972558206,4.440272139318891,4.346720196880139,7.1274806547619045,6.961339285714283,6.444075837315535,6.703025224592811,5.71204253648432,4.919513913075221,9.165099206349206,8.668928571428573,8.344227937420595,8.83801164699498,5.783070046751112,6.4236804226364645
2000-11-30,POMKH,6.283333333333332,7.473333333333334,8.839999999999998,6.040974206349206,5.689722222222221,5.424938287731955,5.680342622675739,5.116705920484884,4.884475674322882,7.222793154761904,7.260386904761903,6.855778835722655,7.031358184458246,6.684170090324245,6.022594681079608,9.243055555555555,9.00357142857143,8.542536762452357,9.062869704775082,7.717737029744262,8.212666341483072
2001-02-28,POMRB,7.975999999999999,5.8629999999999995,10.212222222222222,6.29503869047619,6.048097222222221,6.445362972639172,5.69888964172975,5.5914211260339295,5.560063304539922,7.6068253968253945,6.994574404761903,6.458667301433593,6.8493439583089915,7.843585192267548,7.060253813431951,9.558789682539683,9.326626984126985,9.210410946360303,9.787181023661951,9.396758737332853,9.818155606671553
2001-05-31,PREMON,6.908571428571428,12.401999999999996,10.915714285714284,6.645253968253968,6.033851190476189,6.6306463550120744,5.71749721400698,6.147343355773359,6.569396325635068,7.842097222222221,7.451011904761902,8.836000380860154,8.588335044739779,9.164769543880848,8.98043557564342,10.016011904761903,9.159484126984129,9.892532282101897,10.65354394109071,12.05245073300128,12.1818819598229
2001-08-31,MONSOON,5.0569999999999995,5.312222222222221,9.864444444444443,6.355250496031746,6.556226190476188,6.001187813007244,5.7361655335772275,4.430531197277858,4.207547723175891,8.058993055555556,7.762638888888885,7.426489117404982,8.108350555860051,5.714560260182623,4.689224154395102,10.01406746031746,9.95809523809524,9.881297147038914,10.846735949414105,6.642760927355586,7.718436923639652
2001-11-30,POMKH,6.995555555555558,8.109,9.303333333333333,5.767960317460318,6.734281746031744,6.39893491002657,5.754894816398461,5.508964047816353,5.542000883528675,8.018993055555555,7.921555555555552,7.69949347044299,8.39319843992188,6.698388990131173,6.404975318918727,10.140992063492062,10.073928571428574,9.650111621556682,10.646566338492011,9.219901160722976,9.712927739268254
2002-02-28,POMRB,4.94375,6.9625,9.733333333333334,5.626201388888889,5.976219246031745,5.816860946015942,5.773685242981456,6.143292385173209,6.202647848629081,8.130402777777778,8.196430555555553,7.404696082265794,8.271048715991839,7.8445124154142905,6.75919618990838,10.461666666666666,9.954206349206352,9.683400306267343,10.554305201406986,10.501635014727022,10.980266373478356
