Date,Season,Danta Ramgarh,Lachhmangarh,Neem Ka Thana,Srimadhopur,Piprali,Fatehpur,Dhond,Khandela,Danta Ramgarh_Trend,Danta Ramgarh_SMA,Danta Ramgarh_EWMA,Danta Ramgarh_DES,Danta Ramgarh_TES,Danta Ramgarh_ARIMA,Lachhmangarh_Trend,Lachhmangarh_SMA,Lachhmangarh_EWMA,Lachhmangarh_DES,Lachhmangarh_TES,Lachhmangarh_ARIMA,Neem Ka Thana_Trend,Neem Ka Thana_SMA,Neem Ka Thana_EWMA,Neem Ka Thana_DES,Neem Ka Thana_TES,Neem Ka Thana_ARIMA,Srimadhopur_Trend,Srimadhopur_SMA,Srimadhopur_EWMA,Srimadhopur_DES,Srimadhopur_TES,Srimadhopur_ARIMA,Piprali_Trend,Piprali_SMA,Piprali_EWMA,Piprali_DES,Piprali_TES,Piprali_ARIMA,Fatehpur_Trend,Fatehpur_SMA,Fatehpur_EWMA,Fatehpur_DES,Fatehpur_TES,Fatehpur_ARIMA,Dhond_Trend,Dhond_SMA,Dhond_EWMA,Dhond_DES,Dhond_TES,Dhond_ARIMA,Khandela_Trend,Khandela_SMA,Khandela_EWMA,Khandela_DES,Khandela_TES,Khandela_ARIMA
2000-05-31,PREMON,30.446000000000005,25.093000000000004,16.830000000000002,36.28,36.29,28.57200000000001,43.665,14.525000000000002,30.240250000000003,29.61499999999999,29.671411716913187,29.433322286795615,29.288966331173246,29.019472792684528,27.287673611111114,23.231124999999984,24.699461215050736,24.96446436479917,25.211418127445782,26.51323429984824,14.473125,13.817750000000002,14.334317850331225,14.281521498380295,13.979992944844602,12.331546834549872,35.84125,34.350000000000016,34.94763440563255,34.62989623201196,35.42845043899082,33.92879438723612,37.06604166666667,38.31333333333333,36.82837749763778,37.837326802440764,39.41233178763642,37.22201427650861,28.94910101010101,28.667444444444442,28.80503627282242,27.891367962297227,29.092153340349217,27.97185689118644,44.99281250000001,42.96375,43.02641639931923,44.073277352469404,44.52446215162231,43.00331460200567,14.248750000000003,13.128750000000002,13.28007036395667,13.622138346105919,12.95347911233344,12.503982385780297
2000-08-31,MONSOON,30.868000000000002,28.726250000000004,13.9125,36.13,36.3925,29.42818181818181,48.03333333333333,13.73,30.716812500000003,30.096999999999994,30.150047030147913,29.79455659754613,30.485048726543866,29.442796601665506,27.270368055555558,26.26581249999999,26.310176729030445,26.550339179141762,24.655080334680303,24.26259559064536,15.090312500000001,13.979375000000003,14.165590710198735,14.031423878661442,13.392296016395234,14.170439134536776,36.241249999999994,35.607500000000016,35.42058064337953,35.13869394531837,34.99975669347501,34.66346859167513,39.05479166666667,36.06895833333333,36.65402649858267,37.74665820659229,38.16366623694519,36.91747285139325,30.197422438672444,28.742545454545446,29.054294490966175,28.18358964569201,26.706908211313966,29.028315324908796,46.02041666666667,44.33395833333333,45.029183172924874,44.93830289638854,44.63575501237156,43.35714923053767,15.69375,13.548750000000002,13.460042218374003,13.805972873480847,15.205084509552904,13.831424503232673
2000-11-30,POMKH,30.524,27.72888888888889,16.552500000000002,36.51,43.62333333333334,28.008000000000006,47.90333333333334,17.955,31.194875000000003,30.383499999999994,30.29962821808875,30.049086540136898,29.354879058437795,29.963462129840337,26.336951388888888,28.30953472222221,26.877661592973823,27.192807257608116,26.27078359833699,26.983385915633196,14.124583333333334,14.966875000000003,15.120354426119242,15.024285629521424,14.818732592534673,15.214312618693773,36.5225,36.07500000000002,35.85634838602772,35.60832754774908,34.65138517941363,35.189492110081765,41.008541666666666,38.06312499999999,39.441749232482934,39.16621379271015,37.4947186134195,36.74593487959831,31.452532061688313,29.155656565656557,28.635776694579707,27.6212646746393,29.927949846208563,28.460558187767585,47.034375000000004,45.651666666666664,46.17884323708826,45.67465831296484,45.461236059360566,44.797554666769855,17.2375,14.94875,15.258025331024403,15.652197966526925,15.580561929543034,13.74999914450776
2001-02-28,POMRB,32.3625,23.376666666666665,13.56,36.71,43.88,38.94857142857143,45.955,19.545,31.6305,31.050124999999994,31.124776930853248,30.548369976922466,29.92729358487243,30.45895852844662,26.132232638888887,26.231201388888877,25.477263622450963,25.99235156132972,28.38823871413092,26.867348457851907,12.672604166666668,15.213750000000003,14.496212655671545,14.298986159660751,15.021395464429611,14.778193434751579,36.323125000000005,36.40750000000002,36.19780903161663,35.995199256249606,34.873494263903154,35.47612371825535,42.80947916666668,40.04645833333333,41.217049539489764,40.35360171773188,38.63885930629322,38.99316443658699,32.441519751082254,31.239188311688302,32.7608945881764,32.799623290265735,29.996034790275914,28.172652248050838,47.810833333333335,46.38916666666667,46.089305942252956,46.05198108365466,45.69935928823389,46.490347642757335,18.56875,16.43875,16.97281519861464,17.412049172330313,15.90070797399147,15.573260495384357
2001-05-31,PREMON,31.60400000000001,25.939,8.116666666666667,37.2,43.98666666666667,30.27875,48.82666666666666,20.915,31.720625000000005,31.339624999999998,31.31646615851195,30.85665367773355,30.79691788431763,30.70196418968192,25.450652777777776,26.442701388888874,25.661958173470577,26.174706448668818,26.609743691638826,24.783938765521643,11.696979166666669,13.03541666666667,11.944394260069593,11.551847518804655,15.786436987136911,14.909809751475748,35.891875,36.637500000000024,36.59868541896998,36.41446086457287,37.588565099422496,35.84980778812535,43.5275,41.970625,42.32489639036052,41.32450353885204,41.782533195915704,40.58996581335876,33.53546924603175,31.665875811688302,31.76803675290584,31.016496447035262,33.93419689471897,32.904375261212444,47.996249999999996,47.67958333333333,47.18425023201844,46.77076538132469,47.63700293186197,46.5623018092414,18.984375,18.036249999999995,18.549689119168782,19.029735137655116,17.419676632468963,17.154239836978608
2001-08-31,MONSOON,33.195,26.2425,11.010000000000002,33.615,43.10333333333333,35.63333333333335,49.08333333333334,17.99,31.366312500000006,31.921374999999998,32.06787969510717,31.363629635749064,31.933392479584,31.368148280335397,25.208552083333334,25.82176388888887,25.894174904082345,26.403300036822532,25.854781585628835,25.866998051258893,10.257291666666667,12.309791666666671,11.570636556041757,11.245024563231864,10.006561062055187,10.910593465577424,35.691875,36.00875000000003,35.405211251381985,35.59613550504206,36.77246532536387,36.222427476207116,43.325,43.648333333333326,42.636271167549644,41.918125157101066,41.6372415054136,41.69985708783043,31.92545337301588,33.21716369047619,33.314155385076845,32.81413439414682,29.904842000273234,33.922033957757044,48.37979166666666,47.942083333333336,47.9438834725444,47.432146596342534,48.32865234275491,48.09295671881208,18.741874999999997,19.101249999999993,18.32581347150127,18.79740734926305,20.416650573586708,18.646020668602958
2001-11-30,POMKH,28.918000000000006,24.76,11.65,35.575,42.656666666666666,30.554444444444453,48.33666666666666,17.02,30.513812500000004,31.519875,30.807927817064307,31.137486525446363,30.95288571612439,31.72384827632362,25.282375000000002,25.07954166666665,25.440504942449408,26.000606206324598,26.145862158392656,25.941216292365766,9.390208333333334,11.08416666666667,11.602381933625054,11.346849036172088,11.671504812832325,9.211348281516624,35.55125,35.775000000000034,35.473126750829195,35.63581534707581,35.08463365844,35.59340338998919,43.60541666666666,43.40666666666666,42.64442936719645,42.300348076806074,41.638889812619624,42.15845089630517,29.314788194444446,33.8537748015873,32.21027100882389,31.165263727485105,34.702831995699285,32.364455664974436,48.7475,48.05041666666667,48.1009967501933,47.90726872253611,48.40560798815469,48.147904107966575,18.216874999999998,18.867499999999993,17.803488082900763,18.25959190714206,20.423448038646196,18.75448444556898
2002-02-28,POMRB,31.134000000000004,24.40875,6.945,36.045,43.22666666666667,23.522,48.59,18.54,29.7205,31.212750000000003,30.938356690238585,31.285745028557916,30.979556734156194,32.25821110693943,24.871875000000003,25.337562499999983,25.027802965469647,25.61381440061806,27.240585179099522,25.22125449834388,8.195,9.43041666666667,9.739429160175032,9.38339216552788,11.007829240876571,11.063586165560832,35.808125000000004,35.608750000000036,35.70187605049752,35.808603161765454,34.87930830784684,34.89245363641145,44.52645833333333,43.243333333333325,42.87732428698453,42.72341266788019,41.724323721293,42.32124571697432,27.433694444444445,29.99713194444444,28.73496260529433,26.857833059639187,33.60235134010559,32.44841474536655,48.827083333333334,48.709166666666675,48.29659805011599,48.355807519985305,47.9325510468922,48.42340740913435,18.14125,18.61624999999999,18.09809284974046,18.5618210441501,18.504978320287382,17.825058218492902
2002-05-31,PREMON,26.0125,25.4975,7.795,36.74,46.88333333333333,24.82,49.13333333333333,17.72,30.124375,29.814875,28.96801401414315,30.624480668725948,31.460695048424096,31.282119087306718,24.453169642857144,25.227187499999985,25.215681779281788,25.769931331493133,26.24595526552363,24.900711435236683,5.89875,9.350000000000003,8.961657496105019,8.640964650439923,10.488897791275445,9.361405945609935,36.239375,35.493750000000034,36.11712563029851,36.143085092485194,37.384819968761704,35.596272336638165,44.65333333333333,43.96749999999999,44.47972790552405,43.81601947093029,44.093508056600115,42.617097130702234,25.38026388888889,28.632444444444438,27.1689775631766,25.398833880838193,27.559898728060578,26.49668391958138,49.03249999999999,48.78583333333334,48.63129216340293,48.82054827995581,49.983995431757805,49.07092072961862,18.523437499999996,17.81749999999999,17.946855709844275,18.40602355520721,18.62555155578812,18.05276649647616
2002-08-31,MONSOON,32.44,23.4,1.77,36.13,47.575,26.04333333333333,49.41333333333333,20.58,29.385875,29.626125000000002,30.35680840848589,31.049961915842438,31.53169841647509,30.753234006079243,24.940933035714288,24.516562499999985,24.48940906756907,25.09347633194403,25.46304694627516,25.340035409063564,4.2456249999999995,7.040000000000004,6.084994497663011,5.634327065506101,7.164931332731347,7.17327438993142,36.439375,36.12250000000003,36.12227537817911,36.18596426253853,36.48866737024013,35.98672547121951,43.76041666666667,45.08541666666665,45.717836743314436,44.83188677466988,44.069542047858576,44.01111392242756,25.042208333333335,26.23494444444443,26.71871987123929,25.295990413469312,24.01064614473936,23.724183753017826,48.69260416666667,48.86833333333334,48.94410863137509,49.263658638882795,50.09778065695831,49.704602608526955,18.99083333333333,18.46499999999999,19.000113425906562,19.487816310049336,19.917426471509074,17.917573024716706
