Date,Season,Nongpoh,Nongpoh_Trend,Nongpoh_SMA,Nongpoh_EWMA,Nongpoh_DES,Nongpoh_TES,Nongpoh_ARIMA
2006-05-31,PREMON,0.6,1.1791666666666667,1.1791666666666671,1.151591212581115,1.2573482406470828,0.9328362864295456,0.7923692703551477
2006-08-31,MONSOON,0.78,1.1791666666666667,1.1791666666666671,1.002954727548669,1.2005540493511968,0.7968833953135424,0.859067941004696
2006-11-30,POMKH,1.1,1.1791666666666667,1.1791666666666671,1.0417728365292014,1.1920793379695718,1.1187573511156155,1.1084005327226527
2007-02-28,POMRB,2.236666666666667,1.225132575757576,1.1791666666666671,1.5197303685841876,1.331067738051015,1.9311570936557407,1.9912077874880196
2007-05-31,PREMON,0.6,1.3652811771561773,1.1791666666666671,1.1518382211505125,1.2418692535154499,0.7913829102118957,0.7911411700235023
2007-08-31,MONSOON,1.1477272727272727,1.4594638694638695,1.2710984848484852,1.1501938417812165,1.2343744778681476,0.805091974145443,0.8578874366594827
2007-11-30,POMKH,1.8534615384615387,1.6584411421911422,1.4594638694638697,1.4315009204533453,1.318715969061393,1.221376617976925,1.182062690378018
2008-02-29,POMRB,2.236666666666667,1.8574184149184152,1.4594638694638697,1.7535672189386737,1.4418657253231464,2.338521689215929,2.1537987788032695
2008-05-31,PREMON,2.191818181818182,1.8574184149184152,1.8574184149184152,1.928867604090477,1.5438364421708959,0.9601250876271394,0.8215046420461798
2008-08-31,MONSOON,1.1477272727272727,1.857418414918415,1.8574184149184154,1.6164114715451952,1.4985741524551028,1.5634494722130974,1.3758544457149422
2008-11-30,POMKH,1.8534615384615387,1.8574184149184148,1.8574184149184154,1.7112314983117325,1.5498717723215232,1.986384649402412,1.5597842985580592
2009-02-28,POMRB,2.236666666666667,1.8574184149184152,1.8574184149184156,1.9214055656537061,1.6441105065265003,2.697835707809279,2.151151251225181
2009-05-31,PREMON,2.191818181818182,1.8644857226107228,1.8574184149184156,2.0295706121194965,1.720786148590174,1.7449352114706664,1.5895046709262073
2009-08-31,MONSOON,1.1477272727272727,2.001969696969697,1.8574184149184159,1.6768332763626068,1.6533924791163275,1.5511440681600033,1.3995916353837927
2009-11-30,POMKH,1.91,2.1323863636363636,1.871553030303031,1.770099965817564,1.6926089045864885,2.0564545191715182,1.8053196817022243
2010-02-28,POMRB,3.28,2.1323863636363636,2.1323863636363645,2.3740599794905384,1.9033770713906042,2.6191199434821257,2.139742791332808
2010-05-31,PREMON,2.191818181818182,2.2333238636363633,2.1323863636363645,2.3011632604215957,1.947625833965834,2.261712290208782,2.3266049843360825
2010-08-31,MONSOON,1.1477272727272727,2.3808238636363637,2.1323863636363645,1.8397888653438663,1.851860966128139,1.6476798928911913,1.3453363714703408
2010-11-30,POMKH,2.7175,2.5296590909090906,2.3342613636363643,2.19087331920632,1.970260978565499,2.2248809838025414,1.8631380375707223
2011-02-28,POMRB,3.6525,2.7147159090909088,2.4273863636363644,2.7755239915237917,2.19428092477153,3.2453955071749343,2.798004794604878
2011-05-31,PREMON,3.01,2.6965624999999998,2.631931818181819,2.8693143949142748,2.3075280596609846,2.579949409896072,2.3595551151518026
2011-08-31,MONSOON,1.81,2.5490625000000002,2.7975000000000008,2.445588636948565,2.252050669154607,1.9495047097616762,1.5595173603106312
2011-11-30,POMKH,1.91,2.4909375,2.595625000000001,2.231353182169139,2.216391967578146,3.0210281803308368,2.4471644781495248
2012-02-29,POMRB,3.28,2.4459375,2.502500000000001,2.650811909301483,2.361649757945481,3.6541059628187558,3.1402687005501964
2012-05-31,PREMON,2.9175,2.614375,2.479375000000001,2.75748714558089,2.4420497674259907,2.7797025915904214,2.598265389434918
2012-08-31,MONSOON,1.5425,2.909375,2.412500000000001,2.2714922873485337,2.3352934165957886,1.8119959529437735,1.785548058210607
