Date,Season,Ashta,Sehore,Ichhawar,Nasrullaganj,Budni,Ashta_Trend,Ashta_SMA,Ashta_EWMA,Ashta_DES,Ashta_TES,Ashta_ARIMA,Sehore_Trend,Sehore_SMA,Sehore_EWMA,Sehore_DES,Sehore_TES,Sehore_ARIMA,Ichhawar_Trend,Ichhawar_SMA,Ichhawar_EWMA,Ichhawar_DES,Ichhawar_TES,Ichhawar_ARIMA,Nasrullaganj_Trend,Nasrullaganj_SMA,Nasrullaganj_EWMA,Nasrullaganj_DES,Nasrullaganj_TES,Nasrullaganj_ARIMA,Budni_Trend,Budni_SMA,Budni_EWMA,Budni_DES,Budni_TES,Budni_ARIMA
1999-11-30,POMKH,3.0425,6.278,3.4450000000000003,4.38,4.1033333333333335,8.4895625,7.281291666666667,5.613171148270469,7.3142793978722676,4.779712295324305,4.652573353049081,9.660809523809524,10.168958333333336,8.260923774213325,9.854611393102147,8.334476031576258,6.632449873866947,4.3950000000000005,4.375000000000001,3.908522530604155,4.723894038470105,3.9530032759699836,3.8414621355710867,6.213125,6.69,5.9364545790364875,6.01928147433245,6.05869752530198,5.791149284642029,4.810833333333333,4.883333333333334,4.592518300116801,5.301378479109609,5.453453950584615,5.264128264380963
2000-02-29,POMRB,9.704,11.058000000000002,4.5200000000000005,5.755,4.735,9.3519375,7.820625,7.2495026889622824,8.653849629874614,8.998511985759471,6.998482131693066,9.518267857142858,9.976583333333336,9.379754264527996,10.603881986773397,11.766142193539222,8.057067064767987,4.603125,4.286250000000001,4.153113518362494,4.840061675801469,4.565407252449923,4.351976453289307,6.0218750000000005,6.48625,5.863872747421892,5.7954638794763715,6.343425072868109,6.020507489005617,4.685520833333333,5.099583333333333,4.6495109800700805,5.292064785705093,4.648514623990038,3.839732806667328
2000-05-31,PREMON,19.5775,14.117142857142856,7.56,7.725,6.5975,10.784437500000001,9.1585,12.18070161337737,16.869013290054088,11.90950404694398,11.119454480370026,10.104875,9.345035714285718,11.27470970157394,12.278141312797382,13.937029074412123,12.649848403396652,4.900625,4.50375,5.515868111017497,5.653426793325937,7.061182966321425,6.845076791073158,6.494375,5.94,6.608323648453135,6.460962872873828,8.22888649143461,8.162733566698176,4.996458333333333,4.522083333333333,5.428706588042049,5.754160117136217,7.57696415344336,7.3134149207775145
2000-08-31,MONSOON,5.8575,7.312857142857141,3.285,6.555,3.96,12.3958125,9.545375,9.651420968026422,13.7680212925638,4.393718935539791,8.125515605540038,10.993857142857141,9.691500000000003,9.68996867808722,11.399084451462745,5.999657461242371,5.619890842311439,5.49875,4.702500000000001,4.623520866610498,5.398287072187092,2.9009462128643464,2.8484591259289305,7.211874999999999,6.10375,6.586994189071881,6.55708707714877,5.275010553136415,5.725971718499025,5.398645833333334,4.848958333333333,4.84122395282523,5.469992803425287,3.5210265346035996,3.0710341168098996
2000-11-30,POMKH,12.955,9.585,5.03,7.504999999999999,5.283333333333333,12.2559375,12.0235,10.972852580815854,14.952695210187725,6.701947979857376,6.19669725563804,11.870376984126985,10.518250000000004,9.647981206852332,11.213905619454385,9.106617159071877,7.449936438981133,5.884999999999999,5.098750000000001,4.786112519966299,5.517558932698668,4.052144815921535,3.781400232066611,8.000625,6.885,6.954196513443128,7.026455418071605,5.418687807775324,5.46017106613001,5.7403125,5.143958333333334,5.018067705028471,5.521137480359933,5.279615285769697,5.268385322252869
2001-02-28,POMRB,12.6825,14.862857142857145,7.72,8.37,6.772500000000001,11.6845625,12.768125,11.656711548489511,15.169187108732137,12.46813763880694,10.977496612981902,12.394557539682541,11.46946428571429,11.733931581254257,12.751439149672489,12.860357724736764,10.991947575781786,5.814374999999999,5.898750000000001,5.959667511979779,6.241588196780198,5.04926598499479,4.931101850830911,8.450624999999999,7.538749999999999,7.520517908065877,7.781093451969766,6.841186957546095,7.112781191365469,5.955104166666667,5.653333333333334,5.719840623017083,5.945607409812064,4.841090336345141,4.48927847154447
2001-05-31,PREMON,15.48,17.324444444444445,7.4499999999999975,11.42,7.293333333333332,11.0335,11.743749999999999,13.186026929093707,16.641810134086192,15.284018589920361,16.285995855656353,12.678075396825399,12.271289682539688,13.970136726530333,14.967724855933191,15.402551668435255,15.0930119448914,5.590624999999998,5.871250000000001,6.555800507187866,6.8505867352627074,8.169859880848156,8.175511678327531,8.395624999999999,8.462499999999999,9.080310744839526,9.761122370651881,9.286170745718088,8.938774274688864,6.202812499999999,5.827291666666667,6.349237707143583,6.468747300931331,7.714368726186871,7.817328242329287
2001-08-31,MONSOON,5.384,8.299,2.83,6.459999999999999,4.9825,11.435062499999999,11.625374999999998,10.065216157456224,11.392872921604928,6.321207461365034,9.61731853342189,13.121301587301588,12.517825396825403,11.701682035918198,13.789560988892418,7.73619898244641,7.185337940570145,5.079999999999999,5.757500000000001,5.06548030431272,6.2956666504638505,3.7629629299348135,2.741630170562522,8.364999999999998,8.438749999999999,8.032186446903715,9.208479949278184,7.2843645152852785,7.576213768278314,6.184479166666668,6.082916666666668,5.80254262428615,6.31772920867402,3.9610217014391393,3.718767009815253
2001-11-30,POMKH,8.219999999999999,10.867,3.695,7.16,6.2425000000000015,12.369125,10.441624999999998,9.327129694473733,9.151668477704266,8.164462455676755,9.473520262734446,12.788007936507936,12.838325396825402,11.36780922155092,13.38111893349282,10.802570236864401,7.7817477365442205,4.619999999999999,5.423750000000001,4.517288182587632,5.911773228244139,4.83442033432073,4.452051759977168,8.692499999999999,8.3525,7.68331186814223,8.84198418096173,7.007182939367048,6.343935391512828,6.023333333333333,6.322708333333335,5.978525574571691,6.468166043053593,5.6840910293459,5.769866029130703
2002-02-28,POMRB,20.63,17.12666666666667,4.9700000000000015,8.469999999999999,5.666666666666668,13.4455,12.428499999999998,13.848277816684242,15.555528076204489,12.730445043748581,11.903528422886904,12.738738095238098,13.404277777777784,13.67135219959722,15.015694892852531,14.552505791425583,11.455704645974345,4.518750000000001,4.736250000000002,4.69837290955258,5.810335424176716,5.895490054163487,6.062785658917015,9.215,8.3775,7.9979871208853375,8.97244261124759,7.845752255352346,7.520855268284838,6.119479166666667,6.0462500000000015,5.853782011409681,6.427176366066866,5.641262373007502,5.644072533928163
