Date,Season,Sopore,Sopore_SMA,Sopore_EWMA,Sopore_TES,Sopore_ARIMA
2004-11-30,POMKH,1.7025,1.380375,1.4193054824541855,1.5161256907473162,0.9946325100883364
2005-02-28,POMRB,,,,,
2005-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691832894725112,1.2865770196605772,1.253243339215961
2005-08-31,MONSOON,1.3224999999999998,1.285375,1.2305099736835066,1.1531439566276949,1.4101119960370787
2005-11-30,POMKH,1.7025,1.380375,1.4193059842101041,1.3531081621112258,0.9946325100883364
2006-02-28,POMRB,,,,,
2006-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691835905260626,1.5828409035765767,1.253243339215961
2006-08-31,MONSOON,1.3224999999999998,1.285375,1.2305101543156374,1.1349845205688627,1.4101119960370787
2006-11-30,POMKH,1.7025,1.380375,1.4193060925893826,1.1767409018208057,0.9946325100883364
2007-02-28,POMRB,,,,,
2007-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691836555536295,1.4456820004284103,1.253243339215961
2007-08-31,MONSOON,1.3224999999999998,1.285375,1.2305101933321776,1.3822594360069007,1.4101119960370787
2007-11-30,POMKH,1.7025,1.380375,1.4193061159993066,1.165330316610786,0.9946325100883364
2008-02-29,POMRB,,,,,
2008-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691836695995839,1.301193887335246,1.253243339215961
2008-08-31,MONSOON,1.3224999999999998,1.285375,1.2305102017597502,1.2679404744976777,1.4101119960370787
2008-11-30,POMKH,1.7025,1.380375,1.4193061210558502,1.3725951059199117,0.9946325100883364
2009-02-28,POMRB,,,,,
2009-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.16918367263351,1.2955273860014418,1.253243339215961
2009-08-31,MONSOON,1.3224999999999998,1.285375,1.2305102035801059,1.1502379384900117,1.4101119960370787
2009-11-30,POMKH,1.7025,1.380375,1.4193061221480634,1.2778157360907367,0.9946325100883364
2010-02-28,POMRB,,,,,
2010-05-31,PREMON,0.7939999999999999,1.1532499999999999,1.1691836732888379,1.469619180261968,1.253243339215961
2010-08-31,MONSOON,1.3224999999999998,1.285375,1.2305102039733025,1.1489992283406671,1.4101119960370787
2010-11-30,POMKH,1.7025,1.380375,1.4193061223839814,1.1822039087143545,0.9946325100883364
2011-02-28,POMRB,,,,,
2011-05-31,PREMON,0.395,1.0534999999999999,1.009583673430389,1.3911800621450043,1.253243339215961
2011-08-31,MONSOON,1.125,1.13625,1.0557502040582334,1.2488501261897251,1.5488132083154835
2011-11-30,POMKH,1.9,1.2806250000000001,1.39345012243494,1.1156598917551288,1.063287872055717
2012-02-29,POMRB,,,,,
2012-05-31,PREMON,0.5325,0.9881250000000001,1.049070073460964,1.269966101363535,1.1845879772485801
2012-08-31,MONSOON,1.2775,1.2087500000000002,1.1404420440765783,1.0952117041237432,1.2911042364283427
2012-11-30,POMKH,1.645,1.33875,1.3422652264459471,1.2158342686131463,0.8334025444492859
2013-02-28,POMRB,,,,,
2013-05-31,PREMON,0.395,0.9625,0.9633591358675683,1.291549181234671,1.3410158157943042
2013-08-31,MONSOON,1.125,1.110625,1.028015481520541,1.0173041665515479,1.447359077254048
2013-11-30,POMKH,1.9,1.2662499999999999,1.3768092889123245,1.0747729185733381,0.8151840071836793
2014-02-28,POMRB,,,,,
2014-05-31,PREMON,0.67,1.0225,1.0940855733473946,1.3072122296974467,0.9972979082592521
2014-08-31,MONSOON,1.43,1.28125,1.2284513440084366,1.0546959331088377,1.2898200023768724
2014-11-30,POMKH,1.39,1.3475,1.293070806405062,1.080330276525424,0.6950328795048264
2015-02-28,POMRB,,,,,
2015-05-31,PREMON,0.4,0.9725,0.9358424838430373,1.2820268499436973,1.369505700060534
2015-08-31,MONSOON,1.045,1.0662500000000001,0.9795054903058222,1.0945998140227933,1.4855839902207397
2015-11-30,POMKH,1.39,1.0562500000000001,1.1437032941834933,1.0610754542950833,0.9395218330029458
2016-02-29,POMRB,,,,,
2016-05-31,PREMON,1.165,1.0000000000000002,1.152221976510096,1.0682175291272626,1.0683209798800168
2016-08-31,MONSOON,1.3883333333333332,1.2470833333333333,1.2466665192393909,1.0537365433398111,1.073742776651356
2016-11-30,POMKH,1.6366666666666667,1.395,1.4026665782103014,1.1336858379876036,0.7292046719917131
2017-02-28,POMRB,,,,,
2017-05-31,PREMON,0.9683333333333334,1.2895833333333335,1.228933280259514,1.2320924795567105,1.0894775327163027
2017-08-31,MONSOON,1.3675,1.3402083333333334,1.2843599681557085,1.1476232668946476,1.365760893111004
2017-11-30,POMKH,2.13,1.5256250000000002,1.622615980893425,1.1924436079131304,0.858996958511995
2018-02-28,POMRB,,,,,
2018-05-31,PREMON,1.34,1.4514583333333335,1.509569588536055,1.3779246873676116,0.8985896373344977
2018-08-31,MONSOON,1.69,1.631875,1.5817417531216331,1.3078116862419604,1.118969116122826
2018-11-30,POMKH,2.13,1.8224999999999998,1.80104505187298,1.3843398021321465,1.0385677986457589
