Date,Season,Lalsot,Dausa,Bandikui,Mahwa,Sikrai,Lalsot_Trend,Lalsot_SMA,Lalsot_EWMA,Lalsot_DES,Lalsot_TES,Lalsot_ARIMA,Dausa_Trend,Dausa_SMA,Dausa_EWMA,Dausa_DES,Dausa_TES,Dausa_ARIMA,Bandikui_Trend,Bandikui_SMA,Bandikui_EWMA,Bandikui_DES,Bandikui_TES,Bandikui_ARIMA,Mahwa_Trend,Mahwa_SMA,Mahwa_EWMA,Mahwa_DES,Mahwa_TES,Mahwa_ARIMA,Sikrai_Trend,Sikrai_SMA,Sikrai_EWMA,Sikrai_DES,Sikrai_TES,Sikrai_ARIMA
2001-11-30,POMKH,22.46333333333333,12.166666666666664,20.5875,12.906,17.368,23.586020833333333,24.251833333333334,23.730425381817934,23.94845659611434,26.467867308191195,24.776564796287047,13.181666666666665,13.117291666666668,12.622282566571139,12.837641286708898,13.537572495384875,13.747216731166878,21.284375,20.750208333333337,20.392568546967194,19.948463338550532,18.391448710572977,19.948216331323362,12.643208333333334,12.242666666666665,12.129133509282758,13.544391703080196,10.98788291474457,11.498962003599507,17.632749999999998,17.46949999999999,17.30784511544499,17.72534414956935,17.848739935275113,17.534734951759752
2002-02-28,POMRB,22.91,12.743333333333332,21.74,12.938000000000002,17.55,23.66420833333333,23.793833333333332,23.40225522909076,23.60727789908631,23.873457808912015,23.416592446634482,13.508020833333333,13.080625000000001,12.670702873276017,12.916562311152623,14.330466312846927,13.271614996141205,19.789791666666666,22.159375,20.931541128180314,21.20696662913313,19.87747269080301,20.186043146886448,12.702,12.674666666666665,12.452680105569655,13.608977805453414,12.578346212667558,12.007183846354003,17.82275,17.531499999999987,17.404707069266994,17.80999433565976,18.57313018071268,17.427449834813622
2002-05-31,PREMON,23.4275,15.203333333333333,16.25,12.775,18.544,24.927041666666664,23.37820833333333,23.412353137454456,23.719067191684996,24.69794253995331,23.11876158491603,14.209166666666667,13.282708333333336,13.683755057298942,13.775140631951441,14.27454826716977,13.723513559470687,18.96927083333333,20.409375,19.058924676908187,21.284462029842228,20.370212029341182,20.76414740308828,12.904208333333335,12.611749999999999,12.581608063341793,13.322125579485766,14.128029453198586,12.343394454564532,18.28075,17.733999999999988,17.860424241560196,18.361831810057872,17.72829195257364,17.48432256726873
2002-08-31,MONSOON,27.0,14.82,18.103333333333328,12.550000000000002,18.184,26.334875,23.95020833333333,24.847411882472674,25.66949490804835,22.8229086215516,23.300272045288906,15.120416666666667,13.733333333333338,14.138253034379366,14.23476274023982,11.613035343497883,13.163206443785803,18.472916666666666,19.17020833333333,18.676688139478244,21.576727948082787,20.62874970042453,19.08479071998887,13.252166666666668,12.79225,12.568964838005076,12.855135275389735,11.935303827049866,12.499290291060955,18.804166666666667,17.91149999999999,17.98985454493612,18.45147488614253,18.5840338769432,18.098523231015925
2002-11-30,POMKH,30.278000000000002,15.973333333333334,18.98,13.801666666666668,20.322000000000006,27.2699375,25.903875,27.019647129483605,28.34199417603895,27.043432266693813,25.475379811296495,15.794166666666667,14.685000000000004,14.872285153960952,14.925266322966907,14.821983478281794,15.022322420783492,18.68583333333333,18.76833333333333,18.798012883686948,21.91003324054681,20.183007110690657,18.719668167666118,13.70275,13.016166666666665,13.062045569469714,13.561727853356144,12.02975836314824,12.517606627762927,19.099083333333333,18.64999999999999,18.922712726961674,19.59248611659209,18.543204087608274,18.241023863926266
2003-02-28,POMRB,26.358,16.226666666666667,19.376666666666665,14.825999999999999,18.783333333333328,27.747416666666666,26.765875,26.75498827769016,27.537301289728305,28.41815987765876,28.298889160499325,15.800479166666666,15.555833333333338,15.41403775904324,15.478651851034746,16.94445583509584,15.944941479161313,19.666805555555555,18.1775,19.029474396878836,22.201215907023375,21.66903109084624,18.816517021586915,13.915583333333334,13.488166666666665,13.767627341681827,14.822322509702618,13.569647906989582,12.981408856339154,19.420083333333334,18.958333333333325,18.866960969510338,19.37048124847916,20.415584881442193,19.407900816095143
2003-05-31,PREMON,27.46,17.11,20.316666666666666,14.491666666666665,19.67,27.489412698412693,27.774000000000004,27.036992966614097,27.738008598053096,28.641332311360465,27.157820644749037,15.29839880952381,16.032500000000002,16.092422655425942,16.14471351633476,17.346802541086895,16.520317232759943,20.60992361111111,19.194166666666664,19.54435130479397,22.55964895965366,22.161770429293412,19.024904335060754,13.801652777777779,13.91733333333333,14.057243071675762,15.16679460713922,15.429499925941913,13.647674807606572,19.625083333333333,19.239833333333326,19.1881765817062,19.714864196547847,19.261273549205644,19.24710963378737
2003-08-31,MONSOON,26.78733333333333,12.963833333333332,21.88444444444444,12.536,19.625999999999998,27.538670634920635,27.72083333333334,26.937129113301793,27.476711418217086,26.815156763848567,27.335474967007134,14.917193452380952,15.568458333333334,14.840986926588897,15.242124982893879,14.070863301217036,15.353351114663848,21.621527777777775,20.139444444444443,20.480388560654156,23.10822908590366,22.420308100426592,19.505466778141,13.510253472222223,13.913833333333328,13.448745843005456,13.58434711942958,13.380391050317726,13.952524497886785,19.911239583333334,19.600333333333325,19.36330594902372,19.86345948784197,19.910242464513523,19.38874578799431
2003-11-30,POMKH,28.426634920634925,13.812857142857142,22.74383333333333,12.904222222222225,20.52,28.114146081349205,27.257992063492072,27.532931436235046,28.22234898608872,28.73016183972438,27.013216914828515,14.727193452380952,15.028339285714287,14.429735013096195,14.90486757876709,15.005737991217998,14.939346739013471,22.629465277777772,21.080402777777774,21.385766469725827,23.71399769640106,21.974565510736294,20.390495928922043,13.342222222222222,13.689472222222216,13.230936394692165,12.855742307540835,12.970145957689143,13.440876133249688,20.421520833333332,19.649833333333323,19.82598356941423,20.395793772274583,19.928242211869502,19.582551069394356
2004-02-29,POMRB,28.60342857142857,15.3375,23.705666666666666,13.39225,20.874583333333334,28.73698462301587,27.819349206349216,27.961130290312457,28.672473290104154,28.16498262926907,27.844179763631963,14.647818452380951,14.80604761904762,14.792841007857717,15.173856706468095,15.892475662368835,15.514960243050345,23.27261111111111,22.162652777777772,22.31372654850216,24.394822738438133,23.460589490935085,21.265986369218478,13.40953472222222,13.331034722222215,13.2954618368153,12.917569319408303,13.874327688013878,13.247036848180544,20.94870138888889,20.172645833333323,20.245423474981873,20.842212624618256,21.197530760610178,20.12281233336483
