Date,Season,Faridabad,Ballabgarh,Faridabad_Trend,Faridabad_SMA,Faridabad_EWMA,Faridabad_DES,Faridabad_TES,Faridabad_ARIMA,Ballabgarh_Trend,Ballabgarh_SMA,Ballabgarh_EWMA,Ballabgarh_DES,Ballabgarh_TES,Ballabgarh_ARIMA
2002-11-30,POMKH,18.39,13.303999999999998,18.8228125,17.799458333333327,17.783882152072923,15.30387581804933,16.821463194871686,17.3728588588456,14.351166666666668,11.032499999999999,12.129123291027689,11.9274105342631,11.73840091510671,11.51689810798736
2003-02-28,POMRB,19.02,16.936666666666667,18.79025,18.861124999999994,18.278329291243754,15.994876033785278,17.99941031956096,15.28707591622057,14.502416666666667,14.371666666666666,14.05214064128328,13.924969483347535,11.94679536225407,12.113185392442645
2003-05-31,PREMON,19.006000000000004,14.565999999999999,18.74175,18.784499999999994,18.569397574746255,16.5997709578353,20.989852129539802,18.017915523080124,14.490916666666667,14.330666666666666,14.257684384769968,14.024979301751427,13.855568331940791,14.19481136435666
2003-08-31,MONSOON,18.768,13.89,17.780833333333334,18.795999999999992,18.648838544847756,17.098949488802383,21.05374044227844,18.42577460739812,13.720895833333334,14.674166666666666,14.11061063086198,13.791090583901072,14.14419854495502,13.523902730952303
2003-11-30,POMKH,17.956,11.838,16.690291666666667,18.687499999999993,18.371703126908653,17.428149947300422,19.756480353312455,17.456506950544604,12.8015,14.307666666666666,13.201566378517189,12.780788333349482,14.459950666019827,13.383440979748798
2004-02-29,POMRB,11.766666666666666,12.2425,16.004166666666666,16.87416666666666,15.729688542811857,16.885362827433475,20.017036105272602,18.89761692085626,12.28325,13.134124999999997,12.817939827110314,12.389633662771946,13.25315495685784,12.437986440147112
2004-05-31,PREMON,17.534999999999997,11.905,15.670916666666667,16.50641666666666,16.451813125687114,17.184013141971192,19.76346627933572,16.64631846882796,12.561,12.468874999999997,12.452763896266188,12.026387944345645,13.134039017099617,12.526641388648873
2004-08-31,MONSOON,14.75,12.405,16.81608333333333,15.50191666666666,15.771087875412269,17.071950763920245,19.28261382576281,16.58862644897002,13.121875,12.097624999999997,12.433658337759713,12.037739079023245,12.767221537465224,12.299343909741715
2004-11-30,POMKH,19.308,15.544999999999998,18.079124999999998,15.839916666666657,17.18585272524736,17.586154312736852,17.44131031098359,16.359124070018375,13.85625,13.024374999999997,13.678195002655826,13.390070077509222,13.046467089116211,12.476785697179963
2005-02-28,POMRB,19.576,13.0225,18.98225,17.792249999999992,18.141911635148418,18.07370324323437,14.897973597944748,13.377040637746296,14.571874999999999,13.219374999999998,13.415917001593495,13.064448114830121,13.570148242228528,14.060958071005734
2005-05-31,PREMON,19.83,17.0,19.566875000000003,18.365999999999993,18.81714698108905,18.53596475944374,19.53281575823128,17.632802830933297,14.8825,14.493125,14.849550200956097,14.587483420743348,13.607506275037597,13.06701286130236
2005-08-31,MONSOON,19.68,13.035,19.482625000000002,19.598499999999994,19.162288188653427,18.921722409647977,18.416884157366454,16.83275035584895,15.6740625,14.650624999999998,14.123730120573658,13.738909295091293,14.802544303436596,15.082784793104695
2005-11-30,POMKH,19.055,17.4,19.4215625,19.535249999999998,19.119372913192056,19.176459756217678,20.724009001881143,19.42266284610956,16.35875,15.114374999999999,15.434238072344193,15.13582922972612,14.60685843620559,13.439270547405323
2006-02-28,POMRB,19.155,17.5,19.567875,19.43,19.133623747915234,19.4135882974399,19.068006388315073,21.118712794046516,16.700625,16.23375,16.260542843406515,15.95928038576038,15.230103126556303,15.581981518666035
2006-05-31,PREMON,19.7625,18.0,18.902,19.413125,19.38517424874914,19.703463627227787,20.902271495382074,19.42068068357896,16.54083333333333,16.48375,16.95632570604391,16.633746209161608,16.21965572416722,15.988090603945553
2006-08-31,MONSOON,20.918000000000006,14.77,17.513562500000003,19.722625,19.998304549249486,20.113309241619852,19.98063293425073,19.969877673020104,15.807083333333331,16.9175,16.081795423626346,15.626063789871653,16.86986487491282,16.53798308122972
2006-11-30,POMKH,12.49,14.386666666666665,16.372625000000003,18.081375,16.99498272954969,19.340455106541448,20.80293559850815,18.881942693169925,15.162083333333333,16.164166666666667,15.403743920842473,14.898661499112102,16.561870658058105,15.179631046422038
2007-02-28,POMRB,14.6125,14.643333333333333,15.670250000000003,16.94575,16.041989637729813,18.94707102856212,18.719557675146937,16.9546709061458,14.947916666666666,15.45,15.099579685838817,14.6022185446866,15.50605381097654,14.904486749114758
2007-05-31,PREMON,15.1775,15.696666666666667,15.976,15.799499999999998,15.696193782637888,18.677572657761694,18.995819081417633,17.441697608282105,14.882395833333334,14.874166666666667,15.338414478169955,14.888089523103352,15.436932601123953,14.93395144534127
2007-08-31,MONSOON,19.884,15.36,16.3919375,15.540999999999997,17.37131626958273,19.073488334382592,18.25369568357029,17.34467421428814,13.397708333333332,15.021666666666668,15.347048686901973,14.903516377857073,15.573248728696095,15.413295286189229
2007-11-30,POMKH,15.97,13.2725,16.644125000000003,16.410999999999998,16.81078976174964,18.895095446377958,14.439498611963376,14.461748321887242,10.661458333333336,14.743125000000004,14.517229212141185,14.017311866698575,15.902839915639381,15.297304731361645
2008-02-29,POMRB,14.46,3.88,16.899375,16.372874999999997,15.870473857049785,18.535498340032184,15.783821225053506,16.083806576964975,9.128125,12.052291666666672,10.26233752728471,9.495933220623234,14.693209044106412,14.247058090686748
2008-05-31,PREMON,17.3475,4.57,16.699625,16.915374999999997,16.46128431422987,18.607818788445407,16.586915777487622,15.630518416761392,9.116979166666667,9.270625000000006,7.985402516370827,7.265205196938932,11.26130188367334,9.27604840492107
2008-08-31,MONSOON,19.756000000000004,14.22,16.502541666666666,16.883374999999997,17.779170588537923,18.99503299375242,19.213463315023194,17.988324787004718,10.573958333333334,8.985625000000006,10.479241509822497,10.155251809880166,9.048502600894134,8.572945251185988
2008-11-30,POMKH,14.5,14.323333333333332,16.369208333333333,16.515874999999998,16.467502353122754,18.62863094499973,15.217878858059544,18.039974574760908,13.177083333333332,9.248333333333338,12.01687823922683,11.814476515199784,11.197878666244781,12.702494678537592
2009-02-28,POMRB,14.353333333333332,14.485,15.746791666666665,16.48920833333333,15.621834745206986,18.28717600953519,14.836733179054086,16.068826932498844,14.562083333333334,11.899583333333338,13.004126943536098,12.810934978474378,11.933429182333308,13.051585002537134
2009-05-31,PREMON,16.3875,14.79,16.339624999999998,16.249208333333332,15.92810084712419,18.26073712749179,16.762414795169953,17.17985334956274,14.728541666666667,14.454583333333337,13.71847616612166,13.49848717235328,13.018174008541937,13.382348948089135
2009-08-31,MONSOON,15.736666666666665,15.08,17.534875,15.244374999999998,15.85152717494118,18.15004710175171,19.08061750098188,17.20487713972343,14.483541666666666,14.669583333333339,14.263085699672995,14.006995663434768,13.665504389383218,13.753027889107726
2009-11-30,POMKH,23.262,14.795,18.582375,17.434874999999998,18.81571630496471,19.06427303078514,13.751675300366564,14.615281925770027,14.187708333333335,14.787500000000007,14.475851419803796,14.168977560591005,14.545194775859967,14.103239536511653
2010-02-28,POMRB,15.153333333333334,12.053333333333333,19.547375000000002,17.634875,17.35076311631216,18.777241245672542,15.228912022796784,16.72722786747393,14.201458333333335,14.17958333333334,13.506844185215611,13.084252397454428,14.308914262652708,14.149023170605115
2010-05-31,PREMON,23.9675,14.855,19.5668125,19.529875,19.997457869787297,19.709841653970354,17.412875281508263,16.729450995801454,15.551458333333333,14.195833333333342,14.046106511129366,13.679077102606826,13.769073296003228,12.879782286276267
2010-08-31,MONSOON,15.876666666666667,15.125,20.542083333333334,19.564875,18.349141388539046,19.4413415918961,19.7340900887994,17.65310112447235,17.230416666666667,14.20708333333334,14.47766390667762,14.1271972009427,14.184602748479863,14.144300686919717
2010-11-30,POMKH,23.2775,25.55,21.275479166666667,19.56875,20.320484833123427,20.200259287699748,20.715399147348574,21.922986190373173,17.585,16.89583333333334,18.90659834400657,18.846368565946065,14.904070720698803,14.420584365732509
2011-02-28,POMRB,22.94,14.73,21.400333333333336,21.515416666666667,21.368290899874054,20.821314222850585,16.68409091776323,18.1309871095182,17.659375,17.56500000000001,17.23595900640394,16.845309329585355,18.18117949281926,19.864334743245635
2011-05-31,PREMON,22.048000000000002,15.015,21.0873125,21.035541666666667,21.64017453992443,21.246783779467346,23.295468267412307,22.972301183101457,17.68625,17.605000000000008,16.347575403842363,15.849304571022364,17.237283788051467,15.468054367984559
2011-08-31,MONSOON,18.795,15.56,19.4654375,21.765125,20.50210472395466,21.183182665076917,19.54532166740365,19.213068677188506,19.03875,17.713750000000008,16.032545242305417,15.526365737473398,16.53479740744455,15.468909997335654
2011-11-30,POMKH,17.855,25.33,17.527875,20.4095,19.443262834372796,21.000995234227613,24.228086213510437,20.447438601837476,22.417291666666667,17.65875000000001,19.75152714538325,19.53390545764239,16.607021814809833,15.657617649961349
2012-02-29,POMRB,15.3875,25.77,16.385,18.521375000000003,17.820957700623676,20.509375604506605,20.482929897756282,21.703592822084865,25.74583333333333,20.418750000000006,22.15891628722995,21.96188953035629,19.234265720523197,20.61128179004337
2012-05-31,PREMON,14.1,31.00333333333333,16.8465,16.534375,16.332574620374206,19.904634471106,21.412034108722978,18.297020198455634,25.867083333333333,24.41583333333334,25.696683105671305,25.56193694168926,21.665465931781657,21.7571933923663
2012-08-31,MONSOON,17.6,26.2,17.92940625,16.235625000000002,16.839544772224524,19.844012249573467,16.452895732149866,17.698438605937906,23.96833333333333,27.07583333333334,25.898009863402784,25.514618192229324,24.869753951981984,25.204893415997102
2012-11-30,POMKH,22.742,15.66,20.4176875,17.457375000000003,19.200526863334716,20.481877205270873,18.332224065946264,16.632293299550934,22.776666666666667,24.65833333333334,21.80280591804167,20.970114986235032,25.720972043499813,23.8930118603068
2013-02-28,POMRB,19.16375,20.25,22.508625,18.401437500000004,19.18581611800083,20.561068896541723,16.724040376685018,15.780930900038078,21.61,23.27833333333334,21.181683550825,20.39823383565489,22.000145349108614,18.97910775495654
2013-05-31,PREMON,30.23,26.99,23.2261875,22.433937500000006,23.6034896708005,22.117940896364768,17.809999529685562,16.847677499670418,22.249999999999996,22.275000000000006,23.505010130495,22.967831361205356,21.631117268349456,20.666827775448407
2013-08-31,MONSOON,18.1975,20.88,23.39703125,22.583312500000005,21.4410938024803,21.86785186715876,20.482406710062406,20.818086677323336,24.245,20.945000000000004,22.455006078296996,21.784593281157594,23.49070008577052,24.015913328579874
2013-11-30,POMKH,27.885,26.1,22.703333333333337,23.869062500000005,24.01865628148818,22.950270471076447,23.78875289161057,23.230280792431994,24.3425,23.555000000000007,23.913003646978197,23.36100937588611,23.0100681678964,21.487131858164528
2014-02-28,POMRB,15.3875,25.77,22.40697916666667,22.925000000000004,20.56619376889291,22.221060342810592,21.613497103259064,23.31229761239844,24.415,24.935000000000006,24.655802188186918,24.100438032569855,23.733613676430345,24.02538513061673
2014-05-31,PREMON,28.45666666666667,22.25,22.258854166666666,22.481666666666673,23.722382928002414,23.337261055720248,26.258272171247498,26.827341820594164,24.061249999999998,23.750000000000007,23.693481312912148,23.004745211251553,24.64425095333276,24.26276743255769
2014-08-31,MONSOON,17.6,26.2,22.030675245098042,22.332291666666674,21.27342975680145,22.858247708019604,20.296006143039612,20.78826469695367,21.44421568627451,25.08000000000001,24.69608878774729,24.08568428768302,23.88364795226982,22.76564552703578
2014-11-30,POMKH,27.2975,17.95,21.101350490196076,22.185416666666672,23.68305785408087,23.74098882240656,26.49459160573224,23.383455568926173,18.82733762254902,23.04250000000001,21.99765327264837,21.153268857731064,25.068122383862402,24.675368814969946
2015-02-28,POMRB,14.14956862745098,12.98372549019608,20.327135646446077,21.875933823529415,19.869662163428913,22.74901954744919,18.762243379413043,18.61828876692009,16.223144607843135,19.845931372549032,18.392082159667453,17.3858271719318,22.341837155852353,20.774169737633013
2015-05-31,PREMON,22.26,14.10125,19.70219163602941,20.32676715686275,20.82579729805735,22.9680210384968,27.54486868382828,21.59880291499512,15.932545343137255,17.80874387254903,16.675749295800472,15.759653869898637,19.401682836327062,17.694637566871453
2015-08-31,MONSOON,17.602947916666665,13.515205882352939,19.91755805759804,20.327504136029418,19.536657545501075,22.53440930256468,17.788684979568828,19.609932134388643,17.957079656862742,14.637545343137266,15.411531930421459,14.59975115353602,17.658930311581152,17.343000367734707
2015-11-30,POMKH,22.295,28.31,20.03886197916667,19.07687913602942,20.639994527300644,22.784272993917313,25.809642670814284,22.289814999521496,19.143957720588233,17.227545343137265,20.570919158252877,20.29352494109394,16.660209991349333,16.411330532492748
2016-02-29,POMRB,20.875,18.82,21.86703515625,20.758236979166675,20.733996716380386,22.812829969212103,14.49129323330247,18.713253742465852,20.23065073529412,18.686613970588244,19.870551494951727,19.407180049911204,20.276575347148857,23.37573317650166
2016-05-31,PREMON,16.505000000000006,17.76,24.867708333333333,19.319486979166676,19.042398029828234,22.25056689366627,24.626923272778225,21.118113748247993,19.615,19.601301470588247,19.026330896971036,18.457520985938086,20.006759789624937,19.509585578687464
2016-08-31,MONSOON,37.98333333333333,18.55,25.320833333333333,24.41458333333334,26.618772151230274,24.643579872429253,16.702573445111696,19.098444251113925,18.369999999999997,20.86000000000001,18.835798538182623,18.265501040509353,19.296001699175044,18.835332781382608
2016-11-30,POMKH,25.92,18.35,25.998333333333335,25.32083333333334,26.339263290738167,25.12357337507484,26.935715550936166,23.272846249723663,18.416249999999998,18.37000000000001,18.641479122909573,18.07247043404972,19.445548037838748,19.027324755650262
2017-02-28,POMRB,20.875,18.82,26.67583333333333,25.32083333333334,24.153557974442897,24.867001019581096,21.162513066688653,24.755588680585145,18.462500000000002,18.37000000000001,18.712887473745745,18.166076361367043,18.75460291015238,18.832267262436428
2017-05-31,PREMON,21.925,18.13,25.658333333333335,26.675833333333337,23.26213478466574,24.78282411626933,23.669273867181037,21.080376209967184,18.463749999999997,18.46250000000001,18.479732484247446,17.922607990565293,18.999140742828036,18.9772608510088
2017-08-31,MONSOON,37.98333333333333,18.55,24.640833333333333,26.675833333333337,29.150614204132776,26.867188914114237,31.13407681868557,31.795186889563425,18.465,18.46250000000001,18.507839490548466,17.96659685355589,18.75395154830496,18.595338283400906
2017-11-30,POMKH,17.78,18.36,27.73645833333333,24.640833333333337,24.602368522479665,25.982117187472994,28.62185270256789,26.931124726059934,18.441875,18.46500000000001,18.44870369432908,17.909732263506662,19.086684734496878,18.71819050490902
2018-02-28,POMRB,20.875,18.82,30.83208333333333,24.640833333333337,23.1114211134878,25.620899860066498,21.4919005204456,22.461462190624506,18.418750000000003,18.46500000000001,18.597222216597448,18.07513985211554,18.520397640019382,18.588622586252914
2018-05-31,PREMON,46.69,17.945,31.340833333333332,30.832083333333333,32.54285266809268,28.773313059843147,23.098203933325063,24.051262804244036,16.852500000000003,18.41875000000001,18.33633332995847,17.79249170599275,18.844085575395486,18.77808438990211
2018-08-31,MONSOON,37.98333333333333,18.55,,30.832083333333337,34.719044934188936,30.37129079463066,39.1073015544897,30.694614177317597,,18.41875000000001,18.421799997975082,17.893889137374014,18.588776469515523,18.340916296247332
2018-11-30,POMKH,21.85,5.83,,31.849583333333335,29.571426960513364,,27.230612578310616,25.38077796835776,,15.28625000000001,13.38507999878505,,18.97733087801518,18.571493783637926
