Date,Season,Newali,Thikri,Sendhawa,Barwani,Rajpur,Newali_Trend,Newali_SMA,Newali_EWMA,Newali_DES,Newali_TES,Newali_ARIMA,Thikri_Trend,Thikri_SMA,Thikri_EWMA,Thikri_TES,Thikri_ARIMA,Sendhawa_Trend,Sendhawa_SMA,Sendhawa_EWMA,Sendhawa_TES,Sendhawa_ARIMA,Barwani_Trend,Barwani_SMA,Barwani_EWMA,Barwani_DES,Barwani_TES,Barwani_ARIMA,Rajpur_Trend,Rajpur_SMA,Rajpur_EWMA,Rajpur_DES,Rajpur_TES,Rajpur_ARIMA
2002-02-28,POMRB,12.555,9.673333333333332,9.15,8.3,9.137777777777778,9.153125000000001,10.876249999999999,11.118736105813616,7.307290894124012,9.18014327628634,7.310607661775797,10.188749999999999,10.407986111111104,9.601397311877212,10.295538754732293,9.889379649063246,7.0687500000000005,8.500000000000002,8.294981892053418,9.873094274267242,10.190594099591683,8.838750000000001,7.6175,7.824973091056525,8.306204148916422,7.790387187416882,8.251834272845368,8.765277777777776,8.426666666666666,8.194309110047111,8.787033491910043,7.931140417319312,7.522566954707575
2002-05-31,PREMON,7.075,12.235,8.35,14.88,12.326666666666664,7.9825,9.89875,9.50124166348817,7.31620210244996,10.450828112508887,8.045049074625028,10.15857638888889,10.242361111111103,10.654838387126327,12.490267938032597,12.280004921622545,6.7250000000000005,7.375000000000002,8.316989135232049,12.272233494373346,12.000619191887038,8.752500000000001,9.0825,10.646983854633916,11.31507440606484,13.184819342636189,7.863911931107979,8.912552083333333,8.561388888888889,9.847252132694933,9.864475836463814,11.387641606863374,10.927329872435836
2002-08-31,MONSOON,3.0,9.932222222222222,3.4,4.4,7.375555555555555,7.444375,8.407499999999999,6.900744998092902,7.316534791520318,4.24658726858573,5.360282394051845,9.775347222222221,10.135138888888882,10.365791921164686,9.165674156941655,8.93749673514317,6.3225,6.762500000000001,6.35019348113923,4.149009277239636,3.403966895816275,9.32625,8.594999999999999,8.14819031278035,8.913393380981773,5.053130015531039,7.323302147195406,8.670434027777777,8.969166666666668,8.858573501839182,9.526431833727314,5.917685214594632,5.604922504829024
2002-11-30,POMKH,7.6,8.8875,5.85,8.06,6.58375,11.85875,7.557499999999999,7.180446998855741,7.326542717486075,8.044964427875055,6.882204033271791,7.766805555555555,10.182013888888882,9.77447515269881,8.528720343375522,8.595306923682246,5.57,6.687500000000002,6.1501160886835375,6.224075654330386,5.646384547546081,10.615,8.91,8.11291418766821,8.718443090913238,6.796716567881757,8.398752876011482,8.621388888888887,8.855937500000003,7.948644101103509,8.952157455409905,7.409924729170738,6.444505517420312
2003-02-28,POMRB,11.65,6.42,6.23,11.63,7.65375,16.126875000000002,7.331249999999999,8.968268199313446,7.345061121260217,9.205209073235416,7.966180015011998,6.824652777777778,9.36868055555555,8.432685091619286,10.53660945884873,9.949355615745286,5.108750000000001,5.957500000000001,6.182069653210123,8.485325907130171,6.977579996263972,11.756875,9.7425,9.519748512600927,10.111982955904569,8.006303255285207,8.191014922836176,8.496371527777777,8.48493055555556,7.830686460662106,8.671470133733482,8.36649972291134,8.003224025850933
2003-05-31,PREMON,43.295,-0.58,5.25,21.86,13.418333333333335,15.918750000000001,16.38625,22.698960919588067,7.430125585060786,10.475893901462646,8.026068300243212,7.9534375,6.16493055555555,4.827611054971571,12.538466121530277,12.235101728784093,5.105,5.182500000000001,5.809241791926073,9.63456523868814,8.526973618997902,11.788124999999999,11.487499999999999,14.455849107560557,15.83767823082174,13.400735415784709,11.363979160579191,8.168177083333335,8.757847222222228,10.065745209730597,9.935024594013608,11.53799031321961,10.947799368649187
2003-08-31,MONSOON,0.925,15.21,2.81,6.5550000000000015,5.28375,15.705,15.8675,13.989376551752839,7.426000701497515,4.27165336868953,5.207755888011917,8.857916666666666,7.484374999999995,8.980566632982944,8.49233875100108,8.677806173104482,4.3525,5.035000000000001,4.609545075155644,2.3470675192662345,1.761338498029184,11.125000000000002,12.02625,11.295509464536334,13.138762838252376,5.269046100148636,7.113350652171626,7.801525297619048,8.234895833333338,8.15294712583836,8.961304245869053,6.207810622724056,6.3346550625637805
2003-11-30,POMKH,8.01,12.64,6.41,6.154999999999999,6.05,10.896875000000001,15.97,11.597625931051704,7.436781574793119,8.070030509925619,7.088584481957371,11.189166666666667,8.422499999999996,10.444339979789767,8.140420381690737,8.247151752208556,3.7550000000000003,5.175000000000001,5.329727045093387,4.779061162385753,3.4420422919251097,9.90625,11.549999999999999,9.239305678721799,10.874518276537499,7.012632655787238,7.897350072063935,7.202581845238095,8.101458333333337,7.311768275503016,8.234517574467441,7.3463562017828625,6.285528886156856
2004-02-29,POMRB,9.53,9.903333333333332,-0.35,8.23,5.2542857142857144,6.4781249999999995,15.44,10.770575558631021,7.450750764601313,9.230275158595068,8.457285267708384,12.544583333333334,9.29333333333333,10.227937321207193,10.349128896088795,9.421695101881307,3.87,3.5300000000000002,3.0578362270560318,6.897686517404368,5.2508139488859475,9.021875,10.699999999999998,8.835583407233079,10.074096261555717,8.222219339594492,9.58505170769357,6.977633928571429,7.501592261904766,6.488775251016095,7.376572106653324,8.233113749933764,7.338311679864543
2004-05-31,PREMON,6.95,14.586666666666664,7.05,15.51,11.02625,6.5825000000000005,6.353749999999998,9.242345335178612,7.459281843051654,10.50095996838222,11.368750169305603,11.597916666666665,13.084999999999996,11.971429059390982,12.536784661771092,10.998703907828578,3.5024999999999995,3.9800000000000004,4.654701736233619,6.40525475808839,5.3032078931041795,8.990625,9.112499999999997,11.505350044339849,12.662059278493741,13.616651493962904,15.62125635652615,7.134196428571428,6.903571428571432,8.303765150609657,8.108705408012632,11.068113413829002,11.864522606545144
2004-08-31,MONSOON,1.92,10.886666666666667,1.93,5.83,5.87625,6.4712499999999995,6.602499999999998,6.313407201107167,7.45722599307479,4.296719122953541,4.733222568872957,11.678749999999999,12.004166666666661,11.537524102301255,9.326491158027533,9.630414978579562,4.1475,3.7600000000000002,3.5648210417401716,1.563594055137413,1.3133393683642876,9.338750000000001,8.931249999999997,9.235210026603909,10.301396967316869,5.48496216719376,6.501664962417557,7.551629464285715,7.051696428571431,7.332759090365794,7.483425743085824,5.452504477539488,5.19468433526642
2004-11-30,POMKH,7.85,9.39,4.35,6.63,6.71,7.48,6.562499999999998,6.9280443206643,7.467644815497536,8.095096272527677,7.1938999861090975,11.330000000000002,11.191666666666661,10.678514461380754,8.724133840671165,9.104359597544564,4.99125,3.245,3.878892625044103,4.318216427885982,1.690550938543776,10.70875,9.049999999999997,8.193126015962346,8.92665532414814,7.228548721236957,7.254389639143739,7.90890625,7.216696428571431,7.0836554542194765,7.143497948722813,6.7911863607450895,6.226581809048279
2005-02-28,POMRB,8.8,13.8,6.87,10.54,7.9337500000000025,8.68375,6.379999999999999,7.67682659239858,7.480053328501794,9.255340919606205,8.64502734005043,11.952083333333333,12.165833333333328,11.927108676828453,10.741183198131395,9.761059858711034,5.2625,5.050000000000001,5.075335575026462,3.5088255869628826,3.2833445004017303,12.118125000000001,9.627499999999998,9.131875609577406,9.604618921764343,8.43813540548351,9.062888196057425,8.238147321428572,7.886562500000002,7.423693272531686,7.176268759402271,7.858384992181485,6.75714955549316
2005-05-31,PREMON,15.75,7.9,6.58,24.16,11.205,8.35,8.579999999999998,10.906095955439149,7.507070135233826,10.526025722902427,11.967032547159,12.686250000000001,10.494166666666661,10.316265206097071,13.13385965456932,11.622646029290788,5.88,4.9325,5.677201345015877,7.491957307320621,6.925959844150729,13.148125,11.789999999999997,15.143125365746446,16.326611436292126,13.832567563402622,15.051670121782873,9.032187500000001,7.931250000000002,8.936215963519011,8.096055738415332,11.146903071951398,10.577342864536849
2005-08-31,MONSOON,2.75,22.55,4.57,8.455,8.331428571428571,8.4125,8.787499999999998,7.643657573263489,7.506721039956298,4.32178495290754,4.380574679549708,11.3,13.409999999999993,15.209759123658245,9.540303626950195,9.947060027610192,5.8275,5.5925,5.234320807009526,2.251400817895085,2.3831501355349607,14.06125,12.446249999999997,12.467875219447867,14.207767276454737,5.700878250934181,7.7602081037806165,9.82401785714286,8.545044642857146,8.694301006682835,8.212066412203347,5.546137289075386,6.252880991490509
2005-11-30,POMKH,4.35,3.6,6.65,12.245,10.607142857142858,8.612499999999999,7.912499999999998,6.326194543958094,7.509737624226474,8.1201621094013,7.2715542403496665,13.68875,11.962499999999993,10.565855474194946,9.572320635178233,9.558086650167455,5.531250000000001,6.1675,5.8005924842057155,5.305897822269215,6.635778880428891,13.173750000000002,13.849999999999996,12.37872513166872,14.187559955900182,7.444464809062184,7.364361174999302,10.363861607142859,9.519330357142861,9.459437746866843,8.915443850284682,7.235486100271392,6.518414521552566
2006-02-28,POMRB,12.8,8.5,4.15,12.23,10.37125,8.35,8.912499999999998,8.915716726374857,7.530525232730269,9.280406726176572,8.683673422415268,14.860625,10.637499999999992,9.739513284516967,11.25370010152415,10.50209686126868,5.34625,5.4875,5.140355490523429,5.73975160809831,5.7040303098496326,11.623125,14.272499999999996,12.319235079001231,14.067048542824843,8.654051502463346,9.959065140442444,10.237232142857144,10.12870535714286,9.824162648120106,9.498789719439332,8.815398865581878,7.9567518577781104
2006-05-31,PREMON,13.35,32.31,6.93,15.37,13.08625,8.80375,8.312499999999998,10.689430035824913,7.552452711809204,10.551091563643348,12.116941495804944,13.27375,16.73999999999999,18.76770797071018,13.336993259339467,11.469318681092851,4.897500000000001,5.574999999999999,5.856213294314058,7.461352630781013,7.793697020840986,10.314375,12.074999999999996,13.53954104740074,15.280631773023797,14.048483662881893,17.478961434747543,9.345022321428571,10.59901785714286,11.128997588872064,10.755183178389652,12.323754956015915,11.639851159772387
2006-08-31,MONSOON,3.05,7.515,2.74,4.84,5.437142857142859,8.65,8.387499999999998,7.633658021494947,7.55269754985697,4.346850772801363,4.181695506124606,13.394375,12.981249999999992,14.266624782426108,11.083730129944641,11.723610754123388,5.004999999999999,5.1175,4.6097279765884345,3.2451518889396898,3.7220526685933817,8.9925,11.171249999999997,10.059724628440444,11.547563378429302,5.916794335143155,7.878358565172723,8.548191964285715,9.875446428571433,8.852255696180382,9.836288727394166,6.827585547088022,6.560693916521598
2006-11-30,POMKH,7.68,5.94,4.89,5.3900000000000015,6.36375,7.267500000000001,9.219999999999997,7.652194812896968,7.562680797719216,8.145227931658598,7.074086034322507,10.520624999999999,13.566249999999991,10.935974869455666,10.259799496907089,9.748933293054446,5.352499999999999,4.6775,4.7218367859530606,5.438452263978734,4.94168490465214,8.00875,9.457499999999998,8.191834777064265,9.119650286443955,7.660380886775517,9.510114775510214,8.068861607142857,8.814598214285716,7.85685341770823,9.150368000807672,7.896877855869451,8.155914066184502
2007-02-28,POMRB,8.24,7.125,6.77,8.51,8.239999999999998,6.478750000000001,8.079999999999998,7.887316887738181,7.573833777164055,9.305472576844762,8.953323772291311,7.72875,13.222499999999991,9.4115849216734,12.051552566689846,10.8372003407686,5.382499999999999,5.3325,5.541102071571837,4.626703354467131,4.365209177549376,7.434374999999999,8.527499999999996,8.319100866238559,8.728996015410125,8.86996756818734,10.357690254350173,7.779866071428572,8.281785714285714,8.010112050624937,8.972954333788964,8.74847708103383,8.239110771960314
2007-05-31,PREMON,6.85,10.695,7.09,11.22,11.382857142857144,6.72125,6.454999999999998,7.472390132642909,7.582053958163762,10.576157374895983,12.300152297425017,7.8425,7.818749999999991,9.92495095300404,14.039715701862432,13.545517737565927,5.5925,5.3725,6.160661242943102,7.419444181333575,6.832755465569304,7.494375,7.489999999999997,9.479460519743135,9.616871918586517,14.264399721932206,15.441960267492737,7.789218749999999,7.855937500000001,9.35921008751782,9.628309422072999,11.950300202270034,11.65267976079549
