Date,Season,Jawaja,Arain,Kekri,Srinagar,Peesangan,Masuda,Bhinay,Kishangarh,Jawaja_Trend,Jawaja_SMA,Jawaja_EWMA,Jawaja_DES,Jawaja_TES,Jawaja_ARIMA,Arain_Trend,Arain_SMA,Arain_EWMA,Arain_DES,Arain_TES,Arain_ARIMA,Kekri_Trend,Kekri_SMA,Kekri_EWMA,Kekri_DES,Kekri_TES,Kekri_ARIMA,Srinagar_Trend,Srinagar_SMA,Srinagar_EWMA,Srinagar_DES,Srinagar_TES,Srinagar_ARIMA,Peesangan_Trend,Peesangan_SMA,Peesangan_EWMA,Peesangan_DES,Peesangan_TES,Peesangan_ARIMA,Masuda_Trend,Masuda_SMA,Masuda_EWMA,Masuda_DES,Masuda_TES,Masuda_ARIMA,Bhinay_Trend,Bhinay_SMA,Bhinay_EWMA,Bhinay_DES,Bhinay_TES,Bhinay_ARIMA,Kishangarh_Trend,Kishangarh_SMA,Kishangarh_EWMA,Kishangarh_DES,Kishangarh_TES,Kishangarh_ARIMA
2001-02-28,POMRB,10.12,7.1999999999999975,7.86,14.7775,12.0075,15.6025,12.825,16.69961538461538,9.497125,9.497000000000002,9.263060092671292,9.01733297554239,9.183813660646358,8.892820252353642,7.389166666666665,8.561666666666664,7.657220073845324,7.468323910996966,7.837299625541848,7.983499476555499,7.340624999999999,7.09375,7.088828355230455,6.724942258743916,6.875689277381781,7.239859090820655,14.221354166666666,14.13791666666667,13.744564241500541,13.859598266079546,13.732330524932681,13.344237654922974,13.657958333333333,12.773374999999998,12.880620346982079,12.486242845452123,13.436371171084907,13.595277363209455,13.861041666666665,14.815208333333329,14.519727478543878,14.45872400822302,14.49050949524373,14.217370800600023,12.723749999999999,12.946249999999996,12.65353344780793,12.422298540400398,12.732821411803286,12.309998196357107,16.640606789044288,16.64060678904429,16.374488408313937,16.225959848835743,17.39312030541433,17.237235283839144
2001-05-31,PREMON,13.7075,8.346666666666666,7.3,16.625,15.203333333333333,16.0625,13.3,18.843076923076925,8.984874999999999,9.765875000000003,11.040836055602774,10.551790686761764,12.240623521005862,11.639547965756408,6.661666666666666,8.119166666666663,7.932998710973861,7.826577611904777,8.428827974873197,7.491157952769419,7.688124999999999,6.852499999999999,7.1732970131382725,6.853906454819437,8.26261197968237,7.885684150194215,14.262395833333334,14.152500000000003,14.896738544900325,15.177144553767741,15.676856818996049,14.106226015532883,12.818708333333332,13.92070833333333,13.80970554152258,13.24564530696688,15.458995052760338,14.673562853662677,12.961875000000001,14.333333333333332,15.136836487126327,15.104550452607675,17.981880482326247,16.67395591966666,12.79625,12.839999999999995,12.912120068684757,12.675032473982865,14.574725354664354,12.95995069070382,16.64060678904429,16.64060678904429,17.361923814219132,16.708983962880104,18.815910431246188,16.963086141536543
2001-08-31,MONSOON,4.85,4.3533333333333335,9.08,11.823333333333332,10.892,8.945,12.19,15.62791666666667,8.287625,9.228375000000003,8.564501633361665,8.537510747842457,9.547094803796314,8.224253057834531,6.370833333333333,6.659166666666662,6.501132559917649,6.081273743182416,7.883691737153851,7.897167809215296,7.398125,7.8287499999999985,7.935978207882963,7.469609170784625,6.346447795598266,6.168822256620974,14.362708333333332,14.290208333333338,13.667376460273527,13.277371743071539,14.54341365707035,15.445322424339913,11.973020833333333,13.39520833333333,12.642623324913547,12.45602150523911,12.20833840788336,13.16584716245145,12.065625,13.38875,12.660101892275797,12.376289107574088,13.56556887660747,12.451532770643752,12.860624999999999,12.607499999999995,12.623272041210853,12.396842240051924,11.650484444591424,12.844358291076547,16.64060678904429,16.64060678904429,16.668320955198148,16.460251526815483,15.62247919786041,16.96889237599821
2001-11-30,POMKH,6.287999999999999,6.756666666666668,5.95,13.7125,10.866,9.53,13.625,15.391818181818184,7.3524375,8.741375000000001,7.653900980016999,7.712555599789895,6.595758610420946,6.836304433962166,5.755833333333334,6.664166666666662,6.6033462026172565,6.353770767558545,5.403339594658421,6.45477464059178,7.21125,7.547499999999999,7.141586924729777,6.975532903314621,7.48757356777064,8.07761626342327,14.585208333333332,14.234583333333337,13.685425876164118,13.379952925215012,12.653587706692273,13.519705987765798,12.193416666666668,12.242208333333329,11.931973994948127,11.903371031696011,11.861011471502051,12.572030010467637,11.438125000000001,12.535,11.408061135365477,11.096639954938587,9.124264771300073,9.363841157089764,12.674375000000001,12.984999999999996,13.023963224726511,12.785834414707416,11.808303742537198,11.99624608747046,16.64060678904429,16.64060678904429,16.15771984584616,16.206308172343412,14.742259601890254,15.393213987542573
2002-02-28,POMRB,6.4899999999999975,4.8533333333333335,6.665,15.8025,9.854,11.8475,11.83,16.69961538461538,7.530749999999999,7.833875000000001,7.188340588010199,7.242952817385363,7.566645325399071,7.671845451046413,5.689583333333333,6.077499999999997,5.903341054903687,5.573649819181279,6.294031756487003,6.51318353786257,7.07,7.248749999999999,6.950952154837867,6.841476000415683,7.400085795439341,7.11268394419893,16.05166666666667,14.490833333333335,14.53225552569847,14.522459051845788,13.924170129201087,13.62220417577886,12.89275,11.703833333333328,11.100784396968876,11.213800880084685,11.739893373193368,11.848709401105516,11.814375,11.59625,11.583836681219285,11.383819831506274,11.222601455219344,11.477436599935643,12.75875,12.736249999999995,12.546377934835906,12.324052193520206,13.52935532154835,13.594423373167244,16.640606789044288,16.64060678904429,16.374478061353848,16.261771448418344,17.393259419792017,17.23723495960088
2002-05-31,PREMON,9.856,5.7733333333333325,7.0,17.38,19.12,14.7975,12.805,18.843076923076925,8.798749999999998,6.871000000000001,8.255404352806119,8.082496159652399,9.364551556924331,9.458086797008065,5.955416666666666,5.434166666666664,5.851337966275546,5.620999129852039,6.457504483893311,5.689170671012128,7.2,7.173749999999999,6.97057129290272,6.846737436515147,8.04654508513765,7.782571477785321,18.239687500000002,14.679583333333333,15.671353315419083,15.882006283295134,16.34991182329903,14.781349984952834,13.5939375,12.682999999999996,14.308470638181326,13.561103690434404,13.568485531804756,12.906998354737473,12.783437500000002,11.28,12.869302008731571,12.826526395881258,14.387861529406777,13.309242046207864,12.84625,12.612499999999994,12.649826760901544,12.423428182636485,14.155394896679525,12.535795794582082,16.64060678904429,16.64060678904429,17.36191760604308,16.745523639375104,18.81590646918509,16.963085983448018
2002-08-31,MONSOON,10.128,6.396666666666667,8.25,22.8,12.57,13.22,13.36,15.62791666666667,10.201500000000001,8.190500000000002,9.004442611683672,8.723000856551607,6.0609520041085,4.794867878210659,6.300416666666667,5.9449999999999985,6.069469446431995,5.945945462935644,5.59161384089703,6.011579474404642,7.666875,6.966249999999999,7.482342775741632,7.219516233505899,6.094234854279402,6.503531631938246,19.527187499999997,17.42375,18.52281198925145,19.35534835451964,15.26379831612801,16.162912175270677,14.628625000000001,13.102499999999996,13.613082382908797,13.184868199456927,12.783302985649346,13.454071586510487,13.686562499999999,12.348749999999999,13.009581205238943,12.952413440154363,11.530841709974684,10.044621571578167,12.975,12.904999999999994,12.933896056540927,12.699012726873573,11.17979916750401,12.27518279348351,16.73565486596737,16.64060678904429,16.668317230292516,16.496981763141164,15.622367446350443,16.968892298922768
2002-11-30,POMKH,11.154000000000002,6.84,7.82,20.24,14.7975,13.0075,13.155,15.391818181818184,11.594249999999999,9.407000000000004,9.864265567010204,9.490322451242704,8.591053413412304,8.936704662221395,7.092083333333334,5.9658333333333315,6.377681667859197,6.32517568821908,5.421194386262614,5.727709199291651,8.175,7.433749999999999,7.617405665444979,7.352984765670537,6.9865348441748765,7.465455018357777,19.990625,19.055624999999996,19.20968719355087,19.635998789799647,19.297778723378087,19.69149414643639,14.866458333333332,14.085374999999996,14.086849429745278,13.6039559451617,12.90427685083415,13.388734655294527,14.531145833333333,13.218124999999999,13.008748723143366,12.93088814107658,11.313936783954865,11.583947493521492,13.306874999999998,12.787499999999994,13.022337633924558,12.786038614138363,12.45110605070772,13.155360455659142,16.18531832750583,16.64060678904429,16.157717610902782,16.24279748617538,14.742067675794054,15.393213949961563
2003-02-28,POMRB,12.845999999999998,7.53,8.53,19.575,14.2,15.595,13.33,17.46,12.054472222222223,10.996000000000004,11.056959340206122,10.56715767123578,11.357391408837794,10.892808698673141,7.484791666666667,6.634999999999998,6.838609000715518,6.8510707699451405,6.346773897177404,6.496336102777129,8.313958333333334,7.899999999999999,7.982443399266987,7.6558823106343326,7.920142207785551,8.038364090204835,19.097638888888888,19.998749999999998,19.35581231613052,19.418724318512872,20.500962941937427,19.98310515371462,14.542791666666666,15.171874999999996,14.132109657847167,13.711031219376503,14.009377385853549,13.858952689849898,14.788833333333335,14.155000000000001,14.04324923388602,14.042608257122957,14.274481825960523,14.395819171788062,13.366388888888888,13.162499999999994,13.145402580354734,12.906606782047717,13.416929572084475,12.56871271997383,14.95519412878788,16.830702942890447,16.67863056654167,16.452342934893856,17.39300889032173,17.23723494127796
2003-05-31,PREMON,14.642000000000001,9.43,9.2,17.314999999999998,16.676666666666666,17.806666666666672,13.96,13.68,11.491027777777777,12.192500000000004,12.490975604123673,11.881394360783238,14.759707746580805,14.12582253623568,7.4238888888888885,7.549166666666665,7.875165400429311,8.035586630317168,7.9082890959818775,6.9488890355694535,8.0275,8.45,8.469466039560192,8.065339246942228,9.145805599013775,8.711221399882469,17.494965277777776,19.982499999999998,18.53948738967831,18.133640988493347,21.307005842612508,19.766137633355502,14.411249999999999,14.56104166666666,15.149932461374966,14.539447245944977,16.719567797573024,16.5453125984411,14.313333333333336,14.90729166666667,15.54861620699828,15.62816365411176,17.905463305021765,16.80798014593027,13.209652777777777,13.451249999999996,13.471241548212841,13.224126165378513,15.137277774987426,13.433063230209521,13.710227272727272,15.539933712121218,15.479178339925003,15.861071173199308,19.010154221670266,17.275782001024602
