Date,Season,Pondicherry,Pondicherry_Trend,Pondicherry_SMA,Pondicherry_EWMA,Pondicherry_DES,Pondicherry_TES,Pondicherry_ARIMA
2001-05-31,PREMON,2.55,2.37625,2.4200000000000004,2.543419458353614,2.494999022647443,2.8066831371002574,2.4693639662086797
2001-08-31,MONSOON,2.4,2.06625,2.4700000000000006,2.486051675012168,2.4516080448593476,3.356784201084031,2.8318119759414815
2001-11-30,POMKH,1.05,1.87625,2.2825000000000006,1.911631005007301,1.957078429161413,1.2092459221370353,2.231857338129046
2002-02-28,POMRB,1.4,1.8900000000000001,1.8500000000000008,1.7069786030043805,1.7563585818979894,2.5843215804133672,2.1534126314126736
2002-05-31,PREMON,2.76,1.9449999999999998,1.902500000000001,2.1281871618026282,2.095585949145238,2.0379903565298854,1.450555193221196
2002-08-31,MONSOON,2.3,2.1087499999999997,1.8775000000000008,2.196912297081577,2.157309993870676,2.9473275321499828,1.6144133960702098
2002-11-30,POMKH,1.59,2.2024999999999997,2.0125000000000006,1.9541473782489462,1.9522071813166184,0.9133775136612572,2.263027221092937
2003-02-28,POMRB,2.17,2.15125,2.2050000000000005,2.0404884269493677,2.019160270981026,2.5952645869818225,2.179247557149865
2003-05-31,PREMON,2.74,2.0925000000000002,2.2000000000000006,2.3202930561696204,2.2595895669819543,2.327550604631906,2.1509226426037076
2003-08-31,MONSOON,1.91,2.0625,2.102500000000001,2.1561758337017722,2.12925710687603,3.123261500326916,2.212025020230631
2003-11-30,POMKH,1.51,2.0125,2.082500000000001,1.8977055002210634,1.9063298958963162,0.8815814135198385,2.091419156294442
2004-02-29,POMRB,2.01,1.99375,2.042500000000001,1.942623300132638,1.9340577526424787,2.545774904242296,1.8764687734494578
2004-05-31,PREMON,2.5,2.04625,1.9825000000000008,2.165573980079583,2.121343877246536,2.2374973278245673,2.0886161880841643
2004-08-31,MONSOON,2.0,2.4606818181818184,2.005000000000001,2.09934438804775,2.0704369969132514,2.978169217549399,2.0098960374959507
