Date,Season,Ramnagar,Kotabagh,Haldwani,Bhimtal,Ramnagar_Trend,Ramnagar_SMA,Ramnagar_EWMA,Ramnagar_DES,Ramnagar_TES,Ramnagar_ARIMA,Kotabagh_Trend,Kotabagh_SMA,Kotabagh_EWMA,Kotabagh_DES,Kotabagh_TES,Kotabagh_ARIMA,Haldwani_Trend,Haldwani_SMA,Haldwani_EWMA,Haldwani_DES,Haldwani_TES,Haldwani_ARIMA,Bhimtal_Trend,Bhimtal_SMA,Bhimtal_EWMA,Bhimtal_DES,Bhimtal_TES,Bhimtal_ARIMA
2005-05-31,PREMON,12.35318181818182,75.15,39.7525,19.06,9.250380681818182,6.624552398989899,8.05446083827553,6.35677667481339,8.166870807350683,7.031639720022083,63.70500000000001,63.70500000000001,66.52053855803722,66.34467384774636,75.09747701988627,75.38693543118089,28.368125,28.73124999999999,29.69856525365846,30.14337375957317,32.65912364213413,37.432601418909336,17.3975,17.477499999999992,18.375692423874547,17.918066768996855,19.996315619823978,19.118738911100678
2005-08-31,MONSOON,11.33,65.23,32.5175,13.86,10.858565340909092,8.452607954545456,9.364676502965317,6.3827866051967055,4.936188902267907,3.87738064653441,63.705,63.70500000000001,66.00432313482233,66.78177831680537,65.21049810322798,65.48134466540695,31.160625,28.486249999999984,30.826139152195076,31.82584578988935,33.20426569403814,32.350324200978214,17.365000000000002,17.43249999999999,16.569415454324727,17.03793278273315,14.215150122487097,13.901894598572202
2005-11-30,POMKH,11.24818181818182,54.85,32.23,17.25,11.653579545454546,10.048153409090911,10.118078629051919,6.408902959808059,7.390529092743499,4.863801377613668,63.698750000000004,63.70500000000002,61.54259388089339,62.095702074013865,54.843560618637696,55.09561450071713,33.823125,28.249999999999982,31.387683491317045,32.86400299200347,27.74102675159169,32.03886873251592,17.43,17.36249999999999,16.841649272594836,17.006168289164865,16.527477855820003,17.327690348374233
2006-02-28,POMRB,11.744545454545458,59.59,31.785,19.3,10.884878246753248,11.668977272727275,10.768665359249335,6.435126175114978,8.817730781392866,5.568770775581385,63.809375,63.70500000000002,60.76155632853603,60.38391984760655,59.57768322965079,59.8301396833658,33.82,34.071249999999985,31.546610094790225,33.22069971746003,24.62922101324115,8.208903819936259,17.5375,17.36749999999999,17.8249895635569,17.47300996655612,18.67061374918164,19.2348028001678
2006-05-31,PREMON,12.229999999999995,75.1,37.7675,19.56,9.34422382305195,11.63818181818182,11.3531992155496,6.461456688338355,11.936194326863847,8.255448118172637,63.92625,63.69250000000002,66.49693379712161,66.42929396722782,75.13381356386273,75.38490351497431,34.301249999999996,33.57499999999999,34.03496605687413,36.36983243230463,34.13199428550638,38.39111165906072,17.6525,17.49249999999999,18.518993738134142,17.982270172389725,19.91459218799253,19.139792474744713
2006-08-31,MONSOON,5.303571428571429,66.16499999999999,34.4775,14.22,7.825138122294371,10.131574675324678,8.93334810075833,6.487894925516158,7.915334219622144,5.619373076849716,63.926249999999996,63.92625000000001,66.36416027827296,67.28632002403235,65.2127577503338,65.46895010405886,36.029687499999994,34.06499999999998,34.211979634124475,36.91689405579939,34.39499718882093,31.403885878209092,17.717499999999998,17.58249999999999,16.799396242880483,17.197006887810442,14.241287439617038,13.917053164395908
2006-11-30,POMKH,4.949375,54.85,34.120000000000005,17.81,7.114236607142856,8.556872970779224,7.339758860454998,6.5144413389399185,8.54154379305333,6.348843810546505,63.7125,63.92625000000002,61.75849616696378,62.48946336409724,54.88582042935893,54.914130455354794,37.6159375,34.53749999999999,34.17518778047469,36.75624426381328,28.994525418279736,31.12623177841713,17.696250000000003,17.72249999999999,17.20363774572829,17.296040379348593,16.630663460567927,17.351270339655553
2007-02-28,POMRB,5.890666666666666,59.59,43.7225,19.26,7.713061011904761,7.0934032738095265,6.760121982939665,6.541096373503106,8.456432443392561,6.9954672345156235,63.61562500000001,63.92625000000002,60.891097700178264,60.65875723234973,59.62545657296443,59.65281788978542,37.3240625,37.52187499999999,37.994112668284814,41.31193043926887,25.934653937389317,30.696471519608707,17.46125,17.71249999999999,18.026182647436976,17.73796734987855,18.881649794353766,19.233118515076278
2007-05-31,PREMON,12.396666666666668,73.39,38.52,19.43,8.183437900641024,7.135069940476194,9.014739856430467,6.5678604834023355,10.459902695708656,9.151645432207284,63.7325,63.49875000000002,65.89065862010696,65.777091230882,75.14014469169177,75.16155794927828,36.43484375,37.709999999999994,38.20446760097089,41.932869067189,36.304932869033806,36.47409117875796,17.1925,17.679999999999993,18.587709588462186,18.194534088209437,20.115454298212875,19.232848992015967
2007-08-31,MONSOON,9.927499999999998,67.1,31.39,12.47,8.065026098901098,8.291052083333337,9.379843913858279,6.594734099208197,6.772562961945409,5.518634053354725,63.7325,63.73250000000002,66.37439517206417,67.13215842172993,66.00860842635328,66.53804558407364,35.02875,36.93812499999999,35.47868056058253,38.25505014534862,36.45203747136703,33.29676252374733,17.1625,17.242499999999993,16.140625753077313,16.9760829853355,14.411122859484683,13.984053856831213
