Date,Season,Beohari,Jaysing Nagar,Burhar,Sohagpur,Gohparu,Beohari_Trend,Beohari_SMA,Beohari_EWMA,Beohari_DES,Beohari_TES,Beohari_ARIMA,Jaysing Nagar_Trend,Jaysing Nagar_SMA,Jaysing Nagar_EWMA,Jaysing Nagar_DES,Jaysing Nagar_TES,Jaysing Nagar_ARIMA,Burhar_Trend,Burhar_SMA,Burhar_EWMA,Burhar_DES,Burhar_TES,Burhar_ARIMA,Sohagpur_Trend,Sohagpur_SMA,Sohagpur_EWMA,Sohagpur_DES,Sohagpur_TES,Sohagpur_ARIMA,Gohparu_Trend,Gohparu_SMA,Gohparu_EWMA,Gohparu_DES,Gohparu_TES,Gohparu_ARIMA
2002-05-31,PREMON,6.68,7.025714285714287,8.1,8.24,9.62,4.92,4.085000000000002,5.09085554823147,6.401537783773202,6.42186518155498,6.151117676781761,5.716063988095239,4.632678571428574,5.671671346943638,5.418961281535187,6.966772922741629,7.326351949009718,5.424375,4.629999999999998,5.9386558831361675,5.21386640438417,7.270777594175482,7.216537157655216,6.155625000000001,5.521666666666667,6.4874008419288565,5.93008724877302,7.501024604771835,7.501195156071762,7.35,6.0975000000000055,7.614663302747699,7.37193424241336,10.656672998113265,10.597076460650516
2002-08-31,MONSOON,4.28,5.755,4.8,5.761666666666668,6.21,4.998750000000001,4.847500000000002,4.766513328938882,5.914661888252932,3.7198054742586666,3.005200857458314,5.878511904761905,5.619866071428574,5.705002808166183,5.456428078263884,3.9864084681697016,3.327053027681771,5.65625,5.429999999999998,5.4831935298817,5.154645786908801,3.405222799678256,3.371642956659384,6.577291666666667,5.996250000000001,6.197107171823982,5.915440956340379,4.883446665459522,5.176169077847753,7.678750000000001,7.1375000000000055,7.052797981648619,7.153995770595789,3.5987041013780425,3.9711035214199146
2002-11-30,POMKH,4.08,4.718333333333334,3.575,5.9750000000000005,6.62,5.0649999999999995,4.9925000000000015,4.491907997363329,5.145098533253553,4.206165098724505,3.953726728493766,6.042328869047619,5.8122619047619075,5.310335018233044,5.494153919161398,5.346773496843591,5.5065258333718194,6.016249999999999,5.4187499999999975,4.719916117929021,4.9071747971854185,3.9292728672484865,4.278294479247036,6.944833333333335,6.315000000000001,6.108264303094389,5.926647323732936,5.365868606088329,5.033603825707832,8.10625,7.562500000000005,6.879678788989171,7.043183932131188,5.584016593149686,6.272888753915937
2003-02-28,POMRB,4.98,6.28,7.1,7.381666666666668,8.73,5.365,5.005000000000002,4.6871447984179975,5.129600092935193,5.002796435427729,4.432130308250001,5.9946279761904755,5.944761904761908,5.698201010939826,5.532140599956439,6.378642878239079,5.923943647377501,6.41375,5.893749999999998,5.671949670757412,5.268245060021328,5.854860294293417,4.882368617315226,7.074041666666669,6.839583333333335,6.6176252485233,6.098906718442668,6.62302741092371,6.055611023478778,8.192499999999999,7.795000000000004,7.619807273393503,7.468083705325261,7.143893006150295,7.23420053728005
2003-05-31,PREMON,7.16,7.80625,9.08,9.082000000000004,12.11,5.4925,5.125000000000002,5.6762868790507985,6.714440171103024,6.68131592687732,6.459207716924874,5.625193452380952,6.139895833333336,6.5414206065638965,5.570389924036328,7.787336510721234,7.654030341030154,6.604375,6.138749999999998,7.035169802454448,5.8911459092856,8.395560776710754,8.015785989399648,7.000291666666668,7.050083333333335,7.603375149113981,6.451503509834196,8.452661093955752,8.516812014702907,7.79125,8.417500000000006,9.415884364036103,8.742365629626182,10.711113766876041,10.707591806649646
2003-08-31,MONSOON,6.2,4.592857142857143,7.0,5.953333333333332,4.41,5.242500000000001,5.605000000000001,5.88577212743048,7.010018897063396,3.9792562210274167,3.572492879649661,5.152745535714287,5.849360119047621,5.761995221081195,5.608903698760239,4.780608876342196,4.237604229837016,6.22,6.688749999999998,7.021101881472669,6.078686803567058,4.619819812697107,5.299351538920341,6.717166666666667,7.098000000000002,6.9433584228017216,6.410356059105189,5.805126781566962,5.750315342242238,7.4625,7.9675000000000065,7.413530618421662,7.963938777852384,4.3756992331321225,5.212003064101501
2003-11-30,POMKH,3.18,2.9250000000000003,2.9,5.1933333333333325,5.21,5.0575,5.380000000000001,4.803463276458288,4.9387649797821345,4.465615856383323,4.9165829177730815,4.782433035714286,5.401026785714288,4.627197132648717,5.647683755335773,4.852485944354992,4.645693829397812,5.755,6.519999999999998,5.3726611288836015,5.574463728253294,5.00995609278329,4.990235356322902,6.320458333333333,6.902583333333334,6.2433483870143665,6.2850022964600685,6.08808451633378,5.429704477443794,7.085000000000001,7.615000000000006,6.532118371052997,7.394234953070783,5.98788030625108,5.8353359025197715
2004-02-29,POMRB,3.88,4.29375,4.7,5.8983333333333325,7.51,4.8950000000000005,5.105,4.434077965874973,4.014856125979949,5.2622471854827175,4.469552992051042,4.636450892857142,4.904464285714288,4.49381827958923,5.686731940324712,5.028777025860819,4.791706740050163,5.5649999999999995,5.919999999999998,5.103596677330161,5.441423993419439,6.829355304796125,6.043362810193797,6.003541666666667,6.531750000000001,6.1053423655419525,6.252266760048878,6.93433206450119,6.1325009624051425,6.9625,7.310000000000007,6.923271022631798,7.423692331558271,7.545360729217421,7.1098874322726955
2004-05-31,PREMON,6.78,6.83,7.76,7.3916666666666675,10.31,4.8325000000000005,5.010000000000001,5.372446779524984,5.56231407861025,6.940766668016879,6.355988680244325,4.702946428571429,4.6604017857142885,5.428290967753538,5.726050109680006,6.018334954515773,6.335731727480829,5.735,5.589999999999998,6.166158006398097,5.8235679508369955,8.339758409890988,7.356362126727082,5.957083333333333,6.109166666666666,6.6198720859918385,6.394621783842923,8.27361034225955,8.167230069727175,7.1425,6.8600000000000065,8.27796261357908,8.161042909263934,10.999397212560565,10.59793654700678
2004-08-31,MONSOON,5.28,4.40125,6.8,5.108333333333333,5.23,5.11,4.780000000000001,5.335468067714991,5.606296706069691,4.238706957973476,3.9190079155434665,4.990736607142858,4.6125000000000025,5.017474580652123,5.7656401211101445,3.533729818181193,3.611682184279319,6.0925,5.539999999999998,6.419694803838858,5.989636830708192,4.611222232964204,4.788661804355892,6.103958333333334,5.897916666666666,6.015256584928436,6.260197870692738,5.213142843214063,5.224426616543815,7.30125,7.0650000000000075,7.058777568147448,7.567418823090015,4.3345447438422315,4.536017441205689
