Date,Season,Badwara,Rithi,Dhimarkheda,Katni,Vijay Raghavgarh,Badwara_Trend,Badwara_SMA,Badwara_EWMA,Badwara_DES,Badwara_TES,Badwara_ARIMA,Rithi_Trend,Rithi_SMA,Rithi_EWMA,Rithi_DES,Rithi_TES,Rithi_ARIMA,Dhimarkheda_Trend,Dhimarkheda_SMA,Dhimarkheda_EWMA,Dhimarkheda_DES,Dhimarkheda_TES,Dhimarkheda_ARIMA,Katni_Trend,Katni_SMA,Katni_EWMA,Katni_DES,Katni_TES,Katni_ARIMA,Vijay Raghavgarh_Trend,Vijay Raghavgarh_SMA,Vijay Raghavgarh_EWMA,Vijay Raghavgarh_DES,Vijay Raghavgarh_TES,Vijay Raghavgarh_ARIMA
2008-11-30,POMKH,8.95,4.050000000000002,4.725,6.09,8.6625,8.290520833333332,8.468333333333337,8.053554440225666,8.970365352219932,7.758236025024263,7.494574513621232,4.895625000000001,5.316250000000002,4.568332263199903,4.267558472903199,3.9202219070367543,3.059396621141598,5.921666666666667,5.298749999999998,4.9022525893024795,4.959927501310994,4.084642960790393,3.940723547920225,7.0059375,7.3149999999999995,6.646318950835124,6.647789314695078,6.827919283757333,6.343818928497571,10.229500000000002,10.705249999999998,9.68964099952126,10.116019191841144,9.442197005851902,8.492189188462586
2009-02-28,POMRB,9.8,4.25,6.65,7.3900000000000015,10.425,8.800208333333334,8.293333333333337,8.7521326641354,9.225363808487087,9.542855223187034,9.849734355322436,5.37375,5.058750000000002,4.440999357919942,3.87206291451719,5.240740676949541,5.067758263678291,6.760833333333333,5.752916666666665,5.6013515535814875,5.575702552332397,6.027748257474621,6.043748311824556,7.210104166666667,6.9825,6.943791370501075,6.685923142596643,7.534143716268361,7.285208049217786,10.634687500000002,10.263374999999998,9.983784599712756,10.241926262422622,10.724891332997213,9.777807329757126
2009-05-31,PREMON,11.4375,8.7,10.25,9.75,13.935,9.331041666666666,8.287708333333336,9.82627959848124,10.010160234500926,10.10444992956652,10.111040249337572,6.31875,4.732500000000002,6.144599614751965,7.845488516250536,8.963755849257089,8.558294063581798,7.984374999999999,6.090416666666664,7.460810932148894,7.742051454907674,8.352113738204244,8.494201439452407,7.452500000000001,7.029375,8.066274822300645,6.724276606659843,9.094998960441467,8.916788551409677,11.375312500000001,10.195625,11.564270759827654,10.977682378894025,13.068833886705026,12.661942253611038
2009-08-31,MONSOON,7.063333333333333,7.06,8.1,6.333333333333332,11.2725,9.53375,9.312708333333337,8.721101092422076,9.233343762639498,5.3700616691569465,5.3875052281694975,7.084999999999999,6.0150000000000015,6.5107597688511785,8.839918480521003,2.6289627975089918,2.266363136371641,8.978124999999999,7.431249999999998,7.716486559289336,8.531902467743842,4.880554672885095,4.388502876980367,7.977916666666666,7.390833333333334,7.37309822671372,6.7628487522706076,5.020715576229186,4.756389209900307,11.9034375,11.073749999999999,11.447562455896591,11.172970998864432,8.573630502637158,8.382787751155671
2009-11-30,POMKH,9.096666666666666,6.48,9.15,6.583333333333332,11.075,9.465104166666665,9.349375000000002,8.871327322119912,9.1866188545735,7.785849285792725,9.32790551478199,7.735624999999999,6.622500000000001,6.498455861310708,8.36880592482756,4.72771719970668,5.090484666680313,9.1175,8.537499999999998,8.289891935573602,9.544318847537735,7.0638645092012045,6.767922055566368,9.016666666666666,7.514166666666667,7.057192269361565,6.8016422393397695,7.490329857561369,7.198862798522621,11.834791666666668,11.676874999999997,11.298537473537955,11.305248952883804,10.630853507003245,10.557437121766833
2010-02-28,POMRB,11.275,7.9499999999999975,10.175,11.1,12.2375,9.346041666666666,9.718125,9.832796393271948,9.877902780433459,9.570468483955517,9.961063244237943,7.33875,7.547500000000001,7.0790735167864245,8.85077428066955,6.404420042493421,5.81494344808457,8.71625,9.418749999999998,9.043935161344162,10.715313260208683,9.659329203194059,8.411069544735842,9.624999999999998,8.441666666666666,8.674315361616939,6.840659973038681,8.182555106889613,7.627559130544572,11.311458333333334,12.129999999999999,11.674122484122773,11.621955251966101,12.449858075746977,11.31443776904408
2010-05-31,PREMON,9.413333333333332,10.205,7.84,14.35,11.573333333333332,9.596041666666666,9.212083333333334,9.665011169296502,9.865404081100195,10.132063190335279,10.942052609185902,6.515624999999999,7.923750000000001,8.329444110071854,10.828184388424601,10.684226828195628,9.927385712127247,8.0725,8.816249999999997,8.562361096806498,10.444207152210863,11.935603580624527,10.589197307453036,9.860416666666667,9.591666666666667,10.944589216970163,6.879902754058501,11.667788477623306,11.503432890055635,10.945833333333333,11.539583333333331,11.633806823806996,11.7822030012651,14.832159277808776,13.96971998115546
2010-08-31,MONSOON,8.135,2.38,7.3,6.599999999999999,9.447500000000002,9.678020833333335,9.48,9.053006701577901,9.400313947735087,5.397674929925317,4.212379406255422,5.8931249999999995,6.753750000000001,5.949666466043112,5.6640484493754535,4.302132014899692,3.6084005356831237,7.173125,8.616249999999996,8.057416658083898,9.793199554460791,5.759681744924549,3.804848216054687,10.063749999999999,9.658333333333335,9.206753530182098,6.9193676565142095,8.886302538503223,8.107328118594841,10.831458333333334,11.08333333333333,10.759284094284197,11.536413780449939,8.529310153942863,7.647811712111684
2010-11-30,POMKH,10.025000000000002,4.575,4.8,8.200000000000001,9.975,9.901979166666667,9.712083333333336,9.44180402094674,9.598796474241647,7.813462546561292,10.07037744423887,5.576875,6.277500000000001,5.399799879625867,4.277670703883826,5.006192350964097,3.6181888041554284,7.01125,7.528749999999995,6.754449994850339,8.083300736091527,7.185341387464335,6.7890071274517325,9.428333333333333,10.062500000000004,8.80405211810926,6.959059538692293,8.908609525071881,7.206120556787287,11.280166666666666,10.80833333333333,10.445570456570518,11.390410997492634,9.806207295623235,9.67257561801673
2011-02-28,POMRB,11.0025,4.875,7.33,11.11,12.4225,9.591041666666666,9.643958333333336,10.066082412568043,10.105031911247199,9.598081744724254,10.315101114138924,5.5475,5.508750000000001,5.18987992777552,4.007790837111215,6.2035627955773505,5.47464298377676,6.889375,6.817499999999995,6.9846699969102035,7.751697982688638,7.763200993605565,6.5598614706723195,8.511979166666666,10.065000000000003,9.726431270865556,6.998980204698142,10.271257333528471,9.57670213937402,11.2545,10.85458333333333,11.236342273942311,11.680776673398237,11.504546879774692,10.901404746646355
2011-05-31,PREMON,11.4775,10.75,9.39,9.256666666666666,14.978,8.735833333333334,10.160000000000002,10.630649447540826,10.709678898916575,10.159676451103959,11.111549435804509,5.270625000000001,5.645000000000001,7.413927956665312,9.668157668950888,9.852416791283478,8.85484572605767,6.51125,7.204999999999996,7.946801998146122,8.378893823777828,9.611328562888648,8.864116273429591,7.922604166666668,8.79166666666667,9.538525429185999,7.039129140838155,12.49437096753475,12.262297878618094,10.598041666666665,11.705749999999998,12.733005364365386,12.3958795680037,14.382170785270702,13.677908722642686
