Date,Season,Dharampur,Valsad,Pardi,Kaprada,Umbergaon,Dharampur_Trend,Dharampur_SMA,Dharampur_EWMA,Dharampur_DES,Dharampur_TES,Dharampur_ARIMA,Valsad_Trend,Valsad_SMA,Valsad_EWMA,Valsad_DES,Valsad_TES,Valsad_ARIMA,Pardi_Trend,Pardi_SMA,Pardi_EWMA,Pardi_DES,Pardi_TES,Pardi_ARIMA,Kaprada_Trend,Kaprada_SMA,Kaprada_EWMA,Kaprada_DES,Kaprada_TES,Kaprada_ARIMA,Umbergaon_Trend,Umbergaon_SMA,Umbergaon_EWMA,Umbergaon_DES,Umbergaon_TES,Umbergaon_ARIMA
2004-11-30,POMKH,5.365,5.7875,5.29,3.8,4.547499999999999,6.170833333333333,6.331666666666665,5.691062762544972,5.923218800014951,5.821595244206528,5.626638015865193,6.207708333333334,6.294583333333332,5.772170733924097,6.442947988149063,6.248297804039966,5.9137107045070545,4.073125,4.005,4.065770553493976,4.176952962148425,3.8448338748055737,3.9337646461478517,4.364375,4.9673750000000005,4.310706065258115,5.227635793398487,4.586391166183047,4.4171086597963,3.6959374999999994,3.8387499999999983,3.717053934857387,3.878184553883717,3.5849789612576153,3.6114410464822315
2005-02-28,POMRB,6.873333333333334,6.785,3.58,3.86,3.8575,6.166458333333334,6.1483333333333325,6.163970990860317,6.174264741451694,6.511127776352442,6.825244657905339,6.192916666666666,6.157083333333332,6.177302440354458,6.527435096245861,7.438429690063258,7.15667071426649,4.17,3.9125000000000005,3.8714623320963852,4.110986306746484,4.123410530826736,3.992283842795129,4.3931249999999995,4.2943750000000005,4.130423639154869,4.980682178094224,5.948073196093907,5.644185369775924,3.72125,3.676249999999998,3.7732323609144323,3.9184937439695813,4.3130345050531425,4.329586621272403
2005-05-31,PREMON,8.64,9.5375,5.905,7.7475,4.9425,6.243125,6.193333333333333,7.154382594516191,7.348792141554854,9.756897512652149,9.345222419112895,6.21875,6.258333333333331,7.521381464212674,7.0759325204641295,8.516938227228579,8.366527625190786,3.884375,4.233750000000001,4.6848773992578305,5.03104697344472,4.577952450889894,4.428555967681156,4.40875,4.434375,5.577254183492922,6.08951750601572,8.327586118687428,8.139891827103602,3.5475000000000003,3.7156249999999975,4.24093941654866,4.300301190560111,4.440272912104897,4.528121092056957
2005-08-31,MONSOON,3.68,2.4,1.65,2.0,1.56,6.237916666666666,6.139583333333333,5.764629556709715,5.800790785115986,2.8555757300904188,3.2700099037514345,6.32375,6.127499999999998,5.472828878527604,6.394364279586134,4.416817520612055,4.1593189928469965,3.7150000000000003,4.10625,3.4709264395546984,3.9772116806078945,2.0806698255532776,1.9022614942744107,4.525,4.351875,4.1463525100957535,4.97737835382393,2.6026731433804255,2.6906382259679167,3.341875,3.726874999999997,3.1685636499291956,3.5529094075405445,2.01720518820317,2.077013704152128
2005-11-30,POMKH,6.1933333333333325,6.5175,3.515,4.255,3.1125,6.023541666666667,6.346666666666666,5.936111067359162,5.80358579671708,5.700977685185442,5.567971939709853,6.300937499999999,6.309999999999997,5.890697327116563,6.420268154991657,6.233787593664004,5.960775169932747,3.8093749999999997,3.6625000000000005,3.488555863732819,3.80009491781455,4.458077402408739,4.338418915254644,4.5978125,4.465624999999999,4.189811506057453,4.93372920426062,4.267010355511988,4.26190223085863,3.2,3.3681249999999974,3.1461381899575174,3.3666444381059426,3.8575180788976273,3.747756655696899
2006-02-28,POMRB,6.003333333333333,6.895,4.0,4.335,3.6475,5.609583333333332,6.1291666666666655,5.962999973748831,5.763780164513541,6.686377645803095,7.049186013561237,6.3990625,6.337499999999998,6.292418396269937,6.508263345424307,7.422002583490783,7.175987154084846,3.7643749999999994,3.7675000000000005,3.693133518239691,3.85190915781287,3.9554117392896084,3.8530852834392397,4.66875,4.584375,4.2478869036344715,4.929207482354025,5.454826781223837,5.369794136217546,3.0834375,3.3156249999999976,3.3466829139745107,3.382458042870161,4.119329715269349,4.262653750659543
2006-05-31,PREMON,7.795,9.245,6.2399999999999975,7.855,4.0175,5.336666666666667,5.917916666666665,6.695799984249298,6.691968446613835,9.606255501420545,9.170337843884521,6.55125,6.264374999999998,7.473451037761962,6.992478354752024,8.872482318185337,8.793802192947982,3.6406249999999996,3.8512499999999994,4.711880110943813,4.876492596630601,4.964050684283084,4.8678970888943365,4.756875,4.61125,5.690732142180684,6.088530518640432,8.116991639817073,8.00480324615916,3.1774999999999998,3.084374999999998,3.6150097483847063,3.5292521211337795,4.49450694902886,4.584827298490618
2006-08-31,MONSOON,1.2133333333333332,3.4775,0.955,2.46,1.5525,5.451666666666667,5.301249999999999,4.502813323882912,4.26890917722394,2.4884442100416595,2.8497168521666634,6.7759374999999995,6.533749999999998,5.875070622657177,6.482360431074927,4.056256531156852,3.779297061875438,3.64375,3.677499999999999,3.209128066566288,3.5428588168357975,1.9982425130514496,1.8187981325560736,4.8890625000000005,4.72625,4.3984392853084096,5.128600015104652,2.3997236306350076,2.5495143845741826,3.340625,3.082499999999998,2.7900058490308237,2.903199184126252,1.7614597989158027,2.004365247838182
2006-11-30,POMKH,6.476666666666668,6.6575000000000015,3.22,4.5,3.8725,5.797291666666667,5.372083333333333,5.2923546609964145,4.968167504382971,4.679245310840378,4.651444227529283,7.0209375,6.568749999999998,6.188042373594307,6.517996460928317,6.466644717638751,6.290988163014688,3.613125,3.603749999999999,3.213476839939773,3.3203490980759898,4.168947565579123,4.07189152301661,4.9046875,4.7875000000000005,4.439063571185046,5.121844661768599,4.188521416848221,4.22292773248453,3.4624999999999995,3.2724999999999973,3.2230035094184943,3.0884098545235905,3.5338270476112985,3.6581996530644294
2007-02-28,POMRB,6.64,8.552499999999998,4.32,5.147499999999999,4.1925,5.957916666666667,5.53125,5.831412796597849,5.708041852352083,6.07154349772265,6.4997852472267255,6.8659375,6.983124999999997,7.1338254241565835,6.873123814775354,7.468489990009328,7.221165546368381,3.506875000000001,3.683749999999999,3.656086103963864,3.6139789407937646,3.9181338741692167,3.885989542715298,4.706250000000001,4.990625,4.722438142711027,5.330901593468304,5.215647233420216,5.105828501103655,3.4896874999999996,3.408749999999997,3.6108021056510964,3.380206102556469,3.9222976884935496,4.1790018542545075
