Date,Season,Dabra,Bhitarwar,Bhander,Ghatigaon,Morar,Dabra_Trend,Dabra_SMA,Dabra_EWMA,Dabra_DES,Dabra_TES,Dabra_ARIMA,Bhitarwar_Trend,Bhitarwar_SMA,Bhitarwar_EWMA,Bhitarwar_DES,Bhitarwar_TES,Bhitarwar_ARIMA,Bhander_Trend,Bhander_SMA,Bhander_EWMA,Bhander_DES,Bhander_TES,Bhander_ARIMA,Ghatigaon_Trend,Ghatigaon_SMA,Ghatigaon_EWMA,Ghatigaon_DES,Ghatigaon_TES,Ghatigaon_ARIMA,Morar_Trend,Morar_SMA,Morar_EWMA,Morar_DES,Morar_TES,Morar_ARIMA
2004-05-31,PREMON,11.395999999999999,9.643333333333333,11.095,12.503333333333336,15.169999999999995,10.331,10.112499999999999,10.52585782752832,11.917029335976247,12.748821994277277,11.939827583871102,8.5425,8.3675,9.019160365612596,8.915098165810791,11.550883220687032,11.166570287988986,7.840625000000001,6.365,8.155864009382839,7.579260589339762,8.87776068940519,8.251843238333045,10.728333333333333,10.957777777777778,11.625523935797661,11.108154296287127,13.596316752598913,13.64627428558208,15.141696428571427,15.588666666666668,15.632026769582831,15.695772375214009,18.40286459297255,17.574831302713136
2004-08-31,MONSOON,10.514,8.403333333333334,7.42,8.837777777777777,14.224285714285712,10.551,10.2525,10.521114696516992,12.073710155915759,8.566994955014586,10.318998857780562,8.365833333333333,8.663333333333334,8.772829552700891,8.788347917790757,7.067437567486185,8.25563125842734,8.0025,7.735,7.861518405629703,7.575314884261347,5.279567560480849,4.8581279536894,10.893472222222224,10.686666666666666,10.510425472589707,10.718738942385402,8.575386430242943,9.437742097634564,14.958779761904761,15.272738095238097,15.068930347463983,15.378748339822158,13.951299685378403,13.78692733459534
2004-11-30,POMKH,10.306,7.12,6.465,10.685555555555556,14.663333333333336,11.078500000000002,10.409499999999998,10.435068817910196,12.11185446719287,10.140382477399257,11.004181367696512,8.356458333333334,8.421666666666667,8.111697731620534,8.357734958931198,8.114380764421036,8.801660719628476,7.93875,7.94625,7.302911043377822,7.338727442955361,7.81950448645984,7.572358970585782,11.423333333333336,10.77,10.580477505776047,10.73953905628549,10.205060097709486,10.528846522415176,15.180863095238093,15.010654761904766,14.906691541811725,15.251906351636327,14.906752820290297,15.442111719308933
2005-02-28,POMRB,10.553999999999998,8.073333333333332,7.255,12.041111111111116,15.57,11.373166666666666,10.692499999999999,10.482641290746116,12.14075470266271,10.375066722204416,10.681986156836645,8.22875,8.309999999999999,8.096351972305653,8.290218633312435,8.652543028302336,9.110006191084214,8.032499999999999,8.05875,7.283746626026693,7.352145772713786,8.093145729359643,8.224830849854836,11.682083333333335,11.016944444444444,11.164730947910074,11.008040403096373,12.324644562285904,12.476157109443644,15.747619047619047,14.906904761904766,15.172014925087034,15.386112490596062,15.506372327476639,16.02091817350945
2005-05-31,PREMON,14.484000000000002,10.015,10.135,15.754444444444443,17.361666666666668,11.286083333333334,11.4645,12.08318477444767,12.969588524210836,13.271617826706446,12.922826560512325,8.208958333333333,8.402916666666666,8.863811183383392,8.750316871232624,10.860695920101598,10.44352565080083,8.639375000000001,7.81875,8.424247975616016,8.066778788081063,9.94559265198033,9.581957149295466,11.410714285714286,11.829722222222221,13.000616346523822,11.919459135808669,13.652513322863904,13.94668480934558,16.4328125,15.454821428571433,16.047875621718887,15.940156492212298,17.26667332750819,17.46241287623209
2005-08-31,MONSOON,9.783333333333333,7.01,9.13,7.656666666666666,16.566666666666666,11.439,11.281833333333331,11.163244198001935,12.698333021834678,9.779908838804335,11.35084287676843,8.504791666666668,8.054583333333332,8.122286710030036,8.300770022739423,7.164296144430401,7.572045372785695,8.995624999999999,8.24625,8.706548785369609,8.364098367864893,5.636984609698969,5.464104160121556,11.398650793650795,11.534444444444443,10.863036474580959,11.169495825813001,9.6419059920722,10.930846521499411,17.403958333333335,16.040416666666673,16.255392039698,16.154821436897986,14.361239135726503,14.705573518095598
2005-11-30,POMKH,10.34,8.355,9.61,9.695714285714287,17.802500000000006,11.566333333333334,11.290333333333333,10.833946518801161,12.499710234387027,10.830413996073613,10.859832374031857,8.764375000000001,8.363333333333332,8.215372026018022,8.322139739069966,7.426600668502437,7.7902947491226175,9.430625,9.032499999999999,9.067929271221765,8.707474062127865,8.650774950320706,8.301661152682518,11.164293154761905,11.286984126984127,10.396107599034291,10.927782608428448,10.56081481234846,10.202818748993577,18.164500000000004,16.82520833333334,16.8742352238188,16.628615135925855,15.870455949034842,16.229134130778743
2006-02-28,POMRB,11.743333333333334,9.205,6.959999999999999,12.934444444444445,20.2,11.732395833333333,11.587666666666667,11.19770124461403,12.567248018170554,10.88860578112755,10.69503630008356,9.44875,8.646249999999998,8.611223215610813,8.56115130773068,8.604000721304782,8.618125588425672,10.440625,8.958749999999998,8.224757562733059,8.32026987129853,9.734990243873407,9.774012142181626,11.424379960317461,11.51031746031746,11.411442337198352,11.328863203210132,12.25488349454756,12.40109259805977,18.141458333333336,17.982708333333342,18.20454113429128,17.590807474880634,17.213241205655663,17.342826936478794
2006-05-31,PREMON,14.313333333333333,10.96,13.91,12.986249999999998,18.816000000000006,12.184479166666666,11.545,12.44395408010175,13.151216092282112,13.966966128602333,12.513730654011027,10.084375,8.882499999999999,9.550733929366487,9.198512748123889,11.129452148004534,10.12711155726904,11.626875,9.902499999999998,10.498854537639836,9.725923613913375,10.908898089608773,10.591503444990384,12.632415674603177,10.818268849206348,12.04136540231901,11.66981707957651,13.88731014047963,14.653298003416639,18.3763125,18.346291666666676,18.44912468057477,17.96276326640811,19.92073138084296,19.09051036094031
2006-08-31,MONSOON,11.2825,11.54,13.435,12.505555555555556,14.928,12.587499999999999,11.919791666666667,11.979372448061051,13.024331219723154,10.242272737310824,11.592054146791906,10.576875000000001,10.014999999999999,10.34644035761989,9.821356586963732,7.7364058874281625,8.488425266713046,13.484375,10.978749999999998,11.673312722583901,10.678070824599633,7.585317300955035,7.705149926070806,13.100659722222224,12.030491071428571,12.227041463613629,11.862174150324728,8.92707142620672,9.437520213883587,18.841625000000004,17.93662500000001,17.04067480834486,17.25818941994315,16.912782683595708,17.233150765985595
