Date,Season,Sarupeta,Sarupeta_Trend,Sarupeta_SMA,Sarupeta_EWMA,Sarupeta_DES,Sarupeta_TES,Sarupeta_ARIMA
2005-11-30,POMKH,1.3266666666666664,1.6776666666666666,1.527416666666667,1.397285120309445,1.6141112879832988,1.47405668797809,1.3381209432717935
2006-02-28,POMRB,2.4450000000000003,1.8010416666666667,1.5586666666666673,1.8163710721856672,1.7664254929146623,2.574922220298297,2.3336415348153805
2006-05-31,PREMON,2.2,1.8545833333333335,1.7966666666666673,1.9698226433114003,1.8717821266447192,1.3389552956299886,1.2104854718673248
2006-08-31,MONSOON,1.25,1.933125,1.8054166666666673,1.6818935859868402,1.8075644354582814,1.3737544918077618,1.2852521312612692
2006-11-30,POMKH,1.72,1.9075,1.903750000000001,1.6971361515921042,1.8202865197907006,1.4735711024297435,1.371624073177709
2007-02-28,POMRB,2.68,1.78,1.9625000000000008,2.090281690955263,1.9948133549696514,2.5794756796394354,2.385752982556393
2007-05-31,PREMON,1.76,1.6875,1.8525000000000007,1.9581690145731576,2.0034462301140787,1.629359275300448,1.5781079239427316
2007-08-31,MONSOON,0.67,1.66375,1.707500000000001,1.4429014087438945,1.8203664420856513,1.38008662025876,1.3165664577258023
2007-11-30,POMKH,1.56,1.6875,1.667500000000001,1.4897408452463368,1.789486827659185,1.5866843085486235,1.4970268557651707
2008-02-29,POMRB,2.65,1.7425000000000002,1.660000000000001,1.9538445071478021,1.9441943439989067,2.650501595957924,2.455696951772805
2008-05-31,PREMON,1.98,1.8009374999999999,1.7150000000000012,1.9643067042886813,1.978790672875797,1.709072357164724,1.6392708525757187
2008-08-31,MONSOON,0.89,1.9281249999999999,1.7700000000000011,1.5345840225732088,1.8238849341886219,1.217287016547422,1.137590007900037
2008-11-30,POMKH,1.8075,1.996875,1.831875000000001,1.6437504135439254,1.8264789649037596,1.6210165169489252,1.5379405897737453
2009-02-28,POMRB,3.42,1.9948749999999997,2.024375000000001,2.3542502481263554,2.1057555019752376,2.692386555203632,2.5139786377979396
2009-05-31,PREMON,1.76,2.0570511363636363,1.9693750000000008,2.116550148875813,2.0919892694347366,1.829253351250157,1.795460993328716
2009-08-31,MONSOON,1.094,2.008414772727273,2.0203750000000005,1.7075300893254879,1.959772018785835,1.1649091226346662,1.1192361993123305
2009-11-30,POMKH,2.100909090909091,1.9327101158645281,2.093727272727273,1.8648816899589291,1.9986028571708299,1.7168390147956734,1.6712242351127338
2010-02-28,POMRB,2.7375000000000003,1.9755679590017827,1.9231022727272733,2.2139290139753576,2.1436066179627913,2.944301391878842,2.8208138306415833
2010-05-31,PREMON,1.8368627450980397,1.932870989304813,1.9423179590017834,2.0631025064244306,2.127932681496056,1.8513063740028781,1.8115131953416097
2010-08-31,MONSOON,1.36,1.8284865196078433,2.0088179590017834,1.7818615038546584,2.027228583729718,1.1864845774814405,1.1619237476708455
2010-11-30,POMKH,1.4933333333333334,1.9254411764705883,1.856924019607844,1.6664502356461282,1.9493806904994597,1.8696561496711834,1.8438003296365477
2011-02-28,POMRB,2.51,2.1245833333333333,1.8000490196078438,2.0038701413876767,2.0453295236625437,2.9266774487457123,2.7766764644570374
2011-05-31,PREMON,2.84,2.250833333333333,2.0508333333333337,2.3383220848326056,2.194911190996064,1.889168985177439,1.8266267846169368
2011-08-31,MONSOON,1.95,2.3320833333333333,2.1983333333333337,2.182993250899563,2.186128302392059,1.2785659635992737,1.2840817259943933
2011-11-30,POMKH,1.913333333333333,2.3514583333333334,2.3033333333333332,2.0751292838730713,2.1672037681387732,1.803133867053289,1.7918385319416048
2012-02-29,POMRB,2.74,2.275555555555556,2.3608333333333333,2.3410775703238427,2.2868048328118062,2.848515068842665,2.7320603096234826
2012-05-31,PREMON,2.765,2.2973611111111114,2.3420833333333335,2.510646542194306,2.4049841942153547,2.205472845642629,2.214381053910096
2012-08-31,MONSOON,1.4177777777777782,2.2694444444444444,2.209027777777778,2.0734990364276946,2.284992359914325,1.5142757496888948,1.5779610874431422
2012-11-30,POMKH,2.62,2.1625694444444448,2.385694444444445,2.2920994218566166,2.3679497471056115,1.8769515081273278,1.8815148692770332
2013-02-28,POMRB,1.81,2.112638888888889,2.153194444444445,2.09925965311397,2.3069379004305484,2.8592437674494056,2.777527949106064
2013-05-31,PREMON,2.84,1.9495833333333334,2.1719444444444447,2.395555791868382,2.4194826198569754,2.4089014588989945,2.4129193852129855
2013-08-31,MONSOON,0.9433333333333334,1.9564583333333334,2.0533333333333337,1.8146668084543625,2.20415128611957,1.5284698914862407,1.579343718007463
2013-11-30,POMKH,1.79,2.0483333333333333,1.8458333333333334,1.8048000850726176,2.1363507182199624,2.1333173904982896,2.1338260935865927
2014-02-28,POMRB,2.695,2.0244444444444443,2.067083333333333,2.160880051043571,2.22402391305744,2.598611294026279,2.44683295184241
2014-05-31,PREMON,2.69,2.0793055555555555,2.029583333333333,2.3725280306261425,2.3086703530417596,2.5752835726484182,2.5535675832613927
2014-08-31,MONSOON,0.902222222222222,2.1224305555555554,2.019305555555555,1.7844057072645743,2.088446190624989,1.401712652241557,1.413644859010177
2014-11-30,POMKH,2.27,1.9605555555555554,2.1393055555555547,1.9786434243587445,2.105832566604058,2.0763144077772475,2.0376453605338565
2015-02-28,POMRB,2.56,1.7744444444444445,2.1055555555555547,2.2111860546152466,2.173197748468112,2.6684446366992303,2.538199588317941
2015-05-31,PREMON,1.53,1.700625,1.8155555555555547,1.938711632769148,2.06568941716394,2.650403471822115,2.602407423322819
2015-08-31,MONSOON,0.5733333333333334,1.6861979166666665,1.7333333333333325,1.392560312994822,1.8059151467519134,1.2996598150461738,1.2620430931262494
2015-11-30,POMKH,2.0083333333333333,2.0182291666666665,1.6679166666666658,1.6388695211302267,1.8001785985151457,2.1742121203225127,2.084630357372958
2016-02-29,POMRB,2.70625,2.4090625,1.7044791666666659,2.0658217126781357,1.9167944585984227,2.67919076181872,2.4966241602550876
2016-05-31,PREMON,4.04,2.5351041666666663,2.3319791666666663,2.8554930276068813,2.2630319323072414,2.3692441635685233,2.2267538490646923
2016-08-31,MONSOON,1.19,2.69203125,2.4861458333333326,2.1892958165641287,2.114986898449295,1.132176868653883,1.128297646968055
2016-11-30,POMKH,2.4,2.80125,2.5840624999999995,2.273577489938477,2.1734019842890473,2.1683943546131688,2.1299821049375134
2017-02-28,POMRB,3.57,2.8762499999999998,2.8,2.7921464939630862,2.4304964121819164,2.7290274758663307,2.627190136548457
2017-05-31,PREMON,4.05,2.879375,2.8025,3.295287896377852,2.7660410492372134,2.8932156850313913,2.887145993448887
2017-08-31,MONSOON,1.78,2.6125,2.95,2.6891727378267114,2.695352862374868,1.1908878802970406,1.2816964439468173
2017-11-30,POMKH,1.835,2.415625,2.8087500000000003,2.3475036426960267,2.623414246470432,2.277234444849232,2.329868931296872
2018-02-28,POMRB,2.0,2.378125,2.4162500000000002,2.208502185617616,2.5722501608155595,3.0136424677138236,2.9977005655583797
2018-05-31,PREMON,4.045,2.41125,2.415,2.9431013113705697,2.8688960430709627,3.268926804198901,3.266121920879091
2018-08-31,MONSOON,1.485,,2.34125,2.359860786822342,2.7128777609065082,1.4028502308137334,1.507489566622081
2018-11-30,POMKH,2.395,,2.48125,2.373916472093405,,2.1916982790501764,2.2037446952630066
