Date,Season,Rupnagar,Nurpur Bedi,Morinda,Chamkaur Sahib,Anandpur Sahib,Rupnagar_Trend,Rupnagar_SMA,Rupnagar_EWMA,Rupnagar_DES,Rupnagar_TES,Rupnagar_ARIMA,Nurpur Bedi_Trend,Nurpur Bedi_SMA,Nurpur Bedi_EWMA,Nurpur Bedi_DES,Nurpur Bedi_TES,Nurpur Bedi_ARIMA,Morinda_Trend,Morinda_SMA,Morinda_EWMA,Morinda_DES,Morinda_TES,Morinda_ARIMA,Chamkaur Sahib_Trend,Chamkaur Sahib_SMA,Chamkaur Sahib_EWMA,Chamkaur Sahib_DES,Chamkaur Sahib_TES,Chamkaur Sahib_ARIMA,Anandpur Sahib_Trend,Anandpur Sahib_SMA,Anandpur Sahib_EWMA,Anandpur Sahib_DES,Anandpur Sahib_TES,Anandpur Sahib_ARIMA
2002-05-31,PREMON,6.6342857142857135,7.463333333333334,19.55,14.15,5.3575,6.034077380952381,5.91892857142857,6.148329142330999,5.80619225746204,6.506833780064187,6.1911984885176405,6.26375,5.382500000000001,5.950528044280067,6.170402987664181,6.342193280032344,6.278261491882384,19.13375,18.797500000000007,18.846717397996617,18.263147511309672,18.76259331275528,18.30467449236196,12.060416666666669,11.72625,11.880375054944903,11.928968087813994,11.910839618456361,11.23899024192104,5.119999999999999,4.289375,4.6997279561515,4.168417853403263,4.993058236813493,4.964039770999685
2002-08-31,MONSOON,6.317142857142858,5.9433333333333325,18.5625,10.855,6.185,5.786547619047619,6.253214285714285,6.215854628255743,5.910832547118299,5.5210850749462965,5.676533064187044,6.820833333333333,5.935833333333334,5.947650159901373,6.111041380269494,5.881032937361823,5.597118498261317,18.9925,18.924375000000005,18.733030438797968,18.442925618470856,18.52320894022814,18.343089592269912,12.98625,11.258750000000001,11.470225032966942,11.59309876002363,13.03984216016896,13.30856883271038,5.34125,4.949999999999999,5.2938367736909,4.410521308632063,3.529081019556996,3.5879339014643366
2002-11-30,POMKH,4.128333333333333,7.416666666666668,20.380000000000006,16.25,4.745,5.73422619047619,5.8149404761904755,5.380846110286779,5.472884279199471,5.819973680204094,6.027226084315889,7.267708333333334,6.591666666666668,6.535256762607491,6.734926051946689,5.717723862734343,5.774256290673889,18.668125,19.343125000000008,19.391818263278783,18.7803396887708,18.752271562811863,18.973000546338543,13.441666666666666,12.862083333333334,13.382135019780165,13.405610427345417,10.964911239128321,10.77272996681778,5.412812499999999,5.289999999999999,5.074302064214541,4.469734866651095,4.473623979018124,5.1231155788628575
2003-02-28,POMRB,5.952857142857143,7.376666666666668,16.075,11.186666666666667,5.282499999999999,5.707619047619048,5.758154761904761,5.609650523314924,5.571128352493083,5.540670213710284,5.524241079831588,7.694999999999999,7.050000000000002,6.871820724231162,7.066927511910021,7.3526221006921135,7.305714703340882,18.8403125,18.64187500000001,18.06509095796727,18.677920783547865,19.11966207922343,18.881399375112505,14.553541666666668,13.110416666666667,12.503947678534765,12.64844179007483,12.648855744854485,13.418580882381939,5.203125,5.392499999999998,5.157581238528724,4.5816071859519,5.30359765274518,4.771932546235886
2003-05-31,PREMON,6.442857142857143,9.205,19.76,16.8,5.52,6.02139880952381,5.710297619047618,5.942933171131812,5.76173124836603,6.391199313545676,6.130208310361827,7.735,7.485416666666668,7.805092434538698,8.068614623756677,8.373716761994153,8.450794057310741,18.933750000000003,18.69437500000001,18.743054574780363,18.93576204216419,19.744843050447752,19.90420342856255,15.402916666666666,13.772916666666669,14.22236860712086,14.277280130765503,14.06867538635144,12.917594982549758,5.2,5.433124999999999,5.302548743117234,4.707804512676909,5.7356847557885775,5.514134593606672
2003-08-31,MONSOON,6.2957142857142845,7.62,19.73,17.1,4.3450000000000015,6.415357142857143,5.704940476190475,6.084045616964801,5.871941537478919,5.380827563612463,5.6059680133356915,7.804583333333333,7.904583333333336,7.731055460723218,7.923330559772048,7.742008098193337,7.511520161142675,19.351875000000003,18.986250000000013,19.137832744868216,19.16829449239166,19.069240229295055,18.165990181806066,16.158333333333335,15.334166666666668,15.373421164272518,15.41668835413467,15.417412578918931,14.371428520472618,5.363125,4.973125,4.919529245870341,4.69221369031197,4.50790528721662,4.561901771889834
2003-11-30,POMKH,6.660000000000001,6.06,19.96,16.8,6.56,6.62375,6.337857142857142,6.314427370178881,6.041922106748926,5.718319831564051,5.75114180206082,8.206875,7.5654166666666685,7.06263327643393,7.146033704327961,7.470254086070215,7.738817305601415,19.822499999999998,18.881250000000012,19.46669964692093,19.402511082735206,20.15745969792546,19.741340540643932,16.94625,15.471666666666668,15.94405269856351,16.02242699961012,15.069157904045325,16.22820889197033,5.2678125,5.426874999999999,5.5757175475222045,4.920713290095388,4.600829471850375,4.451431342036654
2004-02-29,POMRB,6.572857142857143,9.29,19.84,16.68,4.7725,6.824285714285715,6.492857142857142,6.417799279250186,6.15063105357657,6.294496777173819,6.307346883154516,8.718749999999998,8.043750000000003,7.953579965860358,8.15088715884807,7.275737656031152,7.204222048156065,19.836250000000003,19.822500000000012,19.616019788152556,19.604894728938966,17.997827791039708,17.41641155406862,16.6571875,16.845,16.238431619138105,16.35926931881632,15.166251722409797,14.478494159995147,5.2678125,5.2993749999999995,5.254430528513323,4.9297035399402995,5.686310174689769,6.22455950374335
2004-05-31,PREMON,7.490000000000001,10.51,19.76,17.61,5.2675,6.858928571428572,6.754642857142857,6.846679567550112,6.450195141395745,7.101549968728995,6.86214542100948,9.318124999999998,8.370000000000003,8.976147979516215,9.258532402231872,9.46785291343597,9.632684906870056,19.8125,19.822500000000012,19.673611872891534,19.7820306753726,20.52095834044369,19.37958657207157,16.232499999999998,17.0475,16.787058971482864,16.92056386664955,17.91472654284052,18.001648335424495,4.9784375,5.236249999999999,5.259658317107994,4.991940628141082,5.931598246221542,5.097298242277101
2004-08-31,MONSOON,6.852857142857141,10.41,19.84,13.9775,4.5975,6.868035714285715,6.893928571428571,6.849150597672924,6.527435851875465,6.200591082370353,6.480002305997864,9.480625,9.067500000000004,9.54968878770973,9.83503987400128,8.960214043537091,8.760115563727004,19.70375,19.850000000000012,19.74016712373492,19.951372133761332,20.12681493228118,20.123528138727195,15.854791666666666,16.266875,15.663235382889717,15.911468580435848,17.907969781637984,16.206689856389655,4.623125000000001,5.299374999999999,4.994794990264796,4.974342724860245,4.632249467362657,4.859751886260707
2004-11-30,POMKH,6.380000000000003,8.065,19.66,16.525,3.9925,6.956517857142858,6.823928571428572,6.661490358603756,6.474388133720697,6.452766418597473,6.562199157435075,9.40125,9.568750000000003,8.955813272625837,9.11234286020231,9.613285058605072,9.700738799152186,19.639999999999997,19.775000000000013,19.708100274240955,20.088808234310473,20.71055491763186,19.935537610126676,15.460833333333333,16.198125,16.00794122973383,16.23116206377646,15.0536752845514,17.24288501061212,4.574375,4.657499999999999,4.593876994158878,4.892355023030143,5.061693534323519,5.177101362951444
2005-02-28,POMRB,6.925714285714285,8.585,19.27,13.933333333333335,4.4975,6.670119047619048,6.912142857142858,6.767179929447968,6.5630683089970105,6.699382577705571,6.74293681687018,9.371875000000001,9.392500000000004,8.807487963575502,8.93903357776691,9.337552837415739,9.518123196484197,19.65,19.63250000000001,19.532860164544573,20.177094484787162,19.545406059418184,19.898457378287237,15.800520833333334,15.511458333333335,15.178098071173633,15.460286965482616,15.034903387207088,15.710385466530752,4.5771875,4.588749999999998,4.555326196495327,4.8742014695642295,5.1862289944859725,4.827550541058346
2005-05-31,PREMON,7.845,10.58,19.82,17.205,5.1525,6.060386904761905,7.000892857142858,7.1983079576687805,6.847902012746423,7.489533347209465,7.3065038925873855,9.553749999999999,9.410000000000004,9.516492778145302,9.73170846360633,9.901706773793254,10.125922524778577,19.662083333333335,19.64750000000001,19.647716098726747,20.310133542910705,20.588179063025496,19.79074501320888,16.225208333333335,15.410208333333333,15.988858842704179,16.20187164340538,16.615727202182068,16.220273970042108,4.681562499999999,4.559999999999999,4.794195717897196,4.9296412525946725,5.508289296778073,5.458675950048314
2005-08-31,MONSOON,4.206666666666667,10.105,19.86,17.1,4.735,5.465464285714285,6.339345238095239,6.001651441267935,6.2042908067914695,6.577859232423877,6.891545780898412,10.010625,9.333750000000006,9.751895666887183,9.964329811859399,9.179980596913474,9.164320384742487,19.70958333333333,19.65250000000001,19.732629659236046,20.435403562331544,20.43780100495379,19.694460121051172,16.60291666666667,16.190833333333337,16.433315305622507,16.629981597480246,17.008110850165327,16.482771534437294,4.8721875,4.5943749999999985,4.770517430738318,4.933595040813148,4.356589773165931,4.651418142343108
