Date,Season,Silonijan,Silonijan_Trend,Silonijan_SMA,Silonijan_EWMA,Silonijan_DES,Silonijan_TES,Silonijan_ARIMA
2005-11-30,POMKH,4.735454545454545,5.023189145923521,4.402942370129869,4.355627389378466,4.371293960962247,4.447712948095256,4.368172850466563
2006-02-28,POMRB,6.6322222222222225,5.232500225468976,4.861518759018758,5.266265322515968,4.963499180154889,5.2513262296908385,5.0649760826620325
2006-05-31,PREMON,5.9281250000000005,5.188135570516085,5.184859532828282,5.531009193509581,5.336024027931395,5.0436199401653,5.018661059325491
2006-08-31,MONSOON,3.8247619047619046,4.8356143499066295,5.280140918109667,4.848510278010511,5.117378822922983,3.388281598932991,3.5152010261504123
2006-11-30,POMKH,3.999411764705882,4.350645351890757,5.096130222922501,4.508870872688659,4.930630101334346,4.4487346568361135,4.414024812672661
2007-02-28,POMRB,4.548095238095239,4.026920518207283,4.575098476890756,4.524560618851291,4.881547759793942,5.252832239581945,5.252508833181449
2007-05-31,PREMON,4.1325,3.9789128151260504,4.126192226890756,4.367736371310775,4.722151500825025,5.0442269965929505,5.127210058561433
2007-08-31,MONSOON,3.030588235294118,4.268186655096821,3.927648809523809,3.832877116904112,4.295166488179394,3.3881013351790497,3.5519095245167067
2007-11-30,POMKH,4.40952380952381,4.618423051965351,4.030176820728291,4.063535793951991,4.254148915072326,4.447771530507755,4.3636518276584715
2008-02-29,POMRB,6.452173913043477,4.720576085053587,4.50619648946535,5.018991041588586,4.752193746834448,5.251822863031416,5.17069481661648
2008-05-31,PREMON,5.030312500000001,4.701999579451346,4.73064961446535,5.023519624953152,4.859322084560797,5.043621338727068,5.01198262666685
2008-08-31,MONSOON,2.95,4.65048676889234,4.7105025556418205,4.194111774971891,4.423960768268509,3.38809812779561,3.491405115984902
2008-11-30,POMKH,4.3415,4.4952503720238095,4.6934966032608685,4.253067064983135,4.3699690169349585,4.447947562506369,4.368356913867288
2009-02-28,POMRB,6.108095238095237,4.420345238095238,4.607476934523809,4.995078334227976,4.77931408620943,5.252762678911308,5.312619714598638
2009-05-31,PREMON,4.1325,4.450717803030303,4.3830238095238085,4.6500470005367855,4.65760981557081,5.043697260797064,5.013359223621624
2009-08-31,MONSOON,3.2485714285714287,4.503020192526772,4.4576666666666656,4.089456771750643,4.3159028543159055,3.38765356728057,3.430692937988884
2009-11-30,POMKH,4.285909090909091,4.674264305755602,4.443768939393938,4.168037699414022,4.263738367797241,4.447796503870222,4.364790079883022
2010-02-28,POMRB,6.582105263157895,4.73998836885912,4.5622714456596025,5.133664724911571,4.814557797652748,5.253203939627475,5.397999817680533
2010-05-31,PREMON,5.028442880767986,4.7479028105030014,4.786257165851599,5.091575987254137,4.933446079618419,5.043154857182009,4.917372799572338
2010-08-31,MONSOON,2.8784210526315785,4.76827025966568,4.6937195718666365,4.206314013405113,4.484859082064443,3.3878508161034833,3.410530502889025
2010-11-30,POMKH,4.7193749999999985,4.6208422919141805,4.802086049139364,4.411538408043068,4.528633503968236,4.447875471448667,4.355676304270156
2011-02-28,POMRB,6.311578947368423,4.65498700586694,4.734454470191996,5.1715546237732095,4.98340331145177,5.2543468671805265,5.522527572414686
2011-05-31,PREMON,4.119545454545455,4.707345832621327,4.507230113636363,4.750750956082108,4.841804866502942,5.043372373788826,4.928469891576584
2011-08-31,MONSOON,4.06047619047619,4.70139325586694,4.802743898097516,4.47464104983974,4.682805625574923,3.3875005400004627,3.353798308583004
2011-11-30,POMKH,3.956190476190476,4.77551001082251,4.611947767145135,4.267260820380034,4.503962778120972,4.448350651606831,4.393568093020125
2012-02-29,POMRB,7.027142857142856,4.707815466697045,4.7908387445887435,5.371213635085163,5.130707230441224,5.255104424090225,5.603707607219382
2012-05-31,PREMON,3.996915584415585,4.803113346814005,4.760181277056276,4.821494414817332,4.936023984550853,5.0430784326590485,4.843843861020602
2012-08-31,MONSOON,3.641549707602339,4.734398069036227,4.6554496563378125,4.349516531931335,4.650764199261814,3.3881816198600907,3.4267142019985584
2012-11-30,POMKH,5.137500000000001,4.5333478345484925,4.950777037290194,4.664709919158801,4.762238762634268,4.448177593455807,4.347582844748041
2013-02-28,POMRB,5.29611111111111,4.65653841041999,4.518019100782257,4.917270395939724,4.908133029577391,5.256694126241977,5.748487658309219
2013-05-31,PREMON,4.119545454545455,4.663194895382395,4.5486765683147246,4.598180419382016,4.740702881440974,5.042400690849233,4.756619128166221
2013-08-31,MONSOON,4.504444444444443,4.602816558441559,4.764400252525251,4.5606860294069875,4.67920943851804,3.388359864802094,3.4482239509395325
2013-11-30,POMKH,4.327857142857143,4.612986111111111,4.561989538239535,4.46755447478705,4.578412692469206,4.448873534225205,4.427762870049864
2014-02-28,POMRB,5.622727272727274,4.409630230880231,4.643643578643577,4.929623593963139,4.818541523273657,5.2567519193421335,5.702054772374073
2014-05-31,PREMON,3.874285714285714,4.244956061733406,4.5823286435786414,4.5074884420921695,4.598976066832401,5.041941934353935,4.691670373674467
2014-08-31,MONSOON,3.1228571428571428,4.158186271194084,4.236931818181816,3.9536359223981585,4.2082019009339415,3.389121167751394,3.55440424558975
2014-11-30,POMKH,4.392051091269842,4.30923152281746,4.252980305284991,4.129001989946832,4.175735391818117,4.448464940927923,4.4170904039725505
2015-02-28,POMRB,4.864375,4.51738033234127,4.063392237103172,4.423151193968099,4.279355530839095,5.256669173064087,5.693372903278279
2015-05-31,PREMON,5.841,4.367836247519842,4.5550708085317435,4.99029071638086,4.637833389459966,5.040676925038528,4.60936708703676
2015-08-31,MONSOON,2.821333333333333,4.031685763888889,4.479689856150791,4.122707763161849,4.208501444284194,3.388978104216391,3.510808760842568
2015-11-30,POMKH,3.4972222222222227,3.865421783625731,4.255982638888886,3.872513546785999,3.9839474510183592,4.448369932660283,4.4140036723932985
2016-02-29,POMRB,3.07,3.973149122807018,3.8073888888888865,3.5515081280715988,3.683811439259008,5.256110723059663,5.610468102362762
