Date,Season,Bijapur,Asur,Bhopal Patnam,Bheramgarh,Bijapur_Trend,Bijapur_SMA,Bijapur_EWMA,Bijapur_DES,Bijapur_TES,Bijapur_ARIMA,Asur_Trend,Asur_SMA,Asur_EWMA,Asur_DES,Asur_TES,Asur_ARIMA,Bhopal Patnam_Trend,Bhopal Patnam_SMA,Bhopal Patnam_EWMA,Bhopal Patnam_DES,Bhopal Patnam_TES,Bhopal Patnam_ARIMA,Bheramgarh_Trend,Bheramgarh_SMA,Bheramgarh_EWMA,Bheramgarh_DES,Bheramgarh_TES,Bheramgarh_ARIMA
2000-11-30,POMKH,5.156666666666667,2.52,3.63,3.1333333333333333,5.575714285714286,5.200773809523809,5.099484315434699,5.461394510089056,3.623262088016781,4.143356570913183,3.5036458333333336,3.5036458333333327,2.9447296618219303,2.8599402760852244,2.492295865182141,2.4907781737056633,4.842499999999999,4.533125,3.9465429843489668,3.963119467093175,3.0720883993411228,3.450897220512808,4.105416666666667,4.5425,3.5871039693774467,3.9112156568399876,2.8171074817369943,2.585328190731773
2001-02-28,POMRB,6.218333333333334,4.147916666666667,5.495,5.156666666666666,5.9192857142857145,5.335535714285713,5.547023922594153,5.6329117814115355,5.293458861642875,5.700133051407703,3.503645833333334,3.5036458333333327,3.426004463759825,3.4092287192640334,4.231473730521651,4.827089983377661,4.930312499999999,4.631875000000001,4.56592579060938,4.718135274651257,5.069529623018644,5.056393013908837,3.879166666666667,4.286666666666667,4.2149290482931345,4.254337454535446,4.96813321494901,5.177167931077033
2001-05-31,PREMON,7.578571428571428,6.030000000000001,9.004999999999997,6.44,6.021720238095238,5.815892857142856,6.359642924985064,6.029025573254765,7.258228819006124,6.69015165776023,3.5036458333333336,3.5036458333333327,4.467602678255895,5.138246843847939,6.024636148217362,5.858222108322164,4.780937499999999,5.053125,6.341555474365627,7.7546956100790245,7.578829701159735,7.402826502918786,3.7920833333333337,3.9241666666666672,5.104957428975881,4.815628436487874,7.4741247004208216,7.744422227926957
2001-08-31,MONSOON,5.137142857142857,1.3166666666666669,1.1,0.6066666666666667,5.980095238095238,6.02267857142857,5.870642897848181,5.893304693942917,6.512319845035844,6.047281344952023,3.5036458333333336,3.5036458333333327,3.207228273620204,3.4885137968943862,1.300964604944416,1.2843621939111485,4.729687499999999,4.8075,4.244933284619377,4.9920363924002285,2.5966959517483987,1.9723379332359094,3.6266666666666674,3.834166666666667,3.3056411240521952,4.293292205392005,1.54548476989766,1.3816365788032592
2001-11-30,POMKH,5.148999999999999,2.52,3.4175,2.7966666666666664,6.127627976190476,6.020761904761903,5.581985738708909,5.784631021417139,4.337721049813266,4.701481061134604,3.5036458333333336,3.5036458333333327,2.9323369641721224,2.8953513762737395,2.4922874784595908,2.533728283701436,4.5675,4.7543750000000005,3.913959970771626,4.119447999830265,3.5508637553771814,3.7280702407059785,3.575416666666667,3.75,3.102051341097984,4.1472304483529,2.8178962552095665,2.7484970485753433
2002-02-28,POMRB,5.893,4.147916666666667,5.2974999999999985,4.170000000000001,6.50972619047619,5.93942857142857,5.706391443225345,5.835827359759735,5.764210632304301,5.800616085045679,3.503645833333334,3.5036458333333327,3.4185688451699403,3.463515476073698,4.231472746715906,4.142082620871705,4.43,4.705,4.467375982462975,4.614644287700267,5.381945101424101,5.33396469514028,3.745833333333334,3.503333333333334,3.5292308046587904,4.234900915629796,4.96862737802272,4.958872152735938
2002-05-31,PREMON,9.084166666666668,6.030000000000001,7.905,7.016666666666668,7.247187500000001,6.3158273809523795,7.057501532601874,6.478148658241938,7.460313120945187,6.692578195698664,3.5036458333333336,3.5036458333333327,4.463141307101965,5.2023370842982,6.024636032805523,6.032479267700623,4.4565625,4.4300000000000015,5.842425589477785,6.757308448747734,8.277559566771224,8.204545218560437,3.865208333333334,3.647500000000001,4.924205149461942,4.8256565420506465,7.4737589173315655,7.254361639777878
2002-08-31,MONSOON,6.6883333333333335,1.3166666666666669,1.1,1.393333333333333,7.899750000000001,6.703624999999999,6.909834252894457,6.552196920272261,7.154320660974106,6.62490942337903,3.5036458333333336,3.5036458333333327,3.204551450927846,3.5421908225150673,1.300964591398908,1.315613063635876,4.507812499999999,4.4300000000000015,3.945455353686671,4.196112933620683,1.5748681703559981,1.943268796400963,4.111875,3.844166666666667,3.5118564230104985,4.383400809221081,1.5456187515042443,1.587913707498427
2002-11-30,POMKH,9.4975,2.52,3.63,2.965,7.433229166666667,7.790749999999999,7.944900551736675,7.141310317203989,5.286560523619232,5.53872589273024,3.5036458333333336,3.5036458333333327,2.9307308705567077,2.9326625948467955,2.492287476863439,2.520447744584419,4.60125,4.483125000000001,3.8192732122120026,3.7048912037155572,3.3096089927479055,3.6447395120842674,4.301458333333334,3.8862500000000004,3.293113853806299,4.21353312329536,2.8187126499824435,2.726202939844409
2003-02-28,POMRB,6.7650000000000015,4.147916666666667,5.495,5.975,7.158541666666667,8.00875,7.472940331042006,7.10852852711739,7.860387475118064,7.874177913856929,3.503645833333334,3.5036458333333327,3.4176051890006915,3.484544033165258,4.231472746521466,4.147726390788374,4.67,4.5325000000000015,4.489563927327201,4.5312858220169145,5.220263122213528,5.2173594181917995,4.2162500000000005,4.3375,4.365868312283779,4.575556167186733,4.969588391280195,4.853334251857387
2003-05-31,PREMON,4.48,6.030000000000001,8.454999999999998,6.7283333333333335,7.150104166666668,6.857708333333333,6.275764198625204,6.651769316998672,9.14334758562382,7.600134193638147,3.500104166666667,3.5036458333333327,4.462563113400416,5.206446811814566,6.0246360327755095,6.030080860667853,4.6445,4.670000000000001,6.07573835639632,7.248856395389294,8.029825234574078,7.787545644946063,4.146041666666666,4.265416666666666,5.310854320703601,5.060669173322719,7.476288039798606,7.813872115336818
2003-08-31,MONSOON,9.095,1.3166666666666669,1.1,1.0,7.645625000000001,7.459375,7.403458519175123,7.146937338004171,6.715513622814315,4.752659752283766,3.4965625000000005,3.5036458333333327,3.204204534706916,3.5377312701899726,1.3009645913881824,1.3166323036792817,4.5802499999999995,4.670000000000001,4.085443013837792,4.6413091255133025,1.418228010023718,1.6255700159854753,4.0121875,4.167083333333332,3.5865125924221606,4.499035924630615,1.5478953060318426,1.0760392685037319
