Date,Season,Nuh,Punhana,Taoru,Kaman,Nagina,Nuh_Trend,Nuh_SMA,Nuh_EWMA,Nuh_DES,Nuh_TES,Nuh_ARIMA,Punhana_Trend,Punhana_SMA,Punhana_EWMA,Punhana_TES,Punhana_ARIMA,Taoru_Trend,Taoru_SMA,Taoru_EWMA,Taoru_DES,Taoru_TES,Taoru_ARIMA,Kaman_Trend,Kaman_SMA,Kaman_EWMA,Kaman_DES,Kaman_TES,Kaman_ARIMA,Nagina_Trend,Nagina_SMA,Nagina_EWMA,Nagina_DES,Nagina_TES,Nagina_ARIMA
2004-02-29,POMRB,3.99,3.3549999999999995,22.15,8.65,4.52,3.289166666666667,3.4654166666666666,3.577069050913738,3.722774615509592,3.786092724985115,3.950271447791338,3.5665625,3.8912500000000034,3.6447529993212875,3.99336192452597,3.8491846713041187,20.855,20.819999999999993,21.11429464306123,22.490041128772283,21.22481463446289,20.755220435296188,7.720833333333334,7.793958333333334,8.034010060388672,8.435686221079777,7.556387689413048,7.860672618535487,4.265625,4.682499999999999,4.66742117756119,3.934274604386878,4.820853937384456,4.88892387519434
2004-05-31,PREMON,3.765000000000001,4.0375,22.53,7.126666666666668,5.01,3.3443750000000008,3.1433333333333335,3.6522414305482434,3.7446041840308895,4.500231471854566,4.282403305564443,3.5768749999999994,3.533750000000003,3.8018517995927725,4.7603462323272066,4.6098489080574385,20.532500000000002,21.177499999999995,21.680576785836735,22.82465218898475,21.934587859376144,21.270582512789872,7.697500000000001,7.317500000000001,7.67107270289987,7.824600481743717,8.36123860473058,7.893409852059174,4.3999999999999995,4.126249999999999,4.804452706536714,4.051808136095625,5.5305778655906765,5.112737445566147
2004-08-31,MONSOON,2.89,3.63,16.650000000000002,8.57,4.47,3.1777083333333342,3.4350000000000005,3.3473448583289462,3.5334972815735,2.6621411733725924,2.585791719193987,3.560625,3.599375000000003,3.7331110797556635,3.451611791464834,3.4901847163501474,19.813828125,20.532499999999995,19.668346071502043,22.42376501035355,20.154358613288007,20.16100379425641,7.02625,8.124166666666667,8.030643621739923,8.293482330992964,7.131251705201923,7.02073287830777,4.3325,4.4049999999999985,4.670671623922028,3.9893576308844048,4.486295661847262,4.1672496628544256
2004-11-30,POMKH,2.37,3.195,20.8,4.736666666666666,3.58,3.0970833333333334,3.2537500000000006,2.9564069149973675,3.2415228416582442,3.3109939205862595,3.3876749372171293,3.3278125,3.554375000000003,3.517866647853398,3.5350257699405843,3.5080563401133316,18.91640625,20.532499999999995,20.121007642901226,22.48992965970183,20.920307223998325,20.968460949871186,6.789333333333333,7.270833333333334,6.71305283971062,6.352044762553379,7.900441967532718,7.8570177284770555,4.201874999999999,4.394999999999999,4.234402974353217,3.587140634064088,4.347167111782361,4.454074463228659
2005-02-28,POMRB,3.3816666666666664,3.405,16.400625,6.6933333333333325,4.02,3.0245833333333336,3.101666666666667,3.126510815665087,3.287388240194899,3.5583679573218294,3.2189622459591445,3.0275,3.566875000000003,3.472719988712039,3.5978498051473755,3.4664195210813418,18.737656250000004,19.095156249999995,18.632854585740738,22.008456703827335,22.087744114311633,21.10041174979589,6.4804375,6.781666666666668,6.705165037159706,6.337130880642091,7.566001647224741,7.336532821071259,3.9731249999999996,4.269999999999999,4.14864178461193,3.56192729902707,4.3070976734917465,4.191406386405011
2005-05-31,PREMON,3.728333333333333,2.125,21.1,7.188,4.465,3.045,3.0925000000000002,3.367239822732386,3.411536879366205,3.9815438362233104,3.9028306439363813,2.976875,3.088750000000003,2.9336319932272232,4.395415780738623,3.8053948655450354,18.737656250000004,18.737656249999993,19.619712751444446,22.068825165850956,21.40333026399516,21.44104124678677,6.435854166666666,6.7970000000000015,6.898299022295824,6.656715255022361,8.118577816414167,6.925343649457465,3.84375,4.133749999999999,4.275185070767158,3.8335294138686744,5.022440631197004,4.30835861291697
2005-08-31,MONSOON,2.3466666666666667,3.14,16.650000000000002,6.0375,3.185,3.0970833333333334,2.956666666666667,2.959010560306098,3.1448304174126775,2.4674527459111446,1.8912878803166067,3.01875,2.966250000000003,3.016179195936334,3.1711921934044387,3.4301151353564787,18.73765625,18.737656249999993,18.43182765086667,21.58567863390646,15.948851788269158,16.024087839296953,6.899916666666668,6.163875000000001,6.553979413377494,6.207201574726293,6.927593508330953,7.4246425560712295,4.005625,3.812499999999999,3.8391110424602948,3.451291565991021,3.9631010618925324,2.393137572750355
2005-11-30,POMKH,3.0766666666666667,3.28,20.8,6.9125,3.83,3.074583333333333,3.1333333333333337,3.0060730028503255,3.136294570048681,2.789105601984452,2.6790371007683693,3.3203125,2.987500000000003,3.1217075175618003,3.0650459109672186,3.1809126148518136,20.13765625,18.737656249999993,19.37909659052,21.58698538742374,20.18360008373963,20.214810539905493,7.239125,6.707833333333335,6.697387648026496,6.472431791620541,7.397992251616614,6.259640463979277,4.18,3.8749999999999996,3.835466625476177,3.5028937997087546,3.5127972539949823,2.776853195048082
2006-02-28,POMRB,3.0916666666666672,3.655,16.400625,8.23,5.065,3.1574999999999998,3.060833333333334,3.0403104683768625,3.1338485373823795,3.5299183640909986,3.7035961762564096,3.6574999999999998,3.050000000000003,3.33502451053708,3.245185869536277,3.2970922215225618,21.53765625,18.737656249999993,18.187707954312,21.06035624190214,16.740684587871648,16.15633397528699,7.661874999999999,7.092000000000001,7.310432588815898,7.448169101065662,7.407176929641645,6.774291072662098,4.241250000000001,4.1362499999999995,4.327279975285706,4.22689758089733,3.915661226850424,3.7506265022261567
2006-05-31,PREMON,3.838333333333333,4.2875,32.3,8.365,4.815,3.2462500000000003,3.0883333333333343,3.3595196143594506,3.32601804426056,3.864993589142487,3.2851252906997574,3.7653125000000003,3.590625000000003,3.7160147063222477,3.4679592121163383,2.6857955036100574,21.40359375,21.53765624999999,23.8326247725872,22.419026309043037,21.439862644291075,20.579006868280146,8.09375,7.386250000000001,7.732259553289539,8.131623493700525,8.177285455707885,7.206380874877299,4.2856250000000005,4.22375,4.5223679851714245,4.690197403915291,5.217746515867108,4.631501631059664
2006-08-31,MONSOON,2.9,3.675,16.650000000000002,8.2425,3.325,3.2970833333333327,3.2266666666666675,3.1757117686156704,3.225038644486849,2.4402204946120936,2.6346046045130667,3.8899999999999997,3.724375000000003,3.6996088237933487,3.342506663579964,3.360375051734645,21.26953125,21.53765624999999,20.95957486355232,21.89930935388667,18.692287184164304,17.977413182745842,8.4434375,7.937500000000002,7.936355731973723,8.445740442972292,7.12977859325582,7.088456759523569,4.238125,4.25875,4.043420791102855,4.236241516010923,4.221594974610463,4.251499092522522
2006-11-30,POMKH,3.233333333333333,3.6075,19.7275,8.1625,4.045,3.3062499999999995,3.2658333333333345,3.1987603945027354,3.2366009910983995,3.0043275936877047,2.739875041653127,4.0384375,3.8062500000000026,3.662765294276009,3.3602213185891348,3.4628543702988654,21.26953125,21.26953124999999,20.46674491813139,21.737550265097106,22.4980694744014,23.53857109392775,8.7696875,8.250000000000002,8.026813439184235,8.542147288248572,7.857139449656033,7.671449035742588,4.1812499999999995,4.3125,4.044052474661712,4.191854990813014,3.722889864757109,3.4202497535254657
2007-02-28,POMRB,3.3416666666666663,4.325,16.400625,9.7775,4.47,3.3220833333333326,3.3283333333333345,3.255922903368308,3.2733385798821417,3.5860784190583237,3.390046676935687,4.16125,3.973750000000003,3.927659176565606,3.6056594332469167,3.6670657948450653,21.717031249999998,21.26953124999999,18.840296950878834,21.178068654963596,17.7623581857466,17.02179943645905,9.149062500000001,8.636875,8.727088063510541,9.542736525388516,7.967790921055098,7.953611518502765,4.253749999999999,4.163749999999999,4.214431484797028,4.3622299372925735,4.12775836304399,4.050230844007768
2007-05-31,PREMON,3.661666666666666,4.805,32.3,9.4275,4.955,3.40875,3.284166666666668,3.4182204086876515,3.383776113888222,4.056223328685455,3.6723236082926327,4.0109375,4.103125000000002,4.278595505939363,3.9966912845538056,4.05318111854431,22.16453125,21.26953124999999,24.2241781705273,22.504757889750348,31.770902220846946,29.999999104927433,9.544895833333333,8.9025,9.007252838106325,9.891426823989985,8.864517394821252,8.284717482666352,4.264375,4.1987499999999995,4.510658890878217,4.741214948947528,5.100168045698735,4.397970284109067
2007-08-31,MONSOON,3.203333333333333,4.14,20.23,10.215,3.765,3.4862916666666663,3.3600000000000008,3.332265578545924,3.346766693840438,2.6243288078381477,2.496325429921509,3.776249999999999,4.219375000000002,4.223157303563618,3.7169428038582204,3.8191167807567,22.164531249999996,22.16453124999999,22.62650690231638,22.37870687855051,16.479994926424823,17.390537732237135,9.535229166666667,9.395625,9.490351702863794,10.513224530101176,7.865157604364714,8.539260149299283,4.32125,4.30875,4.21239533452693,4.4016293923865195,4.209229785220682,3.799514238142825
2007-11-30,POMKH,3.6233333333333335,1.94,19.7275,9.356666666666667,3.69,3.5004999999999997,3.457500000000001,3.448692680460888,3.4283823149676738,3.1763648642792788,3.331549001655689,3.5785416666666663,3.8025000000000024,3.3098943821381708,3.719520026866638,3.817287061447616,22.164531249999996,22.16453124999999,21.466904141389826,22.18187315990329,20.588279274935637,22.496634613769544,9.257020833333334,9.694166666666668,9.436877688384943,10.291244700162633,8.75124167632072,8.75558693059183,4.47375,4.220000000000001,4.003437200716158,4.066279946183279,3.8953026420661354,4.145774799324372
