Date,Season,Kalol,Gandhinagar,Mansa,Dehgam,Kalol_Trend,Kalol_SMA,Kalol_EWMA,Kalol_DES,Kalol_TES,Kalol_ARIMA,Gandhinagar_Trend,Gandhinagar_SMA,Gandhinagar_EWMA,Gandhinagar_DES,Gandhinagar_TES,Gandhinagar_ARIMA,Mansa_Trend,Mansa_SMA,Mansa_EWMA,Mansa_DES,Mansa_TES,Mansa_ARIMA,Dehgam_Trend,Dehgam_SMA,Dehgam_EWMA,Dehgam_DES,Dehgam_TES,Dehgam_ARIMA
2002-02-28,POMRB,10.05,14.43,4.65,12.01,45.00083333333333,53.0175,43.66771614828008,12.043145442800899,69.13903537225941,50.56075398022282,36.3275,40.72124999999997,34.706654243447176,9.990058737797467,65.79597957536551,52.31111190869734,4.70078125,4.723749999999999,4.493057752252521,4.704957529442,0.4709183025873074,4.441098494363356,21.865625,18.466250000000006,19.140620719005963,30.062075057162765,30.33785441174377,0.7385814844083484
2002-05-31,PREMON,59.47,45.25,4.6,42.915,46.377291666666665,43.62874999999999,49.98862968896805,59.43349846712033,62.712807352793824,36.73613911613171,41.366875,35.82124999999997,38.923992546068305,64.72374532937143,49.58686130091558,37.934494225839515,4.850312499999999,4.6175,4.535834651351513,4.748478280879159,6.078823102203586,5.076438181298377,24.478750000000005,19.63875000000001,28.650372431403575,30.135513697561077,32.7608123439311,8.109297627687353
2002-08-31,MONSOON,63.87666666666666,45.19000000000001,5.2662499999999985,29.735000000000007,58.885416666666664,46.372916666666654,55.54384448004749,90.36080740337039,52.65278069993076,25.29406937299126,50.088125000000005,36.83374999999998,41.43039552764098,68.49072773337141,20.785501598457095,53.84158265956394,5.0321875,4.784062499999999,4.828000790810908,5.114002131086931,17.897250931070978,4.7671136014657485,27.6034375,24.092500000000012,29.084223458842146,30.209100636355156,30.3378751113489,25.041196362238008
2002-11-30,POMKH,52.13,78.73,5.15,14.8,73.6625,46.38166666666665,54.1783066880285,79.49810855672966,63.373996149245954,58.521218343611956,54.870625000000004,45.899999999999984,56.3502373165846,116.2888891654885,33.372007568374606,47.61259044544007,5.3515625,4.916562499999999,4.956800474486545,5.263547255296491,4.9525854521172405,5.036366485208545,30.085625000000004,24.86500000000001,23.37053407530529,30.282832126123957,26.37448916679196,3.3769885843552143
2003-02-28,POMRB,110.08,47.935,5.575,33.917500000000004,76.09208333333332,71.38916666666665,76.53898401281711,137.55369300953913,59.22856654675718,57.64215409787157,55.713125000000005,54.27624999999998,52.98414238995076,59.9744401512954,33.63395429014395,64.0760327505373,5.65578125,5.147812499999999,5.204080284691926,5.564158512351011,1.0201011891247163,4.755008134454005,30.758750000000006,30.341875000000012,27.589320445183176,30.356788249449288,30.681823294416034,8.21836239794974
2003-05-31,PREMON,77.65666666666667,50.005,6.23,40.865,78.48833333333334,75.9358333333333,76.98605707435694,113.9916176227608,72.57260604584613,68.41545038511599,52.215625,55.46499999999999,51.792485433970455,44.94392975382606,62.010449436499044,46.590450689728094,5.864375000000001,5.555312499999999,5.614448170815156,6.079168026398289,6.798059853223229,5.402680817140263,34.831875000000004,29.829375000000013,32.89959226710991,30.430941059782224,33.104781228072184,18.48941745098336
2003-08-31,MONSOON,65.12666666666668,47.175,6.07,37.17,75.43708333333333,76.2483333333333,72.24230091128084,78.57361638230722,64.00997529449893,95.48127806478003,48.67875,55.96124999999999,49.94549126038227,41.533724794355145,51.428094922998696,53.50288211189054,6.013750000000001,5.75625,5.796668902489094,6.290475895234962,19.028599862641755,5.854956559021049,35.0909375,31.688125000000014,34.60775536026595,30.505266118796428,30.681843995326915,16.09826342632601
2003-11-30,POMKH,70.05000000000001,48.765,6.0150000000000015,39.95,69.32000000000001,80.72833333333331,71.3653805467685,66.2719953518041,72.9136440011869,70.63125972705211,48.818749999999994,48.469999999999985,49.473294756229365,46.57043218914229,72.0359611702952,49.60283583711703,6.101250000000001,5.9725,5.884001341493457,6.36779046627576,5.935698812932394,5.869007057909581,32.326875,37.97562500000001,36.74465321615957,30.579779007151917,26.718458051252988,15.160202675295741
2004-02-29,POMRB,67.75,49.605,5.905,10.84,60.39333333333334,70.14583333333331,69.91922832806111,61.434881490416004,70.27522820022912,64.1184991427653,44.361875,48.88749999999998,49.52597685373762,50.22977825731395,38.75121067401816,51.36732640975416,6.250624999999999,6.055000000000001,5.892400804896074,6.334427502575262,1.9497693162501548,6.316056957089271,31.13625,32.20625000000001,26.382791929695742,30.654405516306337,31.025792180566746,17.835186508106222
2004-05-31,PREMON,71.05,49.45500000000001,6.6,41.83,50.425,68.49416666666664,70.37153699683667,65.64370890963234,74.0207013896597,66.561844154269,38.50604166666667,48.749999999999986,49.49758611224257,50.40924609788131,49.90094562640196,50.88352941607401,6.444999999999999,6.1475,6.175440482937644,6.659485145139736,7.4563835450595235,6.0495255482509895,26.225,32.447500000000005,32.56167515781745,30.729286640542206,33.44875011262752,-5.032734008164105
2004-08-31,MONSOON,0.32,12.07,6.895,26.680000000000003,46.969375,52.292499999999976,42.350922198102,14.02270170158935,64.00960674283614,66.12472123326228,32.582708333333336,39.97374999999998,34.526551667345544,10.762631376261453,45.481762815365684,50.856141576945184,6.637499999999999,6.35375,6.463264289762586,6.99344067477806,19.556459676538054,6.384216326767362,26.480000000000004,29.825000000000006,30.20900509469047,30.804314969657923,31.02581287992456,33.71570935316176
2004-11-30,POMKH,55.11,37.02333333333333,6.745,11.15,43.960625,48.557499999999976,47.4545533188612,50.935185908806204,61.2593516095739,45.86621112741518,26.79104166666667,37.03833333333331,35.525264333740665,42.42284082934034,46.88965429789166,34.495724570369205,6.945,6.536249999999999,6.575958573857552,7.095269309374756,6.598011889146484,6.59868314032997,30.1675,22.625000000000004,22.585403056814283,30.87948997295877,27.06242693511266,-5.061888442394906
2005-02-28,POMRB,55.045,13.96,6.715,41.68,48.31925,45.38124999999998,50.49073199131672,70.16989711699148,58.030076781912655,17.64693139322449,28.328750000000003,28.127083333333317,26.899158600244398,15.636772088066461,34.72651507051324,48.64944671587765,12.286041666666666,6.73875,6.631575144314531,7.1177005374044615,2.6427101168343725,6.468452091734808,31.20875,30.335,30.22324183408857,30.954919852387114,31.36976106244125,11.663752241406028
