Date,Season,Baidhan,Deosar,Baidhan_Trend,Baidhan_SMA,Baidhan_EWMA,Baidhan_DES,Baidhan_TES,Baidhan_ARIMA,Deosar_Trend,Deosar_SMA,Deosar_EWMA,Deosar_DES,Deosar_TES,Deosar_ARIMA
1999-05-31,PREMON,6.52,10.38375,5.495416666666667,5.649166666666666,5.869558396567553,5.582858456324284,7.186567246840325,6.460728076199629,7.4734375,5.8359375,7.3284522519736335,7.123647647758661,9.466934361531958,8.889041251970266
1999-08-31,MONSOON,4.82,10.085,5.285416666666666,5.629166666666666,5.449735037940532,5.432479340535985,4.39449071814444,4.511121827179503,7.334687499999999,7.5771875,8.43107135118418,8.330420528561232,5.571755156158474,4.936966261473634
1999-11-30,POMKH,4.406666666666666,3.15,5.524166666666667,5.361666666666666,5.032507689430986,5.226671212259722,5.24455299602136,5.1180879991451675,7.311718750000001,7.3696875,6.318642810710507,7.23613792315024,5.616061333348438,6.493488961388563
2000-02-29,POMRB,5.09,5.58,5.617916666666666,5.2091666666666665,5.0555046136585915,5.207050923697122,5.22922739666738,5.163471921224109,7.307291666666667,7.299687500000001,6.023185686426304,6.897931582964546,7.168930617763804,5.6200671034254395
2000-05-31,PREMON,9.04,10.48,5.463333333333333,5.839166666666666,6.649302768195154,6.020233988903576,6.706643933878451,6.105878711991005,7.904583333333334,7.323750000000002,7.805911411855782,8.081003698148898,10.14540262721617,9.357598908088285
2000-08-31,MONSOON,3.05,9.953333333333333,5.4425,5.3966666666666665,5.209581660917093,5.4074989953692745,5.346965826913616,6.033863660992738,9.035833333333333,7.290833333333335,8.664880180446803,9.001113290196992,6.586181166705172,7.0048745890614805
2000-11-30,POMKH,4.94,8.06,5.074166666666667,5.53,5.101748996550255,5.318783353191677,4.897105192890544,3.945912396812256,9.571458333333334,8.518333333333336,8.422928108268081,9.193709467536674,5.786541863594897,5.480680310754439
2001-02-28,POMRB,4.3900000000000015,9.72,4.966666666666667,5.355,4.817049397930154,5.133135299629898,5.302333513711847,5.407830753084201,9.285729166666666,9.553333333333336,8.94175686496085,9.802075249117989,7.885768330706078,7.531835890147267
2001-05-31,PREMON,6.793333333333332,10.625,5.0525,4.793333333333334,5.607562972091425,5.4903411356046705,6.4106086219284055,6.6365182703400425,8.639791666666667,9.589583333333337,9.61505411897651,10.569659640204138,11.429889299582019,11.413594281681195
2001-08-31,MONSOON,4.4366666666666665,7.5225,5.105833333333333,5.140000000000001,5.139204449921522,5.278787754474932,4.119546279451843,3.9366351011205305,8.194895833333334,8.981875000000004,8.778032471385906,10.210780242190475,8.143527441043188,8.466546456232873
2001-11-30,POMKH,4.24,5.323333333333333,5.49125,4.965000000000001,4.779522669952913,5.06999119167507,4.9178552072242665,5.005455909833068,8.117708333333333,8.297708333333336,7.396152816164877,9.108956814529744,6.896272121577471,5.913445586704596
2002-02-28,POMRB,5.516666666666668,8.897499999999997,5.789270833333334,5.246666666666668,5.074380268638415,5.172487251878048,4.97894100276619,4.689992299829548,8.205520833333331,8.092083333333335,7.996691689698925,9.130685615283214,8.599722894562337,7.534705158068477
2002-05-31,PREMON,8.75,10.83,6.121458333333334,5.735833333333335,6.544628161183049,5.9320191957043615,6.779587968988841,7.185803487377019,8.628541666666667,8.143333333333334,9.130015013819355,9.726072771837718,11.707106829018327,10.917594875570213
2002-08-31,MONSOON,4.864166666666667,8.02,6.5950000000000015,5.842708333333334,5.872443563376496,5.718256298978404,5.24661194216128,5.249979200136334,8.994375,8.267708333333333,8.686009008291613,9.39168170893818,8.412166275528019,8.385123131288815
2002-11-30,POMKH,6.4700000000000015,8.21,6.903541666666667,6.400208333333335,6.111466138025898,5.885879452242999,5.710893414855675,4.988413838987128,9.0071875,8.989375,8.495605404974969,9.114717374825474,7.064346029991598,6.110359334842729
2003-02-28,POMRB,7.075,8.9375,7.133020833333334,6.789791666666669,6.496879682815539,6.145555839453062,6.458097351576634,6.153557806143243,8.9178125,8.999375,8.672363242984982,9.071274239686055,9.207850010581792,9.17551216821929
2003-05-31,PREMON,9.66,10.8925,6.909999999999999,7.017291666666669,7.762127809689323,6.893541381359143,8.296549615368308,8.442204731613957,8.6053125,9.015,9.56041794579099,9.625893702396757,12.13737438576684,11.031568297917163
2003-08-31,MONSOON,5.79,7.2425,6.213125000000001,7.248750000000002,6.973276685813595,6.673956426231879,6.473762545766742,5.7379341390378595,8.0753125,8.820625,8.633250767474593,9.020031448005508,8.85536524688446,8.52523302146345
2003-11-30,POMKH,3.76,6.4875000000000025,5.512083333333333,6.571250000000002,5.687966011488157,6.074161008201685,6.79417154819456,5.988937970697318,7.727187500000001,8.39,7.774950460484757,8.241053576019542,7.547124278174363,6.798973941217813
