Date,Season,Barkot,Tileibani,Barkot_Trend,Barkot_SMA,Barkot_EWMA,Barkot_DES,Barkot_TES,Barkot_ARIMA,Tileibani_Trend,Tileibani_SMA,Tileibani_EWMA,Tileibani_DES,Tileibani_TES,Tileibani_ARIMA
1998-11-30,POMKH,2.71,3.525,3.5025694444444446,3.7061574074074066,3.1141525335381335,1.9084260931452173,2.75101223344819,2.709999913810364,3.950625,3.7425000000000006,3.483885115392,2.4153852829687392,3.066303048895196,2.8307816557144156
1999-02-28,POMRB,4.14,4.365,3.3997222222222225,3.605416666666666,3.52449152012288,2.195258684051533,4.583434180190436,4.542962834335043,3.858125,3.8775000000000004,3.8363310692352,2.79551852947722,4.834387651783167,4.436918060187945
1999-05-31,PREMON,5.28,5.805,3.382222222222222,3.3997222222222216,4.226694912073729,2.6785920209010396,6.120434735651472,6.1027776049857865,3.6412500000000003,4.023750000000001,4.62379864154112,3.504720476386813,6.260916419750485,6.032132331167348
1999-08-31,MONSOON,1.4688888888888894,1.075,3.3647222222222224,3.3997222222222216,3.123572502799793,2.505068330756712,1.4406512088160102,1.468888847299265,3.6125,3.6925000000000003,3.2042791849246717,3.1046815837334676,1.503357310444719,1.9192964600074194
1999-11-30,POMKH,2.5700000000000003,3.115,3.3647222222222224,3.3647222222222215,2.902143501679876,2.5201242813049034,2.6818153285219117,2.7099999232699745,3.6712499999999997,3.5900000000000003,3.1685675109548033,3.162928304502918,3.066303049155935,3.012059194281566
2000-02-29,POMRB,4.14,4.545,3.331111111111111,3.3647222222222215,3.3972861010079254,2.8023222358441817,4.231380484286344,4.199500883027047,3.760625,3.6350000000000002,3.7191405065728818,3.5371181121114774,4.834387652039053,3.9693198833528935
2000-05-31,PREMON,5.28,6.095,3.315,3.3647222222222215,4.150371660604755,3.2783507257676905,5.512464438366674,5.401490165189698,3.899375,3.7075000000000005,4.6694843039437295,4.256782705573156,6.260916420006442,5.787634491286655
2000-08-31,MONSOON,1.2,1.5,3.3325,3.297499999999999,2.970222996362853,3.036520450792129,1.4579068002428532,1.4688888514124934,3.933125,3.8137500000000006,3.401690582366238,3.874746769536659,1.503357310700821,1.4466820641460765
2000-11-30,POMKH,2.7100000000000004,3.8,3.3325000000000005,3.332499999999999,2.866133797817712,3.045157089567685,2.586263360669106,2.5906721529145837,3.975625,3.9850000000000008,3.5610143494197426,3.9965229512052645,3.0663030494145316,3.364703233623858
2001-02-28,POMRB,4.14,4.13,3.3325,3.3324999999999987,3.375680278690627,3.2919206137481014,4.160938831755381,4.194145755173209,4.00875,3.881250000000001,3.7886086096518454,4.167817182087996,4.834387652295885,4.773296456394141
