Date,Season,Gulha,Kalayat,Kaithal,Pundri,Rajound,Gulha_Trend,Gulha_SMA,Gulha_EWMA,Gulha_DES,Gulha_TES,Gulha_ARIMA,Kalayat_Trend,Kalayat_SMA,Kalayat_EWMA,Kalayat_DES,Kalayat_TES,Kalayat_ARIMA,Kaithal_Trend,Kaithal_SMA,Kaithal_EWMA,Kaithal_DES,Kaithal_TES,Kaithal_ARIMA,Pundri_Trend,Pundri_SMA,Pundri_EWMA,Pundri_DES,Pundri_TES,Pundri_ARIMA,Rajound_Trend,Rajound_SMA,Rajound_EWMA,Rajound_DES,Rajound_TES,Rajound_ARIMA
2005-08-31,MONSOON,26.68,4.243333333333333,12.52,16.25,5.993333333333332,21.099166666666665,20.647499999999994,22.464495950169784,22.504344635405552,24.89920163822933,21.75001857013499,4.275416666666667,4.771666666666666,4.661244239394833,4.827654680595299,5.194117019100513,5.090726103153784,12.364,12.576124999999994,12.389994724074546,13.069908929035739,13.083067886233668,12.733683252160027,14.673749999999998,14.3075,14.699972733321227,14.890836809638426,15.09765234883643,13.6652736022743,6.150833333333333,6.260208333333335,6.143567334442237,6.527760504208922,6.518247984556376,6.203203687872649
2005-11-30,POMKH,19.916666666666668,3.43,12.095,15.143333333333333,5.7925,21.089791666666667,20.994999999999994,21.445364236768537,21.8750160939949,21.89778061514926,20.650633869747672,4.108333333333333,4.435833333333332,4.1687465436369,4.4242534724625235,4.290388171886194,4.658357849106374,12.2034375,12.612999999999994,12.271996834444728,13.329761127258157,13.130619056319585,12.633945980412038,14.850624999999997,14.603333333333333,14.877316973326067,15.119578276013153,15.27026449688509,14.742616991419666,6.167708333333334,6.172083333333335,6.003140400665342,6.458921072629748,6.746978624981436,6.253975118884064
2006-02-28,POMRB,19.063333333333336,3.8533333333333335,11.92,14.02,6.2975,19.305000000000003,21.203333333333326,20.492551875394458,21.171436072267742,18.50718942245694,20.152302165662192,4.169583333333334,4.114999999999999,4.042581259515473,4.276400150087077,4.502312129257309,4.269075961309387,12.38875,12.114999999999995,12.131198100666836,13.59477962945089,12.939702822566185,12.328435924819148,15.029166666666665,14.744166666666668,14.53439018399564,15.055483568668352,14.55043195034224,14.909640124801621,6.323229166666667,6.1295833333333345,6.120884240399205,6.54310371014897,6.630106566967931,6.180141949632162
2006-05-31,PREMON,18.245,4.88,12.6325,14.415,6.74,16.840416666666666,20.976249999999993,19.593531125236677,20.426894143558428,21.02027328263613,20.415548981135085,4.439166666666667,4.101666666666666,4.3775487557092845,4.494532817400835,4.571693637479722,4.41456283739018,12.6496875,12.291874999999994,12.331718860400102,13.865067157508157,13.15952775793694,12.192666241346117,15.287499999999998,14.957083333333337,14.486634110397384,15.090979097807189,14.650237962133897,14.538827992416227,6.5771875,6.205833333333334,6.368530544239523,6.725931879318908,7.2057384982852115,6.212801886828001
2006-08-31,MONSOON,13.31,4.786666666666666,13.295,16.826666666666664,6.9325,16.81791666666667,17.633749999999992,17.080118675142007,18.37793432756995,25.704616696797395,22.362379302149705,4.841666666666667,4.237499999999999,4.541195920092237,4.616846464665426,4.641075827466274,4.571151163077039,13.0084375,12.485624999999995,12.71703131624006,14.14072846826824,13.128137132584463,12.113309878558452,15.75625,15.101250000000004,15.422647132905096,15.646211571106345,15.907392403474292,14.487215075421163,6.822187499999999,6.440625000000002,6.594118326543713,6.915399970628948,6.665355199214361,6.276615852192337
2006-11-30,POMKH,13.57,5.043333333333333,13.4075,16.633333333333333,6.885,18.543125,16.047083333333322,15.676071205085204,17.028848164837992,17.885504358446713,16.690104309130174,5.0633333333333335,4.640833333333332,4.742050885388675,4.7819863446493915,4.114175612245855,4.454038340351868,13.3753125,12.813749999999995,12.993218789744036,14.421870397398175,13.292615904938852,12.49891230585617,16.175208333333334,15.473750000000006,15.906921613076392,16.044312913639338,16.000062042644167,15.462325132822844,6.9653125,6.713750000000002,6.710470995926228,7.044689136841875,6.971166728088555,6.453760720874427
2007-02-28,POMRB,25.23,5.46,13.4775,16.28,7.165000000000001,21.295312499999998,17.58874999999999,19.497642723051122,19.701186168569066,14.596279161407878,15.791909086433577,5.189583333333333,5.042499999999999,5.029230531233205,5.026861856393517,4.941174177562219,4.755066506591706,13.32625,13.203124999999996,13.186931273846422,14.708601908615238,13.317744742978759,13.060980047966632,16.441458333333333,16.038750000000007,16.056152967845833,16.28282471015684,15.540973513429277,15.950414682480806,7.043020833333332,6.930625000000003,6.892282597555737,7.217417161513109,6.953011941621829,6.7488512575200446
2007-05-31,PREMON,25.88,5.046666666666667,14.01,15.506666666666666,7.0175,23.650625,19.497499999999988,22.05058563383067,21.767262607131695,18.832089743370545,19.008171998689786,5.31,5.084166666666666,5.03620498540659,5.067754916173136,5.411935151483785,5.274751083645192,13.350937499999999,13.547499999999998,13.516158764307853,15.001034135976635,13.774177790836683,13.335032642775033,16.571666666666665,16.311666666666675,15.836358447374167,16.302972982898215,16.07619471101651,16.087789595083205,7.107916666666667,7.000000000000002,6.942369558533443,7.3068594996438,7.59497790838097,7.021046327003257
2007-08-31,MONSOON,27.692500000000006,5.63,11.525,17.865000000000006,7.276666666666666,24.06576388888889,23.09312499999999,24.307351380298407,23.77060077664541,23.389618047239257,18.64102829592603,5.319166666666667,5.294999999999999,5.273722991243954,5.27842867681937,5.24980677368815,5.03621390951544,13.7134375,13.104999999999997,12.71969525858471,15.299280395818734,13.904969278305561,13.540887715655558,16.659583333333334,16.57125000000001,16.647815068424503,16.834377289454892,17.218690040177826,15.845570942555327,7.198541666666667,7.0860416666666675,7.076088401786732,7.443776595880143,7.038180817330807,7.073758376828746
2007-11-30,POMKH,18.03,5.163333333333334,15.375,16.636666666666667,7.06,24.05949652777778,24.20812499999999,21.796410828179045,22.173833128386235,22.27929596414328,21.556804080410842,5.427083333333334,5.324999999999999,5.229567128079706,5.278905744081989,4.803540409717643,5.16590167941334,14.014583333333333,13.596874999999997,13.781817155150826,15.603456330649644,13.532883247476445,13.367274931789947,17.007500000000004,16.572083333333346,16.64335570772137,16.987376442438723,17.217734871606982,16.68729196447873,7.5226041666666665,7.129791666666668,7.069653041072039,7.4873469845815155,7.33745133226704,7.132663319547124
