Date,Season,Patiyali,Kasganj,Soron,Sidhpura,Amanpur,Sahawar,Ganj Dundwara,Patiyali_Trend,Patiyali_SMA,Patiyali_EWMA,Patiyali_DES,Patiyali_TES,Patiyali_ARIMA,Kasganj_Trend,Kasganj_SMA,Kasganj_EWMA,Kasganj_DES,Kasganj_TES,Kasganj_ARIMA,Soron_Trend,Soron_SMA,Soron_EWMA,Soron_DES,Soron_TES,Soron_ARIMA,Sidhpura_Trend,Sidhpura_SMA,Sidhpura_EWMA,Sidhpura_DES,Sidhpura_TES,Sidhpura_ARIMA,Amanpur_Trend,Amanpur_SMA,Amanpur_EWMA,Amanpur_DES,Amanpur_TES,Amanpur_ARIMA,Sahawar_Trend,Sahawar_SMA,Sahawar_EWMA,Sahawar_DES,Sahawar_TES,Sahawar_ARIMA,Ganj Dundwara_Trend,Ganj Dundwara_SMA,Ganj Dundwara_EWMA,Ganj Dundwara_DES,Ganj Dundwara_TES,Ganj Dundwara_ARIMA
1998-08-31,MONSOON,3.015,9.78,5.423333333333333,5.85,1.3,3.3,5.4,2.859375,4.47125,4.009304560128,4.285741744529471,4.5837322244897925,4.664967757993426,8.90875,8.9025,9.356145128447999,8.786478230559474,9.293691883751821,9.737967823044258,5.623333333333333,6.309166666666668,6.267531124053334,6.474695845845219,6.5822630508288125,6.62802818619267,5.395,5.459999999999999,5.607191798783999,5.465993992233954,6.543662509819329,6.099699681817975,1.3849999999999998,2.0800000000000005,1.9949674147839997,1.8166023431006146,1.7854881375367242,1.8665327478244158,3.7974999999999994,5.609999999999999,4.888180543488,4.284336704758485,5.193570038594561,5.480236413504331,5.44625,5.446250000000001,5.4180555264,5.470267732649736,5.4,5.407122272489682
1998-11-30,POMKH,1.18,7.8,4.359999999999999,4.72,0.21,2.52,5.585,2.694375,3.25375,2.8775827360768,3.3453005257405444,3.8825730776996297,4.010513975488513,8.915,8.9025,8.733687077068799,8.787367400834203,8.177640064963112,8.180243976775577,5.339583333333333,5.767500000000001,5.504518674432,5.923955600155161,5.574159999488079,6.1093443864493535,5.259374999999999,5.459999999999999,5.252315079270399,5.268907186468389,5.032019815016958,4.753684543808318,1.2275,1.4925000000000006,1.2809804488704,1.408533761756105,2.2060287240702117,2.209173171142004,3.3425,4.0649999999999995,3.9409083260927997,3.2568180688646637,4.40095284590239,5.088784461540353,5.44625,5.446250000000001,5.48483331584,5.472497009734218,5.585,5.563285095023578
1999-02-28,POMRB,1.2,8.3,4.943333333333333,4.9,0.7,2.9,5.4,3.271875,2.465,2.20654964164608,2.6982689899431618,2.82901813929346,2.48690988065883,8.915000000000001,8.915,8.56021224624128,8.788992358131658,8.853908606719871,8.691408136674339,5.216666666666666,5.479166666666667,5.280044537992533,5.669112666462907,5.052602042958554,5.160608069987225,5.18875,5.329999999999998,5.111389047562239,5.17176082200681,5.123629064168326,5.003489875291987,1.2650000000000001,1.2775000000000007,1.04858826932224,1.1696193679976559,1.9592324305817836,1.3889733055862838,3.1675,3.5299999999999994,3.5245449956556794,3.041011707870156,3.077269519061651,2.5112593503133938,5.44625,5.446250000000001,5.450899989504,5.474727194322739,5.4,5.4074689107296425
1999-05-31,PREMON,6.3,9.78,6.073333333333332,5.285,2.5,3.9,5.4,3.7350000000000003,2.92375,3.8439297849876484,3.840321409771232,2.9017107684978094,2.8706938037735887,8.915,8.915,9.048127347744767,8.792796460545294,9.585275205963155,9.823598485832104,5.35375,5.2,5.597360056128853,5.7756745822461815,5.96841363658517,5.965196007484758,5.208333333333333,5.188749999999999,5.180833428537344,5.202418250162831,5.243338611310117,5.258773136272515,1.42625,1.1775000000000007,1.629152961593344,1.3880316444583707,2.745378475426053,2.2178343478269555,3.2275,3.154999999999999,3.6747269973934076,3.5241089270651433,3.3276378463528715,3.674254196036655,5.44625,5.446250000000001,5.4305399937024,5.476958287757801,5.4,5.407410652296985
1999-08-31,MONSOON,5.8,9.78,5.5566666666666675,5.85,2.0,3.4,5.4,4.1187499999999995,3.62,4.626357870992589,4.477612009577271,3.76296255135784,5.096786711971099,8.875,8.915,9.34087640864686,8.796595971172277,9.482671029170827,10.19508488511248,5.535,5.233333333333334,5.581082700343979,5.719589943281758,4.931285701679079,5.564581648041273,5.292916666666667,5.188749999999999,5.448500057122406,5.374732319380388,5.632365597177066,5.614857769504258,1.5624999999999998,1.3525000000000007,1.7774917769560064,1.485608501145707,1.335129241894264,1.7732346341376468,3.4404166666666667,3.179999999999999,3.564836198436044,3.441041860020311,3.1219661695220084,3.5623459660373857,5.44625,5.446250000000001,5.4183239962214405,5.479190290409779,5.4,5.40711123412262
1999-11-30,POMKH,2.1,7.8,5.323333333333333,4.876666666666666,0.8,2.9,5.585,4.279999999999999,3.8500000000000005,3.6158147225955535,3.7656780895387834,4.519520095766498,3.621353124740238,8.834999999999999,8.915,8.724525845188115,8.797472928682282,8.017729762169628,7.314274330154909,5.695416666666667,5.474166666666668,5.477982953539721,5.6172318546658415,4.795382030332103,5.058134842728498,5.428541666666667,5.227916666666665,5.219766700940109,5.243359428487932,4.747623166624426,5.062851878774601,1.6325,1.5000000000000007,1.3864950661736037,1.300666747198925,1.497396143603697,1.408658094529989,3.719583333333333,3.274999999999999,3.298901719061626,3.1188276313282777,3.6828381269083144,3.418642366746229,5.44625,5.446250000000001,5.484994397732864,5.481423203621872,5.585,5.563275637392034
2000-02-29,POMRB,3.35,7.98,5.43,5.42,1.2,4.223333333333334,5.4,3.7474999999999996,4.387500000000001,3.5094888335573318,3.6612126678642594,3.5803959484697776,2.553567112279395,8.835,8.835,8.426715507112869,8.798614097350775,8.64156028935482,8.172439594104722,5.765416666666667,5.595833333333335,5.458789772123833,5.569411394495431,5.613809651059524,5.363056811028657,5.4991666666666665,5.357916666666666,5.299860020564066,5.290833237779381,5.095750634789733,5.318155249153531,1.4000000000000001,1.6250000000000007,1.3118970397041623,1.2317034175001893,1.5681586856821919,1.0319216646375204,3.930833333333333,3.6058333333333326,3.6686743647703093,3.7426536119190765,3.043573534661207,3.3563251156201197,5.44625,5.446250000000001,5.450996638639719,5.483657025819803,5.4,5.4074566477692825
2000-05-31,PREMON,5.44,9.78,6.87,5.85,2.56,4.81,5.4,3.4225,4.172500000000001,4.2816933001344,4.240853170213065,4.218514320428386,4.908213253658934,8.834999999999999,8.835,8.96802930426772,8.802406585701377,9.649614828738539,9.816404247301843,5.78375,5.795000000000002,6.0232738632743,5.909912173602395,6.582487449941928,6.353326699960012,5.499166666666666,5.4991666666666665,5.51991601233844,5.439719625511114,5.609809370900832,5.6602975181459545,1.2225000000000001,1.6400000000000006,1.8111382238224973,1.5040993512150487,2.698986154208558,2.41505617208894,4.203333333333333,3.8333333333333326,4.125204618862186,4.343052445250974,4.139733532498946,4.507454098157754,5.44625,5.446250000000001,5.430597983183832,5.485891758346677,5.4,5.407399893008321
2000-08-31,MONSOON,2.4,9.78,5.32,5.85,0.08,4.18,5.4,3.510625,3.3225000000000007,3.5290159800806395,3.694832968294052,4.199742368039824,4.88405633918382,8.855,8.835,9.292817582560632,8.806194496284137,9.580248973937556,10.010445522781906,5.930833333333334,5.735833333333335,5.74196431796458,5.757044323085359,5.856358333268037,5.740001740337425,5.4488095238095235,5.499166666666666,5.651949607403063,5.549154977130264,6.180607216998342,5.711122949572353,1.3433333333333333,1.1600000000000006,1.1186829342934983,1.1760074692410052,1.5267423456201912,1.721880632616893,4.3272916666666665,4.028333333333332,4.147122771317311,4.23488048286691,3.995082387971804,4.525541023089115,5.471875000000001,5.446250000000001,5.4183587899102985,5.488127401573471,5.4,5.407101830553894
2000-11-30,POMKH,2.9,7.8,5.706666666666668,4.876666666666666,1.3,4.3,5.585,3.3999999999999995,3.5225000000000004,3.277409588048384,3.4715731428554135,3.4051919461848597,2.3812540913010314,8.795416666666666,8.835,8.69569054953638,8.807059867751805,7.908735580162472,7.356143165274471,6.194375000000001,5.831666666666668,5.727845257445415,5.744969727933957,5.096357539187292,5.151932293680099,5.311994047619047,5.499166666666666,5.341836431108504,5.371564600041947,4.987373123359866,5.155883482571044,1.4019791666666668,1.2850000000000006,1.191209760576099,1.1643320683676766,1.131689040155226,0.24095181102273822,4.562499999999999,4.378333333333333,4.208273662790386,4.2580991970528865,4.49791806988229,4.041819790609225,5.518750000000001,5.446250000000001,5.485015273946178,5.490363956843989,5.585,5.563267427513343
