Date,Season,Jatara,Palera,Baldeogarh,Niwari,Prithvipur,Tikamgarh,Jatara_Trend,Jatara_SMA,Jatara_EWMA,Jatara_DES,Jatara_TES,Jatara_ARIMA,Palera_Trend,Palera_SMA,Palera_EWMA,Palera_DES,Palera_TES,Palera_ARIMA,Baldeogarh_Trend,Baldeogarh_SMA,Baldeogarh_EWMA,Baldeogarh_DES,Baldeogarh_TES,Baldeogarh_ARIMA,Niwari_Trend,Niwari_SMA,Niwari_EWMA,Niwari_DES,Niwari_TES,Niwari_ARIMA,Prithvipur_Trend,Prithvipur_SMA,Prithvipur_EWMA,Prithvipur_DES,Prithvipur_TES,Prithvipur_ARIMA,Tikamgarh_Trend,Tikamgarh_SMA,Tikamgarh_EWMA,Tikamgarh_DES,Tikamgarh_TES,Tikamgarh_ARIMA
2011-05-31,PREMON,9.16,8.6,11.0,16.353333333333335,8.736666666666666,11.4675,7.106666666666667,6.895833333333332,7.646072110828889,6.849861721944286,8.564179653248734,8.772242940973953,7.49375,8.685,8.55283203923028,8.239283378083526,10.244082039910747,8.928707698517915,5.5075,6.035000000000003,7.28363590289611,6.312129699067096,7.617965189678923,8.24692554934034,10.141666666666667,11.020833333333337,12.2542546407849,10.821125114463031,12.858132436629818,12.764272405603254,5.413333333333333,5.469583333333336,6.518375125730021,5.803073866103828,7.532595450584986,7.793679379654227,7.7521875,9.936458333333338,10.21461668880806,9.333047045015913,11.907320414906353,11.0308410464629
2011-08-31,MONSOON,5.717499999999999,4.913333333333333,1.46,5.013333333333333,2.6533333333333333,2.685,6.6259375,7.107708333333332,6.874643266497333,6.590860445217144,5.52499867977229,5.761157005247117,6.509166666666666,8.028333333333334,7.097032556871501,7.53118659403981,6.266762958907526,6.072552834656115,4.835,5.950000000000003,4.954181541737666,5.052577790348794,4.414158376348036,3.880205224453224,9.747916666666667,10.216666666666672,9.357886117804274,9.638287975708172,9.790963930410788,10.745288986031383,4.8427083333333325,5.526666666666669,4.9723584087713455,5.462381618610452,3.874516248897024,4.035836337640254,6.606249999999999,8.484375000000005,7.2027700132848365,8.292126549131407,6.710973655889344,6.316960868905194
2011-11-30,POMKH,5.425,5.723333333333333,2.56,8.200000000000001,3.6266666666666665,4.2425,5.9784375,7.105624999999999,6.2947859598984,6.322141287795759,6.3350207232082205,6.068091545525392,6.059166666666667,6.959166666666668,6.547552867456234,7.151811111444348,6.342243450924231,6.081651301468947,3.6475,5.065000000000003,3.9965089250425994,4.402044748456902,5.462353785090917,6.012082308758839,8.8546875,10.066666666666674,8.894731670682564,9.361040497871375,8.61878381032819,7.035545263007565,4.2425,5.3000000000000025,4.434081711929474,5.27194065516807,4.695923619694773,4.431443584332241,6.033125,7.020000000000005,6.018662007970902,7.548975623265954,7.155056843995922,5.1726249249868825
2012-02-29,POMRB,4.2825,5.0,3.4,8.15,2.5250000000000004,6.375,5.626796874999999,6.146249999999999,5.4898715759390395,5.861588673495237,6.8289615330538425,6.7400060473722,6.000963541666667,6.059166666666668,5.928531720473741,6.696980973601209,6.693738963398061,6.530623865345094,2.7046875,4.605000000000002,3.7579053550255592,4.136874383756754,3.8063130912764715,3.295474032001653,8.426583333333333,9.429166666666674,8.596839002409538,9.130404464809274,9.492505830694366,9.810927034773188,4.11203125,4.385416666666669,3.6704490271576846,4.975640819969139,5.252197135086293,4.963720113231469,6.070000000000001,6.192500000000004,6.161197204782541,7.1896632787666,8.516567301723107,6.755630270530866
2012-05-31,PREMON,7.817500000000001,8.6,3.34,11.7575,7.593333333333334,10.1925,5.48209375,5.810624999999999,6.420922945563424,6.264238965475241,8.009004473522342,7.467972099444639,5.9865104166666665,6.059166666666668,6.997119032284244,7.122760478042121,6.712370171867884,6.367595004419814,2.713125,2.690000000000002,3.590743213015336,3.9242044743400037,6.545268631386785,6.597708551221237,8.469208333333333,8.280208333333341,9.861103401445723,9.697052411474626,11.42530904921428,11.618844062889835,4.126145833333334,4.099583333333335,5.239602749627944,5.29702836062944,5.755621000702963,5.6841355078853795,6.445312500000001,5.873750000000005,7.7737183228695255,7.46003767521627,10.016616813504307,9.36090523585903
2012-08-31,MONSOON,4.246874999999998,4.447708333333333,1.5775,6.184333333333332,2.7529166666666667,4.255000000000001,5.548406249999999,5.442968749999999,5.551303767338053,5.80885979458423,4.763441906015412,4.788706824283177,6.242760416666667,5.942760416666667,5.97735475270388,6.554136630219597,5.145031500594454,5.966094820366941,2.469375,2.719375000000002,2.785445927809201,3.3083693763059157,0.6667356087478495,0.5800813735809041,8.523114583333331,8.572958333333341,8.390395374200766,8.988741385168021,6.716007747556523,7.6591537893088795,4.558020833333334,4.124479166666669,4.244928316443433,5.024224029601745,2.40754339176827,3.2282001474077795,8.080416666666668,6.266250000000006,6.366230993721716,6.828208851175845,4.946118568438343,5.407224990675893
2012-11-30,POMKH,5.7379999999999995,6.073333333333334,2.51,7.369999999999999,3.64,5.6750000000000025,5.63059375,5.521218749999998,5.625982260402832,5.77181455569526,5.387595770205474,5.302791961349724,6.380260416666666,6.030260416666668,6.0157461849556615,6.4614669062056285,5.668227936839504,5.723275197667677,2.151875,2.706875000000002,2.6752675566855206,3.0933444793446756,3.284254537338649,2.7848843936229066,9.057020833333333,8.36545833333334,7.982237224520459,8.672520802745554,7.7481911942521515,7.777181895792054,4.880729166666667,4.127812500000003,4.0029569898660595,4.88415518653596,3.995370273482603,4.415681214488007,9.609270833333335,6.624375000000006,6.089738596233031,6.468146004992685,6.071839083405749,5.9139694915515
2013-02-28,POMRB,4.5,6.7,1.5,9.41125,5.966666666666668,18.023333333333333,5.409734375,5.575593749999999,5.1755893562417,5.474345898731428,6.211931995290788,6.453886302955863,5.861796875,6.455260416666667,6.289447710973397,6.524997744376545,6.7184943046577175,6.623554301848644,1.9871875,2.231875000000002,2.2051605340113127,2.671673763236515,2.492312922053443,3.3290448103279195,9.296979166666665,8.68077083333334,8.553842334712275,8.845616862543388,8.642987591792604,9.182463045294709,4.531197916666668,4.98822916666667,4.788440860586302,5.0280929523986275,4.900904596170579,4.754935042369795,9.316875,9.53645833333334,10.863176491073151,8.086635955441126,7.947556930808659,7.465269548099967
2013-05-31,PREMON,8.2575,8.0,2.7,14.7675,6.7333333333333325,10.775,4.9091249999999995,5.685593749999999,6.40835361374502,6.054604940528233,7.610730310748798,7.617248350403907,4.952916666666667,6.305260416666668,6.973668626584038,6.857424871919142,7.880284122879368,7.808312568017316,1.8825,2.071875000000002,2.403096320406788,2.670299739415031,4.993327532327752,5.654498966463841,9.287937500000002,9.43327083333334,11.039305400827365,10.09648512709654,11.671633631703003,12.334510286243251,4.155,4.77322916666667,5.5663978496851145,5.244428179878171,7.2599899172824855,7.922860771826562,8.623541666666668,9.682083333333338,10.82790589464389,8.535995083196656,11.944805656804851,15.39523497054166
2013-08-31,MONSOON,2.04,0.9000000000000001,0.8999999999999999,5.093999999999999,0.8166666666666665,1.3333333333333333,4.595625,5.133874999999999,4.661012168247012,5.166666130271208,4.584904697395695,4.946227369257887,4.1265625,5.418333333333335,4.544201175950423,5.574805113092081,5.106550886959468,5.40264669922348,1.9749999999999999,1.9025000000000023,1.8018577922440726,2.2024948367625674,-0.514918501016246,-0.2336803927734058,9.114406249999998,9.160687500000007,8.661183240496419,9.07940800055796,8.397143508465337,9.297932939734094,3.6104166666666666,4.28916666666667,3.666505376477735,4.754127801941815,2.7551721415721184,2.6862059248989905,6.59375,8.951666666666672,7.030076870119667,7.489095662622238,6.599251458217703,5.623068352012644
